Geography,GeographyCode,Total,CatholicBackground,CatholicBackground_pct
The Mall,N08000240,5511,2429,44.08
Waringstown,N08000241,5401,500,9.26
Andersonstown,N08000301,4648,4367,93.95
Ardoyne,N08000302,5490,4986,90.82
Ballygomartin,N08000303,5952,580,9.74
Ballymacarrett,N08000304,5905,2619,44.35
Ballymurphy,N08000305,5131,4778,93.12
Ballysillan,N08000306,5289,494,9.34
Beechmount,N08000307,5395,4503,83.47
Beersbridge,N08000308,6609,1020,15.43
Bellevue,N08000309,5427,3481,64.14
Belmont,N08000310,4695,525,11.18
Belvoir,N08000311,5359,1297,24.20
Blackstaff,N08000312,7547,1218,16.14
Bloomfield (Belfast LGD),N08000313,5894,1090,18.49
Cavehill,N08000314,4434,2660,59.99
Central,N08000315,15445,7858,50.88
Chichester Park,N08000316,5409,3339,61.73
Cliftonville,N08000317,5657,4050,71.59
Clonard,N08000318,5999,5215,86.93
Collin Glen,N08000319,5657,5227,92.40
Connswater,N08000320,5930,959,16.17
Cregagh,N08000321,4587,1469,32.03
Duncairn,N08000322,8338,2981,35.75
Dunmurry,N08000323,5205,3566,68.51
Falls,N08000324,5179,4646,89.71
Falls Park,N08000325,4742,4443,93.69
Finaghy,N08000326,4529,2389,52.75
Forth River,N08000327,4920,985,20.02
Fortwilliam,N08000328,4717,2290,48.55
Garnerville,N08000329,4788,520,10.86
Gilnahirk,N08000330,5153,421,8.17
Hillfoot,N08000331,4582,1158,25.27
Innisfayle,N08000332,5315,2327,43.78
Knock,N08000333,5010,982,19.60
Ladybrook,N08000334,4817,3936,81.71
Lagmore,N08000335,8345,7747,92.83
Legoniel,N08000336,6135,3286,53.56
Malone,N08000337,4811,3099,64.41
Merok,N08000338,4438,520,11.72
Musgrave,N08000339,4837,2915,60.26
New Lodge,N08000340,4881,4123,84.47
Orangefield,N08000341,4756,636,13.37
Ormeau,N08000342,6532,3545,54.27
Poleglass,N08000343,6103,5698,93.36
Ravenhill,N08000344,4823,2002,41.51
Rosetta,N08000345,5794,3297,56.90
Sandown,N08000346,4472,532,11.90
Shandon,N08000347,5377,657,12.22
Shankill (Belfast LGD),N08000348,6445,386,5.99
Shaw's Road,N08000349,5480,5078,92.66
Stewartstown (Belfast LGD),N08000350,4579,4288,93.64
Stormont,N08000351,5045,716,14.19
Stranmillis,N08000352,8978,4335,48.28
Sydenham,N08000353,5589,704,12.60
Turf Lodge,N08000354,4569,4337,94.92
Twinbrook,N08000355,4917,4595,93.45
Upper Malone,N08000356,4974,1629,32.75
Water Works,N08000357,6909,4839,70.04
Windsor,N08000358,11302,4924,43.57
Woodstock,N08000359,6431,1601,24.90
Woodvale,N08000360,5170,415,8.03
Aghadowey,N08000401,3453,1126,32.61
Altahullion,N08000402,3191,1483,46.47
Atlantic,N08000403,4536,1435,31.64
Ballycastle,N08000404,3399,2627,77.29
Ballykelly,N08000405,3103,1632,52.59
Ballymoney East,N08000406,3111,425,13.66
Ballymoney North,N08000407,3403,607,17.84
Ballymoney South,N08000408,3386,541,15.98
Castlerock,N08000409,3391,551,16.25
Churchland,N08000410,3643,880,24.16
Clogh Mills,N08000411,3645,1428,39.18
Coolessan,N08000412,2920,1658,56.78
Dervock,N08000413,3449,214,6.20
Drumsurn,N08000414,3664,1828,49.89
Dundooan,N08000415,3909,730,18.67
Dungiven,N08000416,3298,2884,87.45
Dunloy,N08000417,3625,2448,67.53
Feeny,N08000418,3609,3189,88.36
Garvagh,N08000419,3515,1853,52.72
Giant's Causeway,N08000420,3382,157,4.64
Greysteel,N08000421,4641,3499,75.39
Greystone (Causeway Coast and Glens LGD),N08000422,3485,1545,44.33
Hopefield,N08000423,3588,810,22.58
Kilrea,N08000424,3751,2192,58.44
Kinbane,N08000425,4041,2053,50.80
Loughguile and Stranocum,N08000426,3678,2060,56.01
Lurigethan,N08000427,2764,2595,93.89
Macosquin,N08000428,3431,442,12.88
Magilligan,N08000429,3481,1678,48.20
Mountsandel,N08000430,3808,1018,26.73
Portrush and Dunluce,N08000431,2759,568,20.59
Portstewart,N08000432,2915,1044,35.81
Quarry,N08000433,4459,830,18.61
Rasharkin,N08000434,3906,1674,42.86
Roeside,N08000435,2653,1029,38.79
Route,N08000436,3448,455,13.20
Torr Head and Rathlin,N08000437,3597,2608,72.50
University,N08000438,3654,716,19.59
Waterside,N08000439,4305,1611,37.42
Windy Hall,N08000440,3755,739,19.68
Artigarvan,N08000501,3639,2092,57.49
Ballycolman,N08000502,3531,3314,93.85
Ballymagroarty,N08000503,3981,3749,94.17
Brandywell,N08000504,3185,2995,94.03
Carn Hill,N08000505,2852,2725,95.55
Castlederg,N08000506,3443,1911,55.50
Caw,N08000507,4334,1523,35.14
City Walls,N08000508,3240,2620,80.86
Claudy,N08000509,3500,2519,71.97
Clondermot,N08000510,3848,3034,78.85
Creggan,N08000511,3474,3238,93.21
Creggan South,N08000512,3849,3688,95.82
Culmore,N08000513,4324,3933,90.96
Drumahoe,N08000514,4496,1282,28.51
Dunnamanagh,N08000515,3513,1349,38.40
Ebrington,N08000516,4021,2001,49.76
Eglinton,N08000517,3910,2242,57.34
Enagh,N08000518,4393,3088,70.29
Finn,N08000519,4321,3403,78.75
Foyle Springs,N08000520,3040,2854,93.88
Galliagh,N08000521,3750,3537,94.32
Glenderg,N08000522,3202,1631,50.94
Glenelly Valley,N08000523,3403,2351,69.09
Kilfennan,N08000524,4735,2602,54.95
Lisnagelvin,N08000525,3166,712,22.49
Madam's Bank,N08000526,2865,2577,89.95
New Buildings,N08000527,3832,1254,32.72
Newtownstewart,N08000528,3101,1130,36.44
Northland,N08000529,4844,3950,81.54
Park (Derry City and Strabane LGD),N08000530,3531,2363,66.92
Shantallow,N08000531,3667,3482,94.96
Shantallow East,N08000532,4265,4012,94.07
Sheriff's Mountain,N08000533,3337,3030,90.80
Sion Mills,N08000534,3732,2559,68.57
Skeoge,N08000535,6385,5958,93.31
Slievekirk,N08000536,3576,1667,46.62
Springtown,N08000537,2883,2774,96.22
Strabane North,N08000538,4006,3632,90.66
Strabane West,N08000539,3108,2890,92.99
Victoria (Derry City and Strabane LGD),N08000540,4468,3461,77.46
Ballinamallard,N08000601,2947,911,30.91
Belcoo and Garrison,N08000602,2644,2162,81.77
Belleek and Boa,N08000603,3123,1989,63.69
Beragh,N08000604,2912,1489,51.13
"Boho, Cleenish and Letterbreen",N08000605,3466,1885,54.39
Brookeborough,N08000606,2579,1087,42.15
Camowen,N08000607,3212,1222,38.04
Castlecoole,N08000608,3203,1692,52.83
Coolnagard,N08000609,3410,2784,81.64
Dergmoney,N08000610,2586,1479,57.19
Derrygonnelly,N08000611,2897,1724,59.51
Derrylin,N08000612,2794,2257,80.78
Donagh,N08000613,2527,1993,78.87
Dromore (Fermanagh and Omagh LGD),N08000614,2784,2195,78.84
Drumnakilly,N08000615,3184,2648,83.17
Drumquin,N08000616,2910,2089,71.79
Ederney and Kesh,N08000617,2774,1047,37.74
Erne,N08000618,3054,2196,71.91
Fairy Water,N08000619,2826,1329,47.03
Fintona,N08000620,2553,1708,66.90
Florence Court and Kinawley,N08000621,2883,1965,68.16
Gortin,N08000622,3304,2022,61.20
Gortrush,N08000623,3215,2643,82.21
Irvinestown,N08000624,3386,2248,66.39
Killyclogher,N08000625,3052,2466,80.80
Lisbellaw,N08000626,3058,936,30.61
Lisnarrick,N08000627,3356,1586,47.26
Lisnaskea,N08000628,2645,2008,75.92
Maguiresbridge,N08000629,3299,1436,43.53
Newtownbutler,N08000630,2567,2008,78.22
Newtownsaville,N08000631,2977,1922,64.56
Owenkillew,N08000632,2700,2399,88.85
Portora,N08000633,3185,1850,58.08
Rosslea,N08000634,2331,1871,80.27
Rossorry,N08000635,2544,1481,58.22
Sixmilecross,N08000636,2828,2289,80.94
Strule,N08000637,2971,2284,76.88
Tempo,N08000638,2879,1470,51.06
Termon,N08000639,2699,2550,94.48
Trillick,N08000640,2552,1785,69.95
Ballinderry,N08000701,3924,965,24.59
Ballyhanwood,N08000702,3028,254,8.39
Ballymacash,N08000703,3137,607,19.35
Ballymacbrennan,N08000704,3081,408,13.24
Ballymacoss,N08000705,5975,1133,18.96
Beechill,N08000706,3384,1638,48.40
Blaris,N08000707,3415,739,21.64
Cairnshill,N08000708,3514,1845,52.50
Carrowreagh,N08000709,6124,547,8.93
Carryduff East,N08000710,3823,1646,43.06
Carryduff West,N08000711,3350,1865,55.67
Derryaghy,N08000712,4627,2278,49.23
Dromara,N08000713,3460,492,14.22
Drumbo,N08000714,3039,736,24.22
Dundonald,N08000715,3105,357,11.50
Enler,N08000716,3205,139,4.34
Galwally,N08000717,3041,1533,50.41
Glenavy,N08000718,4079,3079,75.48
Graham's Bridge,N08000719,3312,239,7.22
Harmony Hill,N08000720,3021,934,30.92
Hilden,N08000721,3903,872,22.34
Hillhall,N08000722,4065,609,14.98
Hillsborough,N08000723,3314,418,12.61
Knockbracken,N08000724,3534,2035,57.58
Knockmore,N08000725,4658,1253,26.90
Lagan,N08000726,3477,645,18.55
Lagan Valley,N08000727,3398,738,21.72
Lambeg,N08000728,3817,429,11.24
Lisnagarvey,N08000729,2939,757,25.76
Maghaberry,N08000730,4783,707,14.78
Magheralave,N08000731,4255,1936,45.50
Maze,N08000732,3232,414,12.81
Moira,N08000733,3747,814,21.72
Moneyreagh,N08000734,3124,260,8.32
Newtownbreda,N08000735,2842,1254,44.12
Old Warren,N08000736,4122,1263,30.64
Ravernet,N08000737,3096,312,10.08
Stonyford,N08000738,3149,1216,38.62
Wallace Park,N08000739,3862,835,21.62
White Mountain,N08000740,6138,2356,38.38
Academy,N08000801,2568,391,15.23
Ahoghill,N08000802,3608,224,6.21
Ardeevin,N08000803,3715,632,17.01
Ballee and Harryville,N08000804,3588,316,8.81
Ballycarry and Glynn,N08000805,3747,193,5.15
Ballykeel,N08000806,3026,207,6.84
Boneybefore,N08000807,2864,205,7.16
Braidwater,N08000808,3214,2057,64.00
Broughshane,N08000809,3726,230,6.17
Burleigh Hill,N08000810,2594,216,8.33
Cairncastle,N08000811,3238,916,28.29
Carnlough and Glenarm,N08000812,3137,2080,66.31
Castle (Mid and East Antrim LGD),N08000813,3913,522,13.34
Castle Demesne,N08000814,4446,1141,25.66
Craigyhill,N08000815,3920,831,21.20
Cullybackey,N08000816,2868,105,3.66
Curran and Inver,N08000817,3384,806,23.82
Fair Green,N08000818,4262,2344,55.00
Galgorm,N08000819,3254,276,8.48
Gardenmore,N08000820,3289,912,27.73
Glenravel,N08000821,3595,2238,62.25
Glenwhirry,N08000822,3158,327,10.35
Gortalee,N08000823,3693,444,12.02
Grange,N08000824,3720,1561,41.96
Greenisland,N08000825,3446,431,12.51
Islandmagee,N08000826,3048,212,6.96
Kells,N08000827,3453,194,5.62
Kilroot,N08000828,4254,321,7.55
Kilwaughter,N08000829,4792,742,15.48
Kirkinriola,N08000830,3228,590,18.28
Love Lane,N08000831,3033,294,9.69
Maine,N08000832,3044,442,14.52
Park (Mid and East Antrim LGD),N08000833,2921,942,32.25
Portglenone,N08000834,3352,1336,39.86
Slemish,N08000835,3208,508,15.84
Sunnylands,N08000836,4098,250,6.10
The Maidens,N08000837,3436,850,24.74
Victoria (Mid and East Antrim LGD),N08000838,4394,313,7.12
Whitehead South,N08000839,3347,531,15.86
Woodburn,N08000840,3429,212,6.18
Ardboe,N08000901,3818,3550,92.98
Augher and Clogher,N08000902,3460,2191,63.32
Aughnacloy,N08000903,3696,1633,44.18
Ballygawley,N08000904,3939,2982,75.70
Ballymaguigan,N08000905,4144,2809,67.78
Ballysaggart,N08000906,5059,3939,77.86
Bellaghy,N08000907,3879,3255,83.91
Caledon,N08000908,3963,2174,54.86
Castlecaulfield,N08000909,3759,2420,64.38
Castledawson,N08000910,3792,1955,51.56
Coagh,N08000911,3371,1969,58.41
Coalisland North,N08000912,3671,2605,70.96
Coalisland South,N08000913,4842,4303,88.87
Cookstown East,N08000914,3790,1775,46.83
Cookstown South,N08000915,3524,2672,75.82
Cookstown West,N08000916,3688,1805,48.94
Coolshinny,N08000917,4048,2075,51.26
Donaghmore,N08000918,3839,2777,72.34
Draperstown,N08000919,3265,3037,93.02
Fivemiletown,N08000920,3173,1030,32.46
Glebe (Mid Ulster LGD),N08000921,3845,2429,63.17
Killyman,N08000922,3619,1511,41.75
Killymeal,N08000923,5002,2952,59.02
Lissan,N08000924,3595,1579,43.92
Loughry,N08000925,2955,1131,38.27
Lower Glenshane,N08000926,3155,2928,92.81
Maghera,N08000927,3469,2546,73.39
Moy,N08000928,3950,2665,67.47
Moygashel,N08000929,3606,1410,39.10
Mullaghmore,N08000930,4406,3672,83.34
Oaklands,N08000931,3415,2131,62.40
Pomeroy,N08000932,3879,3187,82.16
Stewartstown (Mid Ulster LGD),N08000933,3110,1306,41.99
Swatragh,N08000934,3458,3056,88.37
Tamlaght O'Crilly,N08000935,3647,1936,53.08
The Loup,N08000936,4261,2652,62.24
Tobermore,N08000937,3458,1387,40.11
Town Parks East,N08000938,3557,1965,55.24
Valley (Mid Ulster LGD),N08000939,3443,2331,67.70
Washing Bay,N08000940,3738,3564,95.35
"Abbey (Newry, Mourne and Down LGD)",N08001001,4081,3629,88.92
Annalong,N08001002,4348,1998,45.95
Ballybot,N08001003,5351,4727,88.34
Ballydugan,N08001004,3771,2812,74.57
Ballynahinch,N08001005,4681,1769,37.79
Ballyward,N08001006,4499,2463,54.75
Bessbrook,N08001007,5535,4589,82.91
Binnian,N08001008,4303,1286,29.89
Burren,N08001009,4317,3874,89.74
Camlough,N08001010,4144,3833,92.50
Castlewellan,N08001011,4477,3963,88.52
"Cathedral (Newry, Mourne and Down LGD)",N08001012,4217,3604,85.46
Crossgar and Killyleagh,N08001013,4404,2041,46.34
Crossmaglen,N08001014,3972,3775,95.04
Damolly,N08001015,4389,3521,80.22
Derryboy,N08001016,4045,1457,36.02
Derryleckagh,N08001017,4907,4450,90.69
Donard,N08001018,3756,2421,64.46
Drumalane,N08001019,5018,4517,90.02
Drumaness,N08001020,4142,2596,62.68
Dundrum,N08001021,4501,2559,56.85
Fathom,N08001022,4444,4171,93.86
Forkhill,N08001023,4174,3958,94.83
Hilltown,N08001024,5134,3978,77.48
Kilkeel,N08001025,3930,1616,41.12
Kilmore,N08001026,3975,927,23.32
Knocknashinna,N08001027,4678,4017,85.87
Lecale,N08001028,4387,3611,82.31
Lisnacree,N08001029,4731,3182,67.26
Mayobridge,N08001030,5314,4109,77.32
Mullaghbane,N08001031,4441,4163,93.74
Murlough,N08001032,4837,3417,70.64
Newtownhamilton,N08001033,4417,3148,71.27
Quoile,N08001034,4172,2886,69.18
Rostrevor,N08001035,4343,3835,88.30
Saintfield,N08001036,4118,1124,27.29
St. Patrick's,N08001037,4664,3992,85.59
Strangford,N08001038,4460,3520,78.92
Tollymore,N08001039,4303,3512,81.62
Warrenpoint,N08001040,4616,3832,83.02
Whitecross,N08001041,4065,2414,59.38
Ballycrochan,N08001101,3118,281,9.01
Ballygowan,N08001102,4365,439,10.06
Ballygrainey,N08001103,6303,566,8.98
Ballyholme,N08001104,3891,472,12.13
Ballymagee,N08001105,4119,456,11.07
Ballywalter,N08001106,4647,262,5.64
Bloomfield (Ards and North Down LGD),N08001107,4188,370,8.83
Broadway,N08001108,3421,419,12.25
Bryansburn,N08001109,3759,982,26.12
Carrowdore,N08001110,4260,196,4.60
Castle (Ards and North Down LGD),N08001111,4029,442,10.97
Clandeboye,N08001112,4189,435,10.38
Comber North,N08001113,3790,202,5.33
Comber South,N08001114,3786,287,7.58
Comber West,N08001115,3807,242,6.36
Conway Square,N08001116,4319,560,12.97
Cronstown,N08001117,4481,305,6.81
Cultra,N08001118,4009,851,21.23
Donaghadee,N08001119,3972,266,6.70
Glen,N08001120,4521,411,9.09
Gregstown,N08001121,3185,292,9.17
Groomsport,N08001122,3629,311,8.57
Harbour,N08001123,4752,898,18.90
Helen's Bay,N08001124,3901,522,13.38
Holywood,N08001125,4066,1116,27.45
Kilcooley,N08001126,4426,390,8.81
Killinchy,N08001127,3736,272,7.28
Kircubbin,N08001128,4396,2109,47.98
Loughries,N08001129,4170,244,5.85
Loughview,N08001130,4662,1170,25.10
Movilla,N08001131,4244,337,7.94
Portaferry,N08001132,3544,2761,77.91
Portavogie,N08001133,3865,318,8.23
Rathgael,N08001134,3684,543,14.74
Rathmore,N08001135,3699,515,13.92
Scrabo,N08001136,4257,336,7.89
Silverbirch,N08001137,3728,376,10.09
Silverstream,N08001138,3959,717,18.11
Warren,N08001139,4308,278,6.45
West Winds,N08001140,4467,316,7.07
