Geography,GeographyCode,Total,WorkFromHome,WorkFromHome_pct
BALLYNAHINCH,N11000263,2627,399,15.19
CASTLEWELLAN,N11000268,1161,160,13.78
CROSSGAR,N11000273,880,141,16.02
DARRAGH CROSS,N11000274,265,75,28.30
DOWNPATRICK,N11000276,4592,669,14.57
DRUMANESS,N11000278,571,75,13.13
DUNDRUM,N11000280,620,116,18.71
KILLOUGH,N11000283,334,48,14.37
KILLYLEAGH,N11000284,1147,170,14.82
NEWCASTLE,N11000288,3016,570,18.90
SAINTFIELD,N11000290,1693,419,24.75
STRANGFORD,N11000294,220,60,27.27
THE SPA,N11000295,254,54,21.26
ANNAGHMORE (MID ULSTER LGD),N11000297,424,57,13.44
AUGHNACLOY,N11000299,508,48,9.45
BALLYGAWLEY,N11000300,442,55,12.44
CALEDON,N11000304,224,28,12.50
CASTLECAULFIELD,N11000308,490,58,11.84
CLOGHER,N11000309,280,27,9.64
COALISLAND,N11000311,2561,283,11.05
DONAGHMORE,N11000314,536,69,12.87
DUNGANNON,N11000315,7285,802,11.01
EGLISH (MID ULSTER LGD),N11000318,245,25,10.20
FIVEMILETOWN,N11000319,601,73,12.15
KILLYMAN,N11000323,549,80,14.57
MOY,N11000324,975,130,13.33
NEWMILLS,N11000325,390,38,9.74
THE BUSH,N11000327,314,35,11.15
BALLINAMALLARD,N11000331,622,82,13.18
BELLANALECK,N11000334,301,46,15.28
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,338,36,10.65
DERRYGONNELLY,N11000342,209,25,11.96
DERRYLIN,N11000343,305,31,10.16
EDERNEY,N11000345,205,21,10.24
ENNISKILLEN,N11000346,5864,734,12.52
IRVINESTOWN,N11000349,882,116,13.15
KESH,N11000350,457,54,11.82
LISBELLAW,N11000356,474,71,14.98
LISNASKEA,N11000358,1167,146,12.51
MAGUIRESBRIDGE,N11000360,457,46,10.07
NEWTOWNBUTLER,N11000363,338,17,5.03
BALLYCARRY,N11000371,658,129,19.60
BALLYGALLEY,N11000372,271,69,25.46
BALLYSTRUDDER,N11000373,458,89,19.43
CARNLOUGH,N11000378,584,77,13.18
GLENARM,N11000385,192,42,21.88
GLYNN,N11000387,241,33,13.69
LARNE,N11000389,7746,1124,14.51
BALLYKELLY,N11000398,819,93,11.36
DUNGIVEN,N11000403,1308,195,14.91
FEENY,N11000404,316,27,8.54
GREYSTEEL,N11000408,552,74,13.41
LIMAVADY,N11000410,4314,580,13.44
AGHALEE,N11000412,451,103,22.84
ANNAHILT,N11000413,506,106,20.95
DROMARA,N11000421,495,65,13.13
DRUMBEG,N11000422,333,108,32.43
GLENAVY,N11000430,1147,229,19.97
HILLSBOROUGH AND CULCAVY,N11000434,1829,490,26.79
LISBURN CITY,N11000438,23084,4420,19.15
LOWER BALLINDERRY,N11000440,495,76,15.35
MAGHABERRY,N11000445,1580,280,17.72
METROPOLITAN LISBURN,N11000447,12769,2258,17.68
MILLTOWN,N11000448,772,125,16.19
MOIRA,N11000449,2406,584,24.27
RAVERNET,N11000452,298,60,20.13
STONEYFORD,N11000454,352,66,18.75
BELLAGHY,N11000461,564,52,9.22
CASTLEDAWSON,N11000462,984,139,14.13
CLADY (MID ULSTER LGD),N11000463,223,28,12.56
DRAPERSTOWN,N11000468,760,88,11.58
GULLADUFF,N11000472,289,44,15.22
MAGHERA (MID ULSTER LGD),N11000477,1725,220,12.75
MAGHERAFELT,N11000478,4284,591,13.80
TOBERMORE,N11000484,329,39,11.85
BALLYCASTLE,N11000488,2070,342,16.52
BUSHMILLS,N11000490,415,43,10.36
CUSHENDALL,N11000493,489,101,20.65
ANNALONG,N11000502,881,97,11.01
BALLYHOLLAND,N11000504,288,28,9.72
BALLYMARTIN,N11000506,263,34,12.93
BESSBROOK,N11000510,1012,109,10.77
CAMLOUGH,N11000511,375,50,13.33
CROSSMAGLEN,N11000513,534,54,10.11
FORKHILL,N11000519,205,23,11.22
HILLTOWN,N11000524,733,106,14.46
KILKEEL,N11000527,2636,263,9.98
MAYOBRIDGE,N11000533,470,60,12.77
MEIGH,N11000534,379,49,12.93
MULLAGHBANE,N11000535,229,32,13.97
NEWRY,N11000537,11859,1697,14.31
NEWTOWNCLOGHOGE,N11000538,185,30,16.22
NEWTOWNHAMILTON,N11000539,303,23,7.59
ROSTREVOR,N11000540,953,193,20.25
WARRENPOINT / BURREN,N11000544,3895,678,17.41
BALLYCLARE,N11000546,4868,861,17.69
BALLYNURE,N11000550,523,113,21.61
BALLYROBERT,N11000551,444,112,25.23
COGRY / KILBRIDE,N11000553,744,126,16.94
DOAGH,N11000555,675,115,17.04
METROPOLITAN NEWTOWNABBEY,N11000559,29818,5882,19.73
BANGOR,N11000564,27939,6422,22.99
CRAWFORDSBURN,N11000566,202,73,36.14
GROOMSPORT,N11000568,427,113,26.46
HELEN'S BAY,N11000569,621,220,35.43
HOLYWOOD,N11000570,4547,1390,30.57
SEAHILL,N11000573,470,171,36.38
BERAGH,N11000576,294,30,10.20
CARRICKMORE,N11000577,250,35,14.00
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,397,45,11.34
DRUMQUIN,N11000584,189,21,11.11
FINTONA,N11000589,406,55,13.55
LOUGHMACRORY,N11000599,226,30,13.27
OMAGH TOWN,N11000603,8246,1030,12.49
ARTIGARVAN,N11000616,370,36,9.73
BALLYMAGORRY,N11000617,272,39,14.34
CASTLEDERG,N11000619,1048,132,12.60
CLADY (DERRY CITY AND STRABANE LGD),N11000620,229,26,11.35
DONEMANA,N11000624,213,19,8.92
ERGANAGH,N11000627,189,15,7.94
GLEBE,N11000629,263,40,15.21
MAGHERAMASON,N11000633,254,44,17.32
NEWTOWNSTEWART,N11000634,471,61,12.95
SION MILLS,N11000636,725,99,13.66
STRABANE,N11000638,4964,786,15.83
ELSEWHERE IN NI,N11999999,211217,46200,21.87
