Geography,GeographyCode,Total,ProvidesUnpaidCare,ProvidesUnpaidCare_pct
STRATHFOYLE,N11000254,2412,281,11.65
ANNSBOROUGH,N11000258,744,71,9.54
ARDGLASS,N11000259,1626,178,10.95
BALLYNAHINCH,N11000263,5770,713,12.36
CASTLEWELLAN,N11000268,2626,305,11.61
CROSSGAR,N11000273,1867,249,13.34
DARRAGH CROSS,N11000274,490,65,13.27
DOWNPATRICK,N11000276,10808,1365,12.63
DRUMANESS,N11000278,1219,150,12.31
DUNDRUM,N11000280,1464,190,12.98
KILLOUGH,N11000283,893,103,11.53
KILLYLEAGH,N11000284,2620,343,13.09
NEWCASTLE,N11000288,7804,1085,13.90
SAINTFIELD,N11000290,3398,460,13.54
STRANGFORD,N11000294,537,63,11.73
THE SPA,N11000295,558,65,11.65
ANNAGHMORE (MID ULSTER LGD),N11000297,959,79,8.24
AUGHNACLOY,N11000299,1066,78,7.32
BALLYGAWLEY,N11000300,866,76,8.78
CALEDON,N11000304,452,47,10.40
CASTLECAULFIELD,N11000308,880,97,11.02
CLOGHER,N11000309,622,66,10.61
COALISLAND,N11000311,5860,673,11.48
DONAGHMORE,N11000314,1107,125,11.29
DUNGANNON,N11000315,15160,1416,9.34
EGLISH (MID ULSTER LGD),N11000318,480,50,10.42
FIVEMILETOWN,N11000319,1261,127,10.07
KILLYMAN,N11000323,952,84,8.82
MOY,N11000324,1755,169,9.63
NEWMILLS,N11000325,715,83,11.61
THE BUSH,N11000327,560,50,8.93
BALLINAMALLARD,N11000331,1279,150,11.73
BELLANALECK,N11000334,652,74,11.35
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,923,104,11.27
DERRYGONNELLY,N11000342,556,56,10.07
DERRYLIN,N11000343,600,38,6.33
EDERNEY,N11000345,519,84,16.18
ENNISKILLEN,N11000346,13320,1467,11.01
IRVINESTOWN,N11000349,2147,227,10.57
KESH,N11000350,1035,115,11.11
LISBELLAW,N11000356,1040,130,12.50
LISNASKEA,N11000358,2781,260,9.35
MAGUIRESBRIDGE,N11000360,954,110,11.53
NEWTOWNBUTLER,N11000363,888,104,11.71
BALLYCARRY,N11000371,1394,195,13.99
BALLYGALLEY,N11000372,726,116,15.98
BALLYSTRUDDER,N11000373,926,118,12.74
CARNLOUGH,N11000378,1379,178,12.91
GLENARM,N11000385,487,68,13.96
GLYNN,N11000387,560,92,16.43
LARNE,N11000389,17870,2276,12.74
BALLYKELLY,N11000398,1912,211,11.04
DUNGIVEN,N11000403,3090,347,11.23
FEENY,N11000404,708,78,11.02
GREYSTEEL,N11000408,1317,168,12.76
LIMAVADY,N11000410,11146,1360,12.20
AGHALEE,N11000412,886,124,14.00
ANNAHILT,N11000413,984,118,11.99
DROMARA,N11000421,1018,129,12.67
DRUMBEG,N11000422,742,97,13.07
GLENAVY,N11000430,2220,294,13.24
HILLSBOROUGH AND CULCAVY,N11000434,3959,513,12.96
LISBURN CITY,N11000438,48117,5805,12.06
LOWER BALLINDERRY,N11000440,867,86,9.92
MAGHABERRY,N11000445,2737,320,11.69
METROPOLITAN LISBURN,N11000447,30341,4128,13.61
MILLTOWN,N11000448,1515,212,13.99
MOIRA,N11000449,4600,578,12.57
RAVERNET,N11000452,536,84,15.67
STONEYFORD,N11000454,614,92,14.98
BELLAGHY,N11000461,1137,126,11.08
CASTLEDAWSON,N11000462,2140,264,12.34
CLADY (MID ULSTER LGD),N11000463,482,48,9.96
DRAPERSTOWN,N11000468,1740,202,11.61
GULLADUFF,N11000472,618,85,13.75
MAGHERA (MID ULSTER LGD),N11000477,3887,427,10.99
MAGHERAFELT,N11000478,9027,978,10.83
TOBERMORE,N11000484,687,84,12.23
BALLYCASTLE,N11000488,5274,681,12.91
BUSHMILLS,N11000490,1162,133,11.45
CUSHENDALL,N11000493,1135,155,13.66
ANNALONG,N11000502,1886,281,14.90
BALLYHOLLAND,N11000504,593,56,9.44
BALLYMARTIN,N11000506,527,81,15.37
BESSBROOK,N11000510,2683,313,11.67
CAMLOUGH,N11000511,958,136,14.20
CROSSMAGLEN,N11000513,1540,195,12.66
FORKHILL,N11000519,518,80,15.44
HILLTOWN,N11000524,1622,196,12.08
KILKEEL,N11000527,6136,734,11.96
MAYOBRIDGE,N11000533,1059,129,12.18
MEIGH,N11000534,854,81,9.48
MULLAGHBANE,N11000535,585,58,9.91
NEWRY,N11000537,26660,3335,12.51
NEWTOWNCLOGHOGE,N11000538,470,60,12.77
NEWTOWNHAMILTON,N11000539,774,95,12.27
ROSTREVOR,N11000540,2393,282,11.78
WARRENPOINT / BURREN,N11000544,8552,1007,11.78
BALLYCLARE,N11000546,10260,1290,12.57
BALLYNURE,N11000550,990,136,13.74
BALLYROBERT,N11000551,810,106,13.09
COGRY / KILBRIDE,N11000553,1252,161,12.86
DOAGH,N11000555,1331,174,13.07
METROPOLITAN NEWTOWNABBEY,N11000559,63733,8603,13.50
BANGOR,N11000564,61334,8193,13.36
CRAWFORDSBURN,N11000566,473,54,11.42
GROOMSPORT,N11000568,1190,145,12.18
HELEN'S BAY,N11000569,1483,178,12.00
HOLYWOOD,N11000570,10231,1244,12.16
SEAHILL,N11000573,999,144,14.41
BERAGH,N11000576,644,68,10.56
CARRICKMORE,N11000577,578,61,10.55
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1029,111,10.79
DRUMQUIN,N11000584,500,49,9.80
FINTONA,N11000589,1134,111,9.79
LOUGHMACRORY,N11000599,491,34,6.92
OMAGH TOWN,N11000603,19230,2162,11.24
ARTIGARVAN,N11000616,755,80,10.60
BALLYMAGORRY,N11000617,613,84,13.70
CASTLEDERG,N11000619,2797,306,10.94
CLADY (DERRY CITY AND STRABANE LGD),N11000620,566,59,10.42
DONEMANA,N11000624,587,85,14.48
ERGANAGH,N11000627,455,77,16.92
GLEBE,N11000629,720,92,12.78
MAGHERAMASON,N11000633,502,51,10.16
NEWTOWNSTEWART,N11000634,1325,181,13.66
SION MILLS,N11000636,1852,233,12.58
STRABANE,N11000638,12701,1594,12.55
ELSEWHERE IN NI,N11999999,433595,54699,12.62
