Geography,GeographyCode,Total,SomeIrish,SomeIrish_pct
KINALLEN,N11000141,1086,24,2.21
LAWRENCETOWN,N11000142,947,167,17.63
LOUGHBRICKLAND,N11000145,756,90,11.90
RATHFRILAND,N11000147,2406,246,10.22
BELFAST CITY,N11000151,283630,43798,15.44
CARRICKFERGUS,N11000153,27350,488,1.78
GREENISLAND,N11000154,5746,172,2.99
WHITEHEAD,N11000157,3467,124,3.58
CARRYDUFF,N11000159,6941,975,14.05
METROPOLITAN CASTLEREAGH,N11000162,56608,3839,6.78
MONEYREAGH,N11000163,1480,36,2.43
ARTICLAVE,N11000165,884,24,2.71
CASTLEROCK,N11000170,1138,37,3.25
CASTLEROE,N11000171,647,20,3.09
COLERAINE,N11000173,23721,1087,4.58
GARVAGH,N11000176,1221,78,6.39
KILREA,N11000179,1601,291,18.18
MACOSQUIN,N11000180,587,11,1.87
PORTBALLINTRAE,N11000182,492,9,1.83
PORTRUSH,N11000183,5981,352,5.89
PORTSTEWART,N11000184,7653,868,11.34
ARDBOE,N11000186,734,132,17.98
BALLYRONAN,N11000190,575,167,29.04
COAGH,N11000192,734,36,4.90
COOKSTOWN,N11000193,12062,1825,15.13
MONEYMORE,N11000203,2014,217,10.77
MOORTOWN,N11000204,522,137,26.25
POMEROY,N11000206,760,211,27.76
STEWARTSTOWN,N11000208,619,146,23.59
AGHAGALLON,N11000212,1113,252,22.64
BLEARY,N11000216,1073,121,11.28
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,69488,8888,12.79
DERRYMACASH,N11000220,687,211,30.71
DOLLINGSTOWN,N11000223,2171,35,1.61
DONAGHCLONEY,N11000224,1887,34,1.80
DRUMNACANVY,N11000225,1086,32,2.95
MAGHERALIN,N11000228,1905,104,5.46
SCOTCH STREET,N11000232,638,35,5.49
THE BIRCHES,N11000234,501,7,1.40
WARINGSTOWN,N11000235,3700,81,2.19
CLAUDY,N11000240,1293,186,14.39
CULMORE,N11000242,3527,919,26.06
DERRY CITY,N11000243,82148,14002,17.04
EGLINTON,N11000244,3457,333,9.63
LETTERSHENDONEY,N11000248,545,80,14.68
NEWBUILDINGS,N11000250,2721,120,4.41
STRATHFOYLE,N11000254,2504,306,12.22
ANNSBOROUGH,N11000258,762,173,22.70
ARDGLASS,N11000259,1684,219,13.00
BALLYNAHINCH,N11000263,5939,333,5.61
CASTLEWELLAN,N11000268,2718,667,24.54
CROSSGAR,N11000273,1922,230,11.97
DARRAGH CROSS,N11000274,509,87,17.09
DOWNPATRICK,N11000276,11109,1605,14.45
DRUMANESS,N11000278,1270,145,11.42
DUNDRUM,N11000280,1502,214,14.25
KILLOUGH,N11000283,924,168,18.18
KILLYLEAGH,N11000284,2686,126,4.69
NEWCASTLE,N11000288,8005,1258,15.72
SAINTFIELD,N11000290,3492,254,7.27
STRANGFORD,N11000294,549,93,16.94
THE SPA,N11000295,574,16,2.79
ANNAGHMORE (MID ULSTER LGD),N11000297,988,357,36.13
AUGHNACLOY,N11000299,1094,169,15.45
BALLYGAWLEY,N11000300,904,229,25.33
CALEDON,N11000304,478,75,15.69
CASTLECAULFIELD,N11000308,923,122,13.22
CLOGHER,N11000309,641,116,18.10
COALISLAND,N11000311,6074,1764,29.04
DONAGHMORE,N11000314,1134,313,27.60
DUNGANNON,N11000315,15601,2399,15.38
EGLISH (MID ULSTER LGD),N11000318,496,185,37.30
FIVEMILETOWN,N11000319,1290,76,5.89
KILLYMAN,N11000323,1000,44,4.40
MOY,N11000324,1823,432,23.70
NEWMILLS,N11000325,756,41,5.42
THE BUSH,N11000327,582,26,4.47
BALLINAMALLARD,N11000331,1318,40,3.03
BELLANALECK,N11000334,670,85,12.69
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,945,204,21.59
DERRYGONNELLY,N11000342,562,111,19.75
DERRYLIN,N11000343,620,130,20.97
EDERNEY,N11000345,532,113,21.24
ENNISKILLEN,N11000346,13638,1898,13.92
IRVINESTOWN,N11000349,2221,294,13.24
KESH,N11000350,1057,44,4.16
LISBELLAW,N11000356,1064,34,3.20
LISNASKEA,N11000358,2865,521,18.18
MAGUIRESBRIDGE,N11000360,980,143,14.59
NEWTOWNBUTLER,N11000363,913,194,21.25
BALLYCARRY,N11000371,1437,18,1.25
BALLYGALLEY,N11000372,737,47,6.38
BALLYSTRUDDER,N11000373,953,21,2.20
CARNLOUGH,N11000378,1420,256,18.03
GLENARM,N11000385,490,43,8.78
GLYNN,N11000387,571,11,1.93
LARNE,N11000389,18256,725,3.97
BALLYKELLY,N11000398,1967,155,7.88
DUNGIVEN,N11000403,3200,940,29.38
FEENY,N11000404,733,135,18.42
GREYSTEEL,N11000408,1353,231,17.07
LIMAVADY,N11000410,11391,956,8.39
AGHALEE,N11000412,902,26,2.88
ANNAHILT,N11000413,1007,35,3.48
DROMARA,N11000421,1063,59,5.55
DRUMBEG,N11000422,761,70,9.20
GLENAVY,N11000430,2301,639,27.77
HILLSBOROUGH AND CULCAVY,N11000434,4047,173,4.27
LISBURN CITY,N11000438,49458,2590,5.24
LOWER BALLINDERRY,N11000440,897,48,5.35
MAGHABERRY,N11000445,2838,52,1.83
METROPOLITAN LISBURN,N11000447,31320,7034,22.46
MILLTOWN,N11000448,1553,207,13.33
MOIRA,N11000449,4713,222,4.71
RAVERNET,N11000452,548,11,2.01
STONEYFORD,N11000454,629,57,9.06
BELLAGHY,N11000461,1181,300,25.40
CASTLEDAWSON,N11000462,2215,258,11.65
CLADY (MID ULSTER LGD),N11000463,498,125,25.10
DRAPERSTOWN,N11000468,1788,472,26.40
GULLADUFF,N11000472,640,178,27.81
MAGHERA (MID ULSTER LGD),N11000477,4029,1028,25.52
MAGHERAFELT,N11000478,9288,1485,15.99
TOBERMORE,N11000484,703,8,1.14
BALLYCASTLE,N11000488,5426,1240,22.85
BUSHMILLS,N11000490,1190,16,1.34
CUSHENDALL,N11000493,1152,299,25.95
ANNALONG,N11000502,1941,161,8.29
BALLYHOLLAND,N11000504,617,126,20.42
BALLYMARTIN,N11000506,551,107,19.42
BESSBROOK,N11000510,2764,500,18.09
CAMLOUGH,N11000511,987,300,30.40
CROSSMAGLEN,N11000513,1608,464,28.86
FORKHILL,N11000519,532,146,27.44
HILLTOWN,N11000524,1677,445,26.54
KILKEEL,N11000527,6328,677,10.70
MAYOBRIDGE,N11000533,1095,229,20.91
MEIGH,N11000534,886,201,22.69
MULLAGHBANE,N11000535,605,174,28.76
NEWRY,N11000537,27403,5850,21.35
NEWTOWNCLOGHOGE,N11000538,491,111,22.61
NEWTOWNHAMILTON,N11000539,805,153,19.01
ROSTREVOR,N11000540,2444,618,25.29
WARRENPOINT / BURREN,N11000544,8776,1992,22.70
BALLYCLARE,N11000546,10479,185,1.77
BALLYNURE,N11000550,1007,7,0.70
BALLYROBERT,N11000551,833,12,1.44
COGRY / KILBRIDE,N11000553,1283,19,1.48
DOAGH,N11000555,1360,14,1.03
METROPOLITAN NEWTOWNABBEY,N11000559,65356,5116,7.83
BANGOR,N11000564,62762,1829,2.91
CRAWFORDSBURN,N11000566,483,29,6.00
GROOMSPORT,N11000568,1206,23,1.91
HELEN'S BAY,N11000569,1509,91,6.03
HOLYWOOD,N11000570,10471,688,6.57
SEAHILL,N11000573,1025,68,6.63
BERAGH,N11000576,659,126,19.12
CARRICKMORE,N11000577,602,258,42.86
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1053,236,22.41
DRUMQUIN,N11000584,514,98,19.07
FINTONA,N11000589,1173,169,14.41
LOUGHMACRORY,N11000599,531,194,36.53
OMAGH TOWN,N11000603,19754,3362,17.02
ARTIGARVAN,N11000616,778,30,3.86
BALLYMAGORRY,N11000617,626,52,8.31
CASTLEDERG,N11000619,2872,398,13.86
CLADY (DERRY CITY AND STRABANE LGD),N11000620,584,137,23.46
DONEMANA,N11000624,610,21,3.44
ERGANAGH,N11000627,480,65,13.54
GLEBE,N11000629,737,123,16.69
MAGHERAMASON,N11000633,517,12,2.32
NEWTOWNSTEWART,N11000634,1364,175,12.83
SION MILLS,N11000636,1905,213,11.18
STRABANE,N11000638,13015,2644,20.32
ELSEWHERE IN NI,N11999999,445103,67475,15.16
