Geography,GeographyCode,Total,PrivateRented,PrivateRented_pct
Beechill,N08000706,1245,123,9.88
Blaris,N08000707,1578,294,18.63
Cairnshill,N08000708,1361,119,8.74
Carrowreagh,N08000709,2404,173,7.20
Carryduff East,N08000710,1448,134,9.25
Carryduff West,N08000711,1339,170,12.70
Derryaghy,N08000712,1992,320,16.06
Dromara,N08000713,1296,151,11.65
Drumbo,N08000714,1188,76,6.40
Dundonald,N08000715,1375,172,12.51
Enler,N08000716,1464,170,11.61
Galwally,N08000717,1314,150,11.42
Glenavy,N08000718,1391,141,10.14
Graham's Bridge,N08000719,1491,244,16.36
Harmony Hill,N08000720,1288,148,11.49
Hilden,N08000721,1958,402,20.53
Hillhall,N08000722,1676,182,10.86
Hillsborough,N08000723,1471,169,11.49
Knockbracken,N08000724,1334,99,7.42
Knockmore,N08000725,1827,289,15.82
Lagan,N08000726,1359,160,11.77
Lagan Valley,N08000727,1495,219,14.65
Lambeg,N08000728,1799,233,12.95
Lisnagarvey,N08000729,1321,155,11.73
Maghaberry,N08000730,1546,93,6.02
Magheralave,N08000731,1680,155,9.23
Maze,N08000732,1277,133,10.42
Moira,N08000733,1540,235,15.26
Moneyreagh,N08000734,1219,69,5.66
Newtownbreda,N08000735,1240,166,13.39
Old Warren,N08000736,1752,203,11.59
Ravernet,N08000737,1162,64,5.51
Stonyford,N08000738,1112,74,6.65
Wallace Park,N08000739,1377,195,14.16
White Mountain,N08000740,2346,230,9.80
Academy,N08000801,1081,83,7.68
Ahoghill,N08000802,1480,199,13.45
Ardeevin,N08000803,1498,287,19.16
Ballee and Harryville,N08000804,1658,294,17.73
Ballycarry and Glynn,N08000805,1523,213,13.99
Ballykeel,N08000806,1374,185,13.46
Boneybefore,N08000807,1236,93,7.52
Braidwater,N08000808,1324,269,20.32
Broughshane,N08000809,1605,237,14.77
Burleigh Hill,N08000810,1117,66,5.91
Cairncastle,N08000811,1372,121,8.82
Carnlough and Glenarm,N08000812,1276,229,17.95
Castle (Mid and East Antrim LGD),N08000813,2115,590,27.90
Castle Demesne,N08000814,1929,728,37.74
Craigyhill,N08000815,1819,388,21.33
Cullybackey,N08000816,1295,181,13.98
Curran and Inver,N08000817,1653,463,28.01
Fair Green,N08000818,1769,488,27.59
Galgorm,N08000819,1330,142,10.68
Gardenmore,N08000820,1593,320,20.09
Glenravel,N08000821,1278,170,13.30
Glenwhirry,N08000822,1115,84,7.53
Gortalee,N08000823,1664,244,14.66
Grange,N08000824,1249,115,9.21
Greenisland,N08000825,1430,155,10.84
Islandmagee,N08000826,1314,147,11.19
Kells,N08000827,1373,170,12.38
Kilroot,N08000828,1588,159,10.01
Kilwaughter,N08000829,1840,269,14.62
Kirkinriola,N08000830,1231,159,12.92
Love Lane,N08000831,1417,207,14.61
Maine,N08000832,1109,83,7.48
Park (Mid and East Antrim LGD),N08000833,1184,187,15.79
Portglenone,N08000834,1277,207,16.21
Slemish,N08000835,1152,124,10.76
Sunnylands,N08000836,1788,399,22.32
The Maidens,N08000837,1616,395,24.44
Victoria (Mid and East Antrim LGD),N08000838,1707,147,8.61
Whitehead South,N08000839,1550,285,18.39
Woodburn,N08000840,1360,109,8.01
Ardboe,N08000901,1268,161,12.70
Augher and Clogher,N08000902,1234,186,15.07
Aughnacloy,N08000903,1292,188,14.55
Ballygawley,N08000904,1370,228,16.64
Ballymaguigan,N08000905,1381,195,14.12
Ballysaggart,N08000906,1811,566,31.25
Bellaghy,N08000907,1285,175,13.62
Caledon,N08000908,1388,222,15.99
Castlecaulfield,N08000909,1318,169,12.82
Castledawson,N08000910,1401,241,17.20
Coagh,N08000911,1179,147,12.47
Coalisland North,N08000912,1391,274,19.70
Coalisland South,N08000913,1831,465,25.40
Cookstown East,N08000914,1550,497,32.06
Cookstown South,N08000915,1340,354,26.42
Cookstown West,N08000916,1508,386,25.60
Coolshinny,N08000917,1364,167,12.24
Donaghmore,N08000918,1303,209,16.04
Draperstown,N08000919,1175,231,19.66
Fivemiletown,N08000920,1259,232,18.43
Glebe (Mid Ulster LGD),N08000921,1579,459,29.07
Killyman,N08000922,1310,155,11.83
Killymeal,N08000923,1773,439,24.76
Lissan,N08000924,1269,163,12.84
Loughry,N08000925,1154,233,20.19
Lower Glenshane,N08000926,1014,74,7.30
Maghera,N08000927,1405,345,24.56
Moy,N08000928,1451,346,23.85
Moygashel,N08000929,1449,398,27.47
Mullaghmore,N08000930,1568,402,25.64
Oaklands,N08000931,1099,100,9.10
Pomeroy,N08000932,1285,246,19.14
Stewartstown (Mid Ulster LGD),N08000933,1108,169,15.25
Swatragh,N08000934,1090,109,10.00
Tamlaght O'Crilly,N08000935,1220,150,12.30
The Loup,N08000936,1476,284,19.24
Tobermore,N08000937,1249,133,10.65
Town Parks East,N08000938,1442,396,27.46
Valley (Mid Ulster LGD),N08000939,1216,159,13.08
Washing Bay,N08000940,1209,149,12.32
"Abbey (Newry, Mourne and Down LGD)",N08001001,1677,481,28.68
Annalong,N08001002,1620,273,16.85
Ballybot,N08001003,2307,559,24.23
Ballydugan,N08001004,1310,162,12.37
Ballynahinch,N08001005,2096,438,20.90
Ballyward,N08001006,1562,129,8.26
Bessbrook,N08001007,2157,420,19.47
Binnian,N08001008,1580,295,18.67
Burren,N08001009,1468,190,12.94
Camlough,N08001010,1413,275,19.46
Castlewellan,N08001011,1605,360,22.43
"Cathedral (Newry, Mourne and Down LGD)",N08001012,1738,435,25.03
Crossgar and Killyleagh,N08001013,1876,406,21.64
Crossmaglen,N08001014,1413,225,15.92
Damolly,N08001015,1692,375,22.16
Derryboy,N08001016,1563,183,11.71
Derryleckagh,N08001017,1581,158,9.99
Donard,N08001018,1663,353,21.23
Drumalane,N08001019,1912,473,24.74
Drumaness,N08001020,1519,198,13.03
Dundrum,N08001021,1788,339,18.96
Fathom,N08001022,1519,222,14.61
Forkhill,N08001023,1450,241,16.62
Hilltown,N08001024,1716,234,13.64
Kilkeel,N08001025,1610,453,28.14
Kilmore,N08001026,1425,140,9.82
Knocknashinna,N08001027,1829,340,18.59
Lecale,N08001028,1725,335,19.42
Lisnacree,N08001029,1629,297,18.23
Mayobridge,N08001030,1723,219,12.71
Mullaghbane,N08001031,1508,218,14.46
Murlough,N08001032,1989,376,18.90
Newtownhamilton,N08001033,1447,229,15.83
Quoile,N08001034,1557,267,17.15
Rostrevor,N08001035,1743,333,19.10
Saintfield,N08001036,1710,240,14.04
St. Patrick's,N08001037,1797,396,22.04
Strangford,N08001038,1682,242,14.39
Tollymore,N08001039,1457,169,11.60
Warrenpoint,N08001040,1956,494,25.26
Whitecross,N08001041,1391,163,11.72
Ballycrochan,N08001101,1288,54,4.19
Ballygowan,N08001102,1702,121,7.11
Ballygrainey,N08001103,2681,425,15.85
Ballyholme,N08001104,1733,200,11.54
Ballymagee,N08001105,1485,110,7.41
Ballywalter,N08001106,2039,298,14.62
Bloomfield (Ards and North Down LGD),N08001107,1770,282,15.93
Broadway,N08001108,1535,163,10.62
Bryansburn,N08001109,1633,214,13.10
Carrowdore,N08001110,1765,228,12.92
Castle (Ards and North Down LGD),N08001111,1937,285,14.71
Clandeboye,N08001112,1577,151,9.58
Comber North,N08001113,1624,114,7.02
Comber South,N08001114,1655,166,10.03
Comber West,N08001115,1742,305,17.51
Conway Square,N08001116,2328,698,29.98
Cronstown,N08001117,1676,110,6.56
Cultra,N08001118,1546,120,7.76
Donaghadee,N08001119,1794,237,13.21
Glen,N08001120,1894,125,6.60
Gregstown,N08001121,1408,131,9.30
Groomsport,N08001122,1686,144,8.54
Harbour,N08001123,2266,737,32.52
Helen's Bay,N08001124,1667,108,6.48
Holywood,N08001125,1805,206,11.41
Kilcooley,N08001126,1950,307,15.74
Killinchy,N08001127,1502,119,7.92
Kircubbin,N08001128,1792,285,15.90
Loughries,N08001129,1677,139,8.29
Loughview,N08001130,2045,409,20.00
Movilla,N08001131,1746,214,12.26
Portaferry,N08001132,1462,251,17.17
Portavogie,N08001133,1537,240,15.61
Rathgael,N08001134,1676,323,19.27
Rathmore,N08001135,1683,190,11.29
Scrabo,N08001136,1864,185,9.92
Silverbirch,N08001137,1525,161,10.56
Silverstream,N08001138,1838,448,24.37
Warren,N08001139,1930,207,10.73
West Winds,N08001140,1973,236,11.96
