Geography,GeographyCode,Total,CatholicBackground,CatholicBackground_pct
BELLANALECK,N11000334,714,395,55.32
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,968,843,87.09
DERRYGONNELLY,N11000342,580,465,80.17
DERRYLIN,N11000343,656,573,87.35
EDERNEY,N11000345,552,458,82.97
ENNISKILLEN,N11000346,14086,8666,61.52
IRVINESTOWN,N11000349,2320,1683,72.54
KESH,N11000350,1098,262,23.86
LISBELLAW,N11000356,1089,113,10.38
LISNASKEA,N11000358,3020,2298,76.09
MAGUIRESBRIDGE,N11000360,1033,496,48.02
NEWTOWNBUTLER,N11000363,972,868,89.30
BALLYCARRY,N11000371,1484,70,4.72
BALLYGALLEY,N11000372,746,212,28.42
BALLYSTRUDDER,N11000373,991,61,6.16
CARNLOUGH,N11000378,1457,1237,84.90
GLENARM,N11000385,509,182,35.76
GLYNN,N11000387,583,20,3.43
LARNE,N11000389,18855,4505,23.89
BALLYKELLY,N11000398,2029,1230,60.62
DUNGIVEN,N11000403,3346,3156,94.32
FEENY,N11000404,780,706,90.51
GREYSTEEL,N11000408,1418,1334,94.08
LIMAVADY,N11000410,11729,5354,45.65
AGHALEE,N11000412,926,167,18.03
ANNAHILT,N11000413,1032,100,9.69
DROMARA,N11000421,1118,221,19.77
DRUMBEG,N11000422,776,242,31.19
GLENAVY,N11000430,2399,2133,88.91
HILLSBOROUGH AND CULCAVY,N11000434,4170,552,13.24
LISBURN CITY,N11000438,51447,13808,26.84
LOWER BALLINDERRY,N11000440,935,250,26.74
MAGHABERRY,N11000445,2966,259,8.73
METROPOLITAN LISBURN,N11000447,32643,25204,77.21
MILLTOWN,N11000448,1633,732,44.83
MOIRA,N11000449,4892,1045,21.36
RAVERNET,N11000452,566,68,12.01
STONEYFORD,N11000454,658,242,36.78
BELLAGHY,N11000461,1257,1121,89.18
CASTLEDAWSON,N11000462,2348,1135,48.34
CLADY (MID ULSTER LGD),N11000463,519,502,96.72
DRAPERSTOWN,N11000468,1853,1748,94.33
GULLADUFF,N11000472,675,643,95.26
MAGHERA (MID ULSTER LGD),N11000477,4235,3305,78.04
MAGHERAFELT,N11000478,9648,5826,60.39
TOBERMORE,N11000484,720,21,2.92
BALLYCASTLE,N11000488,5629,4248,75.47
BUSHMILLS,N11000490,1234,33,2.67
CUSHENDALL,N11000493,1184,1118,94.43
ANNALONG,N11000502,2038,623,30.57
BALLYHOLLAND,N11000504,642,617,96.11
BALLYMARTIN,N11000506,576,355,61.63
BESSBROOK,N11000510,2892,2314,80.01
CAMLOUGH,N11000511,1044,1007,96.46
CROSSMAGLEN,N11000513,1688,1572,93.13
FORKHILL,N11000519,550,525,95.45
HILLTOWN,N11000524,1760,1635,92.90
KILKEEL,N11000527,6633,2693,40.60
MAYOBRIDGE,N11000533,1141,1042,91.32
MEIGH,N11000534,952,916,96.22
MULLAGHBANE,N11000535,642,590,91.90
NEWRY,N11000537,28530,24685,86.52
NEWTOWNCLOGHOGE,N11000538,510,485,95.10
NEWTOWNHAMILTON,N11000539,846,509,60.17
ROSTREVOR,N11000540,2500,2189,87.56
WARRENPOINT / BURREN,N11000544,9091,7842,86.26
BALLYCLARE,N11000546,10849,581,5.36
BALLYNURE,N11000550,1043,30,2.88
BALLYROBERT,N11000551,874,54,6.18
COGRY / KILBRIDE,N11000553,1339,43,3.21
DOAGH,N11000555,1403,59,4.21
METROPOLITAN NEWTOWNABBEY,N11000559,67599,20801,30.77
BANGOR,N11000564,64596,8182,12.67
CRAWFORDSBURN,N11000566,494,78,15.79
GROOMSPORT,N11000568,1224,101,8.25
HELEN'S BAY,N11000569,1547,234,15.13
HOLYWOOD,N11000570,10757,2772,25.77
SEAHILL,N11000573,1055,225,21.33
BERAGH,N11000576,699,448,64.09
CARRICKMORE,N11000577,626,595,95.05
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1102,935,84.85
DRUMQUIN,N11000584,531,376,70.81
FINTONA,N11000589,1213,906,74.69
LOUGHMACRORY,N11000599,575,541,94.09
OMAGH TOWN,N11000603,20458,14500,70.88
ARTIGARVAN,N11000616,801,116,14.48
BALLYMAGORRY,N11000617,648,348,53.70
CASTLEDERG,N11000619,2980,1706,57.25
CLADY (DERRY CITY AND STRABANE LGD),N11000620,622,603,96.95
DONEMANA,N11000624,638,94,14.73
ERGANAGH,N11000627,513,239,46.59
GLEBE,N11000629,761,710,93.30
MAGHERAMASON,N11000633,549,36,6.56
NEWTOWNSTEWART,N11000634,1414,765,54.10
SION MILLS,N11000636,1974,1350,68.39
STRABANE,N11000638,13507,12421,91.96
ELSEWHERE IN NI,N11999999,460593,228380,49.58
