Geography,GeographyCode,Total,Female,Female_pct
METROPOLITAN LISBURN,N11000447,32643,17061,52.27
MILLTOWN,N11000448,1633,821,50.28
MOIRA,N11000449,4891,2523,51.58
RAVERNET,N11000452,563,276,49.02
STONEYFORD,N11000454,658,342,51.98
BELLAGHY,N11000461,1257,655,52.11
CASTLEDAWSON,N11000462,2348,1201,51.15
CLADY (MID ULSTER LGD),N11000463,519,264,50.87
DRAPERSTOWN,N11000468,1853,910,49.11
GULLADUFF,N11000472,676,343,50.74
MAGHERA (MID ULSTER LGD),N11000477,4235,2167,51.17
MAGHERAFELT,N11000478,9648,5019,52.02
TOBERMORE,N11000484,718,377,52.51
BALLYCASTLE,N11000488,5628,2890,51.35
BUSHMILLS,N11000490,1234,656,53.16
CUSHENDALL,N11000493,1184,588,49.66
ANNALONG,N11000502,2038,1024,50.25
BALLYHOLLAND,N11000504,642,344,53.58
BALLYMARTIN,N11000506,577,286,49.57
BESSBROOK,N11000510,2892,1439,49.76
CAMLOUGH,N11000511,1044,547,52.39
CROSSMAGLEN,N11000513,1688,862,51.07
FORKHILL,N11000519,550,293,53.27
HILLTOWN,N11000524,1760,928,52.73
KILKEEL,N11000527,6633,3422,51.59
MAYOBRIDGE,N11000533,1140,571,50.09
MEIGH,N11000534,951,499,52.47
MULLAGHBANE,N11000535,641,334,52.11
NEWRY,N11000537,28530,14514,50.87
NEWTOWNCLOGHOGE,N11000538,509,262,51.47
NEWTOWNHAMILTON,N11000539,846,436,51.54
ROSTREVOR,N11000540,2502,1315,52.56
WARRENPOINT / BURREN,N11000544,9091,4593,50.52
BALLYCLARE,N11000546,10850,5627,51.86
BALLYNURE,N11000550,1043,537,51.49
BALLYROBERT,N11000551,874,434,49.66
COGRY / KILBRIDE,N11000553,1339,666,49.74
DOAGH,N11000555,1403,732,52.17
METROPOLITAN NEWTOWNABBEY,N11000559,67599,34773,51.44
BANGOR,N11000564,64596,33193,51.39
CRAWFORDSBURN,N11000566,493,263,53.35
GROOMSPORT,N11000568,1224,657,53.68
HELEN'S BAY,N11000569,1546,801,51.81
HOLYWOOD,N11000570,10757,5563,51.72
SEAHILL,N11000573,1055,536,50.81
BERAGH,N11000576,698,375,53.72
CARRICKMORE,N11000577,626,315,50.32
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1102,556,50.45
DRUMQUIN,N11000584,532,278,52.26
FINTONA,N11000589,1212,623,51.40
LOUGHMACRORY,N11000599,575,303,52.70
OMAGH TOWN,N11000603,20458,10510,51.37
ARTIGARVAN,N11000616,801,418,52.18
BALLYMAGORRY,N11000617,648,343,52.93
CASTLEDERG,N11000619,2980,1572,52.75
CLADY (DERRY CITY AND STRABANE LGD),N11000620,623,342,54.90
DONEMANA,N11000624,641,319,49.77
ERGANAGH,N11000627,512,266,51.95
GLEBE,N11000629,761,392,51.51
MAGHERAMASON,N11000633,549,258,46.99
NEWTOWNSTEWART,N11000634,1414,693,49.01
SION MILLS,N11000636,1974,1023,51.82
STRABANE,N11000638,13507,7001,51.83
ELSEWHERE IN NI,N11999999,460593,226003,49.07
