Geography,GeographyCode,Total,Unemployed,Unemployed_pct
Moneyreagh,N08000734,2543,28,1.10
Newtownbreda,N08000735,2296,43,1.87
Old Warren,N08000736,3133,102,3.26
Ravernet,N08000737,2503,40,1.60
Stonyford,N08000738,2506,36,1.44
Wallace Park,N08000739,3204,39,1.22
White Mountain,N08000740,4665,75,1.61
Academy,N08000801,2242,30,1.34
Ahoghill,N08000802,2906,47,1.62
Ardeevin,N08000803,2935,45,1.53
Ballee and Harryville,N08000804,2876,80,2.78
Ballycarry and Glynn,N08000805,2988,43,1.44
Ballykeel,N08000806,2404,90,3.74
Boneybefore,N08000807,2464,36,1.46
Braidwater,N08000808,2631,61,2.32
Broughshane,N08000809,3077,52,1.69
Burleigh Hill,N08000810,2291,35,1.53
Cairncastle,N08000811,2757,63,2.29
Carnlough and Glenarm,N08000812,2557,56,2.19
Castle (Mid and East Antrim LGD),N08000813,3342,126,3.77
Castle Demesne,N08000814,3584,112,3.12
Craigyhill,N08000815,3091,93,3.01
Cullybackey,N08000816,2377,59,2.48
Curran and Inver,N08000817,2939,97,3.30
Fair Green,N08000818,3288,78,2.37
Galgorm,N08000819,2664,44,1.65
Gardenmore,N08000820,2775,84,3.03
Glenravel,N08000821,2750,54,1.96
Glenwhirry,N08000822,2555,28,1.10
Gortalee,N08000823,2947,74,2.51
Grange,N08000824,2852,47,1.65
Greenisland,N08000825,2862,43,1.50
Islandmagee,N08000826,2551,59,2.31
Kells,N08000827,2771,49,1.77
Kilroot,N08000828,3377,76,2.25
Kilwaughter,N08000829,3762,64,1.70
Kirkinriola,N08000830,2568,36,1.40
Love Lane,N08000831,2597,45,1.73
Maine,N08000832,2416,31,1.28
Park (Mid and East Antrim LGD),N08000833,2454,42,1.71
Portglenone,N08000834,2637,41,1.55
Slemish,N08000835,2577,41,1.59
Sunnylands,N08000836,3143,101,3.21
The Maidens,N08000837,2836,103,3.63
Victoria (Mid and East Antrim LGD),N08000838,3514,82,2.33
Whitehead South,N08000839,2828,63,2.23
Woodburn,N08000840,2894,53,1.83
Ardboe,N08000901,2885,42,1.46
Augher and Clogher,N08000902,2680,36,1.34
Aughnacloy,N08000903,2807,50,1.78
Ballygawley,N08000904,2997,55,1.84
Ballymaguigan,N08000905,3146,41,1.30
Ballysaggart,N08000906,3888,102,2.62
Bellaghy,N08000907,2886,53,1.84
Caledon,N08000908,3015,45,1.49
Castlecaulfield,N08000909,2893,24,0.83
Castledawson,N08000910,2957,44,1.49
Coagh,N08000911,2540,43,1.69
Coalisland North,N08000912,2859,50,1.75
Coalisland South,N08000913,3666,98,2.67
Cookstown East,N08000914,3064,62,2.02
Cookstown South,N08000915,2764,57,2.06
Cookstown West,N08000916,2865,71,2.48
Coolshinny,N08000917,3151,64,2.03
Donaghmore,N08000918,2944,50,1.70
Draperstown,N08000919,2462,41,1.67
Fivemiletown,N08000920,2526,49,1.94
Glebe (Mid Ulster LGD),N08000921,3087,70,2.27
Killyman,N08000922,2762,45,1.63
Killymeal,N08000923,3766,76,2.02
Lissan,N08000924,2770,44,1.59
Loughry,N08000925,2349,38,1.62
Lower Glenshane,N08000926,2428,28,1.15
Maghera,N08000927,2670,60,2.25
Moy,N08000928,2983,65,2.18
Moygashel,N08000929,2891,65,2.25
Mullaghmore,N08000930,3406,67,1.97
Oaklands,N08000931,2577,39,1.51
Pomeroy,N08000932,2915,54,1.85
Stewartstown (Mid Ulster LGD),N08000933,2506,38,1.52
Swatragh,N08000934,2592,34,1.31
Tamlaght O'Crilly,N08000935,2781,50,1.80
The Loup,N08000936,3181,56,1.76
Tobermore,N08000937,2704,45,1.66
Town Parks East,N08000938,2825,75,2.65
Valley (Mid Ulster LGD),N08000939,2677,56,2.09
Washing Bay,N08000940,2799,29,1.04
"Abbey (Newry, Mourne and Down LGD)",N08001001,3330,90,2.70
Annalong,N08001002,3406,70,2.06
Ballybot,N08001003,4211,132,3.13
Ballydugan,N08001004,2949,57,1.93
Ballynahinch,N08001005,3734,79,2.12
Ballyward,N08001006,3512,62,1.77
Bessbrook,N08001007,4190,108,2.58
Binnian,N08001008,3346,69,2.06
Burren,N08001009,3321,88,2.65
Camlough,N08001010,3120,81,2.60
Castlewellan,N08001011,3405,89,2.61
"Cathedral (Newry, Mourne and Down LGD)",N08001012,3231,99,3.06
Crossgar and Killyleagh,N08001013,3549,96,2.70
Crossmaglen,N08001014,2941,85,2.89
Damolly,N08001015,3457,84,2.43
Derryboy,N08001016,3263,63,1.93
Derryleckagh,N08001017,3666,62,1.69
Donard,N08001018,3124,84,2.69
Drumalane,N08001019,3925,105,2.68
Drumaness,N08001020,3242,52,1.60
Dundrum,N08001021,3536,81,2.29
Fathom,N08001022,3440,73,2.12
Forkhill,N08001023,3165,69,2.18
Hilltown,N08001024,3860,56,1.45
Kilkeel,N08001025,3058,90,2.94
Kilmore,N08001026,3301,46,1.39
Knocknashinna,N08001027,3656,103,2.82
Lecale,N08001028,3455,96,2.78
Lisnacree,N08001029,3653,77,2.11
Mayobridge,N08001030,3967,70,1.76
Mullaghbane,N08001031,3309,86,2.60
Murlough,N08001032,3829,92,2.40
Newtownhamilton,N08001033,3226,71,2.20
Quoile,N08001034,3340,58,1.74
Rostrevor,N08001035,3551,109,3.07
Saintfield,N08001036,3343,49,1.47
St. Patrick's,N08001037,3705,83,2.24
Strangford,N08001038,3518,68,1.93
Tollymore,N08001039,3263,57,1.75
Warrenpoint,N08001040,3799,132,3.47
Whitecross,N08001041,3105,49,1.58
Ballycrochan,N08001101,2615,35,1.34
Ballygowan,N08001102,3538,70,1.98
Ballygrainey,N08001103,4684,131,2.80
Ballyholme,N08001104,3224,45,1.40
Ballymagee,N08001105,3283,52,1.58
Ballywalter,N08001106,3813,98,2.57
Bloomfield (Ards and North Down LGD),N08001107,3252,81,2.49
Broadway,N08001108,2902,39,1.34
Bryansburn,N08001109,3146,48,1.53
Carrowdore,N08001110,3484,62,1.78
Castle (Ards and North Down LGD),N08001111,3340,80,2.40
Clandeboye,N08001112,3322,43,1.29
Comber North,N08001113,3114,71,2.28
