Geography,GeographyCode,Total,BornInNI,BornInNI_pct
Mourneview,N08000230,5495,4227,76.92
Navan,N08000231,5299,4743,89.51
Parklake,N08000232,5647,4969,87.99
Quilly,N08000233,4497,4064,90.37
Rathfriland,N08000234,5009,4484,89.52
Richhill,N08000235,4835,4245,87.80
Seagahan,N08000236,5609,5057,90.16
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6446,5557,86.21
Tandragee,N08000238,5172,4569,88.34
The Birches,N08000239,6101,5472,89.69
The Mall,N08000240,5512,3954,71.73
Waringstown,N08000241,5400,4832,89.48
Andersonstown,N08000301,4647,4365,93.93
Ardoyne,N08000302,5491,5144,93.68
Ballygomartin,N08000303,5950,5390,90.59
Ballymacarrett,N08000304,5905,4903,83.03
Ballymurphy,N08000305,5128,4873,95.03
Ballysillan,N08000306,5286,4719,89.27
Beechmount,N08000307,5395,4631,85.84
Beersbridge,N08000308,6610,4972,75.22
Bellevue,N08000309,5428,4735,87.23
Belmont,N08000310,4694,4062,86.54
Belvoir,N08000311,5357,4482,83.67
Blackstaff,N08000312,7547,5174,68.56
Bloomfield (Belfast LGD),N08000313,5893,4627,78.52
Cavehill,N08000314,4434,4073,91.86
Central,N08000315,15446,9303,60.23
Chichester Park,N08000316,5409,4632,85.64
Cliftonville,N08000317,5653,5110,90.39
Clonard,N08000318,5999,5164,86.08
Collin Glen,N08000319,5657,5384,95.17
Connswater,N08000320,5929,4724,79.68
Cregagh,N08000321,4588,4012,87.45
Duncairn,N08000322,8338,6103,73.20
Dunmurry,N08000323,5207,4606,88.46
Falls,N08000324,5180,4680,90.35
Falls Park,N08000325,4741,4473,94.35
Finaghy,N08000326,4529,3864,85.32
Forth River,N08000327,4918,4488,91.26
Fortwilliam,N08000328,4716,3972,84.22
Garnerville,N08000329,4788,4173,87.16
Gilnahirk,N08000330,5154,4650,90.22
Hillfoot,N08000331,4579,4034,88.10
Innisfayle,N08000332,5312,4671,87.93
Knock,N08000333,5012,4221,84.22
Ladybrook,N08000334,4816,4437,92.13
Lagmore,N08000335,8347,7842,93.95
Legoniel,N08000336,6135,5240,85.41
Malone,N08000337,4811,3989,82.91
Merok,N08000338,4438,3918,88.28
Musgrave,N08000339,4836,4083,84.43
New Lodge,N08000340,4881,4352,89.16
Orangefield,N08000341,4757,4142,87.07
Ormeau,N08000342,6533,4708,72.06
Poleglass,N08000343,6104,5784,94.76
Ravenhill,N08000344,4827,3902,80.84
Rosetta,N08000345,5790,4503,77.77
Sandown,N08000346,4468,3957,88.56
Shandon,N08000347,5377,4811,89.47
Shankill (Belfast LGD),N08000348,6443,5856,90.89
Shaw's Road,N08000349,5480,5106,93.18
Stewartstown (Belfast LGD),N08000350,4581,4339,94.72
Stormont,N08000351,5046,4266,84.54
Stranmillis,N08000352,8978,6306,70.24
Sydenham,N08000353,5589,4496,80.44
Turf Lodge,N08000354,4570,4348,95.14
Twinbrook,N08000355,4918,4616,93.86
Upper Malone,N08000356,4973,4141,83.27
Water Works,N08000357,6911,5758,83.32
Windsor,N08000358,11302,7232,63.99
Woodstock,N08000359,6432,4592,71.39
Woodvale,N08000360,5171,4516,87.33
Aghadowey,N08000401,3453,3137,90.85
Altahullion,N08000402,3191,2998,93.95
Atlantic,N08000403,4536,3864,85.19
Ballycastle,N08000404,3397,2910,85.66
Ballykelly,N08000405,3100,2853,92.03
Ballymoney East,N08000406,3111,2793,89.78
Ballymoney North,N08000407,3402,3066,90.12
Ballymoney South,N08000408,3386,3097,91.46
Castlerock,N08000409,3391,2985,88.03
Churchland,N08000410,3643,3258,89.43
Clogh Mills,N08000411,3643,3407,93.52
Coolessan,N08000412,2920,2694,92.26
Dervock,N08000413,3451,3207,92.93
Drumsurn,N08000414,3663,3392,92.60
Dundooan,N08000415,3910,3474,88.85
Dungiven,N08000416,3297,3057,92.72
Dunloy,N08000417,3625,3396,93.68
Feeny,N08000418,3612,3339,92.44
Garvagh,N08000419,3509,3281,93.50
Giant's Causeway,N08000420,3383,3089,91.31
Greysteel,N08000421,4640,4185,90.19
Greystone (Causeway Coast and Glens LGD),N08000422,3486,3145,90.22
Hopefield,N08000423,3588,3115,86.82
Kilrea,N08000424,3751,3406,90.80
Kinbane,N08000425,4041,3629,89.80
Loughguile and Stranocum,N08000426,3678,3472,94.40
Lurigethan,N08000427,2769,2481,89.60
Macosquin,N08000428,3429,3093,90.20
Magilligan,N08000429,3480,3183,91.47
Mountsandel,N08000430,3808,3066,80.51
Portrush and Dunluce,N08000431,2759,2347,85.07
Portstewart,N08000432,2916,2426,83.20
Quarry,N08000433,4459,4031,90.40
Rasharkin,N08000434,3906,3577,91.58
Roeside,N08000435,2656,2334,87.88
Route,N08000436,3444,3153,91.55
Torr Head and Rathlin,N08000437,3596,3222,89.60
University,N08000438,3652,3136,85.87
Waterside,N08000439,4307,3638,84.47
Windy Hall,N08000440,3755,3238,86.23
Artigarvan,N08000501,3639,3204,88.05
Ballycolman,N08000502,3530,2967,84.05
Ballymagroarty,N08000503,3984,3644,91.47
Brandywell,N08000504,3186,2911,91.37
Carn Hill,N08000505,2849,2604,91.40
Castlederg,N08000506,3443,2930,85.10
Caw,N08000507,4335,3704,85.44
City Walls,N08000508,3243,2763,85.20
Claudy,N08000509,3501,3197,91.32
Clondermot,N08000510,3851,3430,89.07
Creggan,N08000511,3476,3224,92.75
Creggan South,N08000512,3849,3636,94.47
Culmore,N08000513,4324,3669,84.85
Drumahoe,N08000514,4500,3940,87.56
Dunnamanagh,N08000515,3514,3289,93.60
Ebrington,N08000516,4021,3172,78.89
Eglinton,N08000517,3912,3397,86.84
Enagh,N08000518,4394,3865,87.96
Finn,N08000519,4320,3713,85.95
Foyle Springs,N08000520,3038,2786,91.71
Galliagh,N08000521,3747,3459,92.31
Glenderg,N08000522,3200,2891,90.34
Glenelly Valley,N08000523,3405,3129,91.89
Kilfennan,N08000524,4735,3775,79.73
Lisnagelvin,N08000525,3168,2693,85.01
Madam's Bank,N08000526,2865,2451,85.55
New Buildings,N08000527,3832,3376,88.10
Newtownstewart,N08000528,3107,2859,92.02
Northland,N08000529,4844,3904,80.59
Park (Derry City and Strabane LGD),N08000530,3535,3261,92.25
Shantallow,N08000531,3668,3322,90.57
Shantallow East,N08000532,4266,3841,90.04
Sheriff's Mountain,N08000533,3339,3047,91.25
Sion Mills,N08000534,3732,3326,89.12
Skeoge,N08000535,6383,5795,90.79
Slievekirk,N08000536,3580,3236,90.39
Springtown,N08000537,2882,2582,89.59
Strabane North,N08000538,4006,3432,85.67
Strabane West,N08000539,3108,2718,87.45
Victoria (Derry City and Strabane LGD),N08000540,4467,3935,88.09
Ballinamallard,N08000601,2946,2530,85.88
Belcoo and Garrison,N08000602,2644,1961,74.17
Belleek and Boa,N08000603,3123,2388,76.46
Beragh,N08000604,2912,2707,92.96
"Boho, Cleenish and Letterbreen",N08000605,3467,2956,85.26
Brookeborough,N08000606,2582,2287,88.57
Camowen,N08000607,3211,2672,83.21
Castlecoole,N08000608,3203,2475,77.27
Coolnagard,N08000609,3411,2826,82.85
Dergmoney,N08000610,2586,2068,79.97
Derrygonnelly,N08000611,2899,2405,82.96
Derrylin,N08000612,2796,2116,75.68
Donagh,N08000613,2527,2190,86.66
Dromore (Fermanagh and Omagh LGD),N08000614,2784,2492,89.51
Drumnakilly,N08000615,3184,2900,91.08
Drumquin,N08000616,2910,2727,93.71
Ederney and Kesh,N08000617,2774,2399,86.48
Erne,N08000618,3056,2272,74.35
Fairy Water,N08000619,2826,2546,90.09
Fintona,N08000620,2553,2293,89.82
Florence Court and Kinawley,N08000621,2884,2431,84.29
Gortin,N08000622,3303,2895,87.65
Gortrush,N08000623,3217,2741,85.20
Irvinestown,N08000624,3386,2887,85.26
Killyclogher,N08000625,3049,2588,84.88
Lisbellaw,N08000626,3059,2700,88.26
Lisnarrick,N08000627,3354,2723,81.19
Lisnaskea,N08000628,2645,2057,77.77
Maguiresbridge,N08000629,3299,2904,88.03
Newtownbutler,N08000630,2569,2005,78.05
Newtownsaville,N08000631,2974,2746,92.33
Owenkillew,N08000632,2696,2491,92.40
Portora,N08000633,3186,2386,74.89
Rosslea,N08000634,2332,1876,80.45
Rossorry,N08000635,2543,2025,79.63
Sixmilecross,N08000636,2825,2630,93.10
Strule,N08000637,2971,2337,78.66
Tempo,N08000638,2877,2578,89.61
Termon,N08000639,2699,2520,93.37
Trillick,N08000640,2552,2359,92.44
Ballinderry,N08000701,3921,3562,90.84
Ballyhanwood,N08000702,3028,2689,88.80
Ballymacash,N08000703,3135,2744,87.53
Ballymacbrennan,N08000704,3081,2774,90.04
Ballymacoss,N08000705,5976,5106,85.44
Beechill,N08000706,3383,2953,87.29
Blaris,N08000707,3415,2922,85.56
Cairnshill,N08000708,3513,3076,87.56
Carrowreagh,N08000709,6124,5412,88.37
Carryduff East,N08000710,3821,3403,89.06
Carryduff West,N08000711,3351,2985,89.08
Derryaghy,N08000712,4627,3974,85.89
Dromara,N08000713,3460,3164,91.45
Drumbo,N08000714,3039,2705,89.01
Dundonald,N08000715,3104,2600,83.76
Enler,N08000716,3205,2891,90.20
Galwally,N08000717,3040,2652,87.24
Glenavy,N08000718,4079,3788,92.87
Graham's Bridge,N08000719,3312,2830,85.45
Harmony Hill,N08000720,3022,2556,84.58
Hilden,N08000721,3904,3192,81.76
Hillhall,N08000722,4066,3485,85.71
Hillsborough,N08000723,3316,2870,86.55
Knockbracken,N08000724,3534,3018,85.40
Knockmore,N08000725,4659,3940,84.57
Lagan,N08000726,3476,3083,88.69
Lagan Valley,N08000727,3395,2766,81.47
Lambeg,N08000728,3819,3288,86.10
Lisnagarvey,N08000729,2937,2447,83.32
Maghaberry,N08000730,4781,4199,87.83
Magheralave,N08000731,4258,3761,88.33
Maze,N08000732,3231,2931,90.71
Moira,N08000733,3745,3198,85.39
Moneyreagh,N08000734,3123,2914,93.31
Newtownbreda,N08000735,2841,2419,85.15
Old Warren,N08000736,4123,3397,82.39
Ravernet,N08000737,3099,2798,90.29
Stonyford,N08000738,3149,2883,91.55
Wallace Park,N08000739,3867,2808,72.61
White Mountain,N08000740,6135,5474,89.23
Academy,N08000801,2567,2277,88.70
Ahoghill,N08000802,3607,3322,92.10
Ardeevin,N08000803,3715,3128,84.20
Ballee and Harryville,N08000804,3588,3138,87.46
Ballycarry and Glynn,N08000805,3745,3415,91.19
Ballykeel,N08000806,3026,2715,89.72
Boneybefore,N08000807,2865,2552,89.08
Braidwater,N08000808,3214,2511,78.13
Broughshane,N08000809,3726,3398,91.20
Burleigh Hill,N08000810,2594,2311,89.09
Cairncastle,N08000811,3236,2892,89.37
Carnlough and Glenarm,N08000812,3137,2898,92.38
Castle (Mid and East Antrim LGD),N08000813,3912,3315,84.74
Castle Demesne,N08000814,4447,2687,60.42
Craigyhill,N08000815,3918,3593,91.70
Cullybackey,N08000816,2868,2625,91.53
Curran and Inver,N08000817,3384,2953,87.26
Fair Green,N08000818,4258,3105,72.92
Galgorm,N08000819,3251,2977,91.57
Gardenmore,N08000820,3290,2951,89.70
Glenravel,N08000821,3596,3312,92.10
Glenwhirry,N08000822,3158,2952,93.48
Gortalee,N08000823,3696,3215,86.99
Grange,N08000824,3720,3494,93.92
Greenisland,N08000825,3446,3029,87.90
Islandmagee,N08000826,3049,2686,88.09
Kells,N08000827,3453,3191,92.41
Kilroot,N08000828,4253,3911,91.96
Kilwaughter,N08000829,4790,4420,92.28
Kirkinriola,N08000830,3228,2935,90.92
Love Lane,N08000831,3033,2701,89.05
Maine,N08000832,3042,2872,94.41
Park (Mid and East Antrim LGD),N08000833,2920,2471,84.62
Portglenone,N08000834,3351,3079,91.88
Slemish,N08000835,3204,2987,93.23
Sunnylands,N08000836,4095,3697,90.28
The Maidens,N08000837,3437,3105,90.34
Victoria (Mid and East Antrim LGD),N08000838,4398,3980,90.50
Whitehead South,N08000839,3344,2856,85.41
Woodburn,N08000840,3425,3151,92.00
Ardboe,N08000901,3819,3629,95.02
Augher and Clogher,N08000902,3461,3102,89.63
Aughnacloy,N08000903,3696,3065,82.93
Ballygawley,N08000904,3940,3535,89.72
Ballymaguigan,N08000905,4145,3872,93.41
Ballysaggart,N08000906,5062,2849,56.28
Bellaghy,N08000907,3879,3694,95.23
Caledon,N08000908,3965,3496,88.17
Castlecaulfield,N08000909,3758,3377,89.86
Castledawson,N08000910,3791,3521,92.88
Coagh,N08000911,3370,3184,94.48
Coalisland North,N08000912,3668,3248,88.55
Coalisland South,N08000913,4842,3957,81.72
Cookstown East,N08000914,3793,2777,73.21
Cookstown South,N08000915,3525,2890,81.99
Cookstown West,N08000916,3688,3019,81.86
Coolshinny,N08000917,4048,3696,91.30
Donaghmore,N08000918,3839,3499,91.14
Draperstown,N08000919,3266,2894,88.61
Fivemiletown,N08000920,3175,2742,86.36
Glebe (Mid Ulster LGD),N08000921,3844,3142,81.74
Killyman,N08000922,3620,3233,89.31
Killymeal,N08000923,5001,3190,63.79
Lissan,N08000924,3594,3357,93.41
Loughry,N08000925,2953,2591,87.74
Lower Glenshane,N08000926,3152,2927,92.86
Maghera,N08000927,3470,3093,89.14
Moy,N08000928,3948,3202,81.10
Moygashel,N08000929,3607,2403,66.62
Mullaghmore,N08000930,4408,2907,65.95
Oaklands,N08000931,3413,3228,94.58
Pomeroy,N08000932,3881,3563,91.81
Stewartstown (Mid Ulster LGD),N08000933,3110,2913,93.67
Swatragh,N08000934,3457,3262,94.36
Tamlaght O'Crilly,N08000935,3648,3477,95.31
The Loup,N08000936,4260,3955,92.84
Tobermore,N08000937,3456,3285,95.05
Town Parks East,N08000938,3558,2911,81.82
Valley (Mid Ulster LGD),N08000939,3443,3237,94.02
Washing Bay,N08000940,3739,3484,93.18
"Abbey (Newry, Mourne and Down LGD)",N08001001,4083,3189,78.10
Annalong,N08001002,4346,3949,90.87
Ballybot,N08001003,5351,4113,76.86
Ballydugan,N08001004,3768,3451,91.59
Ballynahinch,N08001005,4681,4161,88.89
Ballyward,N08001006,4498,4201,93.40
Bessbrook,N08001007,5535,4726,85.38
Binnian,N08001008,4303,3896,90.54
Burren,N08001009,4317,3683,85.31
Camlough,N08001010,4147,3716,89.61
Castlewellan,N08001011,4476,4066,90.84
"Cathedral (Newry, Mourne and Down LGD)",N08001012,4221,3779,89.53
Crossgar and Killyleagh,N08001013,4404,3851,87.44
Crossmaglen,N08001014,3970,3192,80.40
Damolly,N08001015,4389,3491,79.54
Derryboy,N08001016,4044,3679,90.97
Derryleckagh,N08001017,4907,4396,89.59
Donard,N08001018,3757,3155,83.98
Drumalane,N08001019,5018,3791,75.55
Drumaness,N08001020,4141,3824,92.34
Dundrum,N08001021,4502,4032,89.56
Fathom,N08001022,4444,3729,83.91
Forkhill,N08001023,4175,3342,80.05
Hilltown,N08001024,5130,4711,91.83
Kilkeel,N08001025,3931,3327,84.63
Kilmore,N08001026,3975,3659,92.05
Knocknashinna,N08001027,4680,4196,89.66
Lecale,N08001028,4386,3936,89.74
Lisnacree,N08001029,4729,4221,89.26
Mayobridge,N08001030,5315,4746,89.29
Mullaghbane,N08001031,4443,3741,84.20
Murlough,N08001032,4836,4212,87.10
Newtownhamilton,N08001033,4418,3718,84.16
Quoile,N08001034,4173,3604,86.36
Rostrevor,N08001035,4343,3557,81.90
Saintfield,N08001036,4119,3695,89.71
St. Patrick's,N08001037,4664,3728,79.93
Strangford,N08001038,4460,4032,90.40
Tollymore,N08001039,4303,3938,91.52
Warrenpoint,N08001040,4616,3628,78.60
Whitecross,N08001041,4065,3712,91.32
Ballycrochan,N08001101,3118,2731,87.59
Ballygowan,N08001102,4367,4095,93.77
Ballygrainey,N08001103,6303,5522,87.61
Ballyholme,N08001104,3890,3282,84.37
Ballymagee,N08001105,4119,3598,87.35
Ballywalter,N08001106,4648,4083,87.84
Bloomfield (Ards and North Down LGD),N08001107,4187,3656,87.32
Broadway,N08001108,3425,2904,84.79
Bryansburn,N08001109,3760,3153,83.86
Carrowdore,N08001110,4259,3809,89.43
Castle (Ards and North Down LGD),N08001111,4030,3515,87.22
Clandeboye,N08001112,4189,3670,87.61
Comber North,N08001113,3790,3477,91.74
Comber South,N08001114,3786,3468,91.60
Comber West,N08001115,3804,3381,88.88
Conway Square,N08001116,4315,3618,83.85
Cronstown,N08001117,4482,4093,91.32
Cultra,N08001118,4008,3213,80.16
Donaghadee,N08001119,3966,3427,86.41
Glen,N08001120,4521,4083,90.31
Gregstown,N08001121,3181,2873,90.32
Groomsport,N08001122,3631,3144,86.59
Harbour,N08001123,4753,3525,74.16
Helen's Bay,N08001124,3903,3208,82.19
Holywood,N08001125,4065,3292,80.98
Kilcooley,N08001126,4425,3851,87.03
Killinchy,N08001127,3738,3305,88.42
Kircubbin,N08001128,4396,3980,90.54
Loughries,N08001129,4170,3724,89.30
Loughview,N08001130,4662,3599,77.20
Movilla,N08001131,4242,3798,89.53
Portaferry,N08001132,3544,3230,91.14
Portavogie,N08001133,3866,3453,89.32
Rathgael,N08001134,3684,3125,84.83
Rathmore,N08001135,3697,3241,87.67
Scrabo,N08001136,4257,3793,89.10
Silverbirch,N08001137,3728,3276,87.88
Silverstream,N08001138,3957,3216,81.27
Warren,N08001139,4310,3729,86.52
West Winds,N08001140,4467,3964,88.74
