Geography,GeographyCode,Total,OwnerOccupied,OwnerOccupied_pct
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,1949,1467,75.27
Gilford,N08000217,1988,1382,69.52
Gransha,N08000218,1801,1495,83.01
Hamiltonsbawn,N08000219,1829,1495,81.74
Keady,N08000220,1938,1259,64.96
Kernan,N08000221,2345,1553,66.23
Killycomain,N08000222,2306,1035,44.88
Knocknashane,N08000223,1900,1417,74.58
Lough Road,N08000224,2170,1510,69.59
Loughbrickland,N08000225,2066,1608,77.83
Loughgall,N08000226,1965,1614,82.14
Magheralin,N08000227,2076,1655,79.72
Mahon,N08000228,2084,1364,65.45
Markethill,N08000229,2083,1468,70.48
Mourneview,N08000230,2367,1206,50.95
Navan,N08000231,1812,1451,80.08
Parklake,N08000232,2365,1215,51.37
Quilly,N08000233,1800,1320,73.33
Rathfriland,N08000234,1909,1291,67.63
Richhill,N08000235,1884,1491,79.14
Seagahan,N08000236,1814,1456,80.26
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,2736,1285,46.97
Tandragee,N08000238,2095,1492,71.22
The Birches,N08000239,2116,1614,76.28
The Mall,N08000240,2380,1366,57.39
Waringstown,N08000241,2148,1713,79.75
Andersonstown,N08000301,1980,1391,70.25
Ardoyne,N08000302,2482,763,30.74
Ballygomartin,N08000303,2523,1588,62.94
Ballymacarrett,N08000304,2761,701,25.39
Ballymurphy,N08000305,1918,631,32.90
Ballysillan,N08000306,2226,1346,60.47
Beechmount,N08000307,2320,1079,46.51
Beersbridge,N08000308,3295,894,27.13
Bellevue,N08000309,2422,1359,56.11
Belmont,N08000310,2024,1582,78.16
Belvoir,N08000311,2593,1319,50.87
Blackstaff,N08000312,3863,895,23.17
Bloomfield (Belfast LGD),N08000313,2919,1388,47.55
Cavehill,N08000314,1683,1491,88.59
Central,N08000315,5706,963,16.88
Chichester Park,N08000316,2329,1310,56.25
Cliftonville,N08000317,2285,1237,54.14
Clonard,N08000318,2643,874,33.07
Collin Glen,N08000319,2210,1281,57.96
Connswater,N08000320,2878,1246,43.29
Cregagh,N08000321,2086,1229,58.92
Duncairn,N08000322,3567,834,23.38
Dunmurry,N08000323,2203,1552,70.45
Falls,N08000324,2286,609,26.64
Falls Park,N08000325,1983,1349,68.03
Finaghy,N08000326,1852,1565,84.50
Forth River,N08000327,2162,1084,50.14
Fortwilliam,N08000328,2064,1341,64.97
Garnerville,N08000329,2128,1491,70.07
Gilnahirk,N08000330,2192,1548,70.62
Hillfoot,N08000331,2002,1738,86.81
Innisfayle,N08000332,2319,1496,64.51
Knock,N08000333,2266,1653,72.95
Ladybrook,N08000334,1871,1395,74.56
Lagmore,N08000335,2778,1609,57.92
Legoniel,N08000336,2524,1280,50.71
Malone,N08000337,1996,1564,78.36
Merok,N08000338,1849,1335,72.20
Musgrave,N08000339,2062,1520,73.71
New Lodge,N08000340,2338,518,22.16
Orangefield,N08000341,2127,1647,77.43
Ormeau,N08000342,3167,1444,45.60
Poleglass,N08000343,2245,841,37.46
Ravenhill,N08000344,2171,1413,65.09
Rosetta,N08000345,2564,1662,64.82
Sandown,N08000346,1965,1485,75.57
Shandon,N08000347,2402,1708,71.11
Shankill (Belfast LGD),N08000348,3124,697,22.31
Shaw's Road,N08000349,2297,1185,51.59
Stewartstown (Belfast LGD),N08000350,1889,1157,61.25
Stormont,N08000351,2176,1595,73.30
Stranmillis,N08000352,2761,1757,63.64
Sydenham,N08000353,2772,1410,50.87
Turf Lodge,N08000354,1817,811,44.63
Twinbrook,N08000355,2082,998,47.93
Upper Malone,N08000356,2170,1391,64.10
Water Works,N08000357,3090,775,25.08
Windsor,N08000358,4960,1266,25.52
Woodstock,N08000359,3226,893,27.68
Woodvale,N08000360,2612,629,24.08
Aghadowey,N08000401,1276,1058,82.92
Altahullion,N08000402,1143,904,79.09
Atlantic,N08000403,1945,1081,55.58
Ballycastle,N08000404,1486,897,60.36
Ballykelly,N08000405,1166,847,72.64
Ballymoney East,N08000406,1415,694,49.05
Ballymoney North,N08000407,1478,933,63.13
Ballymoney South,N08000408,1438,888,61.75
Castlerock,N08000409,1450,1073,74.00
Churchland,N08000410,1558,1182,75.87
Clogh Mills,N08000411,1379,1019,73.89
Coolessan,N08000412,1378,489,35.49
Dervock,N08000413,1390,970,69.78
Drumsurn,N08000414,1377,968,70.30
Dundooan,N08000415,1478,1076,72.80
Dungiven,N08000416,1207,796,65.95
Dunloy,N08000417,1245,988,79.36
Feeny,N08000418,1295,926,71.51
Garvagh,N08000419,1250,884,70.72
Giant's Causeway,N08000420,1455,917,63.02
Greysteel,N08000421,1835,1233,67.19
Greystone (Causeway Coast and Glens LGD),N08000422,1392,932,66.95
Hopefield,N08000423,1563,1146,73.32
Kilrea,N08000424,1421,962,67.70
Kinbane,N08000425,1633,1028,62.95
Loughguile and Stranocum,N08000426,1303,1003,76.98
Lurigethan,N08000427,1087,777,71.48
Macosquin,N08000428,1339,1015,75.80
Magilligan,N08000429,1123,861,76.67
Mountsandel,N08000430,1862,897,48.17
Portrush and Dunluce,N08000431,1437,838,58.32
Portstewart,N08000432,1439,911,63.31
Quarry,N08000433,1847,701,37.95
Rasharkin,N08000434,1406,1066,75.82
Roeside,N08000435,1301,712,54.73
Route,N08000436,1394,1023,73.39
Torr Head and Rathlin,N08000437,1387,1035,74.62
University,N08000438,1515,770,50.83
Waterside,N08000439,1961,1052,53.65
Windy Hall,N08000440,1522,1149,75.49
Artigarvan,N08000501,1383,1032,74.62
Ballycolman,N08000502,1402,775,55.28
Ballymagroarty,N08000503,1521,516,33.93
Brandywell,N08000504,1500,560,37.33
Carn Hill,N08000505,1168,649,55.57
Castlederg,N08000506,1468,822,55.99
Caw,N08000507,1944,941,48.41
City Walls,N08000508,1892,485,25.63
Claudy,N08000509,1302,961,73.81
Clondermot,N08000510,1559,1067,68.44
Creggan,N08000511,1419,680,47.92
Creggan South,N08000512,1578,479,30.35
Culmore,N08000513,1467,1291,88.00
Drumahoe,N08000514,1795,1130,62.95
Dunnamanagh,N08000515,1300,967,74.38
Ebrington,N08000516,1827,901,49.32
Eglinton,N08000517,1474,1067,72.39
Enagh,N08000518,1642,1008,61.39
Finn,N08000519,1540,1088,70.65
Foyle Springs,N08000520,1168,837,71.66
Galliagh,N08000521,1549,468,30.21
Glenderg,N08000522,1190,911,76.55
Glenelly Valley,N08000523,1200,946,78.83
Kilfennan,N08000524,1747,1273,72.87
Lisnagelvin,N08000525,1497,907,60.59
Madam's Bank,N08000526,1205,867,71.95
New Buildings,N08000527,1511,1147,75.91
Newtownstewart,N08000528,1273,770,60.49
Northland,N08000529,2375,783,32.97
Park (Derry City and Strabane LGD),N08000530,1233,976,79.16
Shantallow,N08000531,1461,736,50.38
Shantallow East,N08000532,1575,853,54.16
Sheriff's Mountain,N08000533,1220,702,57.54
Sion Mills,N08000534,1550,913,58.90
Skeoge,N08000535,2421,660,27.26
Slievekirk,N08000536,1364,1055,77.35
Springtown,N08000537,1147,762,66.43
Strabane North,N08000538,1768,795,44.97
Strabane West,N08000539,1404,720,51.28
Victoria (Derry City and Strabane LGD),N08000540,1905,959,50.34
Ballinamallard,N08000601,1214,875,72.08
Belcoo and Garrison,N08000602,1044,797,76.34
Belleek and Boa,N08000603,1287,943,73.27
Beragh,N08000604,1092,806,73.81
"Boho, Cleenish and Letterbreen",N08000605,1248,1005,80.53
Brookeborough,N08000606,929,748,80.52
Camowen,N08000607,1347,801,59.47
Castlecoole,N08000608,1329,848,63.81
Coolnagard,N08000609,1298,782,60.25
Dergmoney,N08000610,1248,699,56.01
Derrygonnelly,N08000611,1068,839,78.56
Derrylin,N08000612,1043,800,76.70
Donagh,N08000613,919,772,84.00
Dromore (Fermanagh and Omagh LGD),N08000614,1034,705,68.18
Drumnakilly,N08000615,1102,799,72.50
Drumquin,N08000616,1057,793,75.02
Ederney and Kesh,N08000617,1147,808,70.44
Erne,N08000618,1351,648,47.96
Fairy Water,N08000619,1007,865,85.90
Fintona,N08000620,1051,652,62.04
Florence Court and Kinawley,N08000621,1030,839,81.46
Gortin,N08000622,1176,874,74.32
Gortrush,N08000623,1378,727,52.76
Irvinestown,N08000624,1420,884,62.25
Killyclogher,N08000625,1271,753,59.24
Lisbellaw,N08000626,1176,902,76.70
Lisnarrick,N08000627,1321,944,71.46
Lisnaskea,N08000628,1134,591,52.12
Maguiresbridge,N08000629,1229,955,77.71
Newtownbutler,N08000630,1003,634,63.21
Newtownsaville,N08000631,1043,857,82.17
Owenkillew,N08000632,936,755,80.66
Portora,N08000633,1546,745,48.19
Rosslea,N08000634,833,645,77.43
Rossorry,N08000635,1145,757,66.11
Sixmilecross,N08000636,967,785,81.18
Strule,N08000637,1474,501,33.99
Tempo,N08000638,1055,826,78.29
Termon,N08000639,879,739,84.07
Trillick,N08000640,889,719,80.88
Ballinderry,N08000701,1434,1215,84.73
Ballyhanwood,N08000702,1319,1101,83.47
Ballymacash,N08000703,1206,936,77.61
Ballymacbrennan,N08000704,1164,1019,87.54
Ballymacoss,N08000705,2343,1337,57.06
Beechill,N08000706,1245,992,79.68
Blaris,N08000707,1578,1057,66.98
Cairnshill,N08000708,1361,1208,88.76
Carrowreagh,N08000709,2404,2038,84.78
Carryduff East,N08000710,1448,1105,76.31
Carryduff West,N08000711,1339,1135,84.76
Derryaghy,N08000712,1992,1193,59.89
Dromara,N08000713,1296,1074,82.87
Drumbo,N08000714,1188,1048,88.22
Dundonald,N08000715,1375,1008,73.31
Enler,N08000716,1464,731,49.93
Galwally,N08000717,1314,1110,84.47
Glenavy,N08000718,1391,1154,82.96
Graham's Bridge,N08000719,1491,808,54.19
Harmony Hill,N08000720,1288,1025,79.58
Hilden,N08000721,1958,833,42.54
Hillhall,N08000722,1676,1097,65.45
Hillsborough,N08000723,1471,1176,79.95
Knockbracken,N08000724,1334,1189,89.13
Knockmore,N08000725,1827,1089,59.61
Lagan,N08000726,1359,1085,79.84
Lagan Valley,N08000727,1495,715,47.83
Lambeg,N08000728,1799,936,52.03
Lisnagarvey,N08000729,1321,1004,76.00
Maghaberry,N08000730,1546,1367,88.42
Magheralave,N08000731,1680,1366,81.31
Maze,N08000732,1277,1032,80.81
Moira,N08000733,1540,1250,81.17
Moneyreagh,N08000734,1219,1064,87.28
Newtownbreda,N08000735,1240,967,77.98
Old Warren,N08000736,1752,678,38.70
Ravernet,N08000737,1162,1028,88.47
Stonyford,N08000738,1112,986,88.67
Wallace Park,N08000739,1377,1107,80.39
White Mountain,N08000740,2346,1926,82.10
Academy,N08000801,1081,944,87.33
Ahoghill,N08000802,1480,1074,72.57
Ardeevin,N08000803,1498,1133,75.63
Ballee and Harryville,N08000804,1658,727,43.85
Ballycarry and Glynn,N08000805,1523,1203,78.99
Ballykeel,N08000806,1374,616,44.83
Boneybefore,N08000807,1236,1081,87.46
Braidwater,N08000808,1324,882,66.62
Broughshane,N08000809,1605,1102,68.66
Burleigh Hill,N08000810,1117,981,87.82
Cairncastle,N08000811,1372,1194,87.03
Carnlough and Glenarm,N08000812,1276,857,67.16
Castle (Mid and East Antrim LGD),N08000813,2115,912,43.12
Castle Demesne,N08000814,1929,631,32.71
Craigyhill,N08000815,1819,1029,56.57
Cullybackey,N08000816,1295,784,60.54
Curran and Inver,N08000817,1653,920,55.66
Fair Green,N08000818,1769,742,41.94
Galgorm,N08000819,1330,1090,81.95
Gardenmore,N08000820,1593,945,59.32
Glenravel,N08000821,1278,1015,79.42
Glenwhirry,N08000822,1115,985,88.34
Gortalee,N08000823,1664,1020,61.30
Grange,N08000824,1249,1058,84.71
Greenisland,N08000825,1430,1210,84.62
Islandmagee,N08000826,1314,1054,80.21
Kells,N08000827,1373,1019,74.22
Kilroot,N08000828,1588,1290,81.23
Kilwaughter,N08000829,1840,1499,81.47
Kirkinriola,N08000830,1231,973,79.04
Love Lane,N08000831,1417,916,64.64
Maine,N08000832,1109,965,87.02
Park (Mid and East Antrim LGD),N08000833,1184,924,78.04
Portglenone,N08000834,1277,894,70.01
Slemish,N08000835,1152,970,84.20
Sunnylands,N08000836,1788,884,49.44
The Maidens,N08000837,1616,916,56.68
Victoria (Mid and East Antrim LGD),N08000838,1707,1249,73.17
Whitehead South,N08000839,1550,1044,67.35
Woodburn,N08000840,1360,1166,85.74
Ardboe,N08000901,1268,1010,79.65
Augher and Clogher,N08000902,1234,920,74.55
Aughnacloy,N08000903,1292,975,75.46
Ballygawley,N08000904,1370,1024,74.74
Ballymaguigan,N08000905,1381,1112,80.52
Ballysaggart,N08000906,1811,611,33.74
Bellaghy,N08000907,1285,1005,78.21
Caledon,N08000908,1388,1029,74.14
Castlecaulfield,N08000909,1318,1066,80.88
Castledawson,N08000910,1401,992,70.81
Coagh,N08000911,1179,912,77.35
Coalisland North,N08000912,1391,919,66.07
Coalisland South,N08000913,1831,883,48.23
Cookstown East,N08000914,1550,797,51.42
Cookstown South,N08000915,1340,767,57.24
Cookstown West,N08000916,1508,805,53.38
Coolshinny,N08000917,1364,1148,84.16
Donaghmore,N08000918,1303,998,76.59
Draperstown,N08000919,1175,795,67.66
Fivemiletown,N08000920,1259,855,67.91
Glebe (Mid Ulster LGD),N08000921,1579,806,51.04
Killyman,N08000922,1310,1074,81.98
Killymeal,N08000923,1773,985,55.56
Lissan,N08000924,1269,996,78.49
Loughry,N08000925,1154,764,66.20
Lower Glenshane,N08000926,1014,886,87.38
Maghera,N08000927,1405,740,52.67
Moy,N08000928,1451,972,66.99
Moygashel,N08000929,1449,849,58.59
Mullaghmore,N08000930,1568,868,55.36
Oaklands,N08000931,1099,946,86.08
Pomeroy,N08000932,1285,914,71.13
Stewartstown (Mid Ulster LGD),N08000933,1108,817,73.74
Swatragh,N08000934,1090,881,80.83
Tamlaght O'Crilly,N08000935,1220,921,75.49
The Loup,N08000936,1476,1106,74.93
Tobermore,N08000937,1249,996,79.74
Town Parks East,N08000938,1442,718,49.79
Valley (Mid Ulster LGD),N08000939,1216,968,79.61
Washing Bay,N08000940,1209,994,82.22
"Abbey (Newry, Mourne and Down LGD)",N08001001,1677,914,54.50
Annalong,N08001002,1620,1180,72.84
Ballybot,N08001003,2307,863,37.41
Ballydugan,N08001004,1310,1088,83.05
Ballynahinch,N08001005,2096,1130,53.91
Ballyward,N08001006,1562,1328,85.02
Bessbrook,N08001007,2157,1265,58.65
Binnian,N08001008,1580,1178,74.56
Burren,N08001009,1468,1189,80.99
Camlough,N08001010,1413,962,68.08
Castlewellan,N08001011,1605,1015,63.24
"Cathedral (Newry, Mourne and Down LGD)",N08001012,1738,837,48.16
Crossgar and Killyleagh,N08001013,1876,1175,62.63
Crossmaglen,N08001014,1413,911,64.47
Damolly,N08001015,1692,955,56.44
Derryboy,N08001016,1563,1162,74.34
Derryleckagh,N08001017,1581,1367,86.46
Donard,N08001018,1663,1081,65.00
Drumalane,N08001019,1912,1209,63.23
Drumaness,N08001020,1519,1195,78.67
Dundrum,N08001021,1788,1180,66.00
Fathom,N08001022,1519,1158,76.23
Forkhill,N08001023,1450,1084,74.76
Hilltown,N08001024,1716,1350,78.67
Kilkeel,N08001025,1610,866,53.79
Kilmore,N08001026,1425,1236,86.74
Knocknashinna,N08001027,1829,1114,60.91
Lecale,N08001028,1725,1104,64.00
Lisnacree,N08001029,1629,1196,73.42
Mayobridge,N08001030,1723,1395,80.96
Mullaghbane,N08001031,1508,1124,74.54
Murlough,N08001032,1989,1174,59.02
Newtownhamilton,N08001033,1447,1055,72.91
Quoile,N08001034,1557,1161,74.57
Rostrevor,N08001035,1743,1204,69.08
Saintfield,N08001036,1710,1311,76.67
St. Patrick's,N08001037,1797,1191,66.28
Strangford,N08001038,1682,1308,77.76
Tollymore,N08001039,1457,1198,82.22
Warrenpoint,N08001040,1956,1021,52.20
Whitecross,N08001041,1391,1135,81.60
Ballycrochan,N08001101,1288,1154,89.60
Ballygowan,N08001102,1702,1451,85.25
Ballygrainey,N08001103,2681,1376,51.32
Ballyholme,N08001104,1733,1388,80.09
Ballymagee,N08001105,1485,1332,89.70
Ballywalter,N08001106,2039,1429,70.08
Bloomfield (Ards and North Down LGD),N08001107,1770,1068,60.34
Broadway,N08001108,1535,1236,80.52
Bryansburn,N08001109,1633,1313,80.40
Carrowdore,N08001110,1765,1238,70.14
Castle (Ards and North Down LGD),N08001111,1937,1086,56.07
Clandeboye,N08001112,1577,1305,82.75
Comber North,N08001113,1624,1118,68.84
Comber South,N08001114,1655,1170,70.69
Comber West,N08001115,1742,1262,72.45
Conway Square,N08001116,2328,966,41.49
Cronstown,N08001117,1676,1514,90.33
Cultra,N08001118,1546,1387,89.72
Donaghadee,N08001119,1794,1317,73.41
Glen,N08001120,1894,1379,72.81
Gregstown,N08001121,1408,981,69.67
Groomsport,N08001122,1686,1428,84.70
Harbour,N08001123,2266,1344,59.31
Helen's Bay,N08001124,1667,1378,82.66
Holywood,N08001125,1805,1340,74.24
Kilcooley,N08001126,1950,909,46.62
Killinchy,N08001127,1502,1299,86.48
Kircubbin,N08001128,1792,1317,73.49
Loughries,N08001129,1677,1439,85.81
Loughview,N08001130,2045,1130,55.26
Movilla,N08001131,1746,1101,63.06
Portaferry,N08001132,1462,931,63.68
Portavogie,N08001133,1537,1168,75.99
Rathgael,N08001134,1676,1213,72.37
Rathmore,N08001135,1683,1435,85.26
Scrabo,N08001136,1864,1496,80.26
Silverbirch,N08001137,1525,1298,85.11
Silverstream,N08001138,1838,1150,62.57
Warren,N08001139,1930,1363,70.62
West Winds,N08001140,1973,842,42.68
