GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
95CC17,897,598,280,19,178,109,65,4,220,137,75,8,164,112,51,1,335,240,89,6,3.04,3.12,2.88,2.63
95CC18,937,483,425,29,284,142,134,8,277,139,134,4,163,84,71,8,213,118,86,9,2.46,2.51,2.39,2.86
95CC19,981,334,620,27,242,74,167,1,267,97,158,12,155,57,92,6,317,106,203,8,2.77,2.76,2.78,2.89
95CC20,1127,61,1014,52,275,9,254,12,319,14,285,20,228,15,204,9,305,23,271,11,2.63,3.08,2.62,2.40
95CC21,1167,153,961,53,307,37,259,11,394,54,321,19,174,22,142,10,292,40,239,13,2.51,2.55,2.49,2.75
95CC22,842,179,626,37,370,73,283,14,247,54,183,10,118,20,90,8,107,32,70,5,2.05,2.18,2.00,2.22
95DD01,836,123,685,28,196,24,162,10,330,40,284,6,142,28,109,5,168,31,130,7,2.43,2.67,2.38,2.50
95DD02,1490,82,1357,51,345,16,316,13,467,21,427,19,292,15,267,10,386,30,347,9,2.60,3.04,2.58,2.35
95DD03,1389,207,1091,91,305,35,256,14,521,67,418,36,268,47,202,19,295,58,215,22,2.50,2.82,2.43,2.64
95DD04,859,62,749,48,303,21,269,13,274,21,238,15,132,12,111,9,150,8,131,11,2.24,2.21,2.23,2.46
95DD05,685,35,612,38,174,11,156,7,214,8,194,12,140,8,124,8,157,8,138,11,2.54,2.46,2.53,2.79
95DD06,944,175,736,33,187,31,152,4,368,54,304,10,141,33,102,6,248,57,178,13,2.57,2.84,2.49,2.94
95DD07,1412,74,1279,59,397,18,362,17,485,18,452,15,243,14,217,12,287,24,248,15,2.38,2.70,2.36,2.44
95DD08,1041,382,594,65,485,156,309,20,270,109,141,20,154,59,81,14,132,58,63,11,2.00,2.12,1.89,2.31
95DD09,929,59,843,27,164,10,146,8,319,15,296,8,164,13,148,3,282,21,253,8,2.77,2.92,2.76,2.59
95DD10,1180,44,1084,52,361,13,340,8,378,12,350,16,208,8,182,18,233,11,212,10,2.38,2.66,2.35,2.67
95DD11,955,527,381,47,301,151,137,13,272,152,101,19,160,92,62,6,222,132,81,9,2.47,2.55,2.40,2.28
95DD12,890,116,739,35,163,15,139,9,268,27,230,11,165,21,135,9,294,53,235,6,2.90,3.56,2.82,2.46
