GeographyCode,LC6113NI0001,LC6113NI0002,LC6113NI0003,LC6113NI0004,LC6113NI0005,LC6113NI0006,LC6113NI0007,LC6113NI0008,LC6113NI0009,LC6113NI0010,LC6113NI0011,LC6113NI0012,LC6113NI0013,LC6113NI0014,LC6113NI0015,LC6113NI0016,LC6113NI0017,LC6113NI0018,LC6113NI0019,LC6113NI0020,LC6113NI0021,LC6113NI0022,LC6113NI0023,LC6113NI0024,LC6113NI0025,LC6113NI0026,LC6113NI0027,LC6113NI0028,LC6113NI0029,LC6113NI0030
95CC07,2417,1312,1105,1623,956,667,353,214,139,769,433,336,352,247,105,149,62,87,794,356,438,211,128,83,147,74,73,436,154,282
95CC08,1777,888,889,1110,598,512,247,138,109,573,322,251,124,92,32,166,46,120,667,290,377,218,137,81,132,55,77,317,98,219
95CC09,2469,1589,880,1809,1194,615,354,226,128,1004,642,362,364,303,61,87,23,64,660,395,265,310,240,70,75,49,26,275,106,169
95CC10,1866,1146,720,1326,824,502,256,158,98,712,432,280,275,207,68,83,27,56,540,322,218,285,214,71,65,44,21,190,64,126
95CC11,1329,620,709,793,370,423,171,76,95,396,187,209,102,75,27,124,32,92,536,250,286,190,130,60,125,51,74,221,69,152
95CC12,1958,1140,818,1363,834,529,299,185,114,679,395,284,300,234,66,85,20,65,595,306,289,234,169,65,100,61,39,261,76,185
95CC13,1784,1034,750,1275,776,499,298,189,109,621,358,263,267,202,65,89,27,62,509,258,251,161,116,45,109,53,56,239,89,150
95CC14,2157,1424,733,1526,1017,509,360,236,124,853,568,285,236,196,40,77,17,60,631,407,224,293,240,53,131,79,52,207,88,119
95CC15,2056,1229,827,1411,896,515,304,203,101,773,480,293,241,193,48,93,20,73,645,333,312,248,172,76,120,71,49,277,90,187
95CC16,1946,1133,813,1300,803,497,322,178,144,698,434,264,197,161,36,83,30,53,646,330,316,262,162,100,148,85,63,236,83,153
95CC17,1995,1172,823,1448,888,560,313,210,103,705,409,296,316,237,79,114,32,82,547,284,263,214,161,53,88,45,43,245,78,167
95CC18,1709,925,784,1125,664,461,244,140,104,651,385,266,154,114,40,76,25,51,584,261,323,270,166,104,100,30,70,214,65,149
95CC19,1910,1164,746,1345,865,480,303,192,111,680,423,257,300,230,70,62,20,42,565,299,266,218,151,67,115,71,44,232,77,155
95CC20,2155,1372,783,1541,1040,501,343,226,117,930,639,291,182,140,42,86,35,51,614,332,282,266,192,74,89,49,40,259,91,168
95CC21,2120,1305,815,1470,925,545,319,203,116,886,558,328,179,137,42,86,27,59,650,380,270,297,220,77,130,68,62,223,92,131
95CC22,1282,569,713,822,375,447,198,90,108,490,232,258,58,36,22,76,17,59,460,194,266,206,112,94,99,30,69,155,52,103
95DD01,1505,1001,504,932,625,307,219,142,77,557,367,190,118,102,16,38,14,24,573,376,197,359,284,75,61,36,25,153,56,97
95DD02,2828,1796,1032,2076,1387,689,449,287,162,1293,889,404,218,176,42,116,35,81,752,409,343,350,249,101,125,62,63,277,98,179
95DD03,2531,1616,915,1819,1182,637,364,225,139,1150,758,392,233,177,56,72,22,50,712,434,278,410,315,95,65,32,33,237,87,150
95DD04,1377,606,771,824,357,467,228,95,133,427,201,226,49,30,19,120,31,89,553,249,304,204,125,79,143,51,92,206,73,133
95DD05,1286,616,670,774,380,394,225,92,133,395,217,178,54,47,7,100,24,76,512,236,276,163,105,58,127,53,74,222,78,144
95DD06,1847,1223,624,1233,810,423,270,172,98,751,506,245,145,113,32,67,19,48,614,413,201,382,308,74,52,36,16,180,69,111
95DD07,2379,1504,875,1587,1033,554,372,229,143,945,632,313,188,145,43,82,27,55,792,471,321,436,325,111,103,56,47,253,90,163
95DD08,1554,652,902,1037,483,554,223,106,117,649,319,330,69,31,38,96,27,69,517,169,348,194,78,116,155,35,120,168,56,112
95DD09,1861,1247,614,1328,912,416,284,201,83,684,454,230,307,238,69,53,19,34,533,335,198,270,220,50,67,38,29,196,77,119
95DD10,2073,1165,908,1400,820,580,318,185,133,829,511,318,130,92,38,123,32,91,673,345,328,327,217,110,124,56,68,222,72,150
95DD11,1628,746,882,1055,550,505,238,103,135,609,351,258,71,56,15,137,40,97,573,196,377,157,79,78,144,38,106,272,79,193
95DD12,1852,1202,650,1323,882,441,287,192,95,670,426,244,310,247,63,56,17,39,529,320,209,232,179,53,72,39,33,225,102,123
95DD13,1260,595,665,813,397,416,175,86,89,475,244,231,77,49,28,86,18,68,447,198,249,194,119,75,95,30,65,158,49,109
95DD14,2363,1531,832,1721,1161,560,386,242,144,1029,701,328,233,198,35,73,20,53,642,370,272,347,261,86,73,43,30,222,66,156
95DD15,2459,1469,990,1802,1132,670,364,219,145,986,618,368,344,259,85,108,36,72,657,337,320,263,178,85,102,46,56,292,113,179
95DD16,2163,1388,775,1615,1052,563,362,250,112,832,520,312,354,262,92,67,20,47,548,336,212,271,206,65,79,46,33,198,84,114
95DD17,2469,1601,868,1815,1224,591,385,254,131,920,599,321,415,339,76,95,32,63,654,377,277,277,221,56,87,51,36,290,105,185
95DD18,1378,725,653,896,467,429,213,110,103,505,268,237,100,68,32,78,21,57,482,258,224,253,169,84,111,45,66,118,44,74
95DD19,2423,1518,905,1714,1117,597,394,231,163,981,661,320,244,194,50,95,31,64,709,401,308,325,233,92,131,65,66,253,103,150
95DD20,1292,543,749,772,314,458,206,84,122,418,180,238,41,22,19,107,28,79,520,229,291,208,127,81,149,41,108,163,61,102
95DD21,1579,863,716,1138,646,492,262,147,115,677,389,288,111,80,31,88,30,58,441,217,224,230,153,77,46,16,30,165,48,117
95DD22,2265,1319,946,1535,966,569,327,198,129,814,503,311,319,241,78,75,24,51,730,353,377,275,183,92,157,72,85,298,98,200
95DD23,1807,1160,647,1354,906,448,300,199,101,648,411,237,363,282,81,43,14,29,453,254,199,209,159,50,58,32,26,186,63,123
95DD24,1997,1172,825,1422,840,582,325,186,139,843,513,330,146,118,28,108,23,85,575,332,243,271,208,63,95,50,45,209,74,135
95EE01,1339,811,528,872,544,328,142,93,49,419,251,168,224,172,52,87,28,59,467,267,200,151,112,39,81,51,30,235,104,131
95EE02,1539,942,597,1035,659,376,219,136,83,523,354,169,194,149,45,99,20,79,504,283,221,172,121,51,118,64,54,214,98,116
95EE03,1472,830,642,912,567,345,201,118,83,517,345,172,97,83,14,97,21,76,560,263,297,190,125,65,147,54,93,223,84,139
95EE04,1460,861,599,986,601,385,189,113,76,556,357,199,159,116,43,82,15,67,474,260,214,185,134,51,68,43,25,221,83,138
95EE05,1134,695,439,754,500,254,161,111,50,365,240,125,172,134,38,56,15,41,380,195,185,171,119,52,64,30,34,145,46,99
95EE06,1587,924,663,1071,676,395,204,137,67,558,333,225,212,167,45,97,39,58,516,248,268,150,103,47,78,47,31,288,98,190
95EE07,1258,742,516,780,497,283,191,116,75,424,279,145,87,66,21,78,36,42,478,245,233,221,147,74,85,39,46,172,59,113
95EE08,1233,719,514,792,474,318,156,96,60,459,281,178,105,80,25,72,17,55,441,245,196,214,158,56,76,42,34,151,45,106
95EE09,1356,825,531,915,593,322,204,136,68,443,264,179,208,168,40,60,25,35,441,232,209,131,97,34,88,60,28,222,75,147
95EE10,1292,764,528,878,546,332,164,105,59,471,284,187,168,132,36,75,25,50,414,218,196,145,95,50,82,41,41,187,82,105
95EE11,1232,741,491,820,517,303,144,85,59,404,244,160,228,176,52,44,12,32,412,224,188,156,110,46,64,37,27,192,77,115
95EE12,1862,984,878,1197,694,503,265,148,117,638,411,227,121,84,37,173,51,122,665,290,375,203,114,89,183,85,98,279,91,188
95EE13,1102,573,529,602,346,256,134,83,51,319,185,134,86,60,26,63,18,45,500,227,273,221,130,91,118,41,77,161,56,105
95EE14,1922,1225,697,1278,871,407,280,181,99,685,484,201,202,173,29,111,33,78,644,354,290,244,178,66,136,66,70,264,110,154
95EE15,1256,785,471,851,580,271,178,131,47,392,263,129,212,162,50,69,24,45,405,205,200,165,104,61,65,37,28,175,64,111
95EE16,1481,941,540,996,676,320,223,146,77,499,328,171,223,182,41,51,20,31,485,265,220,172,127,45,97,56,41,216,82,134
95FF01,3427,2232,1195,2561,1729,832,566,347,219,1545,1078,467,318,254,64,132,50,82,866,503,363,393,304,89,116,68,48,357,131,226
95FF02,1957,1204,753,1410,889,521,290,196,94,644,383,261,375,275,100,101,35,66,547,315,232,196,149,47,101,57,44,250,109,141
95FF03,2182,1275,907,1571,963,608,382,217,165,926,590,336,150,121,29,113,35,78,611,312,299,213,148,65,155,73,82,243,91,152
95FF04,1866,1211,655,1370,940,430,293,198,95,639,427,212,358,286,72,80,29,51,496,271,225,179,130,49,94,64,30,223,77,146
95FF05,1835,1035,800,1236,742,494,248,149,99,749,448,301,142,116,26,97,29,68,599,293,306,290,190,100,123,48,75,186,55,131
95FF06,2847,1879,968,2158,1487,671,466,315,151,1306,912,394,286,224,62,100,36,64,689,392,297,291,218,73,113,70,43,285,104,181
95FF07,1952,940,1012,1257,661,596,322,163,159,644,377,267,120,80,40,171,41,130,695,279,416,219,117,102,215,85,130,261,77,184
95FF08,1689,957,732,1078,644,434,246,149,97,598,363,235,132,101,31,102,31,71,611,313,298,281,191,90,132,60,72,198,62,136
95FF09,1794,1053,741,1144,712,432,230,135,95,652,421,231,167,126,41,95,30,65,650,341,309,233,155,78,178,91,87,239,95,144
95FF10,2491,1633,858,1844,1277,567,356,251,105,985,666,319,403,321,82,100,39,61,647,356,291,236,172,64,120,69,51,291,115,176
95FF11,1852,1203,649,1353,899,454,259,180,79,702,457,245,331,248,83,61,14,47,499,304,195,178,131,47,88,61,27,233,112,121
95FF12,2043,1195,848,1422,870,552,296,165,131,825,507,318,221,166,55,80,32,48,621,325,296,265,173,92,143,79,64,213,73,140
95FF13,1935,1211,724,1356,871,485,281,176,105,707,449,258,300,227,73,68,19,49,579,340,239,250,185,65,107,63,44,222,92,130
95FF14,1754,1209,545,1243,864,379,233,159,74,673,477,196,288,215,73,49,13,36,511,345,166,282,237,45,63,39,24,166,69,97
95FF15,1894,1025,869,1238,720,518,286,165,121,690,403,287,169,127,42,93,25,68,656,305,351,271,168,103,130,55,75,255,82,173
95FF16,1703,1030,673,1150,734,416,254,161,93,685,450,235,150,110,40,61,13,48,553,296,257,270,196,74,109,45,64,174,55,119
95FF17,1291,642,649,790,419,371,169,89,80,473,255,218,85,57,28,63,18,45,501,223,278,214,128,86,139,42,97,148,53,95
95GG01,3547,1471,2076,2037,840,1197,572,224,348,1048,460,588,185,122,63,232,34,198,1510,631,879,585,362,223,435,148,287,490,121,369
95GG02,4177,1057,3120,2044,520,1524,700,141,559,789,283,506,86,40,46,469,56,413,2133,537,1596,501,233,268,749,163,586,883,141,742
95GG03,4372,2454,1918,3220,1900,1320,669,366,303,2008,1206,802,400,296,104,143,32,111,1152,554,598,594,367,227,170,68,102,388,119,269
95GG04,3584,1120,2464,1948,687,1261,533,151,382,1008,422,586,88,42,46,319,72,247,1636,433,1203,415,170,245,576,130,446,645,133,512
95GG05,4772,1773,2999,3785,1478,2307,695,251,444,2458,1004,1454,327,160,167,305,63,242,987,295,692,288,118,170,228,50,178,471,127,344
95GG06,4050,1998,2052,2694,1401,1293,715,342,373,1557,890,667,165,112,53,257,57,200,1356,597,759,455,292,163,365,158,207,536,147,389
95GG07,3950,1332,2618,2288,817,1471,715,224,491,1152,484,668,106,55,51,315,54,261,1662,515,1147,422,219,203,545,153,392,695,143,552
95GG08,3548,1682,1866,2343,1173,1170,605,266,339,1266,721,545,214,147,67,258,39,219,1205,509,696,457,287,170,272,99,173,476,123,353
95GG09,4446,2516,1930,3074,1791,1283,709,369,340,1873,1151,722,310,221,89,182,50,132,1372,725,647,652,452,200,255,114,141,465,159,306
95GG10,3170,1099,2071,2125,758,1367,524,175,349,1237,483,754,83,35,48,281,65,216,1045,341,704,292,135,157,318,101,217,435,105,330
95GG11,4145,1903,2242,2928,1416,1512,571,260,311,1837,932,905,242,160,82,278,64,214,1217,487,730,475,250,225,294,85,209,448,152,296
95GG12,7730,1317,6413,5157,957,4200,2179,233,1946,2100,556,1544,229,96,133,649,72,577,2573,360,2213,225,87,138,389,73,316,1959,200,1759
95GG13,3373,1692,1681,2256,1206,1050,528,272,256,1267,715,552,226,174,52,235,45,190,1117,486,631,465,281,184,242,82,160,410,123,287
95GG14,3494,2061,1433,2499,1556,943,613,350,263,1447,942,505,308,243,65,131,21,110,995,505,490,477,354,123,111,58,53,407,93,314
95GG15,4054,2500,1554,2893,1884,1009,572,368,204,1797,1189,608,378,296,82,146,31,115,1161,616,545,643,440,203,136,56,80,382,120,262
95GG16,3943,1685,2258,2687,1264,1423,662,279,383,1521,805,716,218,133,85,286,47,239,1256,421,835,383,201,182,339,86,253,534,134,400
95GG17,3757,1634,2123,2270,1087,1183,631,254,377,1166,638,528,184,145,39,289,50,239,1487,547,940,489,276,213,383,131,252,615,140,475
95GG18,3574,980,2594,1932,583,1349,550,149,401,984,365,619,77,35,42,321,34,287,1642,397,1245,325,146,179,621,125,496,696,126,570
95GG19,3143,1042,2101,1454,537,917,437,128,309,688,329,359,72,43,29,257,37,220,1689,505,1184,497,229,268,603,143,460,589,133,456
95GG20,3559,1261,2298,2110,819,1291,540,197,343,1141,490,651,146,69,77,283,63,220,1449,442,1007,401,184,217,495,117,378,553,141,412
95GG21,3754,914,2840,1823,497,1326,543,118,425,851,293,558,70,30,40,359,56,303,1931,417,1514,413,166,247,766,123,643,752,128,624
95GG22,3839,1636,2203,2361,1047,1314,692,256,436,1203,627,576,203,123,80,263,41,222,1478,589,889,570,317,253,397,145,252,511,127,384
95GG23,3335,2001,1334,2312,1414,898,578,295,283,1344,881,463,260,199,61,130,39,91,1023,587,436,616,450,166,113,53,60,294,84,210
95GG24,3169,1678,1491,2165,1192,973,559,270,289,1251,735,516,217,150,67,138,37,101,1004,486,518,474,293,181,183,78,105,347,115,232
95GG25,3968,1495,2473,2473,999,1474,786,269,517,1248,592,656,161,103,58,278,35,243,1495,496,999,439,234,205,453,127,326,603,135,468
95GG26,2624,1074,1550,1495,616,879,421,160,261,792,375,417,78,47,31,204,34,170,1129,458,671,430,266,164,301,102,199,398,90,308
95GG27,4706,1714,2992,2828,1070,1758,848,264,584,1343,626,717,213,121,92,424,59,365,1878,644,1234,525,320,205,617,180,437,736,144,592
95GG28,4023,2065,1958,2601,1394,1207,717,357,360,1466,860,606,177,134,43,241,43,198,1422,671,751,501,347,154,396,167,229,525,157,368
95GG29,3704,1589,2115,2489,1152,1337,483,192,291,1637,832,805,142,73,69,227,55,172,1215,437,778,392,181,211,369,101,268,454,155,299
95GG30,3467,2088,1379,2408,1524,884,606,348,258,1432,936,496,263,212,51,107,28,79,1059,564,495,548,377,171,170,80,90,341,107,234
95GG31,4820,2163,2657,2918,1354,1564,813,310,503,1511,803,708,252,175,77,342,66,276,1902,809,1093,686,472,214,468,169,299,748,168,580
95GG32,4495,2135,2360,2774,1436,1338,730,330,400,1544,925,619,200,129,71,300,52,248,1721,699,1022,566,338,228,443,178,265,712,183,529
95GG33,4021,2313,1708,2856,1731,1125,503,271,232,1581,897,684,638,521,117,134,42,92,1165,582,583,564,421,143,74,25,49,527,136,391
95GG34,3628,1990,1638,2577,1463,1114,588,287,301,1556,942,614,249,179,70,184,55,129,1051,527,524,481,343,138,186,83,103,384,101,283
95GG35,3566,902,2664,1762,489,1273,540,133,407,810,283,527,83,38,45,329,35,294,1804,413,1391,437,203,234,691,124,567,676,86,590
95GG36,4080,2440,1640,3041,1873,1168,694,413,281,1880,1163,717,333,253,80,134,44,90,1039,567,472,514,330,184,174,94,80,351,143,208
95GG37,4654,2375,2279,3663,1909,1754,569,293,276,2512,1300,1212,376,256,120,206,60,146,991,466,525,442,281,161,158,60,98,391,125,266
95GG38,4842,2323,2519,3759,1874,1885,629,303,326,2460,1212,1248,485,308,177,185,51,134,1083,449,634,489,273,216,154,52,102,440,124,316
95GG39,5694,1636,4058,3466,1077,2389,713,195,518,2135,734,1401,226,87,139,392,61,331,2228,559,1669,541,174,367,741,154,587,946,231,715
95GG40,2650,848,1802,1305,452,853,394,131,263,597,264,333,64,36,28,250,21,229,1345,396,949,393,162,231,459,118,341,493,116,377
95GG41,3751,2471,1280,2549,1735,814,555,357,198,1478,1029,449,424,330,94,92,19,73,1202,736,466,672,528,144,108,57,51,422,151,271
95GG42,5137,2277,2860,3704,1740,1964,978,288,690,2046,1047,999,520,370,150,160,35,125,1433,537,896,485,347,138,59,23,36,889,167,722
95GG43,3658,1874,1784,2559,1338,1221,564,279,285,1628,875,753,188,136,52,179,48,131,1099,536,563,497,304,193,276,122,154,326,110,216
95GG44,4236,1559,2677,2627,1045,1582,606,239,367,1571,700,871,128,56,72,322,50,272,1609,514,1095,433,198,235,543,136,407,633,180,453
95GG45,3392,1719,1673,2150,1145,1005,478,212,266,1264,709,555,258,187,71,150,37,113,1242,574,668,502,355,147,262,80,182,478,139,339
95GG46,3781,1153,2628,1926,580,1346,636,160,476,787,315,472,109,68,41,394,37,357,1855,573,1282,393,217,176,688,182,506,774,174,600
95GG47,4269,1255,3014,2395,821,1574,572,169,403,1196,508,688,162,89,73,465,55,410,1874,434,1440,421,171,250,651,121,530,802,142,660
95GG48,3848,976,2872,1842,515,1327,667,157,510,741,273,468,70,37,33,364,48,316,2006,461,1545,308,135,173,779,177,602,919,149,770
95GG49,7066,1657,5409,4700,1277,3423,1454,226,1228,2512,825,1687,328,166,162,406,60,346,2366,380,1986,283,127,156,197,42,155,1886,211,1675
95GG50,4167,1619,2548,2769,1149,1620,531,216,315,1713,758,955,171,92,79,354,83,271,1398,470,928,398,179,219,430,122,308,570,169,401
95GG51,2917,1127,1790,1537,636,901,479,202,277,747,355,392,60,35,25,251,44,207,1380,491,889,428,239,189,487,133,354,465,119,346
95HH01,1456,882,574,921,588,333,212,133,79,549,364,185,87,70,17,73,21,52,535,294,241,305,210,95,73,29,44,157,55,102
95HH02,2190,1496,694,1601,1124,477,415,259,156,962,715,247,146,123,23,78,27,51,589,372,217,295,239,56,67,57,10,227,76,151
95HH03,1194,802,392,728,465,263,159,108,51,420,271,149,97,75,22,52,11,41,466,337,129,328,269,59,40,21,19,98,47,51
95HH04,2381,1574,807,1690,1126,564,417,252,165,1036,730,306,140,113,27,97,31,66,691,448,243,365,295,70,103,81,22,223,72,151
95HH05,1544,768,776,1009,528,481,259,126,133,563,330,233,60,38,22,127,34,93,535,240,295,197,131,66,140,53,87,198,56,142
95HH06,3462,2250,1212,2644,1813,831,634,404,230,1586,1142,444,274,220,54,150,47,103,818,437,381,330,243,87,127,81,46,361,113,248
95HH07,1095,490,605,721,325,396,172,69,103,412,200,212,51,34,17,86,22,64,374,165,209,146,92,54,99,34,65,129,39,90
95HH08,1945,1182,763,1379,858,521,274,157,117,855,543,312,182,135,47,68,23,45,566,324,242,300,224,76,79,34,45,187,66,121
95HH09,1934,886,1048,1216,596,620,248,118,130,746,391,355,97,56,41,125,31,94,718,290,428,329,179,150,196,50,146,193,61,132
95HH10,1768,1174,594,1284,885,399,297,187,110,778,562,216,145,123,22,64,13,51,484,289,195,255,197,58,63,37,26,166,55,111
95HH11,986,455,531,637,297,340,165,79,86,346,179,167,37,19,18,89,20,69,349,158,191,142,91,51,93,28,65,114,39,75
95HH12,1183,716,467,769,457,312,171,86,85,471,300,171,63,48,15,64,23,41,414,259,155,226,176,50,67,38,29,121,45,76
95HH13,991,451,540,620,291,329,167,79,88,333,168,165,36,27,9,84,17,67,371,160,211,100,64,36,116,42,74,155,54,101
95HH14,1128,513,615,654,311,343,155,75,80,368,190,178,33,26,7,98,20,78,474,202,272,216,117,99,128,49,79,130,36,94
95HH15,1909,1062,847,1358,797,561,365,188,177,802,514,288,106,79,27,85,16,69,551,265,286,239,140,99,109,52,57,203,73,130
95HH16,1556,946,610,1026,669,357,214,120,94,601,409,192,143,111,32,68,29,39,530,277,253,279,196,83,64,22,42,187,59,128
95HH17,1858,1213,645,1337,901,436,294,185,109,770,534,236,189,162,27,84,20,64,521,312,209,260,199,61,60,38,22,201,75,126
95II01,2326,1513,813,1572,1047,525,389,247,142,907,604,303,222,177,45,54,19,35,754,466,288,463,358,105,61,29,32,230,79,151
95II02,3342,1950,1392,2349,1488,861,524,301,223,1438,956,482,256,194,62,131,37,94,993,462,531,430,286,144,200,70,130,363,106,257
95II03,2626,1691,935,1993,1333,660,439,263,176,1290,895,395,207,154,53,57,21,36,633,358,275,331,273,58,47,26,21,255,59,196
95II04,3156,1971,1185,2299,1500,799,562,323,239,1397,971,426,198,157,41,142,49,93,857,471,386,393,285,108,170,77,93,294,109,185
95II05,2434,1413,1021,1756,1087,669,440,224,216,1052,701,351,181,142,39,83,20,63,678,326,352,329,220,109,83,43,40,266,63,203
