GeographyCode,LC2102NI0001,LC2102NI0002,LC2102NI0003,LC2102NI0004,LC2102NI0005,LC2102NI0006,LC2102NI0007,LC2102NI0008,LC2102NI0009,LC2102NI0010,LC2102NI0011,LC2102NI0012,LC2102NI0013,LC2102NI0014,LC2102NI0015,LC2102NI0016,LC2102NI0017,LC2102NI0018,LC2102NI0019,LC2102NI0020,LC2102NI0021
95GG08,4910,4743,167,1463,1695,1184,568,2406,2315,91,687,866,573,280,2504,2428,76,776,829,611,288
95GG09,6165,6035,130,3675,284,1107,1099,2927,2860,67,1718,146,526,537,3238,3175,63,1957,138,581,562
95GG10,3998,3592,406,2113,299,664,922,2017,1793,224,1031,135,349,502,1981,1799,182,1082,164,315,420
95GG11,5453,5034,419,2882,389,1043,1139,2662,2456,206,1383,181,513,585,2791,2578,213,1499,208,530,554
95GG12,8945,8017,928,1516,3639,1752,2038,4608,4111,497,772,1855,867,1114,4337,3906,431,744,1784,885,924
95GG13,4722,4595,127,2075,1162,852,633,2224,2164,60,965,574,378,307,2498,2431,67,1110,588,474,326
95GG14,4820,4770,50,1552,1703,946,619,2321,2297,24,744,822,455,300,2499,2473,26,808,881,491,319
95GG15,5920,5780,140,3221,427,1110,1162,2667,2608,59,1438,188,492,549,3253,3172,81,1783,239,618,613
95GG16,5452,5269,183,1138,2493,1191,630,2752,2664,88,544,1302,564,342,2700,2605,95,594,1191,627,288
95GG17,5330,5238,92,1331,2428,1116,455,2526,2476,50,622,1153,520,231,2804,2762,42,709,1275,596,224
95GG18,4975,4812,163,523,3149,912,391,2376,2282,94,274,1448,443,211,2599,2530,69,249,1701,469,180
95GG19,4582,4536,46,3184,379,530,489,2116,2093,23,1402,185,264,265,2466,2443,23,1782,194,266,224
95GG20,4901,4532,369,2523,696,741,941,2519,2326,193,1220,382,393,524,2382,2206,176,1303,314,348,417
95GG21,5184,4955,229,637,2958,1126,463,2488,2370,118,293,1422,538,235,2696,2585,111,344,1536,588,228
95GG22,5343,5277,66,387,3596,1080,280,2462,2433,29,190,1653,495,124,2881,2844,37,197,1943,585,156
95GG23,4555,4435,120,1552,1445,853,705,2135,2076,59,703,704,384,344,2420,2359,61,849,741,469,361
95GG24,4561,4386,175,2012,1077,777,695,2085,1996,89,912,498,340,335,2476,2390,86,1100,579,437,360
95GG25,5573,5533,40,403,3945,931,294,2698,2676,22,204,1910,434,150,2875,2857,18,199,2035,497,144
95GG26,3749,3694,55,2334,506,442,467,1777,1748,29,1078,247,218,234,1972,1946,26,1256,259,224,233
95GG27,6498,6463,35,529,4465,1194,310,3197,3178,19,240,2218,560,179,3301,3285,16,289,2247,634,131
95GG28,5651,5560,91,3902,373,646,730,2679,2633,46,1813,183,309,374,2972,2927,45,2089,190,337,356
95GG29,5014,4492,522,2782,286,787,1159,2376,2093,283,1252,149,371,604,2638,2399,239,1530,137,416,555
95GG30,4827,4765,62,2889,269,796,873,2296,2265,31,1375,132,370,419,2531,2500,31,1514,137,426,454
95GG31,6519,6437,82,881,3999,1246,393,3086,3038,48,423,1914,547,202,3433,3399,34,458,2085,699,191
95GG32,6409,6179,230,2711,1641,1184,873,3021,2905,116,1267,768,557,429,3388,3274,114,1444,873,627,444
95GG33,5555,5381,174,1313,2073,1123,1046,2691,2617,74,662,1022,519,488,2864,2764,100,651,1051,604,558
95GG34,4927,4753,174,1328,1903,1033,663,2381,2295,86,619,982,461,319,2546,2458,88,709,921,572,344
95GG35,4950,4814,136,726,2646,1178,400,2393,2313,80,352,1281,546,214,2557,2501,56,374,1365,632,186
95GG36,5619,5465,154,3161,355,1040,1063,2687,2608,79,1486,168,488,545,2932,2857,75,1675,187,552,518
95GG37,6041,5614,427,2038,1400,1274,1329,2908,2685,223,936,678,610,684,3133,2929,204,1102,722,664,645
95GG38,6564,6298,266,1620,2293,1485,1166,3070,2939,131,736,1102,655,577,3494,3359,135,884,1191,830,589
95GG39,7214,6356,858,2903,1505,1148,1658,3740,3260,480,1462,748,583,947,3474,3096,378,1441,757,565,711
95GG40,3816,3750,66,2752,205,434,425,1787,1754,33,1269,95,211,212,2029,1996,33,1483,110,223,213
95GG41,5548,5442,106,2912,384,1082,1170,2674,2605,69,1383,192,507,592,2874,2837,37,1529,192,575,578
95GG42,8139,7677,462,2134,2411,1640,1954,3875,3661,214,1055,1133,695,992,4264,4016,248,1079,1278,945,962
95GG43,4874,4619,255,2840,217,850,967,2342,2204,138,1320,96,415,511,2532,2415,117,1520,121,435,456
95GG44,5591,4982,609,3072,330,944,1245,2842,2502,340,1491,175,480,696,2749,2480,269,1581,155,464,549
95GG45,4841,4693,148,2362,817,824,838,2258,2190,68,1080,414,380,384,2583,2503,80,1282,403,444,454
95GG46,5250,5209,41,534,3409,1098,209,2458,2438,20,244,1605,515,94,2792,2771,21,290,1804,583,115
95GG47,5829,5585,244,781,3004,1419,625,2963,2824,139,371,1562,684,346,2866,2761,105,410,1442,735,279
95GG48,5694,5654,40,516,3795,1111,272,2660,2642,18,239,1748,522,151,3034,3012,22,277,2047,589,121
95GG49,8141,7043,1098,1992,2032,1646,2471,3993,3417,576,921,991,798,1283,4148,3626,522,1071,1041,848,1188
95GG50,5445,4776,669,2742,456,941,1306,2627,2296,331,1280,218,459,670,2818,2480,338,1462,238,482,636
95GG51,4088,4031,57,2914,150,490,534,1953,1922,31,1357,65,246,285,2135,2109,26,1557,85,244,249
95HH01,2059,2038,21,1173,93,462,331,997,988,9,577,48,214,158,1062,1050,12,596,45,248,173
95HH02,2962,2932,30,1832,57,531,542,1480,1464,16,903,29,281,267,1482,1468,14,929,28,250,275
95HH03,1663,1645,18,1044,76,245,298,787,775,12,507,36,102,142,876,870,6,537,40,143,156
95HH04,3067,3047,20,2018,51,424,574,1503,1489,14,997,21,207,278,1564,1558,6,1021,30,217,296
95HH05,2171,2128,43,1434,45,332,360,1035,1012,23,667,33,152,183,1136,1116,20,767,12,180,177
95HH06,4797,4755,42,3031,115,755,896,2389,2368,21,1482,62,396,449,2408,2387,21,1549,53,359,447
95HH07,1493,1467,26,973,22,261,237,725,709,16,482,12,115,116,768,758,10,491,10,146,121
95HH08,2619,2568,51,1469,154,512,484,1250,1222,28,699,77,239,235,1369,1346,23,770,77,273,249
95HH09,2620,2511,109,1512,119,486,503,1250,1192,58,686,57,251,256,1370,1319,51,826,62,235,247
95HH10,2489,2468,21,1465,82,502,440,1221,1211,10,728,38,238,217,1268,1257,11,737,44,264,223
95HH11,1417,1410,7,917,48,238,214,634,632,2,415,19,108,92,783,778,5,502,29,130,122
95HH12,1552,1536,16,1057,37,234,224,741,738,3,503,20,112,106,811,798,13,554,17,122,118
95HH13,1407,1397,10,982,22,226,177,669,667,2,465,6,116,82,738,730,8,517,16,110,95
95HH14,1530,1506,24,1003,35,267,225,727,716,11,480,20,124,103,803,790,13,523,15,143,122
95HH15,2630,2607,23,1710,72,392,456,1194,1184,10,774,27,174,219,1436,1423,13,936,45,218,237
95HH16,2159,2111,48,1173,133,471,382,1027,1004,23,574,52,220,181,1132,1107,25,599,81,251,201
95HH17,2479,2450,29,1643,64,354,418,1222,1209,13,797,30,194,201,1257,1241,16,846,34,160,217
95II01,3084,3036,48,1939,66,546,533,1516,1490,26,953,33,268,262,1568,1546,22,986,33,278,271
95II02,4961,4857,104,2189,879,1024,869,2461,2414,47,1049,466,531,415,2500,2443,57,1140,413,493,454
95II03,3523,3432,91,1326,795,858,544,1704,1664,40,663,385,401,255,1819,1768,51,663,410,457,289
95II04,4317,4262,55,2750,83,664,820,2075,2049,26,1306,39,305,425,2242,2213,29,1444,44,359,395
95II05,3546,3472,74,1441,809,764,532,1685,1645,40,666,414,365,240,1861,1827,34,775,395,399,292
95II06,3398,3335,63,1337,751,816,494,1628,1595,33,646,365,369,248,1770,1740,30,691,386,447,246
95II07,2090,2046,44,1288,90,359,353,989,967,22,593,44,167,185,1101,1079,22,695,46,192,168
95II08,2417,2349,68,1492,115,415,395,1143,1106,37,700,54,179,210,1274,1243,31,792,61,236,185
95II09,3363,3261,102,2111,93,547,612,1618,1562,56,1005,46,259,308,1745,1699,46,1106,47,288,304
95II10,2592,2556,36,1748,60,380,404,1238,1217,21,809,36,184,209,1354,1339,15,939,24,196,195
95II11,2567,2498,69,941,545,588,493,1207,1175,32,447,261,257,242,1360,1323,37,494,284,331,251
95II12,2512,2468,44,1450,108,451,503,1215,1194,21,685,46,228,256,1297,1274,23,765,62,223,247
95II13,2702,2611,91,1722,60,454,466,1284,1235,49,803,31,211,239,1418,1376,42,919,29,243,227
95II14,2561,2519,42,1202,357,506,496,1219,1197,22,579,165,215,260,1342,1322,20,623,192,291,236
95II15,3357,3262,95,1177,901,702,577,1639,1594,45,581,454,322,282,1718,1668,50,596,447,380,295
95II16,2126,2106,20,1385,60,304,377,1032,1022,10,672,28,144,188,1094,1084,10,713,32,160,189
95II17,2493,2468,25,1608,73,430,382,1196,1182,14,776,47,186,187,1297,1286,11,832,26,244,195
95II18,2226,2165,61,1402,104,308,412,1045,1017,28,653,50,141,201,1181,1148,33,749,54,167,211
95II19,3770,3737,33,2241,257,601,671,1911,1891,20,1144,137,287,343,1859,1846,13,1097,120,314,328
95II20,2780,2649,131,1128,568,535,549,1287,1222,65,521,265,234,267,1493,1427,66,607,303,301,282
95II21,2419,2403,16,1634,44,399,342,1123,1115,8,739,19,199,166,1296,1288,8,895,25,200,176
95II22,2248,2198,50,1432,74,353,389,1049,1029,20,668,30,166,185,1199,1169,30,764,44,187,204
95II23,2190,2131,59,810,498,532,350,1023,997,26,367,239,240,177,1167,1134,33,443,259,292,173
95JJ01,2499,2472,27,1400,286,471,342,1266,1253,13,710,153,236,167,1233,1219,14,690,133,235,175
95JJ02,2374,2309,65,1107,305,592,370,1155,1125,30,522,164,287,182,1219,1184,35,585,141,305,188
95JJ03,2470,2453,17,1499,80,548,343,1197,1185,12,698,37,278,184,1273,1268,5,801,43,270,159
