GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
95MM18,3786,2487,1205,94,1848,1190,603,55,1938,1297,602,39,2130,1335,753,42,1065,663,376,26,1065,672,377,16,1656,1152,452,52,783,527,227,29,873,625,225,23
95MM19,2478,872,1501,105,1201,419,728,54,1277,453,773,51,1345,485,819,41,664,231,411,22,681,254,408,19,1133,387,682,64,537,188,317,32,596,199,365,32
95MM20,2746,572,2073,101,1284,251,973,60,1462,321,1100,41,1452,297,1100,55,722,138,549,35,730,159,551,20,1294,275,973,46,562,113,424,25,732,162,549,21
95MM21,2687,1035,1584,68,1282,476,770,36,1405,559,814,32,1522,580,905,37,762,279,461,22,760,301,444,15,1165,455,679,31,520,197,309,14,645,258,370,17
95MM22,2098,1975,86,37,1012,944,46,22,1086,1031,40,15,1070,1023,33,14,536,510,17,9,534,513,16,5,1028,952,53,23,476,434,29,13,552,518,24,10
95MM23,2098,1830,189,79,1104,972,86,46,994,858,103,33,712,626,57,29,350,306,29,15,362,320,28,14,1386,1204,132,50,754,666,57,31,632,538,75,19
95MM24,1928,1882,35,11,889,862,20,7,1039,1020,15,4,729,714,14,1,363,352,11,0,366,362,3,1,1199,1168,21,10,526,510,9,7,673,658,12,3
95MM25,4400,4217,128,55,1998,1910,59,29,2402,2307,69,26,1681,1606,49,26,844,799,28,17,837,807,21,9,2719,2611,79,29,1154,1111,31,12,1565,1500,48,17
95MM26,2501,2430,42,29,1194,1155,22,17,1307,1275,20,12,1150,1117,19,14,574,555,10,9,576,562,9,5,1351,1313,23,15,620,600,12,8,731,713,11,7
95MM27,2839,2418,256,165,1588,1346,133,109,1251,1072,123,56,787,673,66,48,394,338,30,26,393,335,36,22,2052,1745,190,117,1194,1008,103,83,858,737,87,34
95MM28,1895,1530,298,67,1035,833,163,39,860,697,135,28,564,439,109,16,283,216,60,7,281,223,49,9,1331,1091,189,51,752,617,103,32,579,474,86,19
95MM29,2653,1897,657,99,1320,935,330,55,1333,962,327,44,1013,720,254,39,505,351,134,20,508,369,120,19,1640,1177,403,60,815,584,196,35,825,593,207,25
95MM30,1719,1636,60,23,833,785,33,15,886,851,27,8,555,518,23,14,278,258,10,10,277,260,13,4,1164,1118,37,9,555,527,23,5,609,591,14,4
95NN01,2461,2111,284,66,1245,1065,141,39,1216,1046,143,27,1264,1068,170,26,628,527,86,15,636,541,84,11,1197,1043,114,40,617,538,55,24,580,505,59,16
95NN02,1784,1585,163,36,834,749,69,16,950,836,94,20,972,863,92,17,484,434,43,7,488,429,49,10,812,722,71,19,350,315,26,9,462,407,45,10
95NN03,2214,421,1669,124,1051,188,793,70,1163,233,876,54,1266,225,969,72,629,108,480,41,637,117,489,31,948,196,700,52,422,80,313,29,526,116,387,23
95NN04,2116,1866,178,72,991,867,82,42,1125,999,96,30,860,756,70,34,431,380,32,19,429,376,38,15,1256,1110,108,38,560,487,50,23,696,623,58,15
95NN05,1934,1010,829,95,911,476,395,40,1023,534,434,55,1006,494,467,45,505,242,244,19,501,252,223,26,928,516,362,50,406,234,151,21,522,282,211,29
95NN06,2561,2239,256,66,1263,1097,128,38,1298,1142,128,28,1338,1157,147,34,666,573,74,19,672,584,73,15,1223,1082,109,32,597,524,54,19,626,558,55,13
95NN07,2469,2221,186,62,1158,1036,85,37,1311,1185,101,25,1164,1047,90,27,581,512,51,18,583,535,39,9,1305,1174,96,35,577,524,34,19,728,650,62,16
95NN08,2612,1408,1078,126,1292,678,533,81,1320,730,545,45,1530,780,687,63,764,364,363,37,766,416,324,26,1082,628,391,63,528,314,170,44,554,314,221,19
95NN09,2365,726,1529,110,1181,349,769,63,1184,377,760,47,1468,428,983,57,738,203,500,35,730,225,483,22,897,298,546,53,443,146,269,28,454,152,277,25
95NN10,2492,1613,772,107,1204,773,371,60,1288,840,401,47,1366,886,437,43,682,427,226,29,684,459,211,14,1126,727,335,64,522,346,145,31,604,381,190,33
95NN11,2951,2399,467,85,1459,1158,247,54,1492,1241,220,31,1738,1375,320,43,870,674,170,26,868,701,150,17,1213,1024,147,42,589,484,77,28,624,540,70,14
95NN12,2204,1327,791,86,1075,640,393,42,1129,687,398,44,1199,688,483,28,600,334,247,19,599,354,236,9,1005,639,308,58,475,306,146,23,530,333,162,35
95NN13,2344,913,1293,138,1168,449,632,87,1176,464,661,51,1510,585,861,64,755,284,434,37,755,301,427,27,834,328,432,74,413,165,198,50,421,163,234,24
95NN14,2495,1810,564,121,1237,888,290,59,1258,922,274,62,1398,956,366,76,701,475,190,36,697,481,176,40,1097,854,198,45,536,413,100,23,561,441,98,22
95NN15,2331,820,1362,149,1123,380,656,87,1208,440,706,62,1264,420,775,69,627,191,395,41,637,229,380,28,1067,400,587,80,496,189,261,46,571,211,326,34
95NN16,2543,639,1755,149,1274,308,880,86,1269,331,875,63,1592,375,1149,68,796,170,588,38,796,205,561,30,951,264,606,81,478,138,292,48,473,126,314,33
95NN17,1778,1296,411,71,826,591,196,39,952,705,215,32,864,607,228,29,430,296,117,17,434,311,111,12,914,689,183,42,396,295,79,22,518,394,104,20
95NN18,2097,1514,493,90,1033,740,239,54,1064,774,254,36,1074,771,259,44,536,373,136,27,538,398,123,17,1023,743,234,46,497,367,103,27,526,376,131,19
95NN19,2723,702,1846,175,1303,322,888,93,1420,380,958,82,1654,413,1167,74,830,195,594,41,824,218,573,33,1069,289,679,101,473,127,294,52,596,162,385,49
95NN20,2346,1307,939,100,1207,674,474,59,1139,633,465,41,1378,758,571,49,690,373,285,32,688,385,286,17,968,549,368,51,517,301,189,27,451,248,179,24
95NN21,2175,1522,572,81,1001,703,261,37,1174,819,311,44,1124,776,301,47,559,376,158,25,565,400,143,22,1051,746,271,34,442,327,103,12,609,419,168,22
