GeographyCode,LC2402NI0001,LC2402NI0002,LC2402NI0003,LC2402NI0004,LC2402NI0005,LC2402NI0006,LC2402NI0007,LC2402NI0008,LC2402NI0009,LC2402NI0010,LC2402NI0011,LC2402NI0012,LC2402NI0013,LC2402NI0014,LC2402NI0015,LC2402NI0016
95LL14,2651,2507,104,40,1782,1717,45,20,504,459,28,17,365,331,31,3
95LL15,2986,258,2486,242,2071,85,1849,137,363,64,269,30,552,109,368,75
95LL16,6045,1435,4027,583,4552,900,3282,370,337,74,220,43,1156,461,525,170
95LL17,2529,236,2093,200,1771,107,1586,78,272,23,217,32,486,106,290,90
95LL18,3331,205,2879,247,2813,113,2536,164,36,7,22,7,482,85,321,76
95LL19,5148,1239,3581,328,4387,958,3150,279,173,48,120,5,588,233,311,44
95LL20,2401,998,1282,121,1664,633,959,72,339,174,150,15,398,191,173,34
95LL21,3983,2156,1579,248,2601,1430,1078,93,397,170,199,28,985,556,302,127
95LL22,3728,3382,221,125,2508,2328,125,55,320,276,30,14,900,778,66,56
95LL23,2157,302,1684,171,1115,108,954,53,616,84,474,58,426,110,256,60
95LL24,3743,1275,2320,148,3000,1018,1901,81,113,59,43,11,630,198,376,56
95LL25,4536,397,3823,316,3860,261,3366,233,139,19,103,17,537,117,354,66
95LL26,3696,3410,200,86,2724,2549,131,44,175,163,7,5,797,698,62,37
95MM01,4775,1917,2644,214,3074,1135,1840,99,782,350,403,29,919,432,401,86
95MM02,3192,2987,153,52,2796,2650,103,43,120,106,14,0,276,231,36,9
95MM03,3508,2416,1003,89,2912,2012,843,57,200,147,42,11,396,257,118,21
95MM04,2151,2062,55,34,1437,1381,35,21,411,389,12,10,303,292,8,3
95MM05,2473,2342,106,25,948,903,34,11,1245,1182,53,10,280,257,19,4
95MM06,2552,2405,115,32,1500,1414,63,23,696,653,37,6,356,338,15,3
95MM07,2578,461,2001,116,1357,299,1022,36,850,81,727,42,371,81,252,38
95MM08,2942,1939,946,57,1952,1212,705,35,581,459,116,6,409,268,125,16
95MM09,3562,2582,909,71,2944,2177,714,53,225,176,39,10,393,229,156,8
95MM10,2750,2638,90,22,1072,1021,41,10,1389,1341,40,8,289,276,9,4
95MM11,2277,2215,50,12,1020,991,26,3,1064,1044,14,6,193,180,10,3
95MM12,5858,5393,383,82,3072,2775,252,45,1983,1880,82,21,803,738,49,16
95MM13,8872,8285,464,123,5590,5252,265,73,2072,1955,100,17,1210,1078,99,33
95MM14,2444,1131,1195,118,1166,548,591,27,520,203,298,19,758,380,306,72
95MM15,4329,2268,1898,163,3414,1728,1567,119,277,157,112,8,638,383,219,36
95MM16,5678,3786,1563,329,3796,2429,1167,200,620,503,94,23,1262,854,302,106
95MM17,3749,3456,234,59,2837,2663,138,36,394,341,46,7,518,452,50,16
95MM18,5116,3361,1578,177,4134,2655,1345,134,278,250,14,14,704,456,219,29
95MM19,3044,1112,1764,168,2303,792,1408,103,32,13,19,0,709,307,337,65
95MM20,3358,725,2464,169,2207,468,1654,85,540,98,423,19,611,159,387,65
95MM21,3381,1282,1984,115,2800,1123,1587,90,287,53,223,11,294,106,174,14
95MM22,2472,2325,97,50,1980,1891,60,29,95,94,0,1,397,340,37,20
95MM23,2476,2160,205,111,1206,1090,90,26,356,334,13,9,914,736,102,76
95MM24,2503,2448,38,17,1273,1258,14,1,957,930,17,10,273,260,7,6
95MM25,6354,6083,195,76,2974,2851,90,33,2701,2588,88,25,679,644,17,18
95MM26,3129,3033,61,35,2317,2254,38,25,485,478,3,4,327,301,20,6
95MM27,3217,2751,283,183,1225,1109,77,39,759,678,48,33,1233,964,158,111
95MM28,2269,1830,360,79,1057,929,96,32,560,373,176,11,652,528,88,36
95MM29,3408,2501,780,127,1907,1388,450,69,480,306,167,7,1021,807,163,51
95MM30,2083,1966,71,46,1185,1125,37,23,491,475,13,3,407,366,21,20
95NN01,3134,2702,344,88,2283,1959,268,56,355,318,30,7,496,425,46,25
95NN02,2211,1952,190,69,1838,1648,141,49,192,176,9,7,181,128,40,13
95NN03,2800,524,2043,233,2049,334,1557,158,318,44,244,30,433,146,242,45
95NN04,2861,2531,226,104,1480,1330,109,41,636,574,47,15,745,627,70,48
95NN05,2472,1324,985,163,1631,797,747,87,359,251,89,19,482,276,149,57
95NN06,3450,3035,316,99,2463,2179,243,41,346,317,10,19,641,539,63,39
95NN07,3228,2925,209,94,2127,1958,123,46,448,388,44,16,653,579,42,32
95NN08,3269,1812,1256,201,2651,1436,1068,147,161,100,51,10,457,276,137,44
95NN09,2982,972,1802,208,2493,779,1555,159,142,61,73,8,347,132,174,41
95NN10,3111,2060,855,196,2381,1596,657,128,155,94,57,4,575,370,141,64
95NN11,3876,3144,563,169,3268,2655,481,132,153,136,14,3,455,353,68,34
95NN12,2851,1738,972,141,2045,1188,781,76,271,205,55,11,535,345,136,54
95NN13,3012,1191,1602,219,2730,1050,1483,197,51,31,16,4,231,110,103,18
95NN14,3342,2419,725,198,2414,1885,461,68,153,119,22,12,775,415,242,118
95NN15,2944,1072,1642,230,1854,669,1056,129,472,195,250,27,618,208,336,74
95NN16,3238,834,2161,243,2829,685,1972,172,52,19,21,12,357,130,168,59
95NN17,2252,1650,490,112,1419,1015,355,49,276,230,31,15,557,405,104,48
95NN18,2618,1940,546,132,1946,1451,405,90,205,159,41,5,467,330,100,37
95NN19,3381,890,2214,277,2786,711,1848,227,167,54,103,10,428,125,263,40
95NN20,2980,1665,1163,152,2577,1471,999,107,102,37,51,14,301,157,113,31
95NN21,2680,1910,645,125,1968,1391,507,70,220,190,27,3,492,329,111,52
95NN22,2685,2197,374,114,2251,1883,296,72,96,87,4,5,338,227,74,37
95NN23,3337,2728,505,104,2724,2212,432,80,172,149,17,6,441,367,56,18
95OO01,2546,2070,439,37,2283,1856,397,30,35,34,1,0,228,180,41,7
95OO02,2166,1271,856,39,1871,1087,765,19,83,56,26,1,212,128,65,19
95OO03,2621,1019,1540,62,2044,654,1344,46,171,113,56,2,406,252,140,14
95OO04,2507,1813,657,37,1986,1410,552,24,115,100,14,1,406,303,91,12
95OO05,2688,2200,366,122,1037,820,202,15,743,631,75,37,908,749,89,70
95OO06,2860,1687,1082,91,2317,1347,913,57,113,70,42,1,430,270,127,33
95OO07,2510,1303,1123,84,2047,1100,903,44,121,44,65,12,342,159,155,28
95OO08,2674,1533,1064,77,2302,1328,926,48,53,34,16,3,319,171,122,26
95OO09,2223,1411,780,32,1779,1134,630,15,105,48,53,4,339,229,97,13
95OO10,3460,3234,186,40,2369,2215,134,20,351,339,4,8,740,680,48,12
95OO11,2485,2299,144,42,1499,1402,82,15,487,457,28,2,499,440,34,25
95OO12,2788,2025,710,53,1919,1355,540,24,295,223,63,9,574,447,107,20
95OO13,2667,1118,1395,154,1520,397,1069,54,187,32,139,16,960,689,187,84
95OO14,2588,1821,704,63,2132,1467,628,37,102,91,10,1,354,263,66,25
95OO15,2353,1998,272,83,1238,1063,153,22,420,369,44,7,695,566,75,54
95OO16,2114,498,1539,77,1463,312,1135,16,215,87,111,17,436,99,293,44
95OO17,2724,568,2058,98,2312,460,1784,68,83,8,67,8,329,100,207,22
95OO18,2891,1581,1179,131,1715,754,918,43,232,137,85,10,944,690,176,78
95OO19,2989,1868,1023,98,2293,1379,861,53,113,70,34,9,583,419,128,36
95OO20,2155,614,1447,94,1552,408,1098,46,166,13,141,12,437,193,208,36
95OO21,2351,2025,241,85,1421,1287,108,26,277,210,58,9,653,528,75,50
95OO22,3102,2955,131,16,2758,2636,109,13,68,68,0,0,276,251,22,3
95PP01,2586,561,1944,81,2198,482,1660,56,80,14,62,4,308,65,222,21
95PP02,2541,2161,315,65,2087,1799,253,35,112,89,19,4,342,273,43,26
95PP03,2512,1813,631,68,2000,1410,535,55,177,163,12,2,335,240,84,11
95PP04,3171,1752,1308,111,2749,1530,1138,81,41,26,12,3,381,196,158,27
95PP05,2329,998,1280,51,2060,889,1124,47,77,40,37,0,192,69,119,4
95PP06,3793,1985,1609,199,2460,1273,1109,78,471,249,184,38,862,463,316,83
95PP07,2728,1650,958,120,2256,1324,835,97,94,77,16,1,378,249,107,22
95PP08,2678,2202,426,50,2253,1858,374,21,65,63,1,1,360,281,51,28
95PP09,1607,1329,229,49,829,685,131,13,412,365,39,8,366,279,59,28
95PP10,2387,1872,478,37,2112,1672,425,15,63,57,4,2,212,143,49,20
95PP11,2553,1857,609,87,1618,1179,406,33,474,382,66,26,461,296,137,28
95PP12,2602,1771,794,37,2271,1554,687,30,55,37,18,0,276,180,89,7
95PP13,2585,1926,594,65,1724,1295,396,33,332,247,70,15,529,384,128,17
95PP14,3601,1347,2150,104,2900,1050,1781,69,190,97,88,5,511,200,281,30
95PP15,3182,1004,2063,115,2613,815,1725,73,71,9,60,2,498,180,278,40
95PP16,1877,590,1222,65,1691,508,1129,54,21,17,4,0,165,65,89,11
95PP17,2486,1890,551,45,1498,1082,397,19,328,274,47,7,660,534,107,19
95PP18,3117,1321,1706,90,2598,1086,1454,58,102,53,46,3,417,182,206,29
95PP19,2502,1939,527,36,1800,1367,413,20,323,282,36,5,379,290,78,11
95PP20,3103,1786,1135,182,1847,1096,696,55,360,205,139,16,896,485,300,111
95PP21,2167,1805,332,30,1762,1456,280,26,147,134,12,1,258,215,40,3
95PP22,2442,1375,928,139,1825,1085,661,79,268,100,142,26,349,190,125,34
95PP23,2515,1246,1221,48,2131,1028,1077,26,113,79,28,6,271,139,116,16
95QQ01,1483,357,1028,98,821,192,583,46,328,61,245,22,334,104,200,30
95QQ02,2582,120,2235,227,2281,102,1987,192,49,2,47,0,252,16,201,35
95QQ03,1096,243,767,86,590,139,420,31,322,66,226,30,184,38,121,25
95QQ04,1635,440,1092,103,1052,247,747,58,370,110,236,24,213,83,109,21
95QQ05,2872,805,1902,165,2585,717,1733,135,35,17,18,0,252,71,151,30
95QQ06,2005,1566,402,37,1479,1134,324,21,179,154,17,8,347,278,61,8
95QQ07,1775,528,1127,120,1019,322,649,48,328,88,220,20,428,118,258,52
95QQ08,1455,384,984,87,928,238,645,45,341,93,221,27,186,53,118,15
95QQ09,1846,644,1080,122,1472,509,878,85,153,66,84,3,221,69,118,34
95QQ10,1851,765,1015,71,1486,601,841,44,75,47,26,2,290,117,148,25
95QQ11,2027,151,1716,160,1821,121,1560,140,49,1,41,7,157,29,115,13
95QQ12,1697,350,1229,118,1231,242,912,77,104,15,86,3,362,93,231,38
95QQ13,2568,125,2142,301,2139,100,1817,222,107,3,91,13,322,22,234,66
95QQ14,5430,953,4047,430,4519,741,3451,327,70,7,59,4,841,205,537,99
95QQ15,1592,514,966,112,1166,365,725,76,78,26,52,0,348,123,189,36
95RR01,4367,1819,2391,157,3407,1344,1960,103,290,148,127,15,670,327,304,39
95RR02,1751,872,833,46,1261,586,638,37,247,158,87,2,243,128,108,7
95RR03,1422,913,471,38,682,453,217,12,446,281,155,10,294,179,99,16
95RR04,2022,1914,83,25,1428,1368,44,16,197,183,12,2,397,363,27,7
95RR05,2469,978,1354,137,1607,648,910,49,455,149,263,43,407,181,181,45
95RR06,2206,1924,264,18,1801,1580,210,11,100,90,10,0,305,254,44,7
95RR07,2449,1285,1092,72,2057,1068,930,59,78,57,20,1,314,160,142,12
95RR08,2106,1321,727,58,1851,1150,660,41,49,37,8,4,206,134,59,13
95RR09,3671,2791,776,104,2726,2095,563,68,273,239,27,7,672,457,186,29
95RR10,1338,672,620,46,581,279,280,22,448,213,225,10,309,180,115,14
95RR11,1803,1048,715,40,1475,809,631,35,107,83,24,0,221,156,60,5
95RR12,1452,546,875,31,1086,379,685,22,168,58,103,7,198,109,87,2
95RR13,1367,531,788,48,814,290,509,15,216,89,116,11,337,152,163,22
95RR14,1969,967,965,37,1639,808,803,28,120,47,72,1,210,112,90,8
95RR15,2458,2117,332,9,1979,1688,285,6,103,89,14,0,376,340,33,3
95SS01,4750,970,3417,363,4214,868,3044,302,106,29,68,9,430,73,305,52
95SS02,4218,936,2957,325,3634,806,2590,238,357,71,239,47,227,59,128,40
95SS03,3370,325,2843,202,3081,283,2635,163,30,6,19,5,259,36,189,34
95SS04,7552,1438,5300,814,5554,1072,3984,498,1257,183,911,163,741,183,405,153
95SS05,3375,550,2509,316,2621,374,2041,206,251,34,187,30,503,142,281,80
95SS06,5899,5469,330,100,2131,1965,133,33,3353,3129,172,52,415,375,25,15
95SS07,9344,6747,2132,465,6965,5334,1334,297,1569,916,566,87,810,497,232,81
95SS08,4658,591,3728,339,4136,488,3384,264,118,31,76,11,404,72,268,64
95SS09,3364,656,2401,307,2958,554,2153,251,110,25,79,6,296,77,169,50
95SS10,4335,3493,645,197,3628,3090,409,129,268,129,122,17,439,274,114,51
95SS11,5697,3416,2016,265,5146,3097,1842,207,121,74,35,12,430,245,139,46
95SS12,3054,871,1943,240,2547,792,1584,171,161,18,136,7,346,61,223,62
95SS13,2904,721,1870,313,1635,379,1126,130,688,160,436,92,581,182,308,91
95SS14,2905,339,2266,300,1807,191,1482,134,741,65,577,99,357,83,207,67
95SS15,3718,403,3096,219,3216,327,2715,174,155,14,135,6,347,62,246,39
95SS16,3114,2890,155,69,2175,2049,84,42,758,689,56,13,181,152,15,14
95SS17,4224,988,2800,436,2843,644,1964,235,697,149,484,64,684,195,352,137
95SS18,2941,595,2013,333,1635,306,1194,135,913,150,636,127,393,139,183,71
95SS19,2737,270,2158,309,1802,176,1437,189,622,43,513,66,313,51,208,54
95SS20,2605,399,1977,229,2247,312,1766,169,34,7,20,7,324,80,191,53
95SS21,4714,521,3816,377,4312,472,3516,324,51,11,34,6,351,38,266,47
95SS22,3245,904,1898,443,2434,753,1516,165,142,17,96,29,669,134,286,249
95SS23,3813,332,3126,355,3159,241,2666,252,289,30,236,23,365,61,224,80
95SS24,5074,992,3633,449,4128,751,3052,325,214,37,154,23,732,204,427,101
95SS25,2589,701,1556,332,961,279,607,75,1363,323,828,212,265,99,121,45
95SS26,3781,3555,170,56,2380,2246,105,29,1199,1124,56,19,202,185,9,8
95SS27,2471,288,1921,262,1586,187,1247,152,570,40,474,56,315,61,200,54
95SS28,2557,1039,1291,227,1500,596,820,84,634,260,299,75,423,183,172,68
95SS29,2647,2376,207,64,1476,1321,124,31,990,896,69,25,181,159,14,8
95SS30,2870,613,1961,296,2295,512,1625,158,50,13,31,6,525,88,305,132
95TT01,2748,2097,589,62,2469,1918,514,37,34,18,16,0,245,161,59,25
95TT02,2685,2214,441,30,2171,1785,373,13,134,123,8,3,380,306,60,14
95TT03,3293,1761,1429,103,2347,1262,1016,69,219,80,136,3,727,419,277,31
95TT04,2984,2755,192,37,2368,2209,142,17,204,188,14,2,412,358,36,18
95TT05,3018,2031,886,101,1804,1220,537,47,332,224,105,3,882,587,244,51
95TT06,2723,1861,813,49,2283,1649,606,28,188,60,116,12,252,152,91,9
95TT07,2704,1344,1277,83,2421,1254,1112,55,44,9,35,0,239,81,130,28
95TT08,2724,1293,1353,78,2446,1208,1173,65,63,8,55,0,215,77,125,13
95TT09,2917,2709,190,18,2709,2526,166,17,34,27,7,0,174,156,17,1
95TT10,2852,2231,544,77,1678,1358,304,16,399,334,61,4,775,539,179,57
