GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
95HH16,2159,346,1184,561,355,268,629,504,1029,192,515,243,166,106,322,258,726,103,424,192,135,97,199,161,404,51,245,126,54,65,108,85
95HH17,2479,114,1810,928,421,461,555,386,1281,60,917,459,214,244,304,212,787,34,571,302,138,131,182,129,411,20,322,167,69,86,69,45
95II01,3084,120,2256,1052,580,624,708,561,1512,68,1084,510,280,294,360,288,995,38,729,341,168,220,228,192,577,14,443,201,132,110,120,81
95II02,4961,1517,2327,890,830,607,1117,756,2495,1011,907,314,331,262,577,397,1435,342,741,317,253,171,352,243,1031,164,679,259,246,174,188,116
95II03,3523,1492,1274,523,398,353,757,539,2066,975,657,265,206,186,434,317,1071,418,411,156,135,120,242,175,386,99,206,102,57,47,81,47
95II04,4317,137,3104,1366,928,810,1076,789,2106,92,1449,622,390,437,565,428,1356,37,966,432,316,218,353,265,855,8,689,312,222,155,158,96
95II05,3546,1586,1310,598,388,324,650,415,1742,928,494,194,146,154,320,217,1133,466,453,225,148,80,214,130,671,192,363,179,94,90,116,68
95II06,3398,1486,1217,515,368,334,695,489,1901,955,556,225,156,175,390,292,1062,401,433,181,140,112,228,151,435,130,228,109,72,47,77,46
95II07,2090,128,1322,649,377,296,640,425,811,75,444,226,107,111,292,197,653,30,407,205,108,94,216,144,626,23,471,218,162,91,132,84
95II08,2417,201,1600,617,464,519,616,475,1042,121,615,244,149,222,306,251,854,63,580,219,186,175,211,159,521,17,405,154,129,122,99,65
95II09,3363,242,2333,960,732,641,788,579,1598,148,1055,433,303,319,395,297,1191,78,838,345,271,222,275,207,574,16,440,182,158,100,118,75
95II10,2592,68,1908,796,634,478,616,449,979,36,688,291,208,189,255,192,869,23,636,271,229,136,210,155,744,9,584,234,197,153,151,102
95II11,2567,1092,929,385,304,240,546,398,1351,688,383,164,120,99,280,207,820,299,329,127,115,87,192,144,396,105,217,94,69,54,74,47
95II12,2512,172,1689,739,459,491,651,484,1252,107,816,345,213,258,329,249,835,47,568,263,148,157,220,178,425,18,305,131,98,76,102,57
95II13,2702,132,1802,742,538,522,768,498,1116,77,692,265,183,244,347,229,866,44,568,250,181,137,254,177,720,11,542,227,174,141,167,92
95II14,2561,658,1415,619,347,449,488,361,1315,441,598,253,149,196,276,221,849,172,528,234,133,161,149,104,397,45,289,132,65,92,63,36
95II15,3357,1416,1138,486,307,345,803,563,1903,952,512,217,119,176,439,314,1017,344,413,170,127,116,260,178,437,120,213,99,61,53,104,71
95II16,2126,63,1600,635,417,548,463,311,859,32,601,250,137,214,226,156,719,21,555,215,142,198,143,95,548,10,444,170,138,136,94,60
95II17,2493,93,1802,830,453,519,598,410,1038,49,687,328,154,205,302,218,837,33,614,266,166,182,190,131,618,11,501,236,133,132,106,61
95II18,2226,106,1556,548,615,393,564,326,786,41,500,159,212,129,245,133,778,46,539,202,216,121,193,109,662,19,517,187,187,143,126,84
95II19,3770,410,2668,1607,474,587,692,497,1850,274,1280,765,202,313,296,218,1289,109,901,539,170,192,279,202,631,27,487,303,102,82,117,77
95II20,2780,955,1111,445,377,289,714,491,1341,570,425,181,124,120,346,244,955,290,411,159,145,107,254,182,484,95,275,105,108,62,114,65
95II21,2419,43,1754,837,535,382,622,394,934,27,638,316,178,144,269,178,868,14,631,296,199,136,223,146,617,2,485,225,158,102,130,70
