GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95XX11,5896,5834,6,5,0,7,0,10,0,0,0,2,0,32,98.95,0.10,0.08,0,0.12,0,0.17,0,0,0,0.03,0,0.54
95XX12,2492,2445,0,0,2,1,0,2,0,2,1,0,3,36,98.11,0,0,0.08,0.04,0,0.08,0,0.08,0.04,0,0.12,1.44
95XX13,2689,2665,0,5,1,0,0,1,3,0,1,0,0,13,99.11,0,0.19,0.04,0,0,0.04,0.11,0,0.04,0,0,0.48
95XX14,2413,2381,1,0,6,0,1,2,3,0,0,0,0,19,98.67,0.04,0,0.25,0,0.04,0.08,0.12,0,0,0,0,0.79
95XX15,2367,2354,4,2,0,0,0,3,0,0,0,0,0,4,99.45,0.17,0.08,0,0,0,0.13,0,0,0,0,0,0.17
95XX16,2939,2914,3,0,0,0,0,1,3,0,1,0,6,11,99.15,0.10,0,0,0,0,0.03,0.10,0,0.03,0,0.20,0.37
95XX17,2900,2660,139,6,1,9,17,1,5,13,2,7,8,32,91.72,4.79,0.21,0.03,0.31,0.59,0.03,0.17,0.45,0.07,0.24,0.28,1.10
95XX18,2917,2845,12,0,3,1,1,8,8,0,2,0,0,37,97.53,0.41,0,0.10,0.03,0.03,0.27,0.27,0,0.07,0,0,1.27
95XX19,2605,2573,0,0,4,1,0,0,1,0,0,0,0,26,98.77,0,0,0.15,0.04,0,0,0.04,0,0,0,0,1.00
95XX20,3255,3165,6,0,5,1,2,4,0,0,0,10,0,62,97.24,0.18,0,0.15,0.03,0.06,0.12,0,0,0,0.31,0,1.90
95XX21,2778,2755,6,0,0,0,0,1,0,0,0,0,0,16,99.17,0.22,0,0,0,0,0.04,0,0,0,0,0,0.58
95XX22,2136,2076,9,0,0,0,1,2,9,0,4,16,0,19,97.19,0.42,0,0,0,0.05,0.09,0.42,0,0.19,0.75,0,0.89
95XX23,3001,2863,24,2,1,0,9,5,22,5,1,37,0,32,95.40,0.80,0.07,0.03,0,0.30,0.17,0.73,0.17,0.03,1.23,0,1.07
95XX24,2632,2596,3,0,0,0,0,0,7,0,0,2,1,23,98.63,0.11,0,0,0,0,0,0.27,0,0,0.08,0.04,0.87
95XX25,2371,2330,13,4,0,1,1,3,1,0,0,0,2,16,98.27,0.55,0.17,0,0.04,0.04,0.13,0.04,0,0,0,0.08,0.67
95YY01,2389,2339,4,5,7,0,16,0,0,0,0,0,1,17,97.91,0.17,0.21,0.29,0,0.67,0,0,0,0,0,0.04,0.71
95YY02,2213,2125,22,6,5,0,3,0,7,4,5,0,16,20,96.02,0.99,0.27,0.23,0,0.14,0,0.32,0.18,0.23,0,0.72,0.90
95YY03,3003,2964,3,11,4,0,0,1,3,0,0,0,3,14,98.70,0.10,0.37,0.13,0,0,0.03,0.10,0,0,0,0.10,0.47
95YY04,3316,3070,145,7,5,3,16,1,0,3,7,0,27,32,92.58,4.37,0.21,0.15,0.09,0.48,0.03,0,0.09,0.21,0,0.81,0.97
95YY05,1634,1521,39,3,8,1,10,4,3,0,3,0,22,20,93.08,2.39,0.18,0.49,0.06,0.61,0.24,0.18,0,0.18,0,1.35,1.22
