GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
95PP21,1583,191,510,239,94,37,176,93,107,82,54,251,18,15,13,43,12.07,32.22,15.10,5.94,2.34,11.12,5.87,6.76,5.18,3.41,15.86,19.15,15.96,13.83,45.74
95PP22,1793,273,638,155,79,41,282,91,74,99,61,360,25,9,15,35,15.23,35.58,8.64,4.41,2.29,15.73,5.08,4.13,5.52,3.40,20.08,31.65,11.39,18.99,44.30
95PP23,1874,227,607,311,82,49,233,103,80,115,67,341,16,12,12,31,12.11,32.39,16.60,4.38,2.61,12.43,5.50,4.27,6.14,3.58,18.20,19.51,14.63,14.63,37.80
95QQ01,1093,129,355,51,69,19,232,46,50,108,34,110,20,14,7,31,11.80,32.48,4.67,6.31,1.74,21.23,4.21,4.57,9.88,3.11,10.06,28.99,20.29,10.14,44.93
95QQ02,1938,269,782,229,53,73,290,88,54,74,26,312,13,14,3,18,13.88,40.35,11.82,2.73,3.77,14.96,4.54,2.79,3.82,1.34,16.10,24.53,26.42,5.66,33.96
95QQ03,788,125,262,20,53,6,133,31,41,72,45,63,20,7,16,16,15.86,33.25,2.54,6.73,0.76,16.88,3.93,5.20,9.14,5.71,7.99,37.74,13.21,30.19,30.19
95QQ04,1208,186,434,53,84,29,176,61,63,91,31,174,28,21,10,37,15.40,35.93,4.39,6.95,2.40,14.57,5.05,5.22,7.53,2.57,14.40,33.33,25.00,11.90,44.05
95QQ05,2128,270,861,200,64,74,386,91,63,75,44,411,25,11,7,24,12.69,40.46,9.40,3.01,3.48,18.14,4.28,2.96,3.52,2.07,19.31,39.06,17.19,10.94,37.50
95QQ06,1467,180,475,162,74,38,223,84,77,114,40,205,17,14,10,32,12.27,32.38,11.04,5.04,2.59,15.20,5.73,5.25,7.77,2.73,13.97,22.97,18.92,13.51,43.24
95QQ07,1362,177,441,91,79,43,264,52,43,129,43,189,21,16,14,29,13.00,32.38,6.68,5.80,3.16,19.38,3.82,3.16,9.47,3.16,13.88,26.58,20.25,17.72,36.71
