GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95FF03,1169,157,579,360,52,21,1544,13.43,49.53,30.80,4.45,1.80
95FF04,862,50,245,369,132,66,1666,5.80,28.42,42.81,15.31,7.66
95FF05,1119,244,485,317,52,21,1366,21.81,43.34,28.33,4.65,1.88
95FF06,1540,161,615,615,103,46,2362,10.45,39.94,39.94,6.69,2.99
95FF07,1154,343,522,228,55,6,1167,29.72,45.23,19.76,4.77,0.52
95FF08,993,245,417,249,63,19,1186,24.67,41.99,25.08,6.34,1.91
95FF09,1000,209,441,262,63,25,1264,20.90,44.10,26.20,6.30,2.50
95FF10,1216,60,378,544,161,73,2267,4.93,31.09,44.74,13.24,6.00
95FF11,873,48,268,384,111,62,1653,5.50,30.70,43.99,12.71,7.10
95FF12,1018,109,410,372,86,41,1600,10.71,40.28,36.54,8.45,4.03
95FF13,977,90,356,363,118,50,1648,9.21,36.44,37.15,12.08,5.12
95FF14,862,43,244,388,126,61,1659,4.99,28.31,45.01,14.62,7.08
95FF15,1073,222,457,306,66,22,1362,20.69,42.59,28.52,6.15,2.05
95FF16,927,134,337,351,82,23,1383,14.46,36.35,37.86,8.85,2.48
95FF17,857,302,403,129,20,3,735,35.24,47.02,15.05,2.33,0.35
95GG01,2004,725,940,270,52,17,1731,36.18,46.91,13.47,2.59,0.85
95GG02,2568,1679,772,102,12,3,1024,65.38,30.06,3.97,0.47,0.12
95GG03,2667,569,1312,655,111,20,3045,21.33,49.19,24.56,4.16,0.75
95GG04,2297,1309,842,126,9,11,1166,56.99,36.66,5.49,0.39,0.48
95GG05,2800,1041,1299,413,39,8,2278,37.18,46.39,14.75,1.39,0.29
95GG06,2381,819,1127,374,55,6,2066,34.40,47.33,15.71,2.31,0.25
95GG07,2269,1240,871,136,18,4,1215,54.65,38.39,5.99,0.79,0.18
95GG08,2151,668,1025,396,51,11,2019,31.06,47.65,18.41,2.37,0.51
95GG09,2604,535,1209,720,105,35,3120,20.55,46.43,27.65,4.03,1.34
95GG10,2017,1092,749,141,28,7,1144,54.14,37.13,6.99,1.39,0.35
95GG11,2686,1070,1210,360,35,11,2082,39.84,45.05,13.40,1.30,0.41
95GG12,3429,1798,1050,364,155,62,2500,52.44,30.62,10.62,4.52,1.81
95GG13,2116,711,927,400,64,14,1985,33.60,43.81,18.90,3.02,0.66
95GG14,1817,231,787,649,121,29,2568,12.71,43.31,35.72,6.66,1.60
95GG15,2544,419,1167,816,111,31,3261,16.47,45.87,32.08,4.36,1.22
95GG16,2230,783,1014,368,52,13,1960,35.11,45.47,16.50,2.33,0.58
95GG17,2137,878,877,313,57,12,1728,41.09,41.04,14.65,2.67,0.56
95GG18,2143,1304,728,93,8,10,987,60.85,33.97,4.34,0.37,0.47
95GG19,2239,1412,712,94,14,7,978,63.06,31.80,4.20,0.63,0.31
95GG20,2359,1321,890,134,10,4,1206,56.00,37.73,5.68,0.42,0.17
95GG21,2262,1612,550,81,15,4,776,71.26,24.31,3.58,0.66,0.18
95GG22,2208,837,1011,297,48,15,1810,37.91,45.79,13.45,2.17,0.68
95GG23,1821,289,838,558,107,29,2403,15.87,46.02,30.64,5.88,1.59
95GG24,1945,589,897,370,78,11,1916,30.28,46.12,19.02,4.01,0.57
95GG25,2194,921,942,269,50,12,1679,41.98,42.94,12.26,2.28,0.55
95GG26,1654,807,695,131,18,3,1023,48.79,42.02,7.92,1.09,0.18
95GG27,2467,964,1080,363,49,11,1999,39.08,43.78,14.71,1.99,0.45
95GG28,2325,817,1041,393,63,11,2061,35.14,44.77,16.90,2.71,0.47
95GG29,2430,1079,1087,238,18,8,1651,44.40,44.73,9.79,0.74,0.33
95GG30,2083,459,952,570,86,16,2416,22.04,45.70,27.36,4.13,0.77
95GG31,2463,786,1170,405,80,22,2309,31.91,47.50,16.44,3.25,0.89
95GG32,2649,989,1203,370,70,17,2237,37.33,45.41,13.97,2.64,0.64
95GG33,2195,291,887,762,195,60,3265,13.26,40.41,34.72,8.88,2.73
95GG34,1999,434,980,479,89,17,2281,21.71,49.02,23.96,4.45,0.85
95GG35,2244,1529,629,72,8,6,824,68.14,28.03,3.21,0.36,0.27
95GG36,2481,487,1254,642,75,23,2858,19.63,50.54,25.88,3.02,0.93
95GG37,2687,573,1343,652,95,24,3031,21.32,49.98,24.26,3.54,0.89
95GG38,2915,581,1380,800,115,39,3491,19.93,47.34,27.44,3.95,1.34
95GG39,3616,2155,1187,228,36,10,1807,59.60,32.83,6.31,1.00,0.28
95GG40,1861,1186,592,73,8,2,770,63.73,31.81,3.92,0.43,0.11
95GG41,2173,235,827,902,162,47,3314,10.81,38.06,41.51,7.46,2.16
95GG42,2606,436,1112,823,170,65,3558,16.73,42.67,31.58,6.52,2.49
95GG43,2316,783,1139,351,36,7,1977,33.81,49.18,15.16,1.55,0.30
95GG44,2705,1506,973,203,19,4,1454,55.67,35.97,7.50,0.70,0.15
95GG45,2129,567,920,530,90,22,2341,26.63,43.21,24.89,4.23,1.03
95GG46,1932,1040,705,145,34,8,1129,53.83,36.49,7.51,1.76,0.41
95GG47,2641,1561,879,174,21,6,1315,59.11,33.28,6.59,0.80,0.23
95GG48,2051,1236,708,87,17,3,946,60.26,34.52,4.24,0.83,0.15
95GG49,3351,1374,1266,493,142,76,3019,41.00,37.78,14.71,4.24,2.27
95GG50,2653,1352,1054,219,24,4,1580,50.96,39.73,8.25,0.90,0.15
95GG51,2081,1242,719,103,15,2,978,59.68,34.55,4.95,0.72,0.10
95HH01,890,172,436,232,41,9,1065,19.33,48.99,26.07,4.61,1.01
95HH02,1063,71,430,434,102,26,1711,6.68,40.45,40.83,9.60,2.45
95HH03,726,116,328,216,54,12,971,15.98,45.18,29.75,7.44,1.65
