GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
95GG04,4419,4232,61,41,85,10,95.77,1.38,0.93,1.92
95GG05,4388,3727,208,210,243,60,84.94,4.74,4.79,5.54
95GG06,5199,4998,60,46,95,1,96.13,1.15,0.88,1.83
95GG07,4956,4732,73,47,104,5,95.48,1.47,0.95,2.10
95GG08,4371,4069,82,71,149,5,93.09,1.88,1.62,3.41
95GG09,5552,5097,109,103,243,4,91.80,1.96,1.86,4.38
95GG10,3234,3040,78,44,72,22,94.00,2.41,1.36,2.23
95GG11,4543,4115,130,123,175,10,90.58,2.86,2.71,3.85
95GG12,6722,6198,247,114,163,175,92.20,3.67,1.70,2.42
95GG13,4254,3895,81,73,205,4,91.56,1.90,1.72,4.82
95GG14,4467,4112,66,58,231,0,92.05,1.48,1.30,5.17
95GG15,5267,4712,108,125,322,4,89.46,2.05,2.37,6.11
95GG16,4751,4323,108,91,229,4,90.99,2.27,1.92,4.82
95GG17,4957,4704,71,50,132,3,94.90,1.43,1.01,2.66
95GG18,4577,4389,59,32,97,6,95.89,1.29,0.70,2.12
95GG19,4320,4175,36,28,81,0,96.64,0.83,0.65,1.88
95GG20,4112,3862,92,57,101,29,93.92,2.24,1.39,2.46
95GG21,4726,4573,45,30,78,32,96.76,0.95,0.63,1.65
95GG22,4997,4720,75,55,147,1,94.46,1.50,1.10,2.94
95GG23,4037,3674,94,57,212,6,91.01,2.33,1.41,5.25
95GG24,3984,3709,64,46,165,5,93.10,1.61,1.15,4.14
95GG25,5251,5042,62,37,110,1,96.02,1.18,0.70,2.09
95GG26,3548,3414,36,26,72,3,96.22,1.01,0.73,2.03
95GG27,6199,5973,67,38,121,1,96.35,1.08,0.61,1.95
95GG28,5271,5055,69,33,114,5,95.90,1.31,0.63,2.16
95GG29,4067,3738,128,93,108,37,91.91,3.15,2.29,2.66
95GG30,4428,4080,83,77,188,0,92.14,1.87,1.74,4.25
95GG31,6117,5872,85,37,123,2,95.99,1.39,0.60,2.01
95GG32,5710,5444,73,65,128,8,95.34,1.28,1.14,2.24
95GG33,4668,3959,178,112,419,11,84.81,3.81,2.40,8.98
95GG34,4344,3960,97,80,207,12,91.16,2.23,1.84,4.77
95GG35,4586,4386,63,46,91,3,95.64,1.37,1.00,1.98
95GG36,5049,4645,73,104,227,6,92.00,1.45,2.06,4.50
95GG37,4884,4191,186,167,340,18,85.81,3.81,3.42,6.96
95GG38,5467,4710,249,175,333,23,86.15,4.55,3.20,6.09
95GG39,5572,5129,184,110,149,63,92.05,3.30,1.97,2.67
95GG40,3533,3371,44,32,86,1,95.41,1.25,0.91,2.43
95GG41,4926,4331,99,115,381,5,87.92,2.01,2.33,7.73
95GG42,6330,5618,226,144,342,263,88.75,3.57,2.27,5.40
95GG43,4231,3913,81,91,146,1,92.48,1.91,2.15,3.45
95GG44,4609,4304,97,95,113,15,93.38,2.10,2.06,2.45
95GG45,4203,3790,110,82,221,15,90.17,2.62,1.95,5.26
95GG46,5034,4894,48,18,74,5,97.22,0.95,0.36,1.47
95GG47,5118,4777,120,71,150,13,93.34,2.34,1.39,2.93
95GG48,5445,5291,55,22,77,1,97.17,1.01,0.40,1.41
95GG49,5858,5204,266,149,239,168,88.84,4.54,2.54,4.08
95GG50,4342,4050,103,75,114,11,93.27,2.37,1.73,2.63
95GG51,3798,3615,55,30,98,1,95.18,1.45,0.79,2.58
95HH01,1806,1598,38,44,126,0,88.48,2.10,2.44,6.98
95HH02,2717,2551,38,33,95,0,93.89,1.40,1.21,3.50
95HH03,1484,1362,31,17,74,0,91.78,2.09,1.15,4.99
95HH04,2832,2653,29,29,121,3,93.68,1.02,1.02,4.27
95HH05,1988,1905,22,14,47,0,95.82,1.11,0.70,2.36
95HH06,4404,4172,62,40,130,1,94.73,1.41,0.91,2.95
95HH07,1356,1273,22,13,48,1,93.88,1.62,0.96,3.54
95HH08,2318,2112,39,45,122,0,91.11,1.68,1.94,5.26
95HH09,2260,2032,52,47,129,6,89.91,2.30,2.08,5.71
95HH10,2251,2056,31,52,112,0,91.34,1.38,2.31,4.98
95HH11,1307,1224,15,13,55,0,93.65,1.15,0.99,4.21
95HH12,1413,1315,15,20,63,0,93.06,1.06,1.42,4.46
95HH13,1316,1274,10,9,23,0,96.81,0.76,0.68,1.75
95HH14,1403,1315,19,22,47,0,93.73,1.35,1.57,3.35
95HH15,2382,2221,47,26,88,0,93.24,1.97,1.09,3.69
95HH16,1839,1638,54,33,114,0,89.07,2.94,1.79,6.20
95HH17,2287,2168,25,33,61,0,94.80,1.09,1.44,2.67
95II01,2795,2615,38,20,122,0,93.56,1.36,0.72,4.36
95II02,4430,4054,91,75,210,5,91.51,2.05,1.69,4.74
95II03,3160,2932,51,47,130,1,92.78,1.61,1.49,4.11
95II04,3968,3753,41,43,131,4,94.58,1.03,1.08,3.30
95II05,3215,2989,68,54,104,4,92.97,2.12,1.68,3.23
95II06,3082,2874,49,39,120,1,93.25,1.59,1.27,3.89
95II07,1886,1766,30,19,71,0,93.64,1.59,1.01,3.76
95II08,2170,2023,31,32,84,1,93.23,1.43,1.47,3.87
95II09,2935,2748,53,26,108,7,93.63,1.81,0.89,3.68
95II10,2383,2277,29,23,54,0,95.55,1.22,0.97,2.27
95II11,2287,2077,38,41,131,1,90.82,1.66,1.79,5.73
95II12,2265,2073,29,23,140,1,91.52,1.28,1.02,6.18
95II13,2410,2268,38,27,77,3,94.11,1.58,1.12,3.20
95II14,2326,2137,35,36,118,1,91.87,1.50,1.55,5.07
95II15,2893,2632,58,63,140,6,90.98,2.00,2.18,4.84
95II16,1997,1911,19,13,54,0,95.69,0.95,0.65,2.70
95II17,2292,2149,23,19,101,0,93.76,1.00,0.83,4.41
95II18,2001,1885,22,14,80,0,94.20,1.10,0.70,4.00
95II19,3525,3335,44,22,124,0,94.61,1.25,0.62,3.52
95II20,2388,2140,66,50,132,7,89.61,2.76,2.09,5.53
95II21,2262,2172,19,18,53,0,96.02,0.84,0.80,2.34
95II22,2072,1942,35,20,75,1,93.73,1.69,0.97,3.62
95II23,1937,1765,40,38,94,5,91.12,2.07,1.96,4.85
95JJ01,2320,2169,40,32,79,3,93.49,1.72,1.38,3.41
95JJ02,2050,1880,43,29,98,2,91.71,2.10,1.41,4.78
95JJ03,2264,2133,41,24,66,0,94.21,1.81,1.06,2.92
95JJ04,2790,2534,57,62,137,0,90.82,2.04,2.22,4.91
95JJ05,1541,1426,23,21,71,4,92.54,1.49,1.36,4.61
95JJ06,2140,2026,28,28,58,4,94.67,1.31,1.31,2.71
95JJ07,2420,2302,29,27,62,2,95.12,1.20,1.12,2.56
95JJ08,2925,2669,57,67,132,16,91.25,1.95,2.29,4.51
95JJ09,1837,1672,38,24,103,0,91.02,2.07,1.31,5.61
95JJ10,2632,2501,39,35,57,2,95.02,1.48,1.33,2.17
95JJ11,3294,3014,45,67,168,5,91.50,1.37,2.03,5.10
95JJ12,2469,2340,36,22,71,8,94.78,1.46,0.89,2.88
95JJ13,3419,3158,56,61,144,1,92.37,1.64,1.78,4.21
95JJ14,2157,2037,47,19,54,0,94.44,2.18,0.88,2.50
95JJ15,1542,1356,44,31,111,7,87.94,2.85,2.01,7.20
95JJ16,1534,1372,38,36,88,12,89.44,2.48,2.35,5.74
95JJ17,2274,2150,43,21,60,0,94.55,1.89,0.92,2.64
95JJ18,1725,1552,42,37,94,4,89.97,2.43,2.14,5.45
95JJ19,2527,2278,73,37,139,24,90.15,2.89,1.46,5.50
95JJ20,3686,3409,49,70,158,0,92.49,1.33,1.90,4.29
95JJ21,2434,2288,33,34,79,127,94.00,1.36,1.40,3.25
95JJ22,2397,2196,35,40,126,1,91.61,1.46,1.67,5.26
95KK01,2464,2383,12,20,49,0,96.71,0.49,0.81,1.99
95KK02,1933,1858,28,12,35,0,96.12,1.45,0.62,1.81
95KK03,2222,2138,32,16,36,1,96.22,1.44,0.72,1.62
95KK04,2309,2201,25,17,66,3,95.32,1.08,0.74,2.86
95KK05,2488,2405,34,13,36,1,96.66,1.37,0.52,1.45
95KK06,1663,1579,22,14,48,3,94.95,1.32,0.84,2.89
95KK07,1970,1901,24,13,32,0,96.50,1.22,0.66,1.62
95KK08,2430,2313,25,26,66,1,95.19,1.03,1.07,2.72
95KK09,1711,1607,38,12,54,1,93.92,2.22,0.70,3.16
95KK10,2098,2020,22,14,42,0,96.28,1.05,0.67,2.00
95KK11,2102,2023,22,16,41,1,96.24,1.05,0.76,1.95
95KK12,2112,1997,40,27,48,2,94.55,1.89,1.28,2.27
95KK13,1723,1646,24,5,48,0,95.53,1.39,0.29,2.79
95KK14,1937,1841,31,13,52,0,95.04,1.60,0.67,2.68
95KK15,2810,2697,39,26,48,0,95.98,1.39,0.93,1.71
95KK16,1872,1747,36,21,68,1,93.32,1.92,1.12,3.63
95LL01,4639,4428,64,42,105,1,95.45,1.38,0.91,2.26
95LL02,2288,2176,31,24,57,18,95.10,1.35,1.05,2.49
95LL03,2106,1998,26,21,61,1,94.87,1.23,1.00,2.90
95LL04,2672,2549,44,30,49,3,95.40,1.65,1.12,1.83
95LL05,3748,3551,36,30,131,2,94.74,0.96,0.80,3.50
95LL06,2913,2772,42,42,57,2,95.16,1.44,1.44,1.96
95LL07,1757,1652,36,16,53,1,94.02,2.05,0.91,3.02
95LL08,2495,2390,29,28,48,22,95.79,1.16,1.12,1.92
95LL09,2773,2622,34,34,83,3,94.55,1.23,1.23,2.99
95LL10,5109,4841,78,55,135,1,94.75,1.53,1.08,2.64
95LL11,3706,3514,49,51,92,5,94.82,1.32,1.38,2.48
95LL12,3677,3511,41,40,85,1,95.49,1.12,1.09,2.31
95LL13,2189,2043,32,31,83,5,93.33,1.46,1.42,3.79
95LL14,2484,2389,39,13,43,1,96.18,1.57,0.52,1.73
95LL15,2599,2441,43,37,78,2,93.92,1.65,1.42,3.00
95LL16,4966,4574,107,99,186,6,92.11,2.15,1.99,3.75
95LL17,2118,1973,45,16,84,2,93.15,2.12,0.76,3.97
95LL18,3046,2875,52,32,87,2,94.39,1.71,1.05,2.86
95LL19,4681,4405,71,48,157,1,94.10,1.52,1.03,3.35
95LL20,2203,2136,13,14,40,2,96.96,0.59,0.64,1.82
95LL21,3423,3216,49,46,112,2,93.95,1.43,1.34,3.27
95LL22,3353,3192,37,43,81,3,95.20,1.10,1.28,2.42
95LL23,1807,1724,21,10,52,1,95.41,1.16,0.55,2.88
95LL24,3513,3371,45,32,65,2,95.96,1.28,0.91,1.85
95LL25,4132,3863,78,65,126,2,93.49,1.89,1.57,3.05
95LL26,3285,3113,51,35,86,5,94.76,1.55,1.07,2.62
95MM01,4238,3958,95,63,122,3,93.39,2.24,1.49,2.88
95MM02,2834,2556,78,35,165,3,90.19,2.75,1.24,5.82
95MM03,3280,3070,58,42,110,0,93.60,1.77,1.28,3.35
95MM04,1975,1843,46,17,69,0,93.32,2.33,0.86,3.49
95MM05,2337,2220,33,24,60,0,94.99,1.41,1.03,2.57
95MM06,2407,2278,41,26,62,0,94.64,1.70,1.08,2.58
95MM07,2246,2091,40,36,79,2,93.10,1.78,1.60,3.52
95MM08,2609,2409,48,36,116,0,92.33,1.84,1.38,4.45
95MM09,3265,3086,44,32,103,1,94.52,1.35,0.98,3.15
95MM10,2599,2513,37,13,36,0,96.69,1.42,0.50,1.39
95MM11,2161,2092,41,6,22,0,96.81,1.90,0.28,1.02
95MM12,5286,5006,78,64,138,0,94.70,1.48,1.21,2.61
95MM13,7885,7302,161,103,319,2,92.61,2.04,1.31,4.05
95MM14,2062,1880,39,44,99,8,91.17,1.89,2.13,4.80
95MM15,3830,3525,67,69,169,0,92.04,1.75,1.80,4.41
95MM16,4862,4455,104,123,180,2,91.63,2.14,2.53,3.70
95MM17,3404,3147,87,45,125,0,92.45,2.56,1.32,3.67
95MM18,4688,4389,90,77,132,0,93.62,1.92,1.64,2.82
95MM19,2603,2389,65,50,99,1,91.78,2.50,1.92,3.80
95MM20,2875,2652,52,55,116,0,92.24,1.81,1.91,4.03
95MM21,3016,2821,43,40,112,0,93.53,1.43,1.33,3.71
95MM22,2178,1965,51,41,121,1,90.22,2.34,1.88,5.56
95MM23,2114,1913,57,48,96,4,90.49,2.70,2.27,4.54
95MM24,2299,2195,31,21,52,0,95.48,1.35,0.91,2.26
95MM25,5822,5521,85,59,157,0,94.83,1.46,1.01,2.70
95MM26,2809,2617,65,24,103,3,93.16,2.31,0.85,3.67
95MM27,3007,2745,78,57,127,96,91.29,2.59,1.90,4.22
95MM28,2082,1914,51,34,83,1,91.93,2.45,1.63,3.99
95MM29,2941,2711,59,57,114,3,92.18,2.01,1.94,3.88
95MM30,1869,1750,42,19,58,0,93.63,2.25,1.02,3.10
95NN01,2909,2744,37,33,95,1,94.33,1.27,1.13,3.27
95NN02,2056,1910,43,23,80,0,92.90,2.09,1.12,3.89
95NN03,2620,2495,32,24,69,2,95.23,1.22,0.92,2.63
95NN04,2683,2524,32,46,81,0,94.07,1.19,1.71,3.02
95NN05,2231,2100,41,27,63,0,94.13,1.84,1.21,2.82
95NN06,3196,3009,38,46,103,1,94.15,1.19,1.44,3.22
95NN07,3003,2854,40,22,87,0,95.04,1.33,0.73,2.90
95NN08,2956,2781,51,42,82,4,94.08,1.73,1.42,2.77
95NN09,2815,2624,49,37,105,0,93.21,1.74,1.31,3.73
95NN10,2721,2352,67,96,206,6,86.44,2.46,3.53,7.57
95NN11,3591,3388,58,43,102,0,94.35,1.62,1.20,2.84
95NN12,2576,2357,48,48,123,0,91.50,1.86,1.86,4.77
95NN13,2843,2660,29,25,129,1,93.56,1.02,0.88,4.54
95NN14,2842,2644,64,36,98,1,93.03,2.25,1.27,3.45
95NN15,2666,2454,47,52,113,3,92.05,1.76,1.95,4.24
95NN16,2997,2818,48,37,94,0,94.03,1.60,1.23,3.14
95NN17,2036,1891,32,30,83,0,92.88,1.57,1.47,4.08
95NN18,2413,2224,47,39,103,0,92.17,1.95,1.62,4.27
95NN19,3064,2816,49,60,139,1,91.91,1.60,1.96,4.54
95NN20,2762,2588,43,35,96,0,93.70,1.56,1.27,3.48
95NN21,2343,2106,48,45,144,1,89.88,2.05,1.92,6.15
95NN22,2462,2267,50,34,111,0,92.08,2.03,1.38,4.51
95NN23,3109,2899,59,40,111,3,93.25,1.90,1.29,3.57
95OO01,2395,2292,33,30,40,0,95.70,1.38,1.25,1.67
95OO02,1989,1889,35,16,49,0,94.97,1.76,0.80,2.46
95OO03,2188,2088,39,23,38,6,95.43,1.78,1.05,1.74
95OO04,2283,2162,37,36,48,2,94.70,1.62,1.58,2.10
95OO05,1758,1667,22,28,41,8,94.82,1.25,1.59,2.33
95OO06,2517,2410,23,25,59,7,95.75,0.91,0.99,2.34
95OO07,2271,2167,27,28,49,1,95.42,1.19,1.23,2.16
95OO08,2493,2385,35,22,51,0,95.67,1.40,0.88,2.05
95OO09,2001,1890,37,25,49,2,94.45,1.85,1.25,2.45
95OO10,3187,3010,60,41,76,6,94.45,1.88,1.29,2.38
95OO11,2123,2029,21,15,58,1,95.57,0.99,0.71,2.73
95OO12,2452,2301,42,43,66,3,93.84,1.71,1.75,2.69
95OO13,1768,1671,29,26,42,8,94.51,1.64,1.47,2.38
95OO14,2338,2182,45,38,73,0,93.33,1.92,1.63,3.12
95OO15,1654,1548,22,25,59,17,93.59,1.33,1.51,3.57
95OO16,1878,1789,26,28,35,0,95.26,1.38,1.49,1.86
95OO17,2525,2425,36,18,46,0,96.04,1.43,0.71,1.82
95OO18,1971,1810,53,36,72,6,91.83,2.69,1.83,3.65
95OO19,2517,2366,35,42,74,2,94.00,1.39,1.67,2.94
95OO20,1838,1747,30,17,44,4,95.05,1.63,0.92,2.39
95OO21,1762,1628,33,26,75,12,92.40,1.87,1.48,4.26
95OO22,2910,2731,78,39,62,4,93.85,2.68,1.34,2.13
95PP01,2323,2176,43,28,76,2,93.67,1.85,1.21,3.27
95PP02,1972,1790,48,46,88,2,90.77,2.43,2.33,4.46
95PP03,1981,1807,49,39,86,3,91.22,2.47,1.97,4.34
95PP04,2774,2567,51,46,110,0,92.54,1.84,1.66,3.97
95PP05,2126,1986,43,23,74,3,93.41,2.02,1.08,3.48
95PP06,3024,2718,81,75,150,6,89.88,2.68,2.48,4.96
95PP07,2388,2168,57,68,95,2,90.79,2.39,2.85,3.98
95PP08,2132,1965,61,39,67,2,92.17,2.86,1.83,3.14
95PP09,1346,1227,30,22,67,0,91.16,2.23,1.63,4.98
95PP10,2087,1945,42,30,70,0,93.20,2.01,1.44,3.35
95PP11,2149,1958,44,35,112,2,91.11,2.05,1.63,5.21
95PP12,2265,2104,51,29,81,1,92.89,2.25,1.28,3.58
95PP13,2247,2085,41,32,89,4,92.79,1.82,1.42,3.96
95PP14,3235,3036,58,50,91,1,93.85,1.79,1.55,2.81
95PP15,2872,2672,57,53,90,0,93.04,1.98,1.85,3.13
95PP16,1679,1537,44,30,68,0,91.54,2.62,1.79,4.05
95PP17,2107,1964,35,39,69,4,93.21,1.66,1.85,3.27
95PP18,2749,2576,56,44,73,3,93.71,2.04,1.60,2.66
95PP19,1965,1836,31,25,73,0,93.44,1.58,1.27,3.72
95PP20,2413,2186,62,53,112,14,90.59,2.57,2.20,4.64
95PP21,1719,1575,44,23,77,3,91.62,2.56,1.34,4.48
95PP22,1993,1785,48,38,122,3,89.56,2.41,1.91,6.12
95PP23,2371,2243,33,27,68,0,94.60,1.39,1.14,2.87
95QQ01,1362,1258,21,21,62,0,92.36,1.54,1.54,4.55
95QQ02,2364,2229,25,33,77,0,94.29,1.06,1.40,3.26
95QQ03,1006,946,22,10,28,0,94.04,2.19,0.99,2.78
95QQ04,1497,1403,33,13,48,0,93.72,2.20,0.87,3.21
95QQ05,2589,2381,52,41,115,0,91.97,2.01,1.58,4.44
95QQ06,1916,1812,27,17,60,0,94.57,1.41,0.89,3.13
95QQ07,1646,1509,37,24,76,5,91.68,2.25,1.46,4.62
95QQ08,1358,1276,16,15,51,0,93.96,1.18,1.10,3.76
95QQ09,1763,1630,24,29,80,0,92.46,1.36,1.64,4.54
95QQ10,1747,1641,30,20,56,0,93.93,1.72,1.14,3.21
95QQ11,1921,1823,19,22,57,0,94.90,0.99,1.15,2.97
95QQ12,1642,1516,36,18,72,0,92.33,2.19,1.10,4.38
95QQ13,2314,2155,30,44,85,0,93.13,1.30,1.90,3.67
95QQ14,5055,4794,76,72,113,0,94.84,1.50,1.42,2.24
95QQ15,1443,1349,27,16,51,0,93.49,1.87,1.11,3.53
95RR01,4018,3799,76,37,106,0,94.55,1.89,0.92,2.64
95RR02,1595,1505,31,19,40,1,94.36,1.94,1.19,2.51
95RR03,1301,1206,26,21,48,1,92.70,2.00,1.61,3.69
95RR04,1872,1775,38,18,41,0,94.82,2.03,0.96,2.19
95RR05,2249,2126,34,17,72,0,94.53,1.51,0.76,3.20
