GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95DD05,1739,67,704,371,29,140,27,221,180,3.85,40.48,21.33,1.67,8.05,1.55,12.71,10.35
95DD06,2588,476,1044,298,91,251,19,262,147,18.39,40.34,11.51,3.52,9.70,0.73,10.12,5.68
95DD07,3363,153,1674,631,54,331,10,362,148,4.55,49.78,18.76,1.61,9.84,0.30,10.76,4.40
95DD08,2126,709,483,205,26,169,23,255,256,33.35,22.72,9.64,1.22,7.95,1.08,11.99,12.04
95DD09,2590,154,1509,186,87,318,18,207,111,5.95,58.26,7.18,3.36,12.28,0.69,7.99,4.29
95DD10,2805,79,1406,305,250,336,34,267,128,2.82,50.12,10.87,8.91,11.98,1.21,9.52,4.56
95DD11,2363,1225,330,164,16,99,11,237,281,51.84,13.97,6.94,0.68,4.19,0.47,10.03,11.89
95DD12,2610,373,1230,192,139,343,13,201,119,14.29,47.13,7.36,5.33,13.14,0.50,7.70,4.56
95DD13,1784,878,283,89,13,96,13,183,229,49.22,15.86,4.99,0.73,5.38,0.73,10.26,12.84
95DD14,3277,197,1519,433,98,514,38,336,142,6.01,46.35,13.21,2.99,15.69,1.16,10.25,4.33
95DD15,3451,1981,795,138,22,172,23,149,171,57.40,23.04,4.00,0.64,4.98,0.67,4.32,4.96
95DD16,2981,349,1503,277,54,373,33,260,132,11.71,50.42,9.29,1.81,12.51,1.11,8.72,4.43
95DD17,3461,1318,1174,209,33,330,14,226,157,38.08,33.92,6.04,0.95,9.53,0.40,6.53,4.54
95DD18,1885,112,962,184,36,212,27,183,169,5.94,51.03,9.76,1.91,11.25,1.43,9.71,8.97
95DD19,3364,147,1794,569,52,300,20,351,131,4.37,53.33,16.91,1.55,8.92,0.59,10.43,3.89
95DD20,1746,91,790,289,50,154,8,196,168,5.21,45.25,16.55,2.86,8.82,0.46,11.23,9.62
95DD21,2139,663,607,203,40,154,23,261,188,31.00,28.38,9.49,1.87,7.20,1.08,12.20,8.79
95DD22,3136,1042,1309,205,20,248,11,130,171,33.23,41.74,6.54,0.64,7.91,0.35,4.15,5.45
95DD23,2509,266,1415,177,10,271,15,245,110,10.60,56.40,7.05,0.40,10.80,0.60,9.76,4.38
95DD24,2711,1714,359,125,28,122,8,220,135,63.22,13.24,4.61,1.03,4.50,0.30,8.12,4.98
95EE01,1895,1668,69,16,3,23,0,44,72,88.02,3.64,0.84,0.16,1.21,0,2.32,3.80
95EE02,2095,87,933,540,15,207,9,193,111,4.15,44.53,25.78,0.72,9.88,0.43,9.21,5.30
95EE03,1999,292,790,341,35,202,9,205,125,14.61,39.52,17.06,1.75,10.11,0.45,10.26,6.25
95EE04,1993,741,608,212,15,152,5,160,100,37.18,30.51,10.64,0.75,7.63,0.25,8.03,5.02
95EE05,1509,143,753,251,13,130,11,133,75,9.48,49.90,16.63,0.86,8.61,0.73,8.81,4.97
95EE06,2278,1806,236,24,0,47,4,67,94,79.28,10.36,1.05,0,2.06,0.18,2.94,4.13
