GeographyCode,KS302NI0001,KS302NI0002,KS302NI0003,KS302NI0004,KS302NI0005,KS302NI0006,KS302NI0007,KS302NI0008,KS302NI0009,KS302NI0010,KS302NI0011,KS302NI0012,KS302NI0013,KS302NI0014,KS302NI0015,KS302NI0016,KS302NI0017,KS302NI0018,KS302NI0019,KS302NI0020,KS302NI0021,KS302NI0022,KS302NI0023,KS302NI0024,KS302NI0025
95CC13,2474,106,22,32,234,49,79,238,165,33,124,121,1785,4.28,0.89,1.29,9.46,1.98,3.19,9.62,6.67,1.33,5.01,4.89,72.15
95CC14,3035,148,28,48,302,51,134,278,209,54,160,139,2156,4.88,0.92,1.58,9.95,1.68,4.42,9.16,6.89,1.78,5.27,4.58,71.04
95CC15,2903,153,46,38,307,53,121,285,227,38,188,139,2065,5.27,1.58,1.31,10.58,1.83,4.17,9.82,7.82,1.31,6.48,4.79,71.13
95CC16,2820,162,47,59,332,87,146,276,234,41,182,151,1902,5.74,1.67,2.09,11.77,3.09,5.18,9.79,8.30,1.45,6.45,5.35,67.45
95CC17,2730,91,25,21,218,33,97,223,202,20,121,115,2033,3.33,0.92,0.77,7.99,1.21,3.55,8.17,7.40,0.73,4.43,4.21,74.47
95CC18,2342,109,47,43,284,42,112,238,177,44,174,111,1618,4.65,2.01,1.84,12.13,1.79,4.78,10.16,7.56,1.88,7.43,4.74,69.09
95CC19,2720,134,41,38,262,48,98,245,190,39,139,135,1986,4.93,1.51,1.40,9.63,1.76,3.60,9.01,6.99,1.43,5.11,4.96,73.01
95CC20,3010,198,44,68,275,82,137,280,205,40,200,129,2150,6.58,1.46,2.26,9.14,2.72,4.55,9.30,6.81,1.33,6.64,4.29,71.43
95CC21,2925,177,42,28,301,47,143,292,249,44,198,139,2033,6.05,1.44,0.96,10.29,1.61,4.89,9.98,8.51,1.50,6.77,4.75,69.50
95CC22,1740,130,39,21,220,36,106,192,143,33,131,93,1161,7.47,2.24,1.21,12.64,2.07,6.09,11.03,8.22,1.90,7.53,5.34,66.72
95DD01,2099,127,41,44,221,33,102,213,152,59,167,118,1430,6.05,1.95,2.10,10.53,1.57,4.86,10.15,7.24,2.81,7.96,5.62,68.13
95DD02,3888,199,51,34,355,48,153,322,299,45,216,176,2847,5.12,1.31,0.87,9.13,1.23,3.94,8.28,7.69,1.16,5.56,4.53,73.23
95DD03,3503,198,33,39,295,34,107,255,246,45,197,171,2543,5.65,0.94,1.11,8.42,0.97,3.05,7.28,7.02,1.28,5.62,4.88,72.59
95DD04,1926,106,34,34,287,50,166,239,246,56,144,100,1237,5.50,1.77,1.77,14.90,2.60,8.62,12.41,12.77,2.91,7.48,5.19,64.23
95DD05,1739,65,21,21,179,44,117,184,158,30,107,99,1185,3.74,1.21,1.21,10.29,2.53,6.73,10.58,9.09,1.73,6.15,5.69,68.14
95DD06,2588,169,61,59,307,41,121,249,171,100,238,135,1729,6.53,2.36,2.28,11.86,1.58,4.68,9.62,6.61,3.86,9.20,5.22,66.81
95DD07,3363,230,52,26,365,52,145,321,287,49,292,167,2244,6.84,1.55,0.77,10.85,1.55,4.31,9.55,8.53,1.46,8.68,4.97,66.73
95DD08,2126,158,65,39,327,64,166,248,211,54,173,118,1324,7.43,3.06,1.83,15.38,3.01,7.81,11.67,9.92,2.54,8.14,5.55,62.28
95DD09,2590,137,42,23,226,36,74,171,164,34,156,110,1893,5.29,1.62,0.89,8.73,1.39,2.86,6.60,6.33,1.31,6.02,4.25,73.09
95DD10,2805,142,38,37,305,51,148,250,225,44,217,135,1911,5.06,1.35,1.32,10.87,1.82,5.28,8.91,8.02,1.57,7.74,4.81,68.13
95DD11,2363,95,32,28,208,75,149,215,210,32,134,127,1642,4.02,1.35,1.18,8.80,3.17,6.31,9.10,8.89,1.35,5.67,5.37,69.49
95DD12,2610,134,38,29,238,30,90,216,179,42,182,124,1868,5.13,1.46,1.11,9.12,1.15,3.45,8.28,6.86,1.61,6.97,4.75,71.57
95DD13,1784,103,29,35,220,45,98,180,161,39,129,90,1178,5.77,1.63,1.96,12.33,2.52,5.49,10.09,9.02,2.19,7.23,5.04,66.03
95DD14,3277,139,50,24,258,36,106,234,199,22,182,164,2442,4.24,1.53,0.73,7.87,1.10,3.23,7.14,6.07,0.67,5.55,5.00,74.52
95DD15,3451,108,37,35,241,45,102,230,217,26,162,130,2693,3.13,1.07,1.01,6.98,1.30,2.96,6.66,6.29,0.75,4.69,3.77,78.04
95DD16,2981,151,42,38,267,29,83,234,185,50,175,148,2172,5.07,1.41,1.27,8.96,0.97,2.78,7.85,6.21,1.68,5.87,4.96,72.86
95DD17,3461,135,46,50,265,43,108,241,208,35,177,154,2645,3.90,1.33,1.44,7.66,1.24,3.12,6.96,6.01,1.01,5.11,4.45,76.42
95DD18,1885,132,48,72,292,53,123,245,211,90,172,127,1145,7.00,2.55,3.82,15.49,2.81,6.53,13.00,11.19,4.77,9.12,6.74,60.74
95DD19,3364,176,48,62,369,51,152,325,302,61,216,160,2349,5.23,1.43,1.84,10.97,1.52,4.52,9.66,8.98,1.81,6.42,4.76,69.83
95DD20,1746,86,30,19,264,41,152,212,204,46,163,129,1044,4.93,1.72,1.09,15.12,2.35,8.71,12.14,11.68,2.63,9.34,7.39,59.79
95DD21,2139,130,29,16,190,33,84,156,134,26,147,77,1563,6.08,1.36,0.75,8.88,1.54,3.93,7.29,6.26,1.22,6.87,3.60,73.07
95DD22,3136,152,45,39,320,61,144,278,227,46,208,153,2211,4.85,1.43,1.24,10.20,1.95,4.59,8.86,7.24,1.47,6.63,4.88,70.50
95DD23,2509,128,38,25,234,31,88,201,163,44,155,134,1821,5.10,1.51,1.00,9.33,1.24,3.51,8.01,6.50,1.75,6.18,5.34,72.58
95DD24,2711,113,39,34,234,45,120,213,192,30,158,134,1950,4.17,1.44,1.25,8.63,1.66,4.43,7.86,7.08,1.11,5.83,4.94,71.93
95EE01,1895,68,16,30,178,33,79,166,141,27,80,98,1394,3.59,0.84,1.58,9.39,1.74,4.17,8.76,7.44,1.42,4.22,5.17,73.56
95EE02,2095,75,30,22,247,31,101,223,153,35,135,116,1464,3.58,1.43,1.05,11.79,1.48,4.82,10.64,7.30,1.67,6.44,5.54,69.88
95EE03,1999,107,29,46,258,64,122,230,173,35,138,120,1324,5.35,1.45,2.30,12.91,3.20,6.10,11.51,8.65,1.75,6.90,6.00,66.23
95EE04,1993,95,25,21,198,25,93,160,179,24,141,91,1389,4.77,1.25,1.05,9.93,1.25,4.67,8.03,8.98,1.20,7.07,4.57,69.69
95EE05,1509,80,22,15,178,25,67,148,118,23,93,81,1037,5.30,1.46,0.99,11.80,1.66,4.44,9.81,7.82,1.52,6.16,5.37,68.72
95EE06,2278,65,15,29,204,36,92,169,191,29,108,109,1683,2.85,0.66,1.27,8.96,1.58,4.04,7.42,8.38,1.27,4.74,4.78,73.88
95EE07,1798,92,26,16,245,30,98,234,197,26,150,111,1159,5.12,1.45,0.89,13.63,1.67,5.45,13.01,10.96,1.45,8.34,6.17,64.46
95EE08,1719,152,57,49,271,31,94,206,151,74,114,87,1091,8.84,3.32,2.85,15.76,1.80,5.47,11.98,8.78,4.30,6.63,5.06,63.47
95EE09,1890,66,27,21,184,39,88,171,134,28,101,95,1354,3.49,1.43,1.11,9.74,2.06,4.66,9.05,7.09,1.48,5.34,5.03,71.64
95EE10,1797,70,15,23,145,33,63,130,101,20,92,68,1357,3.90,0.83,1.28,8.07,1.84,3.51,7.23,5.62,1.11,5.12,3.78,75.51
95EE11,1677,79,22,19,155,27,56,157,99,13,110,89,1199,4.71,1.31,1.13,9.24,1.61,3.34,9.36,5.90,0.78,6.56,5.31,71.50
95EE12,2507,128,48,45,300,63,146,264,244,38,158,138,1686,5.11,1.91,1.79,11.97,2.51,5.82,10.53,9.73,1.52,6.30,5.50,67.25
95EE13,1529,95,35,29,233,41,118,198,152,35,139,92,929,6.21,2.29,1.90,15.24,2.68,7.72,12.95,9.94,2.29,9.09,6.02,60.76
95EE14,2684,143,35,42,287,55,114,272,225,36,165,148,1861,5.33,1.30,1.56,10.69,2.05,4.25,10.13,8.38,1.34,6.15,5.51,69.34
95EE15,1728,78,38,24,178,28,61,161,130,26,103,82,1231,4.51,2.20,1.39,10.30,1.62,3.53,9.32,7.52,1.50,5.96,4.75,71.24
95EE16,2126,92,29,29,215,41,82,191,112,21,125,100,1517,4.33,1.36,1.36,10.11,1.93,3.86,8.98,5.27,0.99,5.88,4.70,71.35
95FF01,4796,208,49,63,397,84,182,374,290,61,260,210,3550,4.34,1.02,1.31,8.28,1.75,3.79,7.80,6.05,1.27,5.42,4.38,74.02
95FF02,2817,103,41,36,251,43,100,208,174,35,137,131,2136,3.66,1.46,1.28,8.91,1.53,3.55,7.38,6.18,1.24,4.86,4.65,75.83
95FF03,3006,128,34,38,302,68,186,273,255,42,173,136,2109,4.26,1.13,1.26,10.05,2.26,6.19,9.08,8.48,1.40,5.76,4.52,70.16
95FF04,2629,131,37,27,239,35,95,250,147,35,150,122,1921,4.98,1.41,1.03,9.09,1.33,3.61,9.51,5.59,1.33,5.71,4.64,73.07
95FF05,2563,161,38,50,323,42,134,274,229,57,197,141,1742,6.28,1.48,1.95,12.60,1.64,5.23,10.69,8.93,2.22,7.69,5.50,67.97
95FF06,4116,187,40,48,377,67,177,295,284,56,197,212,3011,4.54,0.97,1.17,9.16,1.63,4.30,7.17,6.90,1.36,4.79,5.15,73.15
95FF07,2769,117,35,41,354,69,215,328,248,61,170,152,1860,4.23,1.26,1.48,12.78,2.49,7.76,11.85,8.96,2.20,6.14,5.49,67.17
95FF08,2364,164,58,31,334,45,134,275,234,53,180,124,1529,6.94,2.45,1.31,14.13,1.90,5.67,11.63,9.90,2.24,7.61,5.25,64.68
95FF09,2522,123,45,33,317,68,165,305,196,38,140,142,1688,4.88,1.78,1.31,12.57,2.70,6.54,12.09,7.77,1.51,5.55,5.63,66.93
95FF10,3473,122,40,40,270,58,122,258,231,32,170,158,2604,3.51,1.15,1.15,7.77,1.67,3.51,7.43,6.65,0.92,4.89,4.55,74.98
95FF11,2582,130,35,34,242,38,89,224,137,34,118,111,1953,5.03,1.36,1.32,9.37,1.47,3.45,8.68,5.31,1.32,4.57,4.30,75.64
95FF12,2724,116,55,34,298,58,146,280,203,35,181,128,1912,4.26,2.02,1.25,10.94,2.13,5.36,10.28,7.45,1.28,6.64,4.70,70.19
95FF13,2708,131,44,24,313,53,125,286,199,34,177,121,1955,4.84,1.62,0.89,11.56,1.96,4.62,10.56,7.35,1.26,6.54,4.47,72.19
95FF14,2432,127,45,30,239,35,79,214,153,34,149,125,1749,5.22,1.85,1.23,9.83,1.44,3.25,8.80,6.29,1.40,6.13,5.14,71.92
95FF15,2740,135,55,51,341,66,149,281,277,89,207,170,1806,4.93,2.01,1.86,12.45,2.41,5.44,10.26,10.11,3.25,7.55,6.20,65.91
95FF16,2374,127,37,54,250,40,123,199,165,82,175,115,1628,5.35,1.56,2.27,10.53,1.68,5.18,8.38,6.95,3.45,7.37,4.84,68.58
95FF17,1724,102,33,41,251,57,142,213,179,39,115,109,1082,5.92,1.91,2.38,14.56,3.31,8.24,12.35,10.38,2.26,6.67,6.32,62.76
95GG01,4907,424,179,124,1059,140,470,870,656,198,498,363,2735,8.64,3.65,2.53,21.58,2.85,9.58,17.73,13.37,4.04,10.15,7.40,55.74
95GG02,5987,320,124,161,1047,255,742,909,875,171,486,399,3549,5.34,2.07,2.69,17.49,4.26,12.39,15.18,14.61,2.86,8.12,6.66,59.28
95GG03,5939,349,128,99,575,133,302,462,480,117,403,277,4093,5.88,2.16,1.67,9.68,2.24,5.09,7.78,8.08,1.97,6.79,4.66,68.92
95GG04,4908,298,116,99,805,171,527,697,648,127,411,317,2908,6.07,2.36,2.02,16.40,3.48,10.74,14.20,13.20,2.59,8.37,6.46,59.25
95GG05,5928,194,77,69,451,140,326,381,446,93,247,237,4400,3.27,1.30,1.16,7.61,2.36,5.50,6.43,7.52,1.57,4.17,4.00,74.22
95GG06,5626,293,112,117,751,154,471,730,623,144,437,348,3590,5.21,1.99,2.08,13.35,2.74,8.37,12.98,11.07,2.56,7.77,6.19,63.81
95GG07,5485,278,100,115,851,167,522,724,650,142,380,390,3452,5.07,1.82,2.10,15.52,3.04,9.52,13.20,11.85,2.59,6.93,7.11,62.94
95GG08,4910,255,90,97,625,129,344,585,520,103,308,302,3246,5.19,1.83,1.98,12.73,2.63,7.01,11.91,10.59,2.10,6.27,6.15,66.11
95GG09,6165,356,139,121,761,142,354,695,546,140,490,332,4125,5.77,2.25,1.96,12.34,2.30,5.74,11.27,8.86,2.27,7.95,5.39,66.91
95GG10,3998,203,74,64,515,105,323,464,451,95,301,219,2632,5.08,1.85,1.60,12.88,2.63,8.08,11.61,11.28,2.38,7.53,5.48,65.83
95GG11,5453,287,124,76,665,147,431,590,535,131,396,294,3604,5.26,2.27,1.39,12.20,2.70,7.90,10.82,9.81,2.40,7.26,5.39,66.09
95GG12,8945,183,90,102,498,206,589,449,632,132,242,310,7060,2.05,1.01,1.14,5.57,2.30,6.58,5.02,7.07,1.48,2.71,3.47,78.93
95GG13,4722,328,102,78,629,112,319,557,471,121,372,269,3101,6.95,2.16,1.65,13.32,2.37,6.76,11.80,9.97,2.56,7.88,5.70,65.67
95GG14,4820,241,69,56,418,87,164,395,332,55,271,242,3480,5.00,1.43,1.16,8.67,1.80,3.40,8.20,6.89,1.14,5.62,5.02,72.20
95GG15,5920,443,143,105,768,86,284,604,461,199,463,316,3986,7.48,2.42,1.77,12.97,1.45,4.80,10.20,7.79,3.36,7.82,5.34,67.33
95GG16,5452,245,97,111,659,154,434,578,515,126,315,288,3688,4.49,1.78,2.04,12.09,2.82,7.96,10.60,9.45,2.31,5.78,5.28,67.64
95GG17,5330,301,94,88,730,130,424,674,648,116,391,280,3412,5.65,1.76,1.65,13.70,2.44,7.95,12.65,12.16,2.18,7.34,5.25,64.02
95GG18,4975,261,111,121,827,158,585,695,654,155,366,323,3104,5.25,2.23,2.43,16.62,3.18,11.76,13.97,13.15,3.12,7.36,6.49,62.39
95GG19,4582,356,149,167,1013,207,598,830,825,247,510,331,2363,7.77,3.25,3.64,22.11,4.52,13.05,18.11,18.01,5.39,11.13,7.22,51.57
95GG20,4901,274,143,112,785,192,497,682,654,181,414,301,3000,5.59,2.92,2.29,16.02,3.92,10.14,13.92,13.34,3.69,8.45,6.14,61.21
95GG21,5184,280,138,164,1015,186,691,873,833,241,395,405,2996,5.40,2.66,3.16,19.58,3.59,13.33,16.84,16.07,4.65,7.62,7.81,57.79
95GG22,5343,377,153,129,969,143,403,784,660,161,498,367,3236,7.06,2.86,2.41,18.14,2.68,7.54,14.67,12.35,3.01,9.32,6.87,60.57
95GG23,4555,304,107,51,534,75,169,447,352,86,335,250,3161,6.67,2.35,1.12,11.72,1.65,3.71,9.81,7.73,1.89,7.35,5.49,69.40
95GG24,4561,314,94,138,635,126,287,510,452,169,411,259,2908,6.88,2.06,3.03,13.92,2.76,6.29,11.18,9.91,3.71,9.01,5.68,63.76
95GG25,5573,333,133,140,947,190,490,835,648,178,421,365,3477,5.98,2.39,2.51,16.99,3.41,8.79,14.98,11.63,3.19,7.55,6.55,62.39
95GG26,3749,269,91,96,652,114,364,603,474,144,344,227,2176,7.18,2.43,2.56,17.39,3.04,9.71,16.08,12.64,3.84,9.18,6.05,58.04
95GG27,6498,327,127,167,1056,204,670,956,809,220,512,429,4015,5.03,1.95,2.57,16.25,3.14,10.31,14.71,12.45,3.39,7.88,6.60,61.79
95GG28,5651,305,104,111,804,150,457,741,689,134,382,340,3615,5.40,1.84,1.96,14.23,2.65,8.09,13.11,12.19,2.37,6.76,6.02,63.97
95GG29,5014,264,108,89,647,140,383,595,572,105,365,268,3313,5.27,2.15,1.78,12.90,2.79,7.64,11.87,11.41,2.09,7.28,5.35,66.07
95GG30,4827,323,94,65,562,70,228,538,433,73,370,271,3202,6.69,1.95,1.35,11.64,1.45,4.72,11.15,8.97,1.51,7.67,5.61,66.34
95GG31,6519,320,107,117,977,178,552,865,715,149,486,422,4225,4.91,1.64,1.79,14.99,2.73,8.47,13.27,10.97,2.29,7.46,6.47,64.81
95GG32,6409,340,124,138,856,189,513,774,696,166,496,372,4163,5.31,1.93,2.15,13.36,2.95,8.00,12.08,10.86,2.59,7.74,5.80,64.96
95GG33,5555,274,80,59,377,74,154,274,327,65,294,252,4250,4.93,1.44,1.06,6.79,1.33,2.77,4.93,5.89,1.17,5.29,4.54,76.51
95GG34,4927,260,95,76,606,79,260,506,403,116,343,278,3396,5.28,1.93,1.54,12.30,1.60,5.28,10.27,8.18,2.35,6.96,5.64,68.93
95GG35,4950,321,118,134,1001,161,676,899,842,252,481,375,2753,6.48,2.38,2.71,20.22,3.25,13.66,18.16,17.01,5.09,9.72,7.58,55.62
95GG36,5619,376,100,62,641,100,254,585,468,83,418,268,3812,6.69,1.78,1.10,11.41,1.78,4.52,10.41,8.33,1.48,7.44,4.77,67.84
95GG37,6041,303,124,94,547,83,275,481,438,107,374,297,4363,5.02,2.05,1.56,9.05,1.37,4.55,7.96,7.25,1.77,6.19,4.92,72.22
95GG38,6564,357,139,89,643,133,354,488,479,109,378,333,4707,5.44,2.12,1.36,9.80,2.03,5.39,7.43,7.30,1.66,5.76,5.07,71.71
95GG39,7214,354,149,185,1075,211,799,959,830,266,569,415,4578,4.91,2.07,2.56,14.90,2.92,11.08,13.29,11.51,3.69,7.89,5.75,63.46
95GG40,3816,288,115,144,839,142,488,695,618,204,381,282,2047,7.55,3.01,3.77,21.99,3.72,12.79,18.21,16.19,5.35,9.98,7.39,53.64
95GG41,5548,359,118,81,594,87,197,461,366,113,394,266,3912,6.47,2.13,1.46,10.71,1.57,3.55,8.31,6.60,2.04,7.10,4.79,70.51
95GG42,8139,279,79,62,366,135,171,276,445,51,309,280,6503,3.43,0.97,0.76,4.50,1.66,2.10,3.39,5.47,0.63,3.80,3.44,79.90
95GG43,4874,316,107,96,650,118,366,576,493,186,352,276,3123,6.48,2.20,1.97,13.34,2.42,7.51,11.82,10.11,3.82,7.22,5.66,64.07
95GG44,5591,284,129,90,791,195,585,706,667,130,401,296,3562,5.08,2.31,1.61,14.15,3.49,10.46,12.63,11.93,2.33,7.17,5.29,63.71
95GG45,4841,312,112,75,615,127,268,541,423,88,378,274,3179,6.44,2.31,1.55,12.70,2.62,5.54,11.18,8.74,1.82,7.81,5.66,65.67
95GG46,5250,305,135,142,988,192,564,871,718,211,442,322,3127,5.81,2.57,2.70,18.82,3.66,10.74,16.59,13.68,4.02,8.42,6.13,59.56
