GeographyCode,KS501NI0001,KS501NI0002,KS501NI0003,KS501NI0004,KS501NI0005,KS501NI0006,KS501NI0007,KS501NI0008,KS501NI0009,KS501NI0010,KS501NI0011,KS501NI0012,KS501NI0013,KS501NI0014,KS501NI0015,KS501NI0016,KS501NI0017,KS501NI0018,KS501NI0019,KS501NI0020,KS501NI0021,KS501NI0022,KS501NI0023
95EE16,1614,489,207,297,83,189,298,51,57,72,21,2,49,30.30,12.83,18.40,5.14,11.71,18.46,3.16,29.17,2.78,68.06
95FF01,3660,666,437,600,123,535,1174,125,133,162,70,7,85,18.20,11.94,16.39,3.36,14.62,32.08,3.42,43.21,4.32,52.47
95FF02,2105,576,225,323,141,275,456,109,74,97,48,4,45,27.36,10.69,15.34,6.70,13.06,21.66,5.18,49.48,4.12,46.39
95FF03,2304,583,360,402,103,335,432,89,76,93,48,5,40,25.30,15.63,17.45,4.47,14.54,18.75,3.86,51.61,5.38,43.01
95FF04,2038,571,220,311,79,258,519,80,77,98,36,7,55,28.02,10.79,15.26,3.88,12.66,25.47,3.93,36.73,7.14,56.12
95FF05,2045,590,258,309,103,226,478,81,55,60,17,4,39,28.85,12.62,15.11,5.04,11.05,23.37,3.96,28.33,6.67,65.00
95FF06,3093,689,342,487,153,437,867,118,99,97,32,6,59,22.28,11.06,15.75,4.95,14.13,28.03,3.82,32.99,6.19,60.82
95FF07,2091,733,310,333,89,214,298,114,61,80,24,8,48,35.05,14.83,15.93,4.26,10.23,14.25,5.45,30.00,10.00,60.00
95FF08,1941,634,251,293,68,224,388,83,65,92,38,3,51,32.66,12.93,15.10,3.50,11.54,19.99,4.28,41.30,3.26,55.43
95FF09,1935,664,264,306,81,185,346,89,66,73,28,4,41,34.32,13.64,15.81,4.19,9.56,17.88,4.60,38.36,5.48,56.16
95FF10,2625,588,306,441,135,352,720,83,94,101,40,10,51,22.40,11.66,16.80,5.14,13.41,27.43,3.16,39.60,9.90,50.50
95FF11,2014,595,216,307,105,253,466,72,69,75,28,3,44,29.54,10.72,15.24,5.21,12.56,23.14,3.57,37.33,4.00,58.67
95FF12,2184,671,240,298,103,263,549,60,92,85,39,9,37,30.72,10.99,13.64,4.72,12.04,25.14,2.75,45.88,10.59,43.53
95FF13,2087,583,260,326,100,224,528,66,77,79,35,7,37,27.93,12.46,15.62,4.79,10.73,25.30,3.16,44.30,8.86,46.84
95FF14,1917,474,182,291,81,198,625,66,58,64,33,3,28,24.73,9.49,15.18,4.23,10.33,32.60,3.44,51.56,4.69,43.75
95FF15,2144,783,252,328,101,260,315,105,71,73,23,6,44,36.52,11.75,15.30,4.71,12.13,14.69,4.90,31.51,8.22,60.27
95FF16,1910,482,217,303,73,242,530,63,62,68,29,5,34,25.24,11.36,15.86,3.82,12.67,27.75,3.30,42.65,7.35,50.00
95FF17,1434,558,185,197,51,149,233,61,29,46,18,1,27,38.91,12.90,13.74,3.56,10.39,16.25,4.25,39.13,2.17,58.70
95GG01,4151,1508,508,588,200,462,760,125,141,216,94,26,96,36.33,12.24,14.17,4.82,11.13,18.31,3.01,43.52,12.04,44.44
95GG02,4454,2163,677,659,149,383,315,108,211,235,82,35,118,48.56,15.20,14.80,3.35,8.60,7.07,2.42,34.89,14.89,50.21
95GG03,4897,948,394,599,167,581,2019,189,115,209,92,12,105,19.36,8.05,12.23,3.41,11.86,41.23,3.86,44.02,5.74,50.24
95GG04,3862,1810,539,511,128,292,427,155,134,165,61,19,85,46.87,13.96,13.23,3.31,7.56,11.06,4.01,36.97,11.52,51.52
95GG05,5043,910,386,496,103,604,2258,286,83,324,161,28,135,18.04,7.65,9.84,2.04,11.98,44.77,5.67,49.69,8.64,41.67
95GG06,4503,1611,673,707,229,528,587,168,149,220,104,15,101,35.78,14.95,15.70,5.09,11.73,13.04,3.73,47.27,6.82,45.91
95GG07,4242,1620,642,594,135,448,638,165,149,259,107,37,115,38.19,15.13,14.00,3.18,10.56,15.04,3.89,41.31,14.29,44.40
95GG08,3870,1150,469,619,144,471,884,133,133,157,62,10,85,29.72,12.12,15.99,3.72,12.17,22.84,3.44,39.49,6.37,54.14
95GG09,5018,1226,542,675,211,535,1631,198,151,191,91,5,95,24.43,10.80,13.45,4.20,10.66,32.50,3.95,47.64,2.62,49.74
95GG10,3388,1188,369,384,105,404,681,257,69,297,147,16,134,35.06,10.89,11.33,3.10,11.92,20.10,7.59,49.49,5.39,45.12
95GG11,4544,1274,456,544,184,520,1318,248,79,165,66,14,85,28.04,10.04,11.97,4.05,11.44,29.01,5.46,40.00,8.48,51.52
