GeographyCode,DC4403NI0001,DC4403NI0002,DC4403NI0003,DC4403NI0004,DC4403NI0005,DC4403NI0006,DC4403NI0007,DC4403NI0008,DC4403NI0009,DC4403NI0010,DC4403NI0011,DC4403NI0012,DC4403NI0013,DC4403NI0014,DC4403NI0015,DC4403NI0016,DC4403NI0017,DC4403NI0018,DC4403NI0019,DC4403NI0020,DC4403NI0021,DC4403NI0022,DC4403NI0023,DC4403NI0024,DC4403NI0025,DC4403NI0026,DC4403NI0027,DC4403NI0028,DC4403NI0029,DC4403NI0030,DC4403NI0031,DC4403NI0032,DC4403NI0033,DC4403NI0034,DC4403NI0035,DC4403NI0036,DC4403NI0037,DC4403NI0038,DC4403NI0039,DC4403NI0040,DC4403NI0041,DC4403NI0042,DC4403NI0043,DC4403NI0044,DC4403NI0045,DC4403NI0046,DC4403NI0047,DC4403NI0048,DC4403NI0049,DC4403NI0050,DC4403NI0051,DC4403NI0052,DC4403NI0053,DC4403NI0054,DC4403NI0055,DC4403NI0056,DC4403NI0057,DC4403NI0058,DC4403NI0059,DC4403NI0060,DC4403NI0061,DC4403NI0062,DC4403NI0063,DC4403NI0064,DC4403NI0065,DC4403NI0066,DC4403NI0067,DC4403NI0068,DC4403NI0069,DC4403NI0070,DC4403NI0071,DC4403NI0072,DC4403NI0073,DC4403NI0074,DC4403NI0075,DC4403NI0076,DC4403NI0077,DC4403NI0078,DC4403NI0079,DC4403NI0080,DC4403NI0081,DC4403NI0082,DC4403NI0083,DC4403NI0084,DC4403NI0085,DC4403NI0086,DC4403NI0087,DC4403NI0088,DC4403NI0089,DC4403NI0090,DC4403NI0091,DC4403NI0092,DC4403NI0093,DC4403NI0094,DC4403NI0095,DC4403NI0096,DC4403NI0097,DC4403NI0098,DC4403NI0099,DC4403NI0100,DC4403NI0101,DC4403NI0102,DC4403NI0103,DC4403NI0104,DC4403NI0105,DC4403NI0106,DC4403NI0107,DC4403NI0108,DC4403NI0109,DC4403NI0110,DC4403NI0111,DC4403NI0112,DC4403NI0113,DC4403NI0114,DC4403NI0115,DC4403NI0116,DC4403NI0117,DC4403NI0118,DC4403NI0119,DC4403NI0120,DC4403NI0121,DC4403NI0122,DC4403NI0123,DC4403NI0124,DC4403NI0125,DC4403NI0126,DC4403NI0127,DC4403NI0128,DC4403NI0129,DC4403NI0130,DC4403NI0131,DC4403NI0132
95TT04,2984,1029,1326,13,155,49,319,2,41,13,37,2984,1029,1326,13,155,49,319,2,41,13,37,2879,1021,1302,13,138,26,291,0,41,10,37,1601,709,706,7,19,8,99,0,16,9,28,778,163,401,4,65,10,113,0,16,1,5,500,149,195,2,54,8,79,0,9,0,4,101,4,24,0,17,23,28,2,0,3,0,92,2,21,0,16,23,25,2,0,3,0,3,0,0,0,1,0,2,0,0,0,0,6,2,3,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT05,3018,677,1109,18,298,34,753,13,23,6,87,3018,677,1109,18,298,34,753,13,23,6,87,2887,672,1106,18,274,8,698,1,20,6,84,1260,420,609,1,22,4,166,0,1,0,37,947,127,312,7,151,4,304,1,10,6,25,680,125,185,10,101,0,228,0,9,0,22,131,5,3,0,24,26,55,12,3,0,3,113,3,3,0,24,20,49,12,0,0,2,7,0,0,0,0,6,1,0,0,0,0,11,2,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT06,2723,1058,1218,7,167,21,184,0,16,0,52,2723,1058,1218,7,167,21,184,0,16,0,52,2700,1046,1215,7,161,21,183,0,16,0,51,1994,902,936,4,14,2,94,0,11,0,31,457,98,205,3,59,4,73,0,1,0,14,249,46,74,0,88,15,16,0,4,0,6,16,5,3,0,6,0,1,0,0,0,1,14,3,3,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT07,2704,1272,1145,4,44,0,174,16,8,5,36,2704,1272,1145,4,44,0,174,16,8,5,36,2690,1263,1143,4,43,0,173,16,8,5,35,2264,1129,1012,0,3,0,92,0,2,1,25,292,95,80,4,21,0,60,16,6,4,6,134,39,51,0,19,0,21,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95TT08,2724,1201,1244,1,63,0,167,0,25,2,21,2724,1201,1244,1,63,0,167,0,25,2,21,2678,1168,1244,1,56,0,165,0,24,0,20,2297,1050,1086,0,5,0,121,0,15,0,20,277,92,125,1,25,0,29,0,5,0,0,104,26,33,0,26,0,15,0,4,0,0,11,0,0,0,7,0,2,0,0,2,0,8,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,35,33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
95TT09,2917,1404,1301,4,34,0,102,0,18,3,51,2917,1404,1301,4,34,0,102,0,18,3,51,2895,1385,1301,4,34,0,102,0,18,0,51,2479,1229,1108,4,3,0,77,0,16,0,42,307,129,133,0,20,0,18,0,2,0,5,109,27,60,0,11,0,7,0,0,0,4,5,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT10,2852,624,1038,16,361,38,640,4,38,2,91,2852,624,1038,16,361,38,640,4,38,2,91,2764,617,1031,16,344,37,589,4,38,2,86,853,262,345,0,44,5,174,2,0,1,20,1043,169,380,16,109,29,294,2,20,1,23,868,186,306,0,191,3,121,0,18,0,43,88,7,7,0,17,1,51,0,0,0,5,71,3,7,0,17,1,39,0,0,0,4,6,0,0,0,0,0,6,0,0,0,0,11,4,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT11,3233,1428,1413,1,89,15,177,0,33,0,77,3233,1428,1413,1,89,15,177,0,33,0,77,3223,1419,1413,1,89,15,177,0,33,0,76,2625,1246,1175,0,12,15,109,0,21,0,47,437,124,179,0,44,0,58,0,10,0,22,161,49,59,1,33,0,10,0,2,0,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT12,2641,1159,1137,10,113,2,175,2,4,5,34,2641,1159,1137,10,113,2,175,2,4,5,34,2615,1148,1134,10,113,2,163,2,4,5,34,1925,928,825,1,24,0,108,0,2,5,32,530,172,240,9,55,2,47,2,2,0,1,160,48,69,0,34,0,8,0,0,0,1,19,4,3,0,0,0,12,0,0,0,0,10,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95TT13,2918,681,1073,23,436,4,605,4,41,3,48,2918,681,1073,23,436,4,605,4,41,3,48,2849,678,1070,23,405,4,576,4,41,3,45,1160,374,502,6,70,3,187,0,7,0,11,903,177,377,15,94,0,198,0,27,3,12,786,127,191,2,241,1,191,4,7,0,22,69,3,3,0,31,0,29,0,0,0,3,56,3,3,0,24,0,23,0,0,0,3,12,0,0,0,7,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
