GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
95JJ07,1092,222,823,8,39,316,49,258,3,6,117,15,100,2,0,199,34,158,1,6,714,152,528,5,29,41,3,37,0,1,290,60,215,3,12,95,17,73,2,3,136,26,101,1,8,59,17,41,0,1,83,19,57,1,6,35,8,23,1,3,42,10,29,0,3,6,1,5,0,0,300,70,219,1,10,214,47,159,0,8,86,23,60,1,2,62,21,37,0,4,26,10,14,0,2,0,0,0,0,0,2,0,2,0,0,34,11,21,0,2
95JJ08,1187,244,886,8,49,285,51,220,3,11,124,14,108,0,2,161,37,112,3,9,773,159,581,4,29,97,11,85,0,1,515,111,389,2,13,140,24,111,0,5,257,73,178,1,5,118,14,100,1,3,48,9,33,0,6,22,5,14,0,3,25,4,18,0,3,1,0,1,0,0,113,28,74,2,9,73,14,49,1,9,40,14,25,1,0,129,34,85,1,9,23,7,15,0,1,60,20,36,0,4,6,0,6,0,0,40,7,28,1,4
95JJ09,839,49,764,7,19,240,15,217,2,6,138,5,130,1,2,102,10,87,1,4,552,31,506,3,12,100,1,97,1,1,354,20,325,1,8,136,4,129,1,2,138,13,119,0,6,80,3,77,0,0,36,8,25,1,2,24,6,15,1,2,10,2,8,0,0,2,0,2,0,0,62,2,59,0,1,24,2,22,0,0,38,0,37,0,1,47,3,41,2,1,17,1,15,1,0,0,0,0,0,0,7,0,6,1,0,23,2,20,0,1
95JJ10,1027,430,575,7,15,284,94,183,3,4,153,46,104,1,2,131,48,79,2,2,679,300,367,4,8,69,15,54,0,0,436,226,202,3,5,93,34,57,1,1,239,137,98,1,3,104,55,47,1,1,56,17,37,0,2,22,5,15,0,2,31,12,19,0,0,3,0,3,0,0,118,42,74,1,1,73,28,44,0,1,45,14,30,1,0,64,36,25,0,3,28,18,10,0,0,0,0,0,0,0,11,5,6,0,0,25,13,9,0,3
95JJ11,1542,311,1151,19,61,418,82,309,10,17,173,22,143,3,5,245,60,166,7,12,1039,203,787,8,41,167,15,151,1,0,584,114,443,5,22,202,36,156,4,6,292,66,212,0,14,90,12,75,1,2,94,27,59,0,8,45,10,31,0,4,46,16,26,0,4,3,1,2,0,0,194,47,134,2,11,131,30,91,1,9,63,17,43,1,2,85,26,55,1,3,38,14,24,0,0,2,1,1,0,0,4,0,4,0,0,41,11,26,1,3
95JJ12,1002,637,339,6,20,237,141,91,4,1,106,53,50,3,0,131,88,41,1,1,695,447,230,2,16,78,30,48,0,0,431,287,133,0,11,105,61,40,0,4,234,164,63,0,7,92,62,30,0,0,54,40,11,1,2,32,23,8,1,0,19,14,3,0,2,3,3,0,0,0,132,90,38,1,3,88,64,21,0,3,44,26,17,1,0,70,49,18,0,3,24,18,5,0,1,1,1,0,0,0,4,1,3,0,0,41,29,10,0,2
95JJ13,1457,232,1148,19,58,297,48,235,4,10,92,3,88,0,1,205,45,147,4,9,1073,158,857,15,43,100,6,91,2,1,714,107,570,10,27,198,20,166,2,10,373,69,284,6,14,143,18,120,2,3,88,12,66,1,9,41,5,30,1,5,41,6,31,0,4,6,1,5,0,0,171,33,130,2,6,120,24,89,2,5,51,9,41,0,1,87,26,56,0,5,41,12,28,0,1,1,1,0,0,0,0,0,0,0,0,45,13,28,0,4
95JJ14,849,83,740,4,22,171,16,150,1,4,82,5,75,1,1,89,11,75,0,3,623,60,542,3,18,74,3,70,0,1,424,46,364,3,11,129,18,104,1,6,187,21,159,2,5,108,7,101,0,0,36,2,30,0,4,13,1,9,0,3,21,1,19,0,1,2,0,2,0,0,89,9,78,0,2,52,4,48,0,0,37,5,30,0,2,55,7,48,0,0,27,6,21,0,0,0,0,0,0,0,2,1,1,0,0,26,0,26,0,0
95JJ15,779,232,505,5,37,227,63,146,0,18,102,24,75,0,3,125,39,71,0,15,491,140,330,5,16,105,26,78,1,0,254,71,173,3,7,105,20,83,0,2,96,35,53,3,5,53,16,37,0,0,42,9,27,0,6,26,4,18,0,4,15,5,8,0,2,1,0,1,0,0,90,34,52,1,3,51,22,26,1,2,39,12,26,0,1,61,29,29,0,3,23,11,10,0,2,0,0,0,0,0,2,0,2,0,0,36,18,17,0,1
95JJ16,916,295,569,9,43,436,135,275,6,20,197,62,131,2,2,239,73,144,4,18,410,137,250,3,20,59,16,42,0,1,205,70,124,2,9,88,26,57,1,4,78,33,39,1,5,39,11,28,0,0,48,18,27,0,3,31,13,17,0,1,16,5,9,0,2,1,0,1,0,0,98,33,57,1,7,56,18,32,1,5,42,15,25,0,2,70,23,44,0,3,12,2,9,0,1,14,4,10,0,0,8,3,5,0,0,36,14,20,0,2
