GeographyCode,DC2421NI0001,DC2421NI0002,DC2421NI0003,DC2421NI0004,DC2421NI0005,DC2421NI0006,DC2421NI0007,DC2421NI0008,DC2421NI0009,DC2421NI0010,DC2421NI0011,DC2421NI0012,DC2421NI0013,DC2421NI0014,DC2421NI0015,DC2421NI0016,DC2421NI0017,DC2421NI0018,DC2421NI0019,DC2421NI0020,DC2421NI0021,DC2421NI0022,DC2421NI0023,DC2421NI0024,DC2421NI0025,DC2421NI0026,DC2421NI0027,DC2421NI0028,DC2421NI0029,DC2421NI0030,DC2421NI0031,DC2421NI0032,DC2421NI0033,DC2421NI0034,DC2421NI0035
95BB08,1068,68,930,15,55,279,13,253,6,7,350,16,306,2,26,201,19,172,5,5,170,12,150,1,7,68,8,49,1,10,2.46,2.87,2.41,2.47,2.80
95BB09,1253,56,1097,5,95,340,14,297,2,27,467,18,421,3,25,213,16,180,0,17,183,4,157,0,22,50,4,42,0,4,2.32,2.43,2.30,1.60,2.49
95BB10,1509,100,1290,19,100,515,36,435,5,39,556,20,496,8,32,204,18,168,4,14,158,16,130,2,10,76,10,61,0,5,2.17,2.51,2.15,2.16,2.10
95BB11,1338,69,1186,14,69,477,24,423,4,26,455,19,414,3,19,197,10,173,5,9,141,9,122,0,10,68,7,54,2,5,2.17,2.38,2.14,2.79,2.30
95BB12,1130,116,920,18,76,291,31,235,6,19,400,40,332,4,24,209,21,177,2,9,132,11,104,2,15,98,13,72,4,9,2.46,2.45,2.44,2.72,2.63
95BB13,1687,119,1424,23,121,323,27,274,7,15,603,39,516,4,44,323,20,272,3,28,290,24,242,2,22,148,9,120,7,12,2.63,2.63,2.61,2.91,2.79
95BB14,1172,64,1015,17,76,259,12,230,2,15,392,26,333,10,23,192,6,173,2,11,214,12,184,0,18,115,8,95,3,9,2.63,2.84,2.61,2.65,2.79
95BB15,1287,715,517,7,48,301,173,119,2,7,403,199,182,4,18,205,120,79,1,5,204,112,82,0,10,174,111,55,0,8,2.71,2.77,2.62,1.86,2.92
95BB16,1176,65,1051,8,52,225,15,200,1,9,417,18,384,5,10,206,11,190,0,5,210,13,180,1,16,118,8,97,1,12,2.66,2.74,2.63,2.63,3.31
95BB17,1399,89,1184,8,118,335,16,298,1,20,473,26,403,3,41,248,18,201,3,26,232,19,190,0,23,111,10,92,1,8,2.53,2.84,2.49,2.63,2.65
95BB18,1638,81,1441,15,101,372,15,332,5,20,560,25,496,8,31,284,10,252,2,20,276,24,237,0,15,146,7,124,0,15,2.57,2.79,2.55,1.80,2.81
95BB19,1724,136,1473,14,101,301,22,267,4,8,550,42,479,4,25,357,35,300,1,21,370,25,312,2,31,146,12,115,3,16,2.74,2.79,2.70,3.00,3.29
95BB20,1290,990,250,5,45,369,275,83,2,9,353,259,78,1,15,218,169,36,1,12,183,151,26,1,5,167,136,27,0,4,2.61,2.66,2.42,2.20,2.56
95BB21,1821,203,1505,18,95,440,41,380,4,15,617,53,520,7,37,283,30,236,0,17,293,44,227,7,15,188,35,142,0,11,2.58,2.94,2.52,2.56,2.72
95BB22,1194,80,1006,4,104,320,22,278,2,18,370,26,303,2,39,208,11,180,0,17,207,13,170,0,24,89,8,75,0,6,2.51,2.50,2.50,1.50,2.66
95BB23,1161,104,978,15,64,236,23,195,4,14,431,31,372,6,22,203,20,168,3,12,213,21,182,1,9,78,9,61,1,7,2.56,2.67,2.55,2.27,2.64
95CC01,904,819,68,4,13,234,213,16,0,5,256,233,17,1,5,180,160,19,1,0,133,118,11,1,3,101,95,5,1,0,2.63,2.63,2.63,4.50,2.08
95CC02,875,606,258,2,9,171,117,51,0,3,214,143,70,1,0,161,107,50,1,3,139,96,41,0,2,190,143,46,0,1,3.08,3.13,2.98,2.50,2.78
95CC03,1127,953,125,11,38,367,293,67,1,6,295,260,20,2,13,196,162,26,4,4,152,134,7,2,9,117,104,5,2,6,2.48,2.52,1.90,3.27,3.05
95CC04,790,534,243,2,11,177,102,73,0,2,188,134,53,0,1,132,83,43,2,4,126,90,34,0,2,167,125,40,0,2,3.02,3.13,2.76,3.00,3.27
95CC05,954,617,317,5,15,227,152,73,0,2,261,156,101,1,3,134,92,39,0,3,156,92,57,2,5,176,125,47,2,2,2.88,2.92,2.78,4.40,3.20
95CC06,1096,579,480,8,29,301,159,133,4,5,351,159,182,1,9,179,110,64,1,4,156,83,66,1,6,109,68,35,1,5,2.51,2.60,2.37,2.25,2.93
95CC07,1108,902,194,3,9,227,186,38,1,2,250,207,41,1,1,181,138,38,1,4,193,166,26,0,1,257,205,51,0,1,3.14,3.11,3.27,2.00,2.89
95CC08,990,903,65,4,18,286,269,15,1,1,292,269,14,0,9,158,136,16,3,3,141,126,11,0,4,113,103,9,0,1,2.54,2.51,2.80,2.50,2.72
95CC09,1190,100,1048,8,34,235,16,211,1,7,378,37,326,2,13,191,13,172,2,4,232,17,209,1,5,154,17,130,2,5,2.79,2.91,2.78,3.38,2.65
95CC10,901,165,708,7,21,186,35,145,1,5,281,40,231,2,8,169,33,132,2,2,138,32,103,1,2,127,25,97,1,4,2.77,2.95,2.73,2.86,2.76
95CC11,786,716,59,0,11,290,269,20,0,1,232,207,19,0,6,115,108,5,0,2,89,82,5,0,2,60,50,10,0,0,2.27,2.25,2.53,0,2.45
95CC12,890,395,477,5,13,175,80,90,1,4,209,71,132,2,4,158,55,100,1,2,155,73,80,1,1,193,116,75,0,2,3.09,3.32,2.93,2.40,2.46
95CC13,817,411,395,6,5,168,88,80,0,0,214,92,117,4,1,124,52,71,0,1,155,87,64,1,3,156,92,63,1,0,3.03,3.15,2.90,2.83,3.40
95CC14,1132,109,982,12,29,249,28,217,0,4,355,45,298,4,8,199,13,178,3,5,212,14,187,3,8,117,9,102,2,4,2.67,2.40,2.68,3.33,3.00
95CC15,1007,373,605,6,23,213,80,128,0,5,274,84,182,4,4,189,74,109,0,6,171,61,103,1,6,160,74,83,1,2,2.87,3.02,2.78,2.83,2.91
95CC16,1076,175,871,7,23,302,53,245,1,3,306,53,240,4,9,187,29,150,1,7,137,21,113,0,3,144,19,123,1,1,2.60,2.48,2.63,2.57,2.57
95CC17,897,598,280,7,12,178,109,65,1,3,220,137,75,3,5,164,112,51,0,1,149,110,36,1,2,186,130,53,2,1,3.04,3.12,2.88,3.00,2.42
95CC18,937,483,425,9,20,284,142,134,3,5,277,139,134,1,3,163,84,71,4,4,122,66,51,1,4,91,52,35,0,4,2.46,2.51,2.39,2.33,3.10
95CC19,981,334,620,3,24,242,74,167,0,1,267,97,158,2,10,155,57,92,0,6,179,64,109,1,5,138,42,94,0,2,2.77,2.76,2.78,2.67,2.92
95CC20,1127,61,1014,8,44,275,9,254,1,11,319,14,285,7,13,228,15,204,0,9,196,13,173,0,10,109,10,98,0,1,2.63,3.08,2.62,1.88,2.50
95CC21,1167,153,961,5,48,307,37,259,2,9,394,54,321,1,18,174,22,142,1,9,183,24,155,0,4,109,16,84,1,8,2.51,2.55,2.49,2.40,2.79
95CC22,842,179,626,11,26,370,73,283,8,6,247,54,183,2,8,118,20,90,1,7,54,17,34,0,3,53,15,36,0,2,2.05,2.18,2.00,1.36,2.58
95DD01,836,123,685,7,21,196,24,162,1,9,330,40,284,2,4,142,28,109,3,2,103,16,83,1,3,65,15,47,0,3,2.43,2.67,2.38,2.57,2.48
95DD02,1490,82,1357,12,39,345,16,316,4,9,467,21,427,4,15,292,15,267,3,7,255,15,233,1,6,131,15,114,0,2,2.60,3.04,2.58,2.08,2.44
95DD03,1389,207,1091,21,70,305,35,256,6,8,521,67,418,7,29,268,47,202,1,18,193,33,147,2,11,102,25,68,5,4,2.50,2.82,2.43,2.67,2.63
95DD04,859,62,749,12,36,303,21,269,5,8,274,21,238,2,13,132,12,111,2,7,94,5,82,2,5,56,3,49,1,3,2.24,2.21,2.23,2.33,2.50
95DD05,685,35,612,11,27,174,11,156,2,5,214,8,194,4,8,140,8,124,1,7,92,6,81,1,4,65,2,57,3,3,2.54,2.46,2.53,2.91,2.74
95DD06,944,175,736,7,26,187,31,152,0,4,368,54,304,4,6,141,33,102,2,4,183,37,136,1,9,65,20,42,0,3,2.57,2.84,2.49,2.57,3.04
95DD07,1412,74,1279,8,51,397,18,362,7,10,485,18,452,0,15,243,14,217,0,12,195,18,163,1,13,92,6,85,0,1,2.38,2.70,2.36,1.38,2.61
95DD08,1041,382,594,9,56,485,156,309,4,16,270,109,141,2,18,154,59,81,1,13,79,38,34,2,5,53,20,29,0,4,2.00,2.12,1.89,2.11,2.34
95DD09,929,59,843,3,24,164,10,146,0,8,319,15,296,2,6,164,13,148,0,3,177,15,158,0,4,105,6,95,1,3,2.77,2.92,2.76,3.00,2.54
95DD10,1180,44,1084,15,37,361,13,340,2,6,378,12,350,5,11,208,8,182,6,12,137,4,127,1,5,96,7,85,1,3,2.38,2.66,2.35,2.60,2.70
95DD11,955,527,381,4,43,301,151,137,1,12,272,152,101,0,19,160,92,62,1,5,131,82,42,1,6,91,50,39,1,1,2.47,2.55,2.40,3.25,2.19
95DD12,890,116,739,6,29,163,15,139,2,7,268,27,230,3,8,165,21,135,0,9,154,13,138,0,3,140,40,97,1,2,2.90,3.56,2.82,2.17,2.52
95DD13,741,399,305,5,32,272,129,132,4,7,207,122,76,0,9,106,58,46,0,2,88,47,34,0,7,68,43,17,1,7,2.35,2.45,2.14,2.00,3.19
95DD14,1233,81,1103,12,37,259,8,242,1,8,405,21,372,3,9,219,26,183,3,7,233,14,206,4,9,117,12,100,1,4,2.65,3.06,2.61,3.08,2.78
95DD15,1174,662,484,10,18,239,134,97,4,4,311,154,150,1,6,217,119,93,3,2,187,110,74,0,3,220,145,70,2,3,2.94,3.07,2.76,2.50,3.06
95DD16,1019,120,857,9,33,197,24,162,2,9,280,24,250,2,4,204,33,167,1,3,182,23,147,0,12,156,16,131,4,5,2.89,2.93,2.87,3.33,3.03
95DD17,1148,409,703,7,29,192,59,128,2,3,326,80,235,2,9,201,78,113,0,10,235,93,136,2,4,194,99,91,1,3,3.01,3.38,2.81,2.71,2.86
95DD18,873,70,749,13,41,311,20,279,6,6,333,24,290,3,16,124,15,95,4,10,71,6,58,0,7,34,5,27,0,2,2.08,2.37,2.02,1.85,2.61
95DD19,1275,68,1158,7,42,297,11,282,1,3,408,12,380,3,13,235,18,203,2,12,212,15,186,1,10,123,12,107,0,4,2.60,3.13,2.55,2.43,3.02
95DD20,826,61,719,6,40,330,23,294,4,9,263,19,229,2,13,122,10,101,0,11,59,4,53,0,2,52,5,42,0,5,2.11,2.23,2.08,1.33,2.63
95DD21,891,281,564,9,37,242,58,178,2,4,315,92,206,4,13,159,46,98,2,13,117,52,61,0,4,58,33,21,1,3,2.39,2.74,2.19,2.33,2.73
95DD22,1156,380,746,10,20,309,104,196,3,6,318,86,223,4,5,185,64,114,1,6,196,55,138,2,1,148,71,75,0,2,2.70,2.87,2.62,2.20,2.45
95DD23,881,110,740,8,23,154,22,126,2,4,277,35,233,2,7,162,23,134,1,4,179,17,154,3,5,109,13,93,0,3,2.83,2.75,2.84,2.63,2.87
95DD24,990,625,326,2,37,198,118,71,0,9,318,186,124,2,6,192,117,63,0,12,174,119,51,0,4,108,85,17,0,6,2.72,2.85,2.46,2.00,2.92
95EE01,592,528,58,0,6,93,80,12,0,1,149,130,15,0,4,111,98,12,0,1,103,92,11,0,0,136,128,8,0,0,3.20,3.25,2.90,0,2.00
95EE02,790,48,713,3,26,186,6,175,0,5,239,11,220,0,8,147,7,131,2,7,135,14,115,1,5,83,10,72,0,1,2.65,3.42,2.60,3.33,2.58
95EE03,808,119,646,6,37,231,27,187,2,15,255,22,223,3,7,130,23,98,0,9,122,28,89,1,4,70,19,49,0,2,2.45,2.94,2.38,2.00,2.24
95EE04,736,257,459,3,17,168,59,108,0,1,231,69,157,2,3,127,43,76,1,7,111,39,69,0,3,99,47,49,0,3,2.70,2.88,2.59,2.33,3.24
95EE05,577,45,511,3,18,135,13,117,1,4,197,10,177,1,9,91,5,84,0,2,98,12,85,0,1,56,5,48,1,2,2.59,2.76,2.59,2.67,2.39
95EE06,692,555,131,2,4,123,99,24,0,0,141,109,31,0,1,115,88,24,1,2,142,114,27,0,1,171,145,25,1,0,3.29,3.33,3.11,4.00,3.00
95EE07,740,124,586,9,21,207,33,170,2,2,243,42,194,1,6,131,23,100,3,5,105,20,77,2,6,54,6,45,1,2,2.43,2.40,2.41,3.00,3.00
95EE08,711,102,576,8,25,224,29,185,2,8,251,24,214,4,9,109,22,78,1,8,78,11,67,0,0,49,16,32,1,0,2.30,2.68,2.24,2.25,2.00
95EE09,605,210,376,4,15,95,35,60,0,0,165,59,101,3,2,109,35,70,1,3,120,35,81,0,4,116,46,64,0,6,3.07,3.04,3.06,2.25,4.00
95EE10,598,338,250,5,5,116,66,48,2,0,155,78,75,0,2,101,53,44,2,2,110,65,43,1,1,116,76,40,0,0,3.01,3.11,2.88,2.40,2.80
95EE11,551,158,375,5,13,82,15,62,3,2,164,28,128,2,6,103,28,72,0,3,98,32,66,0,0,104,55,47,0,2,3.04,3.69,2.81,1.40,2.62
95EE12,1059,138,879,6,36,310,37,259,2,12,349,49,288,3,9,189,23,159,0,7,150,17,125,1,7,61,12,48,0,1,2.36,2.45,2.35,2.00,2.33
95EE13,718,167,516,12,23,297,79,203,7,8,205,34,162,5,4,104,27,71,0,6,70,15,53,0,2,42,12,27,0,3,2.13,2.13,2.13,1.42,2.48
95EE14,1016,136,838,7,35,213,21,182,0,10,342,45,288,3,6,185,27,146,1,11,180,28,147,1,4,96,15,75,2,4,2.64,2.86,2.60,3.43,2.60
95EE15,606,114,468,3,21,129,18,107,1,3,171,27,136,1,7,108,20,83,0,5,106,27,75,1,3,92,22,67,0,3,2.85,3.20,2.77,2.33,2.90
95EE16,709,173,514,8,14,132,34,91,3,4,194,29,159,3,3,118,29,84,1,4,151,35,112,1,3,114,46,68,0,0,2.98,3.36,2.88,2.00,2.43
95FF01,1740,530,1126,13,71,335,93,225,2,15,550,151,368,6,25,317,115,189,1,12,371,109,247,2,13,167,62,97,2,6,2.73,2.86,2.68,2.85,2.61
95FF02,923,497,397,2,27,190,99,80,0,11,224,103,116,0,5,149,86,57,1,5,161,81,75,1,4,199,128,69,0,2,3.05,3.20,2.91,3.50,2.33
95FF03,1169,468,654,7,40,268,116,140,1,11,390,158,213,4,15,215,81,128,0,6,199,72,123,2,2,97,41,50,0,6,2.57,2.53,2.61,2.43,2.50
95FF04,862,315,520,8,19,136,57,72,3,4,249,81,159,2,7,143,48,91,2,2,172,60,109,0,3,162,69,89,1,3,3.05,3.14,3.02,2.38,2.74
95FF05,1119,209,853,14,43,367,72,275,5,15,350,61,271,7,11,195,44,144,0,7,146,24,114,2,6,61,8,49,0,4,2.29,2.24,2.30,1.93,2.42
95FF06,1540,226,1227,14,73,354,59,276,4,15,508,62,410,6,30,234,33,189,3,9,298,41,242,1,14,146,31,110,0,5,2.63,2.75,2.62,2.07,2.59
95FF07,1154,511,586,7,50,363,139,202,4,18,347,154,179,1,13,195,95,91,1,8,161,79,74,1,7,88,44,40,0,4,2.39,2.52,2.30,1.86,2.32
95FF08,993,267,687,6,33,351,99,244,3,5,276,79,188,0,9,144,39,95,2,8,139,25,106,0,8,83,25,54,1,3,2.34,2.26,2.35,2.33,2.88
95FF09,1000,391,567,9,33,300,119,167,3,11,285,115,161,4,5,165,77,81,1,6,144,34,102,1,7,106,46,56,0,4,2.52,2.47,2.55,2.00,2.70
95FF10,1216,161,998,8,49,228,28,191,1,8,364,46,303,1,14,225,28,182,2,13,227,29,184,2,12,172,30,138,2,2,2.86,3.03,2.83,3.63,2.71
95FF11,873,249,596,7,21,157,52,101,2,2,252,50,191,3,8,150,46,101,0,3,171,44,120,1,6,143,57,83,1,2,2.96,3.18,2.87,2.43,2.90
95FF12,1018,524,461,13,20,229,119,99,4,7,325,164,151,5,5,184,89,90,1,4,159,82,74,1,2,121,70,47,2,2,2.67,2.71,2.65,2.46,2.40
95FF13,977,324,617,6,30,218,68,139,2,9,282,97,178,1,6,175,64,106,0,5,167,44,115,2,6,135,51,79,1,4,2.77,2.82,2.75,3.00,2.70
95FF14,862,122,706,9,25,149,30,115,2,2,291,40,242,2,7,142,14,118,2,8,173,19,144,3,7,107,19,87,0,1,2.80,2.72,2.81,2.67,2.92
95FF15,1073,391,647,11,24,335,105,221,5,4,300,100,187,3,10,171,69,96,1,5,142,55,80,2,5,125,62,63,0,0,2.50,2.72,2.38,2.00,2.46
95FF16,927,189,700,8,30,255,53,188,5,9,281,40,236,2,3,168,40,121,0,7,143,32,107,0,4,80,24,48,1,7,2.50,2.69,2.43,1.75,3.10
95FF17,857,299,505,10,43,378,137,219,4,18,265,84,166,4,11,95,35,52,1,7,82,27,49,0,6,37,16,19,1,1,2.00,2.03,1.98,2.00,2.09
95GG01,2004,1906,81,5,12,649,618,25,3,3,590,562,26,0,2,350,332,15,2,1,212,202,5,0,5,203,192,10,0,1,2.42,2.41,2.51,1.80,2.92
95GG02,2568,2394,127,6,41,885,831,39,2,13,736,704,23,2,7,442,403,24,1,14,312,286,22,0,4,193,170,19,1,3,2.33,2.31,2.77,2.33,2.44
95GG03,2667,433,1971,44,219,979,161,746,10,62,854,140,633,12,69,364,52,256,13,43,319,47,236,5,31,151,33,100,4,14,2.20,2.22,2.16,2.64,2.41
95GG04,2297,1027,1139,27,104,960,337,576,8,39,625,275,315,6,29,349,199,126,8,16,223,123,84,4,12,140,93,38,1,8,2.14,2.43,1.86,2.44,2.24
95GG05,2800,1590,870,63,277,1078,582,395,12,89,905,542,261,17,85,420,245,103,17,55,288,150,88,11,39,109,71,23,6,9,2.10,2.13,1.96,2.75,2.27
95GG06,2381,182,2046,26,127,723,61,618,6,38,789,56,690,3,40,429,30,368,7,24,288,21,243,5,19,152,14,127,5,6,2.34,2.33,2.32,3.31,2.37
95GG07,2269,2051,160,14,44,742,675,57,3,7,615,558,39,5,13,444,401,28,4,11,278,245,21,2,10,190,172,15,0,3,2.41,2.40,2.46,2.36,2.82
95GG08,2151,1300,741,22,88,735,399,299,9,28,667,418,212,5,32,361,220,124,2,15,245,161,69,5,10,143,102,37,1,3,2.28,2.38,2.12,2.27,2.24
95GG09,2604,210,2205,21,168,802,72,682,4,44,881,64,762,6,49,425,29,365,6,25,336,25,273,4,34,160,20,123,1,16,2.33,2.44,2.29,2.62,2.63
95GG10,2017,243,1522,42,210,883,64,708,21,90,625,83,458,12,72,284,54,199,5,26,149,27,104,1,17,76,15,53,3,5,1.98,2.41,1.92,1.90,1.96
95GG11,2686,389,2022,35,240,1162,127,923,16,96,869,135,642,10,82,310,56,220,3,31,233,47,164,5,17,112,24,73,1,14,2.01,2.32,1.94,2.00,2.05
95GG12,3429,2064,831,130,404,1140,660,293,50,137,871,544,190,20,117,545,336,116,25,68,438,268,115,24,31,435,256,117,11,51,2.54,2.55,2.61,2.49,2.42
95GG13,2116,674,1305,38,99,819,196,564,19,40,590,174,388,7,21,336,107,196,9,24,225,111,103,2,9,146,86,54,1,5,2.22,2.64,2.01,1.92,2.20
95GG14,1817,970,775,23,49,440,207,211,12,10,565,267,277,4,17,296,168,115,3,10,306,186,109,1,10,210,142,63,3,2,2.65,2.85,2.43,2.17,2.55
95GG15,2544,343,2032,25,144,889,95,741,10,43,822,104,671,6,41,353,60,265,2,26,331,58,245,4,24,149,26,110,3,10,2.24,2.47,2.18,2.36,2.45
95GG16,2230,1643,437,33,117,776,560,168,11,37,597,433,119,7,38,370,262,77,9,22,263,206,41,3,13,224,182,32,3,7,2.41,2.46,2.23,2.42,2.31
95GG17,2137,1446,604,16,71,636,390,225,7,14,607,391,190,3,23,385,271,95,2,17,324,248,64,3,9,185,146,30,1,8,2.49,2.62,2.18,2.25,2.69
95GG18,2143,1943,150,13,37,746,681,54,4,7,627,576,38,2,11,371,332,28,2,9,236,216,15,2,3,163,138,15,3,7,2.32,2.30,2.41,2.85,2.89
95GG19,2239,197,1932,13,97,1004,62,903,6,33,628,46,541,5,36,311,34,262,2,13,205,36,158,0,11,91,19,68,0,4,2.02,2.63,1.95,1.69,2.15
95GG20,2359,476,1652,49,182,1008,138,778,17,75,701,170,470,10,51,366,86,235,14,31,177,45,107,8,17,107,37,62,0,8,2.03,2.34,1.93,2.27,2.08
95GG21,2262,1991,163,54,54,854,752,60,17,25,639,568,42,16,13,368,325,22,12,9,234,201,19,8,6,167,145,20,1,1,2.25,2.24,2.42,2.26,1.98
95GG22,2208,2094,80,15,19,783,752,21,5,5,574,545,22,3,4,362,338,21,2,1,269,252,8,3,6,220,207,8,2,3,2.40,2.38,2.61,2.67,2.95
95GG23,1821,789,910,41,81,490,180,282,8,20,623,209,370,13,31,291,134,137,5,15,261,158,82,12,9,156,108,39,3,6,2.47,2.81,2.17,2.76,2.40
95GG24,1945,765,1056,25,99,714,276,395,10,33,598,215,339,5,39,266,95,158,3,10,240,107,116,5,12,127,72,48,2,5,2.24,2.38,2.14,2.52,2.16
95GG25,2194,2094,69,13,18,668,635,21,6,6,616,600,11,0,5,374,356,14,1,3,294,280,10,3,1,242,223,13,3,3,2.52,2.50,2.91,3.08,2.50
95GG26,1654,257,1313,15,69,563,74,467,5,17,548,82,438,4,24,284,43,224,4,13,165,31,123,2,9,94,27,61,0,6,2.22,2.47,2.16,2.20,2.51
95GG27,2467,2316,123,8,20,686,635,40,4,7,709,670,31,0,8,437,415,22,0,0,331,310,16,3,2,304,286,14,1,3,2.60,2.60,2.54,2.63,2.70
95GG28,2325,196,1994,17,118,636,43,561,2,30,751,69,642,6,34,461,37,395,3,26,328,26,277,5,20,149,21,119,1,8,2.42,2.61,2.40,2.82,2.54
95GG29,2430,310,1807,95,218,1001,101,799,20,81,745,114,534,19,78,369,48,254,32,35,215,28,150,19,18,100,19,70,5,6,2.06,2.22,2.00,2.69,2.05
95GG30,2083,162,1768,27,126,632,36,554,9,33,750,59,646,9,36,280,23,230,4,23,289,21,240,3,25,132,23,98,2,9,2.32,2.71,2.27,2.26,2.54
95GG31,2463,2042,343,20,58,567,433,116,6,12,772,633,117,4,18,494,417,59,6,12,342,298,32,2,10,288,261,19,2,6,2.65,2.72,2.21,2.60,2.74
95GG32,2649,1153,1372,20,104,838,288,509,8,33,767,301,432,2,32,466,245,198,5,18,357,185,155,3,14,221,134,78,2,7,2.41,2.68,2.19,2.45,2.37
95GG33,2195,1234,784,61,116,641,313,272,23,33,723,389,272,17,45,311,176,106,10,19,274,172,82,9,11,246,184,52,2,8,2.48,2.68,2.23,2.23,2.30
95GG34,1999,1110,800,26,63,595,268,304,4,19,602,318,261,5,18,357,220,118,4,15,288,198,70,10,10,157,106,47,3,1,2.43,2.63,2.16,3.12,2.30
