GeographyCode,DC3601NI0001,DC3601NI0002,DC3601NI0003,DC3601NI0004,DC3601NI0005,DC3601NI0006,DC3601NI0007,DC3601NI0008,DC3601NI0009,DC3601NI0010,DC3601NI0011,DC3601NI0012,DC3601NI0013,DC3601NI0014,DC3601NI0015,DC3601NI0016,DC3601NI0017,DC3601NI0018,DC3601NI0019,DC3601NI0020,DC3601NI0021,DC3601NI0022,DC3601NI0023,DC3601NI0024,DC3601NI0025
95DD20,666,64,165,406,31,573,53,146,348,26,49,3,16,27,3,23,3,3,16,1,21,5,0,15,1
95DD21,1050,84,207,697,62,916,68,172,624,52,101,9,27,55,10,16,5,4,7,0,17,2,4,11,0
95DD22,1466,108,274,920,164,1284,92,226,821,145,121,10,25,70,16,34,2,11,19,2,27,4,12,10,1
95DD23,1311,104,252,722,233,1083,85,196,611,191,154,10,38,79,27,33,4,8,15,6,41,5,10,17,9
95DD24,1314,113,246,877,78,1122,95,211,747,69,133,13,21,93,6,29,2,8,18,1,30,3,6,19,2
95EE01,785,43,142,503,97,662,37,116,428,81,82,2,17,50,13,22,3,5,13,1,19,1,4,12,2
95EE02,936,81,177,570,108,799,68,150,490,91,99,9,22,55,13,12,1,2,7,2,26,3,3,18,2
95EE03,815,51,176,524,64,694,43,146,451,54,78,5,16,50,7,19,1,6,10,2,24,2,8,13,1
95EE04,904,55,160,581,108,781,44,130,512,95,86,5,17,56,8,17,1,4,9,3,20,5,9,4,2
95EE05,699,47,155,397,100,585,38,127,339,81,82,6,20,41,15,17,0,7,8,2,15,3,1,9,2
95EE06,974,58,181,663,72,838,46,147,576,69,92,9,24,56,3,26,2,6,18,0,18,1,4,13,0
95EE07,702,42,177,433,50,612,35,150,382,45,59,5,15,34,5,15,2,7,6,0,16,0,5,11,0
95EE08,720,45,133,465,77,588,39,103,384,62,88,4,21,53,10,21,0,4,15,2,23,2,5,13,3
95EE09,855,64,177,488,126,743,54,144,436,109,83,6,23,41,13,11,1,4,4,2,18,3,6,7,2
95EE10,803,43,140,528,92,712,38,119,472,83,69,4,14,44,7,11,1,3,6,1,11,0,4,6,1
95EE11,776,45,132,480,119,665,35,112,421,97,83,8,14,42,19,14,1,3,10,0,14,1,3,7,3
95EE12,1024,76,227,654,67,894,64,185,588,57,86,7,25,45,9,18,3,4,11,0,26,2,13,10,1
95EE13,539,53,107,330,49,474,46,86,297,45,40,2,14,23,1,7,2,2,2,1,18,3,5,8,2
95EE14,1167,99,238,705,125,981,85,191,600,105,134,13,29,79,13,23,1,6,11,5,29,0,12,15,2
95EE15,782,56,154,443,129,669,46,126,391,106,78,8,17,39,14,16,0,4,7,5,19,2,7,6,4
95EE16,945,88,182,549,126,801,69,155,466,111,95,9,20,55,11,35,5,5,21,4,14,5,2,7,0
95FF01,2430,158,471,1495,306,2087,126,390,1309,262,252,23,55,145,29,46,3,15,22,6,45,6,11,19,9
95FF02,1309,92,255,783,179,1095,76,203,670,146,145,9,34,81,21,37,2,10,21,4,32,5,8,11,8
95FF03,1458,103,322,932,101,1258,88,271,814,85,135,7,29,88,11,32,5,7,18,2,33,3,15,12,3
95FF04,1290,91,268,700,231,1065,72,219,582,192,167,16,30,95,26,22,1,6,9,6,36,2,13,14,7
95FF05,1139,80,201,741,117,967,64,171,632,100,118,4,20,81,13,30,8,4,17,1,24,4,6,11,3
95FF06,2058,145,388,1316,209,1767,114,333,1145,175,207,23,34,126,24,41,5,7,24,5,43,3,14,21,5
95FF07,1086,93,260,654,79,928,86,224,549,69,98,4,20,72,2,25,1,5,17,2,35,2,11,16,6
95FF08,978,92,197,602,87,808,78,154,502,74,121,9,25,75,12,22,3,8,11,0,27,2,10,14,1
95FF09,1049,62,196,681,110,876,54,157,577,88,117,5,25,72,15,32,2,9,19,2,24,1,5,13,5
95FF10,1744,100,327,1063,254,1502,84,273,929,216,167,11,36,98,22,36,4,10,16,6,39,1,8,20,10
95FF11,1292,97,230,769,196,1091,82,186,658,165,155,12,32,88,23,26,1,8,12,5,20,2,4,11,3
95FF12,1345,116,229,876,124,1100,92,179,727,102,175,15,38,108,14,39,4,4,26,5,31,5,8,15,3
95FF13,1288,101,238,749,200,1070,75,186,643,166,148,17,34,74,23,31,3,8,15,5,39,6,10,17,6
95FF14,1194,101,190,688,215,994,86,150,582,176,146,13,24,79,30,28,1,6,16,5,26,1,10,11,4
95FF15,1145,79,237,706,123,944,61,183,590,110,142,11,36,87,8,29,2,9,17,1,30,5,9,12,4
95FF16,1089,72,214,686,117,918,53,178,589,98,124,9,24,77,14,26,6,8,9,3,21,4,4,11,2
95FF17,727,52,134,482,59,637,43,117,428,49,67,6,14,39,8,14,3,2,8,1,9,0,1,7,1
95GG01,1805,160,453,1092,100,1471,130,356,905,80,180,12,59,97,12,76,7,17,51,1,78,11,21,39,7
95GG02,1575,145,593,770,67,1328,116,501,656,55,142,17,46,73,6,57,6,24,23,4,48,6,22,18,2
95GG03,3077,187,592,1987,311,2584,161,495,1674,254,385,19,73,249,44,48,1,11,30,6,60,6,13,34,7
95GG04,1629,145,423,977,84,1410,122,356,862,70,136,11,39,77,9,45,6,17,20,2,38,6,11,18,3
95GG05,3481,232,567,2398,284,3157,207,496,2194,260,240,19,43,158,20,53,1,16,33,3,31,5,12,13,1
95GG06,2437,201,568,1529,139,2020,154,456,1293,117,280,24,75,166,15,64,10,16,34,4,73,13,21,36,3
95GG07,1974,153,601,1160,60,1641,128,484,980,49,198,15,60,117,6,72,5,31,33,3,63,5,26,30,2
95GG08,2085,176,495,1277,137,1754,154,402,1088,110,224,10,56,136,22,53,7,16,27,3,54,5,21,26,2
95GG09,2892,216,580,1822,274,2423,183,455,1554,231,339,19,81,208,31,69,6,24,34,5,61,8,20,26,7
95GG10,1844,152,408,1199,85,1628,137,351,1071,69,134,10,38,81,5,43,1,9,28,5,39,4,10,19,6
95GG11,2654,154,484,1832,184,2319,130,403,1621,165,245,14,59,155,17,43,3,11,27,2,47,7,11,29,0
95GG12,4561,1523,795,1999,244,4227,1443,714,1853,217,252,60,55,112,25,61,15,18,26,2,21,5,8,8,0
95GG13,2023,149,440,1228,206,1690,132,358,1040,160,228,9,51,135,33,51,2,13,31,5,54,6,18,22,8
95GG14,2368,194,512,1476,186,1941,169,404,1207,161,323,15,83,207,18,56,7,13,35,1,48,3,12,27,6
95GG15,2754,205,485,1788,276,2309,164,417,1503,225,356,33,50,232,41,36,1,6,27,2,53,7,12,26,8
95GG16,2404,198,516,1525,165,2043,169,427,1306,141,256,20,59,156,21,60,6,14,40,0,45,3,16,23,3
95GG17,1981,175,506,1194,106,1631,147,397,989,98,216,16,58,136,6,75,8,21,45,1,59,4,30,24,1
95GG18,1611,114,465,965,67,1366,95,386,829,56,148,11,42,87,8,54,6,18,27,3,43,2,19,22,0
95GG19,1197,96,363,686,52,998,78,297,575,48,107,9,33,63,2,44,3,13,28,0,48,6,20,20,2
95GG20,1835,136,451,1107,141,1621,120,395,981,125,126,7,31,82,6,40,3,10,24,3,48,6,15,20,7
95GG21,1471,140,427,853,51,1241,115,359,723,44,123,5,42,72,4,58,9,14,33,2,49,11,12,25,1
95GG22,2098,170,578,1236,114,1700,141,443,1021,95,258,22,87,140,9,67,3,20,41,3,73,4,28,34,7
95GG23,2182,183,447,1345,207,1775,150,351,1104,170,316,28,72,188,28,33,1,7,24,1,58,4,17,29,8
95GG24,2028,157,461,1248,162,1681,133,361,1057,130,240,7,69,144,20,47,8,13,22,4,60,9,18,25,8
95GG25,2202,194,639,1264,105,1805,164,514,1042,85,248,18,75,144,11,71,7,21,40,3,78,5,29,38,6
95GG26,1292,100,344,787,61,1082,84,281,668,49,126,11,34,75,6,47,2,15,26,4,37,3,14,18,2
95GG27,2416,207,710,1373,126,1996,170,581,1140,105,262,22,78,144,18,73,7,22,43,1,85,8,29,46,2
95GG28,2369,142,619,1471,137,1971,115,513,1226,117,258,11,75,161,11,66,7,11,45,3,74,9,20,39,6
95GG29,2262,124,398,1565,175,2028,109,349,1413,157,156,7,32,104,13,41,3,7,30,1,37,5,10,18,4
95GG30,2301,193,489,1433,186,1934,161,403,1215,155,278,21,65,170,22,37,2,11,21,3,52,9,10,27,6
95GG31,2576,228,676,1549,123,2066,195,518,1258,95,298,19,89,176,14,94,4,25,61,4,118,10,44,54,10
95GG32,2474,197,593,1559,125,2063,152,481,1326,104,260,24,70,151,15,71,9,18,40,4,80,12,24,42,2
95GG33,2733,245,411,1594,483,2243,199,310,1333,401,385,37,76,202,70,54,7,12,30,5,51,2,13,29,7
95GG34,2394,192,474,1547,181,1954,156,371,1287,140,339,28,79,204,28,51,3,13,29,6,50,5,11,27,7
95GG35,1440,168,412,799,61,1226,146,342,686,52,103,9,30,61,3,56,7,17,30,2,55,6,23,22,4
95GG36,2907,204,589,1897,217,2437,164,475,1610,188,357,22,87,226,22,50,6,16,26,2,63,12,11,35,5
95GG37,3458,175,501,2473,309,2984,140,418,2173,253,379,24,62,246,47,42,4,9,24,5,53,7,12,30,4
95GG38,3585,219,527,2365,474,3108,194,432,2064,418,393,16,74,255,48,46,5,11,24,6,38,4,10,22,2
95GG39,3077,259,515,2074,229,2757,236,435,1877,209,201,17,50,124,10,72,2,18,46,6,47,4,12,27,4
95GG40,1057,82,324,603,48,918,70,284,522,42,87,6,27,51,3,23,3,3,15,2,29,3,10,15,1
95GG41,2471,220,444,1471,336,2004,174,332,1221,277,375,35,92,200,48,39,2,10,24,3,53,9,10,26,8
95GG42,4117,1035,623,1961,498,3639,969,539,1704,427,388,55,72,205,56,50,5,7,31,7,40,6,5,21,8
95GG43,2383,157,475,1575,176,2079,139,401,1390,149,209,12,47,134,16,37,4,12,19,2,58,2,15,32,9
95GG44,2305,177,465,1521,142,2053,149,417,1360,127,153,15,26,106,6,53,6,11,35,1,46,7,11,20,8
95GG45,2000,163,356,1217,264,1654,131,281,1030,212,264,24,49,148,43,39,5,10,19,5,43,3,16,20,4
95GG46,1532,159,536,776,61,1253,130,433,640,50,157,15,58,79,5,57,11,18,26,2,65,3,27,31,4
95GG47,1937,167,463,1213,94,1643,141,390,1039,73,178,14,42,107,15,55,6,11,35,3,61,6,20,32,3
95GG48,1478,135,559,740,44,1226,107,460,624,35,132,12,54,61,5,49,7,17,24,1,71,9,28,31,3
95GG49,4321,981,613,2377,350,3979,927,548,2187,317,259,42,50,141,26,45,8,5,29,3,38,4,10,20,4
95GG50,2415,144,441,1659,171,2147,118,379,1498,152,181,10,40,120,11,45,7,12,23,3,42,9,10,18,5
95GG51,1286,107,388,721,70,1071,82,314,615,60,121,7,37,71,6,42,10,15,14,3,52,8,22,21,1
95HH01,848,62,177,530,79,714,55,144,444,71,99,5,23,64,7,22,2,6,13,1,13,0,4,9,0
95HH02,1523,130,326,948,119,1265,106,259,798,102,200,16,55,116,13,23,3,3,16,1,35,5,9,18,3
95HH03,676,46,141,440,49,537,38,103,354,42,94,5,29,53,7,19,1,4,14,0,26,2,5,19,0
95HH04,1593,137,324,1028,104,1318,115,255,860,88,193,14,47,123,9,40,4,11,23,2,42,4,11,22,5
95HH05,882,67,201,567,47,775,58,175,498,44,53,4,16,31,2,29,1,5,22,1,25,4,5,16,0
95HH06,2494,224,484,1593,193,2146,187,400,1382,177,240,25,61,144,10,42,1,6,33,2,66,11,17,34,4
95HH07,635,34,153,399,49,539,24,128,353,34,64,6,16,33,9,11,0,5,4,2,21,4,4,9,4
95HH08,1311,98,233,847,133,1080,79,190,703,108,188,14,38,117,19,20,2,2,15,1,23,3,3,12,5
95HH09,1091,83,196,719,93,944,76,166,623,79,101,5,25,61,10,19,1,2,15,1,27,1,3,20,3
95HH10,1221,86,256,743,136,1001,70,205,615,111,168,9,40,100,19,30,5,7,17,1,22,2,4,11,5
95HH11,548,35,141,351,21,465,30,112,307,16,60,3,22,31,4,9,0,4,5,0,14,2,3,8,1
95HH12,705,48,146,459,52,586,41,121,381,43,69,4,14,46,5,26,2,1,21,2,24,1,10,11,2
95HH13,536,28,152,328,28,477,22,140,288,27,38,4,8,25,1,7,1,1,5,0,14,1,3,10,0
95HH14,556,37,128,367,24,470,30,102,318,20,55,5,16,31,3,12,0,3,9,0,19,2,7,9,1
95HH15,1273,134,266,782,91,1077,109,215,680,73,131,15,35,69,12,29,4,8,15,2,36,6,8,18,4
95HH16,958,83,169,601,105,793,68,137,498,90,117,11,23,68,15,26,3,6,17,0,22,1,3,18,0
95HH17,1254,117,233,783,121,1065,95,197,662,111,148,16,27,97,8,23,4,5,13,1,18,2,4,11,1
95II01,1518,146,311,906,155,1216,116,244,736,120,231,23,45,136,27,46,4,14,22,6,25,3,8,12,2
95II02,2228,170,428,1403,227,1854,140,341,1177,196,300,22,66,184,28,43,5,16,22,0,31,3,5,20,3
95II03,1936,127,352,1288,169,1654,110,292,1108,144,228,13,49,143,23,22,3,5,14,0,32,1,6,23,2
95II04,2162,163,458,1379,162,1797,125,360,1179,133,256,25,62,144,25,42,4,13,24,1,67,9,23,32,3
95II05,1673,140,346,1033,154,1387,120,275,858,134,216,15,49,133,19,33,3,9,21,0,37,2,13,21,1
95II06,1751,115,328,1151,157,1497,90,280,990,137,194,19,32,128,15,30,1,6,21,2,30,5,10,12,3
95II07,822,51,203,516,52,689,40,172,434,43,82,5,20,53,4,23,2,4,15,2,28,4,7,14,3
95II08,1176,77,247,785,67,984,61,194,668,61,131,8,35,85,3,26,1,12,11,2,35,7,6,21,1
95II09,1727,114,344,1137,132,1446,95,291,943,117,199,11,38,142,8,37,2,9,24,2,45,6,6,28,5
95II10,1119,86,266,711,56,920,73,225,581,41,132,7,26,90,9,36,0,9,26,1,31,6,6,14,5
95II11,1310,87,245,859,119,1091,68,200,716,107,166,12,30,115,9,23,3,5,14,1,30,4,10,14,2
95II12,1148,88,237,730,93,936,68,188,604,76,171,17,36,101,17,20,0,6,14,0,21,3,7,11,0
95II13,1200,92,282,753,73,998,84,219,629,66,135,3,39,90,3,31,4,8,18,1,36,1,16,16,3
95II14,1223,97,222,791,113,980,70,175,645,90,185,18,33,116,18,26,5,9,11,1,32,4,5,19,4
95II15,1675,118,279,1116,162,1419,93,230,956,140,208,19,41,133,15,22,1,4,13,4,26,5,4,14,3
95II16,926,66,207,594,59,776,54,168,507,47,99,6,29,58,6,24,3,5,14,2,27,3,5,15,4
95II17,1132,73,269,696,94,919,62,209,572,76,162,7,41,99,15,25,1,10,12,2,26,3,9,13,1
95II18,943,63,201,623,56,793,49,172,531,41,101,8,18,63,12,24,2,4,17,1,25,4,7,12,2
95II19,1917,185,358,1123,251,1519,148,262,907,202,311,24,71,176,40,34,7,10,15,2,53,6,15,25,7
95II20,1406,77,232,993,104,1179,66,185,844,84,161,8,31,104,18,37,2,7,27,1,29,1,9,18,1
95II21,1016,77,254,633,52,868,61,211,550,46,94,7,22,62,3,22,4,9,8,1,32,5,12,13,2
95II22,1049,73,239,650,87,881,54,190,560,77,123,11,35,69,8,26,5,7,13,1,19,3,7,8,1
95II23,1059,93,195,691,80,857,75,152,567,63,153,8,29,102,14,19,6,6,6,1,30,4,8,16,2
95JJ01,1210,81,224,718,187,1009,67,175,619,148,146,8,29,80,29,21,3,7,9,2,34,3,13,10,8
95JJ02,964,85,233,542,104,821,73,189,466,93,110,9,33,62,6,14,2,5,5,2,19,1,6,9,3
95JJ03,917,83,278,498,58,789,70,235,437,47,70,7,22,36,5,32,2,10,15,5,26,4,11,10,1
95JJ04,1316,102,259,804,151,1157,87,218,715,137,99,11,27,49,12,33,2,8,22,1,27,2,6,18,1
95JJ05,678,64,155,415,44,596,55,139,364,38,56,6,13,34,3,14,1,2,10,1,12,2,1,7,2
95JJ06,910,74,232,562,42,803,62,204,497,40,57,10,13,34,0,24,1,7,16,0,26,1,8,15,2
95JJ07,1013,98,293,575,47,897,88,247,517,45,75,3,29,41,2,20,3,7,10,0,21,4,10,7,0
95JJ08,1498,251,312,759,176,1289,230,257,654,148,157,18,41,76,22,26,1,7,17,1,26,2,7,12,5
95JJ09,886,81,177,474,154,743,66,149,393,135,109,12,17,66,14,18,2,4,11,1,16,1,7,4,4
95JJ10,1147,96,227,670,154,1003,80,197,588,138,88,7,17,55,9,23,2,5,14,2,33,7,8,13,5
95JJ11,1576,133,350,931,162,1345,109,290,806,140,168,21,40,94,13,31,1,10,14,6,32,2,10,17,3
95JJ12,1142,89,226,697,130,1010,77,194,623,116,89,9,22,47,11,22,0,5,17,0,21,3,5,10,3
95JJ13,1917,157,421,1166,173,1668,138,354,1027,149,191,12,47,114,18,29,5,7,13,4,29,2,13,12,2
95JJ14,1073,89,237,595,152,919,80,197,507,135,122,7,30,71,14,21,1,6,13,1,11,1,4,4,2
95JJ15,778,62,157,477,82,673,49,141,411,72,73,8,9,47,9,15,1,3,11,0,17,4,4,8,1
95JJ16,712,79,177,381,75,624,73,155,335,61,61,4,13,35,9,15,1,6,5,3,12,1,3,6,2
95JJ17,1091,81,205,629,176,943,65,170,557,151,97,9,25,49,14,26,5,5,11,5,25,2,5,12,6
95JJ18,833,90,165,489,89,708,71,131,426,80,88,11,26,47,4,21,2,4,11,4,16,6,4,5,1
95JJ19,1346,364,240,591,151,1164,335,206,496,127,154,27,28,77,22,15,1,2,10,2,13,1,4,8,0
95JJ20,1915,137,429,1206,143,1685,125,373,1061,126,175,9,35,115,16,24,1,7,15,1,31,2,14,15,0
95JJ21,1127,305,248,507,67,971,268,204,440,59,107,30,26,44,7,18,3,5,10,0,31,4,13,13,1
95JJ22,1223,123,270,720,110,1055,111,229,617,98,122,6,28,80,8,18,3,3,10,2,28,3,10,13,2
95KK01,987,72,244,597,74,815,57,192,506,60,108,8,32,59,9,29,6,7,16,0,35,1,13,16,5
95KK02,913,74,195,521,123,755,60,159,435,101,90,10,18,49,13,37,2,12,19,4,31,2,6,18,5
95KK03,991,78,217,569,127,862,69,189,499,105,85,7,17,49,12,21,1,4,12,4,23,1,7,9,6
