GeographyCode,DC4103NI0001,DC4103NI0002,DC4103NI0003,DC4103NI0004,DC4103NI0005,DC4103NI0006,DC4103NI0007,DC4103NI0008,DC4103NI0009,DC4103NI0010,DC4103NI0011,DC4103NI0012,DC4103NI0013,DC4103NI0014,DC4103NI0015,DC4103NI0016,DC4103NI0017,DC4103NI0018,DC4103NI0019,DC4103NI0020,DC4103NI0021,DC4103NI0022,DC4103NI0023,DC4103NI0024,DC4103NI0025,DC4103NI0026,DC4103NI0027,DC4103NI0028,DC4103NI0029,DC4103NI0030,DC4103NI0031,DC4103NI0032,DC4103NI0033,DC4103NI0034,DC4103NI0035,DC4103NI0036,DC4103NI0037,DC4103NI0038,DC4103NI0039,DC4103NI0040,DC4103NI0041,DC4103NI0042,DC4103NI0043,DC4103NI0044,DC4103NI0045,DC4103NI0046,DC4103NI0047,DC4103NI0048,DC4103NI0049,DC4103NI0050,DC4103NI0051,DC4103NI0052,DC4103NI0053,DC4103NI0054,DC4103NI0055,DC4103NI0056,DC4103NI0057,DC4103NI0058,DC4103NI0059,DC4103NI0060,DC4103NI0061,DC4103NI0062,DC4103NI0063,DC4103NI0064,DC4103NI0065,DC4103NI0066,DC4103NI0067,DC4103NI0068,DC4103NI0069,DC4103NI0070,DC4103NI0071,DC4103NI0072,DC4103NI0073,DC4103NI0074,DC4103NI0075,DC4103NI0076,DC4103NI0077,DC4103NI0078,DC4103NI0079,DC4103NI0080,DC4103NI0081,DC4103NI0082,DC4103NI0083,DC4103NI0084,DC4103NI0085,DC4103NI0086,DC4103NI0087,DC4103NI0088,DC4103NI0089,DC4103NI0090,DC4103NI0091,DC4103NI0092,DC4103NI0093,DC4103NI0094,DC4103NI0095,DC4103NI0096
95AA11,1993,303,884,690,97,19,487,185,288,14,0,0,159,85,71,3,0,0,328,100,217,11,0,0,1359,96,533,631,80,19,116,14,72,29,0,1,347,23,137,174,12,1,577,21,174,341,35,6,130,2,32,56,30,10,128,22,94,12,0,0,61,14,24,19,3,1,147,22,63,45,17,0,64,7,29,18,10,0,1,0,1,0,0,0,4,0,3,1,0,0,78,15,30,26,7,0
95AA12,971,46,251,454,144,76,180,34,126,14,4,2,92,26,58,4,2,2,88,8,68,10,2,0,733,9,119,423,118,64,65,1,28,32,4,0,178,4,24,124,19,7,336,1,28,216,60,31,95,1,7,30,31,26,33,1,23,8,1,0,26,1,9,13,3,0,58,3,6,17,22,10,27,1,0,8,12,6,0,0,0,0,0,0,5,2,0,3,0,0,26,0,6,6,10,4
95AA13,1239,221,516,389,80,33,326,131,186,7,2,0,125,64,59,2,0,0,201,67,127,5,2,0,836,81,299,358,73,25,72,10,43,17,2,0,160,12,59,80,9,0,322,10,82,198,23,9,108,2,21,37,34,14,118,33,72,12,1,0,56,14,22,14,4,2,77,9,31,24,5,8,30,3,10,12,3,2,0,0,0,0,0,0,4,0,3,1,0,0,43,6,18,11,2,6
95AA14,779,45,230,318,116,70,130,33,92,3,2,0,80,28,51,1,0,0,50,5,41,2,2,0,596,11,128,298,100,59,58,1,33,22,2,0,145,0,37,93,12,3,224,4,23,129,44,24,104,0,8,35,35,26,30,5,12,9,2,2,35,1,15,10,5,4,53,1,10,17,14,11,25,1,0,7,10,7,0,0,0,0,0,0,7,0,7,0,0,0,21,0,3,10,4,4
95AA15,1595,319,753,452,58,13,395,156,229,9,0,1,78,42,36,0,0,0,317,114,193,9,0,1,1091,134,484,414,48,11,50,5,36,8,1,0,269,15,111,136,6,1,413,26,166,199,16,6,101,2,29,44,23,3,193,69,111,12,1,0,65,17,31,15,1,1,109,29,40,29,10,1,45,11,13,16,4,1,0,0,0,0,0,0,1,0,1,0,0,0,63,18,26,13,6,0
95AA16,832,290,411,108,18,5,318,163,154,0,1,0,91,57,34,0,0,0,227,106,120,0,1,0,465,111,236,97,16,5,58,12,41,5,0,0,102,19,52,30,1,0,140,18,82,32,6,2,44,2,12,19,9,2,77,44,30,3,0,0,44,16,19,8,0,1,49,16,21,11,1,0,14,6,6,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,10,14,9,1,0
95AA17,855,220,405,186,33,11,237,114,116,7,0,0,71,34,37,0,0,0,166,80,79,7,0,0,571,97,270,164,31,9,44,6,32,6,0,0,117,9,60,46,2,0,167,17,77,61,9,3,88,4,26,33,19,6,106,48,50,8,0,0,49,13,25,10,1,0,47,9,19,15,2,2,27,5,9,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,19,3,10,6,0,0
95AA18,1004,66,404,409,92,33,257,39,201,15,0,2,121,25,92,4,0,0,136,14,109,11,0,2,693,22,192,370,85,24,145,3,71,68,3,0,207,7,48,130,18,4,184,2,22,126,26,8,87,1,12,29,33,12,42,5,29,5,3,0,28,4,10,12,2,0,54,5,11,24,7,7,19,2,3,6,5,3,2,0,0,2,0,0,3,1,1,1,0,0,30,2,7,15,2,4
95AA19,832,108,321,250,95,58,157,53,85,15,2,2,66,24,35,5,1,1,91,29,50,10,1,1,612,48,215,220,82,47,40,6,23,9,2,0,69,5,32,27,3,2,279,9,70,138,42,20,96,1,18,25,30,22,70,18,47,5,0,0,58,9,25,16,5,3,63,7,21,15,11,9,35,4,9,9,5,8,0,0,0,0,0,0,6,1,4,0,1,0,22,2,8,6,5,1
95BB01,1307,99,443,553,153,59,270,69,185,14,2,0,107,47,58,2,0,0,163,22,127,12,2,0,968,27,248,510,133,50,98,6,60,29,3,0,204,3,48,133,17,3,394,5,50,271,53,15,152,0,18,56,49,29,78,8,55,10,4,1,42,5,17,11,7,2,69,3,10,29,18,9,26,2,2,10,11,1,0,0,0,0,0,0,3,1,1,1,0,0,40,0,7,18,7,8
95BB02,1126,398,490,180,37,21,438,257,172,8,0,1,202,136,64,2,0,0,236,121,108,6,0,1,620,124,285,160,35,16,108,25,64,17,0,2,141,16,65,56,3,1,146,14,59,52,17,4,61,5,21,16,12,7,85,40,37,6,1,1,79,24,39,13,2,1,68,17,33,12,2,4,15,2,10,2,0,1,0,0,0,0,0,0,6,3,1,1,0,1,47,12,22,9,2,2
95BB03,1776,278,832,534,98,34,477,166,285,22,1,3,251,109,131,11,0,0,226,57,154,11,1,3,1198,91,511,481,89,26,188,16,126,41,4,1,324,18,147,142,16,1,377,12,102,221,34,8,124,6,33,41,29,15,121,26,82,11,2,0,64,13,21,25,4,1,101,21,36,31,8,5,32,6,11,7,5,3,0,0,0,0,0,0,7,5,1,1,0,0,62,10,24,23,3,2
95BB04,1307,199,530,426,122,30,349,123,209,14,3,0,176,88,82,5,1,0,173,35,127,9,2,0,894,62,301,393,110,28,187,19,107,54,5,2,240,5,90,127,15,3,221,6,37,133,36,9,135,3,20,48,50,14,60,16,32,9,3,0,51,13,15,22,1,0,64,14,20,19,9,2,24,2,7,10,5,0,0,0,0,0,0,0,7,3,1,3,0,0,33,9,12,6,4,2
95BB05,1318,124,438,527,158,71,282,83,170,26,2,1,134,52,68,12,1,1,148,31,102,14,1,0,964,32,247,481,142,62,134,3,66,54,10,1,264,5,68,161,22,8,308,3,47,187,48,23,148,2,18,42,57,29,65,11,37,14,2,1,45,8,11,23,3,0,72,9,21,20,14,8,29,5,4,9,6,5,0,0,0,0,0,0,6,1,5,0,0,0,37,3,12,11,8,3
95BB06,1518,642,675,164,32,5,680,412,258,5,3,2,296,221,75,0,0,0,384,191,183,5,3,2,740,197,370,145,26,2,92,35,54,3,0,0,224,43,132,45,4,0,131,19,58,45,9,0,74,9,23,28,12,2,141,62,71,7,1,0,78,29,32,17,0,0,98,33,47,14,3,1,23,6,7,6,3,1,0,0,0,0,0,0,9,6,3,0,0,0,66,21,37,8,0,0
95BB07,1315,254,627,336,72,26,431,168,250,13,0,0,210,110,99,1,0,0,221,58,151,12,0,0,845,82,354,315,70,24,121,11,80,30,0,0,220,14,83,112,10,1,225,7,68,115,26,9,89,5,17,26,29,12,120,34,78,7,1,0,70,11,28,25,4,2,39,4,23,8,2,2,13,0,10,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,25,4,12,7,1,1
95BB08,1068,196,475,313,67,17,279,117,157,5,0,0,130,77,51,2,0,0,149,40,106,3,0,0,736,70,299,291,60,16,78,11,55,10,1,1,181,9,84,80,6,2,242,12,67,140,21,2,112,3,26,43,30,10,70,19,44,5,2,0,53,16,23,13,0,1,53,9,19,17,7,1,22,2,6,8,5,1,0,0,0,0,0,0,6,3,3,0,0,0,25,4,10,9,2,0
95BB09,1253,112,536,456,107,42,340,78,246,12,4,0,141,49,90,0,2,0,199,29,156,12,2,0,861,31,272,422,96,40,118,2,70,43,3,0,266,2,93,153,12,6,249,6,44,153,35,11,118,2,11,40,42,23,55,10,33,9,3,0,55,9,21,24,1,0,52,3,18,22,7,2,18,1,6,5,4,2,0,0,0,0,0,0,2,0,2,0,0,0,32,2,10,17,3,0
95BB10,1509,289,567,496,115,42,515,220,261,27,4,3,247,136,100,9,2,0,268,84,161,18,2,3,931,64,283,447,103,34,181,14,84,78,4,1,274,14,74,164,17,5,243,7,49,137,41,9,109,3,15,41,33,17,82,21,46,10,4,1,42,5,15,17,4,1,63,5,23,22,8,5,22,1,5,9,5,2,0,0,0,0,0,0,7,1,4,2,0,0,34,3,14,11,3,3
95BB11,1338,317,635,305,64,17,477,205,258,13,1,0,235,124,110,1,0,0,242,81,148,12,1,0,822,105,360,281,59,17,144,17,101,26,0,0,178,15,86,70,7,0,214,8,61,111,27,7,102,4,23,45,22,8,111,40,61,8,0,2,73,21,28,21,3,0,39,7,17,11,4,0,13,2,4,7,0,0,0,0,0,0,0,0,9,2,5,2,0,0,17,3,8,2,4,0
95BB12,1130,311,436,297,65,21,291,141,136,11,2,1,125,58,61,4,2,0,166,83,75,7,0,1,779,151,279,272,58,19,107,15,56,33,2,1,162,23,56,77,5,1,226,21,67,114,18,6,96,7,22,30,27,10,127,59,59,7,1,1,61,26,19,11,5,0,60,19,21,14,5,1,29,10,10,5,3,1,0,0,0,0,0,0,6,3,2,1,0,0,25,6,9,8,2,0
95BB13,1687,255,698,586,117,31,323,127,181,12,3,0,110,59,49,2,0,0,213,68,132,10,3,0,1298,117,487,555,110,29,139,12,89,37,1,0,314,18,138,144,10,4,448,12,102,269,55,10,161,3,37,67,40,14,176,61,94,18,2,1,60,11,27,20,2,0,66,11,30,19,4,2,31,5,15,8,1,2,0,0,0,0,0,0,3,2,1,0,0,0,32,4,14,11,3,0
95BB14,1172,59,361,494,174,84,259,42,191,19,5,2,131,29,91,7,2,2,128,13,100,12,3,0,856,13,156,457,159,71,127,2,49,65,8,3,217,4,35,144,22,12,294,1,27,190,55,21,132,2,7,33,59,31,48,3,30,10,4,1,38,1,8,15,11,3,57,4,14,18,10,11,24,0,5,8,6,5,0,0,0,0,0,0,5,0,4,1,0,0,28,4,5,9,4,6
95BB15,1287,170,504,446,111,56,301,100,180,18,3,0,128,51,70,6,1,0,173,49,110,12,2,0,910,63,302,394,97,54,89,6,58,22,2,1,197,7,69,105,13,3,349,13,73,204,43,16,111,1,16,33,31,30,97,26,49,18,2,2,67,10,37,12,6,2,76,7,22,34,11,2,27,1,4,16,4,2,0,0,0,0,0,0,9,3,4,1,1,0,40,3,14,17,6,0
95BB16,1176,61,337,518,180,80,225,40,158,21,3,3,111,33,70,7,0,1,114,7,88,14,3,2,885,18,166,473,165,63,137,3,53,74,7,0,223,0,42,144,31,6,317,5,24,200,64,24,135,3,12,31,57,32,33,5,19,7,2,0,40,2,16,17,4,1,66,3,13,24,12,14,23,0,2,10,3,8,0,0,0,0,0,0,7,1,5,1,0,0,36,2,6,13,9,6
95BB17,1399,200,637,430,94,38,335,101,218,13,1,2,115,46,67,1,0,1,220,55,151,12,1,1,990,90,397,385,87,31,79,4,53,19,2,1,251,10,104,124,10,3,344,19,103,181,36,5,100,2,14,31,32,21,152,38,102,9,3,0,64,17,21,21,4,1,74,9,22,32,6,5,37,5,12,15,3,2,0,0,0,0,0,0,2,1,1,0,0,0,35,3,9,17,3,3
95BB18,1638,193,683,590,129,43,372,125,229,17,0,1,146,63,79,4,0,0,226,62,150,13,0,1,1170,55,420,541,115,39,141,10,96,30,4,1,301,13,97,167,22,2,428,7,86,275,44,16,134,0,28,47,40,19,113,18,85,8,2,0,53,7,28,14,3,1,96,13,34,32,14,3,40,2,10,18,9,1,0,0,0,0,0,0,8,3,4,1,0,0,48,8,20,13,5,2
95BB19,1724,153,674,706,153,38,301,83,208,9,1,0,116,58,55,3,0,0,185,25,153,6,1,0,1349,65,442,663,143,36,93,11,63,17,1,1,340,11,139,173,14,3,544,8,117,343,60,16,188,3,21,91,58,15,118,21,79,13,5,0,66,11,23,26,5,1,74,5,24,34,9,2,38,1,10,20,6,1,0,0,0,0,0,0,2,0,2,0,0,0,34,4,12,14,3,1
95BB20,1290,273,556,333,92,36,369,172,183,12,2,0,158,86,69,2,1,0,211,86,114,10,1,0,845,79,345,302,85,34,88,18,54,15,0,1,162,8,84,63,5,2,307,10,93,156,37,11,135,3,31,48,33,20,85,26,55,3,1,0,68,14,28,17,9,0,76,22,28,19,5,2,30,3,10,12,3,2,0,0,0,0,0,0,9,5,3,1,0,0,37,14,15,6,2,0
95BB21,1821,216,777,614,160,54,440,146,271,21,2,0,197,90,104,3,0,0,243,56,167,18,2,0,1279,64,473,553,143,46,148,9,102,33,3,1,331,9,141,157,23,1,476,5,108,274,65,24,142,2,20,57,43,20,126,29,80,15,2,0,56,10,22,17,7,0,102,6,33,40,15,8,49,2,15,17,9,6,0,0,0,0,0,0,1,0,1,0,0,0,52,4,17,23,6,2
95BB22,1194,344,520,278,43,9,320,165,148,6,1,0,68,41,25,2,0,0,252,124,123,4,1,0,817,166,350,254,38,9,52,7,31,14,0,0,166,24,74,63,5,0,265,22,88,138,13,4,77,4,28,28,12,5,195,90,94,6,5,0,62,19,35,5,3,0,57,13,22,18,4,0,24,7,9,5,3,0,0,0,0,0,0,0,2,0,2,0,0,0,31,6,11,13,1,0
95BB23,1161,90,472,453,114,32,236,59,167,8,2,0,106,43,60,3,0,0,130,16,107,5,2,0,880,28,294,420,107,31,135,8,84,42,1,0,233,3,83,133,13,1,261,7,51,163,35,5,151,2,23,52,52,22,49,4,34,10,1,0,51,4,19,20,5,3,45,3,11,25,5,1,27,1,7,15,3,1,1,0,1,0,0,0,2,0,2,0,0,0,15,2,1,10,2,0
95CC01,904,236,393,207,51,17,234,121,107,4,1,1,92,54,37,1,0,0,142,67,70,3,1,1,589,103,252,177,44,13,42,2,31,8,1,0,92,24,36,28,4,0,198,19,75,85,14,5,73,8,14,26,18,7,113,34,62,13,4,0,71,16,34,17,3,1,81,12,34,26,6,3,34,2,12,16,3,1,0,0,0,0,0,0,2,0,2,0,0,0,45,10,20,10,3,2
95CC02,875,55,297,349,116,58,171,35,123,12,1,0,83,26,54,3,0,0,88,9,69,9,1,0,644,15,159,320,100,50,54,2,29,20,2,1,105,2,24,72,7,0,278,5,45,165,46,17,129,3,15,44,36,31,35,0,27,7,0,1,43,3,19,12,9,0,60,5,15,17,15,8,25,2,4,4,10,5,0,0,0,0,0,0,12,1,7,3,1,0,23,2,4,10,4,3
95CC03,1127,434,498,157,35,3,367,227,134,6,0,0,145,94,49,2,0,0,222,133,85,4,0,0,637,175,308,124,27,3,31,5,24,2,0,0,102,17,57,26,2,0,184,26,101,49,8,0,69,11,18,26,11,3,188,95,75,16,2,0,63,21,33,5,4,0,123,32,56,27,8,0,57,19,21,13,4,0,0,0,0,0,0,0,8,0,6,1,1,0,58,13,29,13,3,0
95CC04,790,99,266,274,94,57,177,68,98,9,1,1,94,46,46,1,0,1,83,22,52,8,1,0,567,29,153,246,88,51,47,2,28,15,2,0,71,1,21,45,4,0,238,5,43,131,35,24,110,5,12,36,37,20,48,12,28,5,2,1,53,4,21,14,8,6,46,2,15,19,5,5,22,1,3,10,4,4,0,0,0,0,0,0,4,0,3,1,0,0,20,1,9,8,1,1
95CC05,954,111,361,340,96,46,227,80,137,9,1,0,114,50,60,3,1,0,113,30,77,6,0,0,656,25,197,311,83,40,58,4,38,15,1,0,114,0,37,73,2,2,278,6,48,162,43,19,89,0,10,33,29,17,59,12,37,6,3,1,58,3,27,22,5,1,71,6,27,20,12,6,26,3,6,10,4,3,0,0,0,0,0,0,11,2,6,1,2,0,34,1,15,9,6,3
95CC06,1096,122,492,377,79,26,301,85,206,9,1,0,123,48,73,1,1,0,178,37,133,8,0,0,749,31,269,355,69,25,83,2,54,25,2,0,172,4,47,111,8,2,255,3,59,159,25,9,101,0,19,40,29,13,91,16,62,10,3,0,47,6,28,10,2,1,46,6,17,13,9,1,24,0,8,9,6,1,0,0,0,0,0,0,2,0,1,1,0,0,20,6,8,3,3,0
95CC07,1108,92,439,397,115,65,227,55,153,12,4,3,99,34,60,1,3,1,128,21,93,11,1,2,793,32,258,350,100,53,45,2,26,17,0,0,110,2,36,68,3,1,360,5,88,197,50,20,124,3,21,36,35,29,103,18,66,13,5,1,51,2,21,19,7,2,88,5,28,35,11,9,44,1,9,19,8,7,0,0,0,0,0,0,4,0,3,1,0,0,40,4,16,15,3,2
95CC08,990,289,434,211,43,13,286,144,137,4,0,1,120,77,42,1,0,0,166,67,95,3,0,1,639,133,265,191,39,11,58,12,37,9,0,0,80,13,40,22,5,0,223,14,80,117,9,3,83,5,24,26,21,7,137,65,65,6,1,0,58,24,19,11,3,1,65,12,32,16,4,1,21,0,10,8,2,1,0,0,0,0,0,0,8,1,5,2,0,0,36,11,17,6,2,0
95CC09,1190,47,420,505,137,81,235,36,181,14,3,1,95,29,63,2,1,0,140,7,118,12,2,1,901,8,223,472,123,75,89,1,48,38,1,1,208,5,45,138,18,2,351,0,56,226,47,22,146,1,11,37,54,43,58,1,44,9,2,2,49,0,19,24,1,5,54,3,16,19,11,5,20,0,1,12,4,3,1,1,0,0,0,0,3,0,2,1,0,0,30,2,13,6,7,2
95CC10,901,52,310,354,126,59,186,38,136,12,0,0,80,23,52,5,0,0,106,15,84,7,0,0,650,12,157,319,112,50,92,0,47,43,2,0,126,3,37,72,11,3,233,0,31,136,47,19,116,1,7,35,46,27,33,5,18,9,1,0,50,3,17,24,5,1,65,2,17,23,14,9,23,0,4,9,4,6,0,0,0,0,0,0,6,1,2,3,0,0,36,1,11,11,10,3
95CC11,786,246,343,142,39,16,290,160,124,5,1,0,112,70,41,1,0,0,178,90,83,4,1,0,445,77,194,128,33,13,52,11,35,5,1,0,88,11,42,34,1,0,109,6,42,48,7,6,67,6,17,16,21,7,83,26,39,16,2,0,46,17,19,9,1,0,51,9,25,9,5,3,13,3,6,2,0,2,0,0,0,0,0,0,3,1,0,1,1,0,35,5,19,6,4,1
95CC12,890,51,318,345,106,70,175,34,132,7,2,0,76,19,53,3,1,0,99,15,79,4,1,0,662,13,172,320,93,64,63,3,37,22,0,1,92,2,30,51,9,0,295,0,45,185,40,25,120,0,14,36,37,33,53,6,31,13,2,1,39,2,15,13,5,4,53,4,14,18,11,6,24,3,2,7,8,4,0,0,0,0,0,0,4,0,1,3,0,0,25,1,11,8,3,2
95CC13,817,61,260,334,101,61,168,47,110,10,0,1,65,28,34,3,0,0,103,19,76,7,0,1,597,11,139,303,92,52,50,3,31,15,1,0,107,1,23,73,8,2,241,2,29,150,38,22,114,1,10,38,42,23,38,3,24,8,1,2,47,1,22,19,2,3,52,3,11,21,9,8,25,0,3,10,6,6,0,0,0,0,0,0,5,0,2,2,0,1,22,3,6,9,3,1
95CC14,1132,104,455,422,108,43,249,66,164,14,4,1,119,44,72,2,1,0,130,22,92,12,3,1,848,36,279,396,98,39,86,4,60,19,1,2,204,8,68,112,14,2,315,6,67,196,37,9,116,0,10,42,39,25,80,14,56,9,0,1,47,4,18,18,7,0,35,2,12,12,6,3,13,1,5,4,1,2,0,0,0,0,0,0,1,0,0,1,0,0,21,1,7,7,5,1
95CC15,1007,95,384,385,98,45,213,65,134,14,0,0,98,39,54,5,0,0,115,26,80,9,0,0,739,24,233,354,87,41,61,2,37,20,1,1,125,1,41,72,10,1,311,2,60,191,36,22,117,2,21,41,37,16,67,11,46,9,1,0,58,6,28,21,2,1,55,6,17,17,11,4,25,2,6,6,8,3,0,0,0,0,0,0,5,2,1,2,0,0,25,2,10,9,3,1
95CC16,1076,205,438,321,71,41,302,134,156,9,2,1,158,79,75,3,1,0,144,55,81,6,1,1,722,57,266,303,61,35,76,6,49,21,0,0,132,8,47,69,6,2,282,9,76,153,29,15,96,4,19,33,23,17,96,25,59,10,2,0,40,5,16,17,1,1,52,14,16,9,8,5,18,2,4,4,5,3,0,0,0,0,0,0,13,7,4,2,0,0,21,5,8,3,3,2
95CC17,897,75,302,360,99,61,178,49,113,12,4,0,78,33,43,2,0,0,100,16,70,10,4,0,659,19,176,325,85,54,54,3,28,23,0,0,99,2,33,62,2,0,293,5,58,175,37,18,123,1,11,44,37,30,46,6,29,4,4,3,44,2,17,17,5,3,60,7,13,23,10,7,28,2,5,9,8,4,0,0,0,0,0,0,2,0,0,2,0,0,30,5,8,12,2,3
95CC18,937,174,379,285,74,25,284,119,158,6,1,0,138,59,75,4,0,0,146,60,83,2,1,0,598,48,198,262,67,23,74,1,43,27,2,1,105,5,39,52,9,0,194,9,33,130,16,6,101,3,17,29,36,16,69,17,40,10,2,0,55,13,26,14,2,0,55,7,23,17,6,2,23,2,7,10,3,1,2,0,2,0,0,0,3,2,1,0,0,0,27,3,13,7,3,1
95CC19,981,110,349,351,112,59,242,83,143,11,4,1,124,60,58,4,2,0,118,23,85,7,2,1,680,24,190,319,95,52,59,4,36,18,1,0,133,2,40,81,9,1,287,3,45,177,42,20,101,2,13,22,33,31,57,10,39,6,2,0,43,3,17,15,8,0,59,3,16,21,13,6,21,0,5,7,5,4,0,0,0,0,0,0,2,0,1,1,0,0,36,3,10,13,8,2
