GeographyCode,DC1102NI0001,DC1102NI0002,DC1102NI0003,DC1102NI0004,DC1102NI0005,DC1102NI0006,DC1102NI0007,DC1102NI0008,DC1102NI0009,DC1102NI0010,DC1102NI0011,DC1102NI0012,DC1102NI0013,DC1102NI0014,DC1102NI0015,DC1102NI0016,DC1102NI0017,DC1102NI0018,DC1102NI0019,DC1102NI0020,DC1102NI0021,DC1102NI0022,DC1102NI0023,DC1102NI0024,DC1102NI0025,DC1102NI0026,DC1102NI0027,DC1102NI0028,DC1102NI0029,DC1102NI0030,DC1102NI0031,DC1102NI0032,DC1102NI0033,DC1102NI0034,DC1102NI0035,DC1102NI0036,DC1102NI0037,DC1102NI0038,DC1102NI0039,DC1102NI0040,DC1102NI0041,DC1102NI0042,DC1102NI0043,DC1102NI0044,DC1102NI0045,DC1102NI0046,DC1102NI0047,DC1102NI0048
95BB14,41,0,0,0,0,1,1,1,12,7,6,8,1,3,1,0,18,0,0,0,0,0,1,1,5,4,4,1,0,1,1,0,23,0,0,0,0,1,0,0,7,3,2,7,1,2,0,0
95BB15,48,0,0,2,1,0,1,4,7,12,11,7,2,1,0,0,30,0,0,1,0,0,1,4,3,9,7,4,1,0,0,0,18,0,0,1,1,0,0,0,4,3,4,3,1,1,0,0
95BB16,47,0,0,1,1,1,2,2,11,6,10,6,3,2,2,0,23,0,0,0,1,1,1,1,6,3,5,1,2,1,1,0,24,0,0,1,0,0,1,1,5,3,5,5,1,1,1,0
95BB17,36,4,1,0,0,0,0,4,7,7,4,5,3,0,1,0,16,3,0,0,0,0,0,0,4,2,3,0,3,0,1,0,20,1,1,0,0,0,0,4,3,5,1,5,0,0,0,0
95BB18,29,0,0,1,0,0,0,1,6,7,8,1,4,0,1,0,15,0,0,0,0,0,0,0,6,3,3,0,2,0,1,0,14,0,0,1,0,0,0,1,0,4,5,1,2,0,0,0
95BB19,43,0,1,0,1,0,0,1,12,10,10,3,3,1,1,0,21,0,1,0,0,0,0,0,5,5,6,1,2,1,0,0,22,0,0,0,1,0,0,1,7,5,4,2,1,0,1,0
95BB20,40,1,0,0,1,0,0,1,9,10,9,2,3,2,2,0,16,0,0,0,1,0,0,0,4,5,2,1,3,0,0,0,24,1,0,0,0,0,0,1,5,5,7,1,0,2,2,0
95BB21,34,3,1,1,0,0,0,2,10,8,5,3,1,0,0,0,12,1,1,0,0,0,0,0,5,2,1,1,1,0,0,0,22,2,0,1,0,0,0,2,5,6,4,2,0,0,0,0
95BB22,16,1,0,0,0,0,0,0,4,5,4,0,1,0,1,0,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,2,4,0,1,0,1,0
95BB23,47,3,1,1,0,0,1,4,13,13,4,3,2,0,2,0,25,2,1,0,0,0,1,0,6,7,2,3,1,0,2,0,22,1,0,1,0,0,0,4,7,6,2,0,1,0,0,0
95CC01,34,0,0,0,0,0,0,4,7,9,3,8,3,0,0,0,20,0,0,0,0,0,0,3,3,4,3,5,2,0,0,0,14,0,0,0,0,0,0,1,4,5,0,3,1,0,0,0
95CC02,54,0,0,0,0,0,0,2,14,12,12,8,2,0,4,0,24,0,0,0,0,0,0,1,7,6,6,2,1,0,1,0,30,0,0,0,0,0,0,1,7,6,6,6,1,0,3,0
95CC03,29,2,0,1,0,0,0,1,4,6,5,4,3,1,2,0,14,1,0,1,0,0,0,0,2,3,2,3,2,0,0,0,15,1,0,0,0,0,0,1,2,3,3,1,1,1,2,0
95CC04,56,0,0,0,0,0,0,3,9,17,13,7,5,1,1,0,22,0,0,0,0,0,0,1,3,5,6,2,3,1,1,0,34,0,0,0,0,0,0,2,6,12,7,5,2,0,0,0
95CC05,44,1,0,1,0,0,0,6,14,8,8,3,3,0,0,0,21,1,0,0,0,0,0,4,6,4,1,3,2,0,0,0,23,0,0,1,0,0,0,2,8,4,7,0,1,0,0,0
95CC06,62,1,0,1,0,0,0,6,10,19,12,8,1,2,2,0,29,0,0,0,0,0,0,2,5,7,7,4,1,2,1,0,33,1,0,1,0,0,0,4,5,12,5,4,0,0,1,0
95CC07,60,1,0,1,0,0,0,2,16,16,7,5,3,5,4,0,23,1,0,0,0,0,0,1,4,7,3,1,1,4,1,0,37,0,0,1,0,0,0,1,12,9,4,4,2,1,3,0
95CC08,45,0,1,0,0,0,0,1,6,14,7,7,4,2,3,0,23,0,0,0,0,0,0,0,4,6,4,2,4,1,2,0,22,0,1,0,0,0,0,1,2,8,3,5,0,1,1,0
95CC09,63,1,0,1,1,0,1,3,17,11,9,14,2,2,1,0,25,0,0,1,0,0,1,2,5,4,3,6,1,1,1,0,38,1,0,0,1,0,0,1,12,7,6,8,1,1,0,0
95CC10,38,1,0,0,0,0,1,3,10,4,4,7,4,1,3,0,24,0,0,0,0,0,1,1,6,1,4,6,3,1,1,0,14,1,0,0,0,0,0,2,4,3,0,1,1,0,2,0
95CC11,19,0,0,0,0,0,0,2,4,2,2,3,1,2,3,0,7,0,0,0,0,0,0,1,1,0,0,3,0,1,1,0,12,0,0,0,0,0,0,1,3,2,2,0,1,1,2,0
95CC12,37,1,0,0,0,0,0,2,8,8,14,3,0,0,1,0,14,0,0,0,0,0,0,0,2,3,5,3,0,0,1,0,23,1,0,0,0,0,0,2,6,5,9,0,0,0,0,0
95CC13,46,2,1,0,0,0,2,7,4,12,11,6,1,0,0,0,21,0,1,0,0,0,1,3,3,2,6,5,0,0,0,0,25,2,0,0,0,0,1,4,1,10,5,1,1,0,0,0
95CC14,33,0,0,0,1,1,1,3,7,6,3,5,2,1,3,0,21,0,0,0,1,1,1,1,3,3,1,5,2,1,2,0,12,0,0,0,0,0,0,2,4,3,2,0,0,0,1,0
95CC15,56,2,1,0,0,1,0,8,12,13,8,6,2,2,1,0,26,2,1,0,0,1,0,3,1,8,3,4,1,2,0,0,30,0,0,0,0,0,0,5,11,5,5,2,1,0,1,0
95CC16,22,0,0,0,0,0,0,4,4,3,3,3,1,1,3,0,7,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,15,0,0,0,0,0,0,3,1,2,3,2,1,1,2,0
95CC17,59,1,0,0,0,0,1,5,15,18,12,5,1,0,1,0,22,1,0,0,0,0,1,2,7,5,4,1,1,0,0,0,37,0,0,0,0,0,0,3,8,13,8,4,0,0,1,0
95CC18,51,0,0,1,1,0,0,5,12,6,9,9,4,2,2,0,22,0,0,1,0,0,0,1,8,2,3,3,3,0,1,0,29,0,0,0,1,0,0,4,4,4,6,6,1,2,1,0
95CC19,44,0,0,0,0,0,1,7,10,7,10,3,3,3,0,0,23,0,0,0,0,0,1,4,5,1,5,1,3,3,0,0,21,0,0,0,0,0,0,3,5,6,5,2,0,0,0,0
95CC20,50,0,0,0,0,0,0,1,11,17,7,6,3,2,2,1,18,0,0,0,0,0,0,1,3,2,4,2,2,2,2,0,32,0,0,0,0,0,0,0,8,15,3,4,1,0,0,1
95CC21,21,2,0,0,0,0,0,2,3,6,5,0,1,1,1,0,11,1,0,0,0,0,0,2,1,3,2,0,1,1,0,0,10,1,0,0,0,0,0,0,2,3,3,0,0,0,1,0
95CC22,26,0,2,1,1,0,0,1,4,2,11,3,0,0,1,0,9,0,0,0,0,0,0,1,1,1,3,2,0,0,1,0,17,0,2,1,1,0,0,0,3,1,8,1,0,0,0,0
95DD01,50,0,0,0,0,0,0,3,11,14,6,8,2,3,3,0,28,0,0,0,0,0,0,0,6,8,5,7,1,1,0,0,22,0,0,0,0,0,0,3,5,6,1,1,1,2,3,0
95DD02,24,0,1,0,0,0,0,1,8,4,3,4,1,0,2,0,10,0,0,0,0,0,0,0,4,1,2,2,0,0,1,0,14,0,1,0,0,0,0,1,4,3,1,2,1,0,1,0
95DD03,49,2,1,0,0,1,0,1,12,12,12,6,2,0,0,0,20,0,1,0,0,1,0,0,5,6,4,3,0,0,0,0,29,2,0,0,0,0,0,1,7,6,8,3,2,0,0,0
95DD04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95DD05,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
95DD06,45,2,0,0,1,0,0,3,12,10,9,2,2,0,4,0,22,1,0,0,1,0,0,1,6,5,5,0,0,0,3,0,23,1,0,0,0,0,0,2,6,5,4,2,2,0,1,0
95DD07,42,0,0,0,0,1,0,2,13,6,7,6,3,2,2,0,18,0,0,0,0,0,0,1,4,3,3,4,1,1,1,0,24,0,0,0,0,1,0,1,9,3,4,2,2,1,1,0
95DD08,14,1,0,1,0,0,0,0,5,0,3,1,1,2,0,0,7,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0
95DD09,47,0,0,1,0,0,1,2,7,10,10,13,3,0,0,0,21,0,0,0,0,0,0,1,2,4,2,9,3,0,0,0,26,0,0,1,0,0,1,1,5,6,8,4,0,0,0,0
95DD10,17,2,0,0,0,1,0,3,1,3,3,3,0,1,0,0,5,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,12,1,0,0,0,0,0,3,1,3,1,2,0,1,0,0
95DD11,13,3,1,1,0,0,0,0,2,2,2,1,1,0,0,0,6,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,7,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0
95DD12,31,1,0,0,0,0,0,3,8,10,5,1,3,0,0,0,13,0,0,0,0,0,0,1,4,4,2,0,2,0,0,0,18,1,0,0,0,0,0,2,4,6,3,1,1,0,0,0
95DD13,17,0,0,0,0,0,0,2,3,1,4,2,4,0,1,0,9,0,0,0,0,0,0,1,2,0,2,0,3,0,1,0,8,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0
95DD14,61,0,0,0,0,0,0,8,15,14,12,5,2,3,2,0,33,0,0,0,0,0,0,6,8,7,7,3,0,1,1,0,28,0,0,0,0,0,0,2,7,7,5,2,2,2,1,0
95DD15,44,2,0,0,0,0,1,5,11,10,3,7,0,3,2,0,20,1,0,0,0,0,1,2,4,4,1,4,0,1,2,0,24,1,0,0,0,0,0,3,7,6,2,3,0,2,0,0
95DD16,48,0,0,0,0,0,0,5,10,5,10,11,3,2,2,0,22,0,0,0,0,0,0,0,4,1,7,5,2,2,1,0,26,0,0,0,0,0,0,5,6,4,3,6,1,0,1,0
95DD17,50,2,0,0,1,0,0,4,11,10,7,7,3,2,3,0,21,0,0,0,0,0,0,1,5,5,1,5,2,1,1,0,29,2,0,0,1,0,0,3,6,5,6,2,1,1,2,0
95DD18,7,0,0,1,1,0,0,1,2,1,0,0,0,0,1,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
95DD19,28,1,0,0,1,0,0,3,3,10,3,5,2,0,0,0,13,1,0,0,1,0,0,2,1,4,0,3,1,0,0,0,15,0,0,0,0,0,0,1,2,6,3,2,1,0,0,0
95DD20,7,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
95DD21,20,1,0,1,0,1,0,1,4,5,3,2,1,1,0,0,13,1,0,0,0,0,0,1,3,5,1,1,0,1,0,0,7,0,0,1,0,1,0,0,1,0,2,1,1,0,0,0
95DD22,26,0,0,1,0,0,0,0,7,10,3,1,1,1,2,0,11,0,0,0,0,0,0,0,2,4,2,0,0,1,2,0,15,0,0,1,0,0,0,0,5,6,1,1,1,0,0,0
95DD23,37,0,0,0,0,1,2,1,10,7,8,4,2,2,0,0,20,0,0,0,0,1,1,0,6,4,4,4,0,0,0,0,17,0,0,0,0,0,1,1,4,3,4,0,2,2,0,0
95DD24,38,1,0,0,0,0,0,0,7,8,6,6,3,0,7,0,20,1,0,0,0,0,0,0,3,7,2,2,0,0,5,0,18,0,0,0,0,0,0,0,4,1,4,4,3,0,2,0
95EE01,21,0,0,1,0,1,0,1,4,3,4,0,5,2,0,0,9,0,0,0,0,1,0,0,2,1,3,0,1,1,0,0,12,0,0,1,0,0,0,1,2,2,1,0,4,1,0,0
95EE02,18,0,0,0,0,1,0,1,2,3,7,2,1,1,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,14,0,0,0,0,1,0,1,1,2,5,2,1,1,0,0
95EE03,19,0,0,0,0,0,0,0,2,3,8,2,1,1,2,0,9,0,0,0,0,0,0,0,1,1,5,0,1,0,1,0,10,0,0,0,0,0,0,0,1,2,3,2,0,1,1,0
95EE04,12,0,1,1,0,0,0,2,3,3,1,1,0,0,0,0,5,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,2,1,1,0,0,0,0
95EE05,24,0,0,0,0,0,0,0,9,5,5,4,1,0,0,0,11,0,0,0,0,0,0,0,3,4,1,2,1,0,0,0,13,0,0,0,0,0,0,0,6,1,4,2,0,0,0,0
95EE06,25,1,0,1,0,0,0,0,5,3,6,3,3,1,2,0,12,0,0,1,0,0,0,0,3,1,3,2,1,0,1,0,13,1,0,0,0,0,0,0,2,2,3,1,2,1,1,0
95EE07,14,0,0,0,0,0,0,2,3,5,1,0,1,0,2,0,7,0,0,0,0,0,0,0,1,3,1,0,0,0,2,0,7,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0
95EE08,31,1,1,1,0,0,0,1,4,10,8,5,0,0,0,0,11,0,1,1,0,0,0,1,2,1,4,1,0,0,0,0,20,1,0,0,0,0,0,0,2,9,4,4,0,0,0,0
95EE09,27,1,0,0,0,0,1,1,6,7,8,2,0,1,0,0,10,0,0,0,0,0,1,0,2,3,3,0,0,1,0,0,17,1,0,0,0,0,0,1,4,4,5,2,0,0,0,0
95EE10,11,1,0,0,0,0,0,0,3,4,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,7,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0
95EE11,36,0,1,1,0,0,0,1,8,9,8,5,0,0,3,0,11,0,0,0,0,0,0,1,3,3,1,2,0,0,1,0,25,0,1,1,0,0,0,0,5,6,7,3,0,0,2,0
95EE12,13,2,0,0,0,0,0,0,5,2,3,0,0,0,1,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9,1,0,0,0,0,0,0,4,1,3,0,0,0,0,0
95EE13,21,0,0,0,0,0,0,0,2,8,2,5,2,1,1,0,8,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,13,0,0,0,0,0,0,0,2,4,1,3,2,0,1,0
95EE14,37,1,1,0,0,0,2,0,7,6,6,10,0,2,1,1,15,0,0,0,0,0,2,0,2,4,3,1,0,1,1,1,22,1,1,0,0,0,0,0,5,2,3,9,0,1,0,0
95EE15,18,0,0,1,0,0,0,2,4,5,2,2,0,1,1,0,5,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,3,5,1,2,0,1,1,0
95EE16,47,1,0,3,0,2,1,3,8,12,8,7,0,2,0,0,27,1,0,1,0,2,1,2,6,5,4,3,0,2,0,0,20,0,0,2,0,0,0,1,2,7,4,4,0,0,0,0
95FF01,81,0,0,0,0,0,0,5,21,15,18,15,4,0,3,0,44,0,0,0,0,0,0,4,10,9,10,8,0,0,3,0,37,0,0,0,0,0,0,1,11,6,8,7,4,0,0,0
95FF02,34,1,0,0,0,0,0,2,10,8,7,5,1,0,0,0,9,0,0,0,0,0,0,1,2,3,1,2,0,0,0,0,25,1,0,0,0,0,0,1,8,5,6,3,1,0,0,0
95FF03,28,0,0,0,0,0,0,3,8,5,7,1,3,0,1,0,12,0,0,0,0,0,0,1,4,2,3,0,1,0,1,0,16,0,0,0,0,0,0,2,4,3,4,1,2,0,0,0
95FF04,50,0,0,1,0,0,0,2,11,10,11,8,2,5,0,0,23,0,0,1,0,0,0,1,6,6,4,2,2,1,0,0,27,0,0,0,0,0,0,1,5,4,7,6,0,4,0,0
95FF05,27,1,0,1,1,1,0,3,4,7,2,2,3,1,1,0,9,0,0,0,0,1,0,3,0,3,0,0,1,0,1,0,18,1,0,1,1,0,0,0,4,4,2,2,2,1,0,0
95FF06,52,0,0,0,0,0,0,2,12,17,10,6,1,3,1,0,30,0,0,0,0,0,0,2,7,12,3,4,0,2,0,0,22,0,0,0,0,0,0,0,5,5,7,2,1,1,1,0
95FF07,16,0,0,0,0,1,0,1,3,2,2,3,2,1,1,0,9,0,0,0,0,1,0,1,0,1,2,1,1,1,1,0,7,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0
95FF08,29,0,1,0,0,0,0,0,2,9,10,4,1,0,2,0,18,0,0,0,0,0,0,0,1,6,7,2,0,0,2,0,11,0,1,0,0,0,0,0,1,3,3,2,1,0,0,0
95FF09,30,1,0,0,0,1,0,3,4,8,7,1,2,2,1,0,14,0,0,0,0,0,0,1,2,3,4,1,0,2,1,0,16,1,0,0,0,1,0,2,2,5,3,0,2,0,0,0
95FF10,47,1,0,0,0,0,2,4,12,8,7,5,3,2,3,0,19,0,0,0,0,0,2,1,6,4,2,1,2,0,1,0,28,1,0,0,0,0,0,3,6,4,5,4,1,2,2,0
95FF11,21,0,0,0,0,0,0,4,1,8,4,0,1,1,1,1,6,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,15,0,0,0,0,0,0,3,0,6,4,0,1,0,0,1
95FF12,35,1,0,1,0,0,0,3,10,10,3,5,1,1,0,0,11,1,0,1,0,0,0,1,2,3,1,1,0,1,0,0,24,0,0,0,0,0,0,2,8,7,2,4,1,0,0,0
95FF13,45,1,0,3,1,0,0,3,7,12,8,3,2,3,1,1,26,0,0,1,0,0,0,2,5,6,5,1,2,3,0,1,19,1,0,2,1,0,0,1,2,6,3,2,0,0,1,0
95FF14,46,0,0,0,0,0,0,2,10,18,8,5,2,1,0,0,18,0,0,0,0,0,0,0,4,6,5,3,0,0,0,0,28,0,0,0,0,0,0,2,6,12,3,2,2,1,0,0
95FF15,17,1,0,1,0,0,0,1,5,2,4,2,0,1,0,0,8,1,0,0,0,0,0,0,2,1,1,2,0,1,0,0,9,0,0,1,0,0,0,1,3,1,3,0,0,0,0,0
95FF16,40,0,0,1,0,1,1,2,9,8,12,3,1,1,1,0,18,0,0,0,0,1,1,1,4,5,5,0,0,1,0,0,22,0,0,1,0,0,0,1,5,3,7,3,1,0,1,0
95FF17,14,0,0,0,0,0,0,0,3,4,3,1,1,0,0,2,7,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,7,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0
95GG01,27,1,0,0,0,0,0,1,5,4,10,5,0,1,0,0,15,0,0,0,0,0,0,1,4,2,7,1,0,0,0,0,12,1,0,0,0,0,0,0,1,2,3,4,0,1,0,0
95GG02,7,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95GG03,80,3,0,1,0,0,0,3,13,24,19,12,3,1,1,0,30,1,0,0,0,0,0,0,6,11,8,2,2,0,0,0,50,2,0,1,0,0,0,3,7,13,11,10,1,1,1,0
95GG04,5,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
95GG05,14,0,0,1,0,0,0,0,2,5,4,0,0,1,1,0,10,0,0,1,0,0,0,0,1,4,2,0,0,1,1,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
95GG06,21,3,0,1,1,0,0,1,5,1,4,2,1,1,1,0,11,2,0,0,1,0,0,1,2,1,1,1,1,0,1,0,10,1,0,1,0,0,0,0,3,0,3,1,0,1,0,0
95GG07,21,1,1,0,0,0,1,1,6,3,4,2,1,1,0,0,11,0,0,0,0,0,0,1,4,1,2,2,1,0,0,0,10,1,1,0,0,0,1,0,2,2,2,0,0,1,0,0
95GG08,34,1,0,1,0,0,0,3,9,8,3,5,1,1,2,0,15,0,0,0,0,0,0,1,3,4,1,2,1,1,2,0,19,1,0,1,0,0,0,2,6,4,2,3,0,0,0,0
