ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2614NI0125,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Church of Ireland"
DC2614NI0126,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0127,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0128,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Other religions "
DC2614NI0129,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, No religion"
DC2614NI0130,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Not stated"
DC2614NI0131,Count,PERSONS,"All categories: Sex, Economically inactive:Other, All categories: Religion"
DC2614NI0132,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Catholic"
DC2614NI0133,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Protestant and other Christian: Total"
DC2614NI0134,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0135,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Protestant and other Christian: Church of Ireland"
DC2614NI0136,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0137,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0138,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Other religions "
DC2614NI0139,Count,PERSONS,"All categories: Sex, Economically inactive:Other, No religion"
DC2614NI0140,Count,PERSONS,"All categories: Sex, Economically inactive:Other, Not stated"
DC2614NI0141,Count,PERSONS,"Males, All categories: Economic Activity, All categories: Religion"
DC2614NI0142,Count,PERSONS,"Males, All categories: Economic Activity, Catholic"
DC2614NI0143,Count,PERSONS,"Males, All categories: Economic Activity, Protestant and other Christian: Total"
DC2614NI0144,Count,PERSONS,"Males, All categories: Economic Activity, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0145,Count,PERSONS,"Males, All categories: Economic Activity, Protestant and other Christian: Church of Ireland"
DC2614NI0146,Count,PERSONS,"Males, All categories: Economic Activity, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0147,Count,PERSONS,"Males, All categories: Economic Activity, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0148,Count,PERSONS,"Males, All categories: Economic Activity, Other religions "
DC2614NI0149,Count,PERSONS,"Males, All categories: Economic Activity, No religion"
DC2614NI0150,Count,PERSONS,"Males, All categories: Economic Activity, Not stated"
DC2614NI0151,Count,PERSONS,"Males, Economically active, All categories: Religion"
DC2614NI0152,Count,PERSONS,"Males, Economically active, Catholic"
DC2614NI0153,Count,PERSONS,"Males, Economically active, Protestant and other Christian: Total"
DC2614NI0154,Count,PERSONS,"Males, Economically active, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0155,Count,PERSONS,"Males, Economically active, Protestant and other Christian: Church of Ireland"
