GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95PP10,1884,278,1606,1657,216,1441,124,43,81,37,8,29,66,11,55
95PP11,2072,350,1722,1822,279,1543,128,51,77,42,11,31,80,9,71
95PP12,2046,375,1671,1737,273,1464,171,62,109,74,24,50,64,16,48
95PP13,1980,279,1701,1734,218,1516,124,47,77,47,8,39,75,6,69
95PP14,2850,472,2378,2470,351,2119,210,86,124,60,11,49,110,24,86
95PP15,2385,459,1926,2050,357,1693,227,71,156,49,16,33,59,15,44
95PP16,1555,297,1258,1300,207,1093,146,59,87,41,13,28,68,18,50
95PP17,2071,290,1781,1831,223,1608,130,46,84,42,9,33,68,12,56
95PP18,2452,387,2065,2128,302,1826,198,63,135,59,13,46,67,9,58
95PP19,1927,267,1660,1701,214,1487,96,26,70,47,12,35,83,15,68
95PP20,2529,443,2086,2187,328,1859,205,80,125,51,18,33,86,17,69
95PP21,1722,257,1465,1463,196,1267,136,42,94,38,5,33,85,14,71
95PP22,1977,381,1596,1703,288,1415,162,70,92,53,16,37,59,7,52
95PP23,2027,349,1678,1769,267,1502,149,59,90,31,6,25,78,17,61
95QQ01,1227,117,1110,1032,78,954,92,25,67,40,8,32,63,6,57
95QQ02,2044,319,1725,1740,243,1497,179,53,126,44,6,38,81,17,64
95QQ03,870,65,805,753,47,706,50,10,40,18,2,16,49,6,43
95QQ04,1302,184,1118,1095,124,971,105,39,66,40,10,30,62,11,51
95QQ05,2345,434,1911,1974,316,1658,257,89,168,39,13,26,75,16,59
95QQ06,1603,212,1391,1390,164,1226,100,27,73,37,5,32,76,16,60
95QQ07,1594,199,1395,1395,156,1239,118,27,91,26,4,22,55,12,43
95QQ08,1238,98,1140,1020,68,952,104,18,86,31,3,28,83,9,74
95QQ09,1669,227,1442,1423,162,1261,133,39,94,45,11,34,68,15,53
95QQ10,1449,237,1212,1246,176,1070,131,47,84,32,5,27,40,9,31
95QQ11,1621,246,1375,1326,176,1150,194,54,140,43,8,35,58,8,50
95QQ12,1524,218,1306,1307,165,1142,131,37,94,32,8,24,54,8,46
95QQ13,2093,380,1713,1758,269,1489,212,83,129,48,13,35,75,15,60
95QQ14,4081,576,3505,3440,438,3002,415,100,315,87,13,74,139,25,114
95QQ15,1339,129,1210,1163,96,1067,89,24,65,28,6,22,59,3,56
