GeographyCode,DC4401NI0001,DC4401NI0002,DC4401NI0003,DC4401NI0004,DC4401NI0005,DC4401NI0006,DC4401NI0007,DC4401NI0008,DC4401NI0009,DC4401NI0010,DC4401NI0011,DC4401NI0012,DC4401NI0013,DC4401NI0014,DC4401NI0015,DC4401NI0016,DC4401NI0017,DC4401NI0018,DC4401NI0019,DC4401NI0020,DC4401NI0021,DC4401NI0022,DC4401NI0023,DC4401NI0024,DC4401NI0025,DC4401NI0026,DC4401NI0027,DC4401NI0028,DC4401NI0029,DC4401NI0030,DC4401NI0031,DC4401NI0032,DC4401NI0033,DC4401NI0034,DC4401NI0035,DC4401NI0036
95BB23,1185,1161,24,1185,1161,24,1166,1144,22,704,694,10,409,403,6,53,47,6,19,17,2,17,16,1,1,1,0,1,0,1,0,0,0,0,0,0
95CC01,956,904,52,956,904,52,864,830,34,271,264,7,282,274,8,311,292,19,92,74,18,77,65,12,7,6,1,8,3,5,0,0,0,0,0,0
95CC02,931,875,56,931,875,56,928,872,56,783,736,47,121,114,7,24,22,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
95CC03,1200,1127,73,1200,1127,73,978,944,34,172,172,0,329,324,5,477,448,29,222,183,39,182,149,33,27,22,5,13,12,1,0,0,0,0,0,0
95CC04,891,790,101,891,790,101,882,782,100,652,590,62,113,104,9,117,88,29,1,1,0,1,1,0,0,0,0,0,0,0,8,7,1,0,0,0
95CC05,1021,954,67,1021,954,67,996,936,60,715,665,50,180,175,5,101,96,5,19,14,5,11,10,1,8,4,4,0,0,0,6,4,2,0,0,0
95CC06,1150,1096,54,1150,1096,54,1128,1082,46,575,556,19,471,448,23,82,78,4,22,14,8,17,10,7,5,4,1,0,0,0,0,0,0,0,0,0
95CC07,1234,1108,126,1234,1108,126,1201,1077,124,917,818,99,243,222,21,41,37,4,26,26,0,23,23,0,3,3,0,0,0,0,7,5,2,0,0,0
95CC08,1056,990,66,1056,990,66,995,942,53,255,251,4,377,355,22,363,336,27,61,48,13,54,43,11,0,0,0,7,5,2,0,0,0,0,0,0
95CC09,1290,1190,100,1290,1190,100,1268,1173,95,892,831,61,274,253,21,102,89,13,12,7,5,3,3,0,9,4,5,0,0,0,10,10,0,0,0,0
95CC10,974,901,73,974,901,73,968,895,73,722,661,61,159,153,6,87,81,6,2,2,0,0,0,0,2,2,0,0,0,0,4,4,0,0,0,0
95CC11,896,786,110,896,786,110,802,726,76,153,147,6,305,280,25,344,299,45,94,60,34,60,44,16,16,7,9,18,9,9,0,0,0,0,0,0
95CC12,959,890,69,959,890,69,938,879,59,754,711,43,126,120,6,58,48,10,7,4,3,2,1,1,2,0,2,3,3,0,14,7,7,0,0,0
95CC13,869,817,52,869,817,52,860,808,52,614,578,36,170,162,8,76,68,8,6,6,0,1,1,0,3,3,0,2,2,0,3,3,0,0,0,0
95CC14,1192,1132,60,1192,1132,60,1191,1131,60,663,637,26,363,349,14,165,145,20,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
95CC15,1092,1007,85,1092,1007,85,1081,999,82,757,694,63,203,191,12,121,114,7,7,6,1,3,3,0,4,3,1,0,0,0,4,2,2,0,0,0
95CC16,1126,1076,50,1126,1076,50,1081,1033,48,517,495,22,269,258,11,295,280,15,41,39,2,34,33,1,1,0,1,6,6,0,4,4,0,0,0,0
95CC17,971,897,74,971,897,74,957,885,72,668,625,43,108,99,9,181,161,20,4,4,0,2,2,0,1,1,0,1,1,0,10,8,2,0,0,0
95CC18,1017,937,80,1017,937,80,930,877,53,510,495,15,242,233,9,178,149,29,86,60,26,58,45,13,3,2,1,25,13,12,1,0,1,0,0,0
95CC19,1053,981,72,1053,981,72,1036,967,69,702,653,49,186,180,6,148,134,14,11,8,3,7,5,2,1,1,0,3,2,1,6,6,0,0,0,0
95CC20,1165,1127,38,1165,1127,38,1117,1079,38,543,521,22,428,418,10,146,140,6,48,48,0,39,39,0,6,6,0,3,3,0,0,0,0,0,0,0
95CC21,1237,1167,70,1237,1167,70,1156,1098,58,541,523,18,317,304,13,298,271,27,81,69,12,64,56,8,7,6,1,10,7,3,0,0,0,0,0,0
95CC22,911,842,69,911,842,69,751,705,46,111,108,3,290,266,24,350,331,19,160,137,23,141,128,13,15,8,7,4,1,3,0,0,0,0,0,0
95DD01,881,836,45,881,836,45,831,795,36,546,521,25,198,196,2,87,78,9,50,41,9,46,38,8,4,3,1,0,0,0,0,0,0,0,0,0
95DD02,1533,1490,43,1533,1490,43,1455,1419,36,639,621,18,539,530,9,277,268,9,76,69,7,73,69,4,3,0,3,0,0,0,2,2,0,0,0,0
95DD03,1431,1389,42,1431,1389,42,1363,1332,31,727,710,17,494,489,5,142,133,9,68,57,11,60,51,9,7,6,1,1,0,1,0,0,0,0,0,0
95DD04,886,859,27,886,859,27,724,704,20,90,90,0,195,192,3,439,422,17,162,155,7,160,153,7,2,2,0,0,0,0,0,0,0,0,0,0
95DD05,705,685,20,705,685,20,676,659,17,105,104,1,203,199,4,368,356,12,29,26,3,29,26,3,0,0,0,0,0,0,0,0,0,0,0,0
95DD06,967,944,23,967,944,23,955,932,23,783,766,17,155,149,6,17,17,0,12,12,0,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0
95DD07,1467,1412,55,1467,1412,55,1319,1276,43,628,613,15,354,344,10,337,319,18,148,136,12,137,127,10,5,4,1,6,5,1,0,0,0,0,0,0
95DD08,1098,1041,57,1098,1041,57,724,688,36,66,62,4,216,211,5,442,415,27,374,353,21,314,307,7,50,36,14,10,10,0,0,0,0,0,0,0
95DD09,981,929,52,981,929,52,975,923,52,832,788,44,97,92,5,46,43,3,2,2,0,1,1,0,0,0,0,1,1,0,4,4,0,0,0,0
95DD10,1224,1180,44,1224,1180,44,1156,1118,38,437,425,12,322,306,16,397,387,10,66,60,6,61,55,6,3,3,0,2,2,0,2,2,0,0,0,0
95DD11,974,955,19,974,955,19,852,836,16,174,173,1,138,137,1,540,526,14,122,119,3,112,110,2,9,8,1,1,1,0,0,0,0,0,0,0
95DD12,934,890,44,934,890,44,925,881,44,734,694,40,158,155,3,33,32,1,5,5,0,2,2,0,1,1,0,2,2,0,4,4,0,0,0,0
95DD13,768,741,27,768,741,27,650,631,19,91,86,5,334,329,5,225,216,9,118,110,8,110,102,8,4,4,0,4,4,0,0,0,0,0,0,0
95DD14,1288,1233,55,1288,1233,55,1245,1198,47,736,709,27,369,354,15,140,135,5,42,34,8,36,31,5,3,2,1,3,1,2,1,1,0,0,0,0
95DD15,1228,1174,54,1228,1174,54,1209,1159,50,848,812,36,218,213,5,143,134,9,16,12,4,9,6,3,4,4,0,3,2,1,3,3,0,0,0,0
95DD16,1092,1019,73,1092,1019,73,1078,1006,72,906,842,64,118,111,7,54,53,1,6,6,0,4,4,0,2,2,0,0,0,0,8,7,1,0,0,0
95DD17,1207,1148,59,1207,1148,59,1193,1137,56,981,933,48,151,144,7,61,60,1,7,6,1,6,6,0,0,0,0,1,0,1,7,5,2,0,0,0
95DD18,933,873,60,933,873,60,837,783,54,172,170,2,291,274,17,374,339,35,96,90,6,73,69,4,13,11,2,10,10,0,0,0,0,0,0,0
95DD19,1319,1275,44,1319,1275,44,1302,1261,41,611,597,14,414,395,19,277,269,8,15,12,3,6,6,0,0,0,0,9,6,3,2,2,0,0,0,0
95DD20,866,826,40,866,826,40,583,563,20,44,44,0,157,150,7,382,369,13,283,263,20,277,258,19,1,1,0,5,4,1,0,0,0,0,0,0
95DD21,927,891,36,927,891,36,850,819,31,337,332,5,256,251,5,257,236,21,77,72,5,66,65,1,10,7,3,1,0,1,0,0,0,0,0,0
95DD22,1209,1156,53,1209,1156,53,1141,1104,37,744,722,22,263,256,7,134,126,8,68,52,16,48,44,4,9,4,5,11,4,7,0,0,0,0,0,0
95DD23,950,881,69,950,881,69,936,869,67,837,776,61,78,75,3,21,18,3,9,7,2,5,4,1,4,3,1,0,0,0,5,5,0,0,0,0
95DD24,1005,990,15,1005,990,15,968,955,13,376,373,3,550,540,10,42,42,0,36,34,2,31,29,2,5,5,0,0,0,0,1,1,0,0,0,0
95EE01,600,592,8,600,592,8,594,587,7,370,366,4,188,185,3,36,36,0,4,3,1,0,0,0,3,3,0,1,0,1,2,2,0,0,0,0
95EE02,823,790,33,823,790,33,816,784,32,440,428,12,303,287,16,73,69,4,5,5,0,2,2,0,0,0,0,3,3,0,2,1,1,0,0,0
95EE03,838,808,30,838,808,30,795,768,27,443,429,14,207,202,5,145,137,8,43,40,3,37,34,3,5,5,0,1,1,0,0,0,0,0,0,0
95EE04,758,736,22,758,736,22,751,730,21,312,299,13,377,373,4,62,58,4,7,6,1,4,4,0,0,0,0,3,2,1,0,0,0,0,0,0
95EE05,600,577,23,600,577,23,585,565,20,336,323,13,234,227,7,15,15,0,13,10,3,12,9,3,1,1,0,0,0,0,2,2,0,0,0,0
95EE06,712,692,20,712,692,20,705,685,20,426,416,10,228,222,6,51,47,4,6,6,0,3,3,0,1,1,0,2,2,0,1,1,0,0,0,0
95EE07,767,740,27,767,740,27,766,739,27,233,227,6,441,429,12,92,83,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
95EE08,777,711,66,777,711,66,676,633,43,412,389,23,147,142,5,117,102,15,101,78,23,74,65,9,16,8,8,11,5,6,0,0,0,0,0,0
95EE09,632,605,27,632,605,27,624,598,26,445,423,22,143,140,3,36,35,1,4,4,0,2,2,0,1,1,0,1,1,0,4,3,1,0,0,0
95EE10,619,598,21,619,598,21,609,588,21,378,363,15,156,151,5,75,74,1,8,8,0,4,4,0,2,2,0,2,2,0,2,2,0,0,0,0
95EE11,567,551,16,567,551,16,561,547,14,435,421,14,123,123,0,3,3,0,2,2,0,1,1,0,1,1,0,0,0,0,4,2,2,0,0,0
95EE12,1095,1059,36,1095,1059,36,1027,1001,26,269,258,11,511,503,8,247,240,7,68,58,10,66,56,10,2,2,0,0,0,0,0,0,0,0,0,0
95EE13,785,718,67,783,717,66,614,574,40,256,244,12,123,120,3,235,210,25,169,143,26,141,129,12,17,9,8,11,5,6,0,0,0,2,1,1
95EE14,1060,1016,44,1060,1016,44,1055,1011,44,590,569,21,388,380,8,77,62,15,4,4,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0
95EE15,628,606,22,628,606,22,627,605,22,378,360,18,237,233,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
95EE16,757,709,48,757,709,48,750,705,45,482,448,34,258,247,11,10,10,0,3,0,3,0,0,0,0,0,0,3,0,3,4,4,0,0,0,0
95FF01,1795,1740,55,1795,1740,55,1759,1706,53,980,955,25,486,477,9,293,274,19,36,34,2,35,33,2,1,1,0,0,0,0,0,0,0,0,0,0
95FF02,1007,923,84,1007,923,84,985,903,82,821,753,68,98,88,10,66,62,4,4,4,0,1,1,0,2,2,0,1,1,0,18,16,2,0,0,0
95FF03,1216,1169,47,1216,1169,47,1178,1132,46,200,198,2,659,648,11,319,286,33,38,37,1,36,35,1,2,2,0,0,0,0,0,0,0,0,0,0
95FF04,920,862,58,920,862,58,913,856,57,789,735,54,76,75,1,48,46,2,3,3,0,1,1,0,2,2,0,0,0,0,4,3,1,0,0,0
95FF05,1195,1119,76,1192,1117,75,1108,1059,49,329,317,12,332,321,11,447,421,26,84,58,26,65,52,13,7,2,5,12,4,8,0,0,0,3,2,1
95FF06,1608,1540,68,1608,1540,68,1512,1457,55,840,822,18,384,374,10,288,261,27,96,83,13,89,77,12,5,4,1,2,2,0,0,0,0,0,0,0
95FF07,1222,1154,68,1222,1154,68,1059,1012,47,181,176,5,335,329,6,543,507,36,163,142,21,160,139,21,2,2,0,1,1,0,0,0,0,0,0,0
95FF08,1040,993,47,1040,993,47,905,868,37,382,369,13,309,304,5,214,195,19,135,125,10,127,119,8,3,3,0,5,3,2,0,0,0,0,0,0
95FF09,1066,1000,66,1066,1000,66,1008,955,53,391,373,18,243,238,5,374,344,30,58,45,13,38,33,5,12,9,3,8,3,5,0,0,0,0,0,0
95FF10,1309,1216,93,1309,1216,93,1282,1197,85,936,876,60,194,178,16,152,143,9,16,12,4,11,8,3,4,3,1,1,1,0,11,7,4,0,0,0
95FF11,938,873,65,938,873,65,925,861,64,813,756,57,57,53,4,55,52,3,1,1,0,1,1,0,0,0,0,0,0,0,12,11,1,0,0,0
95FF12,1059,1018,41,1059,1018,41,1051,1011,40,567,549,18,286,274,12,198,188,10,6,6,0,6,6,0,0,0,0,0,0,0,2,1,1,0,0,0
95FF13,1019,977,42,1019,977,42,1005,964,41,611,591,20,201,196,5,193,177,16,10,9,1,3,3,0,5,5,0,2,1,1,4,4,0,0,0,0
95FF14,953,862,91,953,862,91,949,858,91,844,775,69,25,21,4,80,62,18,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0
95FF15,1136,1073,63,1136,1073,63,1087,1034,53,275,267,8,471,453,18,341,314,27,48,38,10,30,25,5,2,2,0,16,11,5,1,1,0,0,0,0
95FF16,976,927,49,976,927,49,892,852,40,515,503,12,176,164,12,201,185,16,82,73,9,78,70,8,4,3,1,0,0,0,2,2,0,0,0,0
95FF17,919,857,62,919,857,62,774,729,45,121,118,3,135,135,0,518,476,42,145,128,17,117,109,8,6,6,0,22,13,9,0,0,0,0,0,0
95GG01,2055,2004,51,2053,2002,51,1796,1770,26,133,130,3,930,917,13,733,723,10,257,232,25,245,220,25,4,4,0,8,8,0,0,0,0,2,2,0
95GG02,2697,2568,129,2697,2568,129,2435,2320,115,138,137,1,240,238,2,2057,1945,112,261,247,14,234,221,13,26,25,1,1,1,0,1,1,0,0,0,0
95GG03,2819,2667,152,2815,2663,152,2285,2183,102,265,256,9,1148,1122,26,872,805,67,530,480,50,432,409,23,94,69,25,4,2,2,0,0,0,4,4,0
95GG04,2450,2297,153,2450,2297,153,1759,1688,71,107,107,0,209,207,2,1443,1374,69,691,609,82,651,583,68,36,24,12,4,2,2,0,0,0,0,0,0
95GG05,3056,2800,256,3052,2796,256,2361,2247,114,76,74,2,496,476,20,1789,1697,92,691,549,142,605,474,131,76,66,10,10,9,1,0,0,0,4,4,0
95GG06,2485,2381,104,2485,2381,104,2415,2318,97,202,200,2,1681,1600,81,532,518,14,70,63,7,61,54,7,5,5,0,4,4,0,0,0,0,0,0,0
95GG07,2409,2269,140,2409,2269,140,2087,2005,82,102,101,1,463,454,9,1522,1450,72,320,262,58,284,227,57,23,23,0,13,12,1,2,2,0,0,0,0
95GG08,2312,2151,161,2312,2151,161,1966,1864,102,338,326,12,1220,1161,59,408,377,31,346,287,59,330,271,59,2,2,0,14,14,0,0,0,0,0,0,0
95GG09,2738,2604,134,2738,2604,134,2396,2342,54,537,528,9,1225,1203,22,634,611,23,342,262,80,320,241,79,14,14,0,8,7,1,0,0,0,0,0,0
95GG10,2220,2017,203,2220,2017,203,2071,1880,191,80,78,2,149,148,1,1842,1654,188,149,137,12,137,126,11,12,11,1,0,0,0,0,0,0,0,0,0
95GG11,2866,2686,180,2864,2684,180,2456,2316,140,137,132,5,676,656,20,1643,1528,115,407,367,40,350,322,28,44,37,7,13,8,5,1,1,0,2,2,0
95GG12,4508,3429,1079,4479,3409,1070,2295,1921,374,114,107,7,226,221,5,1955,1593,362,2184,1488,696,944,762,182,1204,701,503,36,25,11,0,0,0,29,20,9
95GG13,2237,2116,121,2237,2116,121,1696,1647,49,340,333,7,784,763,21,572,551,21,540,468,72,516,445,71,23,22,1,1,1,0,1,1,0,0,0,0
95GG14,1860,1817,43,1860,1817,43,1773,1736,37,934,914,20,754,742,12,85,80,5,87,81,6,73,67,6,13,13,0,1,1,0,0,0,0,0,0,0
95GG15,2670,2544,126,2668,2542,126,2201,2120,81,778,757,21,946,909,37,477,454,23,467,422,45,453,409,44,12,11,1,2,2,0,0,0,0,2,2,0
95GG16,2397,2230,167,2386,2221,165,1766,1699,67,201,194,7,677,667,10,888,838,50,620,522,98,373,356,17,243,162,81,4,4,0,0,0,0,11,9,2
95GG17,2237,2137,100,2237,2137,100,2129,2041,88,303,298,5,1234,1211,23,592,532,60,108,96,12,93,86,7,14,9,5,1,1,0,0,0,0,0,0,0
95GG18,2283,2143,140,2283,2143,140,1923,1825,98,72,72,0,295,294,1,1556,1459,97,359,317,42,337,297,40,15,14,1,7,6,1,1,1,0,0,0,0
95GG19,2366,2239,127,2363,2236,127,1988,1904,84,152,151,1,502,501,1,1334,1252,82,375,332,43,354,315,39,15,13,2,6,4,2,0,0,0,3,3,0
95GG20,2879,2359,520,2875,2355,520,1754,1649,105,123,123,0,418,415,3,1213,1111,102,1121,706,415,1069,664,405,37,30,7,15,12,3,0,0,0,4,4,0
95GG21,2417,2262,155,2417,2262,155,1803,1750,53,130,130,0,266,266,0,1407,1354,53,614,512,102,578,484,94,24,21,3,12,7,5,0,0,0,0,0,0
95GG22,2282,2208,74,2282,2208,74,2005,1946,59,167,161,6,1186,1156,30,652,629,23,277,262,15,262,253,9,10,8,2,5,1,4,0,0,0,0,0,0
95GG23,1878,1821,57,1878,1821,57,1706,1667,39,509,502,7,870,845,25,327,320,7,172,154,18,162,145,17,5,5,0,5,4,1,0,0,0,0,0,0
95GG24,2092,1945,147,2092,1945,147,1868,1741,127,324,318,6,570,549,21,974,874,100,224,204,20,195,178,17,25,22,3,4,4,0,0,0,0,0,0,0
95GG25,2236,2194,42,2236,2194,42,1764,1742,22,164,164,0,680,674,6,920,904,16,472,452,20,448,432,16,21,18,3,3,2,1,0,0,0,0,0,0
95GG26,1753,1654,99,1753,1654,99,1633,1550,83,124,117,7,547,524,23,962,909,53,120,104,16,113,98,15,6,6,0,1,0,1,0,0,0,0,0,0
95GG27,2559,2467,92,2559,2467,92,1986,1973,13,196,195,1,705,698,7,1085,1080,5,573,494,79,563,485,78,6,6,0,4,3,1,0,0,0,0,0,0
95GG28,2411,2325,86,2411,2325,86,2177,2124,53,223,219,4,1014,986,28,940,919,21,234,201,33,224,191,33,10,10,0,0,0,0,0,0,0,0,0,0
95GG29,2924,2430,494,2922,2428,494,1905,1805,100,86,86,0,413,407,6,1406,1312,94,1017,623,394,970,589,381,34,29,5,13,5,8,0,0,0,2,2,0
95GG30,2172,2083,89,2172,2083,89,1831,1781,50,376,367,9,1116,1090,26,339,324,15,341,302,39,306,270,36,33,30,3,2,2,0,0,0,0,0,0,0
95GG31,2516,2463,53,2516,2463,53,2212,2185,27,120,118,2,1298,1288,10,794,779,15,304,278,26,287,266,21,16,11,5,1,1,0,0,0,0,0,0,0
95GG32,2804,2649,155,2800,2645,155,2633,2508,125,383,365,18,1173,1146,27,1077,997,80,157,128,29,149,120,29,7,7,0,1,1,0,10,9,1,4,4,0
95GG33,2371,2195,176,2371,2195,176,1855,1762,93,1024,982,42,469,451,18,362,329,33,516,433,83,417,359,58,74,54,20,25,20,5,0,0,0,0,0,0
95GG34,2102,1999,103,2102,1999,103,1765,1716,49,237,230,7,1030,1004,26,498,482,16,337,283,54,326,274,52,7,7,0,4,2,2,0,0,0,0,0,0
95GG35,2449,2244,205,2444,2240,204,1642,1580,62,98,98,0,229,229,0,1315,1253,62,802,660,142,769,634,135,24,22,2,9,4,5,0,0,0,5,4,1
95GG36,2586,2481,105,2586,2481,105,2396,2305,91,157,146,11,1809,1752,57,430,407,23,190,176,14,178,166,12,5,5,0,7,5,2,0,0,0,0,0,0
95GG37,2813,2687,126,2813,2687,126,2303,2209,94,280,271,9,985,951,34,1038,987,51,510,478,32,462,437,25,41,36,5,7,5,2,0,0,0,0,0,0
95GG38,3046,2915,131,3042,2911,131,2101,2045,56,288,278,10,1165,1144,21,648,623,25,940,865,75,843,776,67,89,83,6,8,6,2,1,1,0,4,4,0
95GG39,4029,3616,413,4023,3610,413,2035,1963,72,111,110,1,201,198,3,1723,1655,68,1988,1647,341,1917,1586,331,55,47,8,16,14,2,0,0,0,6,6,0
95GG40,1996,1861,135,1996,1861,135,1694,1605,89,153,151,2,338,335,3,1203,1119,84,300,254,46,288,246,42,7,7,0,5,1,4,2,2,0,0,0,0
95GG41,2289,2173,116,2289,2173,116,1952,1888,64,1304,1270,34,492,475,17,156,143,13,337,285,52,276,238,38,59,45,14,2,2,0,0,0,0,0,0,0
95GG42,2773,2606,167,2768,2601,167,2223,2135,88,711,698,13,938,906,32,574,531,43,545,466,79,427,371,56,111,89,22,7,6,1,0,0,0,5,5,0
95GG43,2444,2316,128,2444,2316,128,2100,2002,98,91,88,3,545,526,19,1464,1388,76,344,314,30,312,291,21,32,23,9,0,0,0,0,0,0,0,0,0
