GeographyCode,DC6607NI0001,DC6607NI0002,DC6607NI0003,DC6607NI0004,DC6607NI0005,DC6607NI0006,DC6607NI0007,DC6607NI0008,DC6607NI0009,DC6607NI0010,DC6607NI0011,DC6607NI0012,DC6607NI0013,DC6607NI0014,DC6607NI0015,DC6607NI0016,DC6607NI0017,DC6607NI0018,DC6607NI0019,DC6607NI0020,DC6607NI0021,DC6607NI0022,DC6607NI0023,DC6607NI0024,DC6607NI0025,DC6607NI0026,DC6607NI0027,DC6607NI0028,DC6607NI0029,DC6607NI0030,DC6607NI0031,DC6607NI0032,DC6607NI0033,DC6607NI0034,DC6607NI0035,DC6607NI0036,DC6607NI0037,DC6607NI0038,DC6607NI0039,DC6607NI0040,DC6607NI0041,DC6607NI0042
95BB16,2328,460,1868,1603,321,1282,301,59,242,854,171,683,82,17,65,265,49,216,39,8,31,62,17,45,725,139,586,413,76,337,128,33,95,78,16,62,61,4,57,45,10,35
95BB17,2532,340,2192,1823,250,1573,400,51,349,991,133,858,66,6,60,193,31,162,108,15,93,65,14,51,709,90,619,324,46,278,112,25,87,98,9,89,131,6,125,44,4,40
95BB18,3015,482,2533,2042,360,1682,384,76,308,1154,194,960,79,20,59,264,40,224,94,14,80,67,16,51,973,122,851,483,61,422,121,19,102,118,21,97,190,15,175,61,6,55
95BB19,3491,543,2948,2627,402,2225,596,96,500,1534,227,1307,70,11,59,188,31,157,102,13,89,137,24,113,864,141,723,418,70,348,161,30,131,114,22,92,117,11,106,54,8,46
95BB20,2495,412,2083,1537,304,1233,282,54,228,711,154,557,56,15,41,254,41,213,174,21,153,60,19,41,958,108,850,393,55,338,147,25,122,94,8,86,235,9,226,89,11,78
95BB21,3420,429,2991,2209,320,1889,462,68,394,1123,161,962,83,15,68,314,43,271,137,17,120,90,16,74,1211,109,1102,580,54,526,149,27,122,161,13,148,239,7,232,82,8,74
95BB22,2146,204,1942,1432,166,1266,330,40,290,763,88,675,33,2,31,96,11,85,159,16,143,51,9,42,714,38,676,223,11,212,94,15,79,124,3,121,190,3,187,83,6,77
95BB23,2317,404,1913,1604,274,1330,361,67,294,906,146,760,60,14,46,141,20,121,60,12,48,76,15,61,713,130,583,458,86,372,113,27,86,61,8,53,49,1,48,32,8,24
95CC01,1864,246,1618,1145,181,964,225,39,186,582,86,496,34,9,25,105,19,86,137,15,122,62,13,49,719,65,654,222,23,199,116,20,96,78,6,72,213,10,203,90,6,84
95CC02,1971,375,1596,1400,292,1108,241,44,197,657,143,514,70,8,62,257,56,201,98,14,84,77,27,50,571,83,488,216,38,178,137,32,105,68,4,64,110,3,107,40,6,34
95CC03,1989,239,1750,1199,176,1023,276,42,234,575,91,484,25,2,23,79,15,64,196,16,180,48,10,38,790,63,727,201,17,184,128,28,100,127,3,124,227,9,218,107,6,101
95CC04,1699,268,1431,1164,212,952,228,42,186,532,94,438,54,10,44,208,40,168,84,10,74,58,16,42,535,56,479,177,12,165,129,27,102,88,10,78,84,2,82,57,5,52
95CC05,1935,292,1643,1314,222,1092,240,41,199,677,114,563,55,9,46,199,30,169,79,7,72,64,21,43,621,70,551,238,25,213,128,29,99,80,5,75,111,6,105,64,5,59
95CC06,2003,363,1640,1391,261,1130,257,46,211,805,151,654,40,10,30,126,24,102,109,12,97,54,18,36,612,102,510,299,66,233,103,23,80,64,4,60,105,3,102,41,6,35
95CC07,2417,362,2055,1623,284,1339,313,65,248,759,125,634,66,12,54,284,45,239,135,16,119,66,21,45,794,78,716,211,16,195,198,30,168,153,16,137,147,9,138,85,7,78
95CC08,1783,239,1544,1110,168,942,222,35,187,568,90,478,28,4,24,95,14,81,152,17,135,45,8,37,673,71,602,222,28,194,133,21,112,104,9,95,134,7,127,80,6,74
95CC09,2490,445,2045,1809,326,1483,316,67,249,993,152,841,79,22,57,284,51,233,79,13,66,58,21,37,681,119,562,312,59,253,140,33,107,82,13,69,91,10,81,56,4,52
95CC10,1889,370,1519,1326,275,1051,216,50,166,700,144,556,66,10,56,209,34,175,76,18,58,59,19,40,563,95,468,299,50,249,114,30,84,48,5,43,68,6,62,34,4,30
95CC11,1334,137,1197,794,85,709,160,21,139,394,47,347,12,0,12,88,9,79,118,5,113,22,3,19,540,52,488,194,22,172,78,12,66,78,6,72,125,3,122,65,9,56
95CC12,1965,324,1641,1367,238,1129,249,42,207,674,111,563,45,8,37,255,46,209,74,9,65,70,22,48,598,86,512,236,27,209,140,34,106,68,9,59,100,9,91,54,7,47
95CC13,1784,298,1486,1275,223,1052,259,52,207,605,100,505,41,8,33,225,42,183,82,10,72,63,11,52,509,75,434,161,24,137,118,30,88,73,11,62,109,6,103,48,4,44
95CC14,2160,328,1832,1526,248,1278,318,59,259,849,128,721,60,9,51,176,33,143,66,7,59,57,12,45,634,80,554,294,53,241,97,11,86,79,6,73,133,8,125,31,2,29
95CC15,2065,351,1714,1411,246,1165,274,51,223,759,128,631,48,6,42,193,32,161,81,8,73,56,21,35,654,105,549,249,44,205,143,38,105,91,11,80,128,6,122,43,6,37
95CC16,1964,309,1655,1300,233,1067,268,49,219,691,117,574,37,10,27,158,32,126,78,10,68,68,15,53,664,76,588,262,40,222,112,20,92,85,6,79,165,10,155,40,0,40
95CC17,2001,350,1651,1451,274,1177,275,52,223,696,122,574,54,11,43,260,51,209,98,18,80,68,20,48,550,76,474,214,32,182,135,24,111,67,9,58,90,4,86,44,7,37
95CC18,1712,314,1398,1125,213,912,219,43,176,647,106,541,50,12,38,103,28,75,70,7,63,36,17,19,587,101,486,273,50,223,111,31,80,57,8,49,100,7,93,46,5,41
95CC19,1910,341,1569,1345,259,1086,264,65,199,676,116,560,53,11,42,243,44,199,57,10,47,52,13,39,565,82,483,218,30,188,115,30,85,73,11,62,115,6,109,44,5,39
95CC20,2198,350,1848,1541,259,1282,312,71,241,924,133,791,44,7,37,137,27,110,80,12,68,44,9,35,657,91,566,266,45,221,122,25,97,82,8,74,132,5,127,55,8,47
95CC21,2120,339,1781,1470,240,1230,283,58,225,870,125,745,50,13,37,128,19,109,82,8,74,57,17,40,650,99,551,297,69,228,90,16,74,84,6,78,130,5,125,49,3,46
95CC22,1291,159,1132,825,111,714,181,20,161,482,59,423,14,6,8,43,6,37,71,13,58,34,7,27,466,48,418,206,24,182,66,9,57,41,6,35,99,5,94,54,4,50
95DD01,1527,291,1236,939,172,767,195,47,148,553,91,462,28,7,21,90,17,73,41,5,36,32,5,27,588,119,469,363,77,286,72,22,50,52,8,44,69,4,65,32,8,24
95DD02,2831,423,2408,2076,334,1742,393,65,328,1289,194,1095,51,14,37,166,34,132,100,11,89,77,16,61,755,89,666,353,28,325,127,34,93,90,17,73,125,6,119,60,4,56
95DD03,2537,481,2056,1819,340,1479,324,62,262,1142,197,945,49,11,38,182,33,149,53,7,46,69,30,39,718,141,577,410,88,322,105,23,82,80,15,65,71,5,66,52,10,42
95DD04,1377,130,1247,824,84,740,207,25,182,422,35,387,17,4,13,31,3,28,99,6,93,48,11,37,553,46,507,204,20,184,54,8,46,95,7,88,143,4,139,57,7,50
95DD05,1286,112,1174,774,73,701,199,22,177,389,30,359,17,4,13,37,5,32,93,8,85,39,4,35,512,39,473,163,17,146,60,5,55,102,7,95,127,5,122,60,5,55
95DD06,1870,333,1537,1235,221,1014,231,46,185,745,122,623,39,7,32,106,19,87,61,14,47,53,13,40,635,112,523,395,72,323,95,24,71,44,7,37,60,3,57,41,6,35
95DD07,2379,448,1931,1587,316,1271,337,75,262,938,174,764,46,12,34,138,26,112,71,12,59,57,17,40,792,132,660,436,74,362,107,33,74,92,11,81,103,8,95,54,6,48
95DD08,1596,168,1428,1049,113,936,207,28,179,644,57,587,15,1,14,53,7,46,94,9,85,36,11,25,547,55,492,194,25,169,58,7,51,48,3,45,179,13,166,68,7,61
95DD09,1863,353,1510,1329,254,1075,258,66,192,674,115,559,63,11,52,243,42,201,43,6,37,48,14,34,534,99,435,270,49,221,106,30,76,55,10,45,67,5,62,36,5,31
95DD10,2073,277,1796,1400,213,1187,283,41,242,816,125,691,40,9,31,88,15,73,113,10,103,60,13,47,673,64,609,327,30,297,80,15,65,78,7,71,124,5,119,64,7,57
95DD11,1628,164,1464,1055,110,945,216,30,186,599,55,544,17,4,13,53,4,49,133,11,122,37,6,31,573,54,519,157,11,146,89,18,71,117,6,111,144,9,135,66,10,56
95DD12,1857,341,1516,1324,265,1059,249,54,195,660,138,522,45,8,37,266,40,226,41,9,32,63,16,47,533,76,457,233,29,204,108,18,90,84,17,67,74,6,68,34,6,28
95DD13,1262,147,1115,813,95,718,165,20,145,471,41,430,23,3,20,52,15,37,81,9,72,21,7,14,449,52,397,195,25,170,54,5,49,70,9,61,95,10,85,35,3,32
95DD14,2369,486,1883,1723,357,1366,333,76,257,1025,197,828,69,11,58,165,41,124,58,7,51,73,25,48,646,129,517,349,64,285,128,37,91,70,16,54,75,7,68,24,5,19
95DD15,2459,454,2005,1802,343,1459,322,69,253,976,189,787,58,14,44,286,40,246,99,14,85,61,17,44,657,111,546,263,33,230,139,43,96,108,18,90,102,11,91,45,6,39
95DD16,2166,375,1791,1615,306,1309,316,67,249,824,143,681,55,16,39,297,55,242,56,6,50,67,19,48,551,69,482,272,36,236,100,21,79,58,3,55,81,3,78,40,6,34
95DD17,2469,467,2002,1815,362,1453,332,71,261,905,187,718,73,12,61,342,54,288,78,17,61,85,21,64,654,105,549,277,39,238,158,40,118,82,14,68,87,7,80,50,5,45
95DD18,1403,203,1200,899,150,749,197,43,154,496,73,423,27,6,21,74,12,62,76,13,63,29,3,26,504,53,451,256,30,226,38,8,30,46,4,42,116,3,113,48,8,40
95DD19,2429,339,2090,1714,257,1457,350,46,304,969,145,824,52,10,42,190,31,159,84,10,74,69,15,54,715,82,633,329,29,300,119,23,96,91,15,76,132,9,123,44,6,38
95DD20,1296,131,1165,773,79,694,192,12,180,415,44,371,22,3,19,18,2,16,98,15,83,28,3,25,523,52,471,208,19,189,43,8,35,65,10,55,151,12,139,56,3,53
95DD21,1579,211,1368,1138,151,987,229,29,200,672,76,596,28,7,21,81,13,68,77,12,65,51,14,37,441,60,381,230,33,197,64,14,50,57,5,52,46,2,44,44,6,38
95DD22,2274,376,1898,1541,290,1251,281,61,220,814,149,665,54,11,43,267,40,227,69,12,57,56,17,39,733,86,647,275,29,246,145,32,113,101,13,88,157,9,148,55,3,52
95DD23,1810,322,1488,1354,248,1106,257,44,213,636,119,517,56,17,39,307,42,265,42,8,34,56,18,38,456,74,382,211,28,183,98,29,69,57,7,50,59,7,52,31,3,28
95DD24,1997,285,1712,1422,207,1215,281,50,231,834,112,722,34,7,27,112,14,98,87,8,79,74,16,58,575,78,497,271,37,234,96,14,82,69,12,57,95,8,87,44,7,37
95EE01,1339,191,1148,872,149,723,131,19,112,418,88,330,43,4,39,180,24,156,74,8,66,26,6,20,467,42,425,151,4,147,115,22,93,83,11,72,81,5,76,37,0,37
95EE02,1539,223,1316,1035,165,870,193,41,152,515,63,452,39,11,28,155,31,124,89,9,80,44,10,34,504,58,446,172,21,151,67,17,50,93,12,81,118,4,114,54,4,50
95EE03,1488,207,1281,912,138,774,180,24,156,514,71,443,26,5,21,71,17,54,89,12,77,32,9,23,576,69,507,190,25,165,83,17,66,90,11,79,163,13,150,50,3,47
95EE04,1463,219,1244,986,170,816,169,38,131,552,87,465,23,2,21,132,21,111,74,10,64,36,12,24,477,49,428,185,17,168,99,18,81,80,10,70,71,2,69,42,2,40
95EE05,1136,168,968,755,121,634,151,26,125,361,58,303,41,9,32,131,15,116,50,8,42,21,5,16,381,47,334,172,23,149,71,16,55,48,4,44,64,3,61,26,1,25
95EE06,1587,241,1346,1071,174,897,184,34,150,550,80,470,35,4,31,177,36,141,84,9,75,41,11,30,516,67,449,150,11,139,159,33,126,82,12,70,78,5,73,47,6,41
95EE07,1258,147,1111,780,104,676,180,24,156,421,58,363,27,1,26,59,7,52,75,10,65,18,4,14,478,43,435,221,16,205,74,11,63,69,6,63,85,9,76,29,1,28
95EE08,1242,215,1027,792,145,647,145,23,122,456,76,380,22,10,12,83,22,61,66,10,56,20,4,16,450,70,380,220,36,184,73,18,55,39,7,32,79,2,77,39,7,32
95EE09,1358,256,1102,915,189,726,181,37,144,438,93,345,36,6,30,171,36,135,59,10,49,30,7,23,443,67,376,133,16,117,115,32,83,67,9,58,88,4,84,40,6,34
95EE10,1292,158,1134,878,120,758,145,20,125,466,58,408,19,2,17,149,26,123,71,7,64,28,7,21,414,38,376,145,8,137,72,11,61,73,8,65,82,6,76,42,5,37
95EE11,1232,210,1022,820,151,669,124,24,100,400,63,337,33,9,24,194,41,153,42,8,34,27,6,21,412,59,353,156,18,138,90,31,59,68,4,64,64,2,62,34,4,30
95EE12,1862,202,1660,1197,149,1048,239,31,208,628,76,552,37,5,32,83,8,75,155,16,139,55,13,42,665,53,612,203,18,185,108,13,95,106,7,99,183,13,170,65,2,63
95EE13,1102,167,935,602,99,503,123,22,101,316,57,259,26,5,21,60,7,53,58,4,54,19,4,15,500,68,432,221,35,186,61,14,47,49,6,43,118,6,112,51,7,44
95EE14,1922,281,1641,1278,209,1069,253,49,204,682,104,578,57,11,46,144,22,122,101,14,87,41,9,32,644,72,572,244,33,211,118,26,92,97,4,93,136,4,132,49,5,44
95EE15,1256,222,1034,851,164,687,164,36,128,390,74,316,32,7,25,178,35,143,67,8,59,20,4,16,405,58,347,165,17,148,89,26,63,49,4,45,65,9,56,37,2,35
95EE16,1482,221,1261,996,165,831,198,42,156,497,71,426,46,8,38,176,36,140,47,4,43,32,4,28,486,56,430,173,19,154,99,25,74,76,8,68,97,1,96,41,3,38
95FF01,3432,577,2855,2562,441,2121,488,96,392,1528,234,1294,61,9,52,255,53,202,118,13,105,112,36,76,870,136,734,396,64,332,189,39,150,115,17,98,117,8,109,53,8,45
95FF02,1957,343,1614,1410,269,1141,252,52,200,623,113,510,57,17,40,315,50,265,95,17,78,68,20,48,547,74,473,196,24,172,106,23,83,88,11,77,101,8,93,56,8,48
95FF03,2182,279,1903,1571,208,1363,334,41,293,914,123,791,42,6,36,106,12,94,99,10,89,76,16,60,611,71,540,213,25,188,98,23,75,93,9,84,155,8,147,52,6,46
95FF04,1866,368,1498,1370,294,1076,255,57,198,632,127,505,66,24,42,292,60,232,70,8,62,55,18,37,496,74,422,179,17,162,120,39,81,67,10,57,94,3,91,36,5,31
95FF05,1835,259,1576,1236,196,1040,226,42,184,749,111,638,33,5,28,109,22,87,91,5,86,28,11,17,599,63,536,290,41,249,92,11,81,66,7,59,123,3,120,28,1,27
95FF06,2855,498,2357,2158,389,1769,426,78,348,1299,225,1074,65,16,49,217,40,177,87,18,69,64,12,52,697,109,588,297,49,248,139,35,104,91,13,78,115,4,111,55,8,47
95FF07,1953,213,1740,1257,149,1108,296,35,261,640,63,577,31,5,26,89,15,74,157,18,139,44,13,31,696,64,632,220,21,199,102,16,86,91,8,83,215,15,200,68,4,64
95FF08,1697,240,1457,1080,178,902,205,38,167,593,96,497,40,7,33,88,12,76,95,11,84,59,14,45,617,62,555,281,35,246,103,17,86,59,5,54,134,4,130,40,1,39
95FF09,1795,224,1571,1144,174,970,205,29,176,639,102,537,27,5,22,139,18,121,89,8,81,45,12,33,651,50,601,233,28,205,97,6,91,91,6,85,179,7,172,51,3,48
95FF10,2491,405,2086,1844,326,1518,318,58,260,978,152,826,70,25,45,330,57,273,86,15,71,62,19,43,647,79,568,236,33,203,134,19,115,101,14,87,120,7,113,56,6,50
95FF11,1852,317,1535,1353,259,1094,227,44,183,700,133,567,66,16,50,261,52,209,52,3,49,47,11,36,499,58,441,178,24,154,98,19,79,95,11,84,88,3,85,40,1,39
95FF12,2046,319,1727,1425,248,1177,246,47,199,817,132,685,48,10,38,171,26,145,67,10,57,76,23,53,621,71,550,265,34,231,102,22,80,76,7,69,143,5,138,35,3,32
95FF13,1935,352,1583,1356,272,1084,239,43,196,697,135,562,58,17,41,242,47,195,59,7,52,61,23,38,579,80,499,250,33,217,96,23,73,81,15,66,107,4,103,45,5,40
95FF14,1754,384,1370,1243,300,943,205,61,144,665,147,518,57,20,37,227,50,177,40,3,37,49,19,30,511,84,427,282,44,238,73,18,55,64,9,55,63,6,57,29,7,22
95FF15,1896,251,1645,1238,184,1054,262,40,222,684,93,591,30,6,24,138,23,115,82,10,72,42,12,30,658,67,591,272,36,236,103,15,88,91,3,88,131,7,124,61,6,55
95FF16,1711,302,1409,1150,221,929,224,47,177,676,121,555,32,8,24,118,23,95,53,11,42,47,11,36,561,81,480,274,56,218,85,11,74,53,7,46,113,7,106,36,0,36
95FF17,1298,126,1172,790,88,702,152,18,134,469,50,419,17,4,13,67,9,58,61,4,57,24,3,21,508,38,470,214,21,193,56,8,48,48,3,45,146,4,142,44,2,42
95GG01,3566,469,3097,2037,331,1706,487,67,420,1029,159,870,40,9,31,142,23,119,196,32,164,143,41,102,1529,138,1391,593,51,542,216,44,172,158,13,145,446,20,426,116,10,106
95GG02,4177,374,3803,2044,267,1777,612,64,548,775,112,663,37,6,31,44,4,40,418,52,366,158,29,129,2133,107,2026,501,10,491,298,42,256,364,23,341,749,14,735,221,18,203
95GG03,4409,1034,3375,3220,795,2425,576,148,428,1995,466,1529,110,38,72,289,77,212,124,24,100,126,42,84,1189,239,950,604,129,475,211,69,142,112,18,94,197,15,182,65,8,57
95GG04,3584,334,3250,1948,246,1702,476,49,427,991,115,876,34,2,32,52,9,43,290,44,246,105,27,78,1636,88,1548,415,19,396,195,19,176,275,12,263,576,28,548,175,10,165
95GG05,4793,991,3802,3786,837,2949,562,136,426,2426,476,1950,99,37,62,219,61,158,269,59,210,211,68,143,1007,154,853,293,41,252,203,54,149,121,17,104,239,19,220,151,23,128
95GG06,4081,462,3619,2694,328,2366,620,79,541,1531,166,1365,51,9,42,110,14,96,233,26,207,149,34,115,1387,134,1253,459,33,426,230,54,176,181,20,161,389,18,371,128,9,119
95GG07,3968,370,3598,2293,268,2025,609,56,553,1131,129,1002,37,8,29,67,8,59,267,27,240,182,40,142,1675,102,1573,422,21,401,236,35,201,270,15,255,551,22,529,196,9,187
95GG08,3548,458,3090,2343,339,2004,537,78,459,1257,162,1095,64,15,49,148,23,125,235,30,205,102,31,71,1205,119,1086,457,44,413,201,38,163,166,16,150,272,10,262,109,11,98
95GG09,4463,807,3656,3074,593,2481,605,122,483,1866,326,1540,84,21,63,221,58,163,165,24,141,133,42,91,1389,214,1175,657,110,547,214,58,156,164,21,143,266,12,254,88,13,75
95GG10,3171,449,2722,2125,363,1762,411,60,351,1199,197,1002,31,6,25,47,12,35,262,23,239,175,65,110,1046,86,960,292,11,281,192,45,147,146,7,139,319,14,305,97,9,88
95GG11,4185,679,3506,2933,554,2379,516,114,402,1825,307,1518,62,19,43,174,39,135,262,43,219,94,32,62,1252,125,1127,477,42,435,154,41,113,161,16,145,324,13,311,136,13,123
95GG12,7945,1985,5960,5236,1416,3820,542,119,423,1937,385,1552,90,32,58,130,35,95,410,87,323,2127,758,1369,2709,569,2140,226,24,202,1722,479,1243,165,18,147,417,28,389,179,20,159
95GG13,3383,525,2858,2259,390,1869,464,73,391,1246,216,1030,58,17,41,167,33,134,205,25,180,119,26,93,1124,135,989,469,58,411,163,39,124,132,13,119,244,12,232,116,13,103
95GG14,3494,766,2728,2499,543,1956,501,110,391,1424,287,1137,92,28,64,213,50,163,112,23,89,157,45,112,995,223,772,477,109,368,260,78,182,82,14,68,111,10,101,65,12,53
95GG15,4071,881,3190,2900,635,2265,512,110,402,1786,377,1409,117,41,76,254,64,190,129,18,111,102,25,77,1171,246,925,651,159,492,206,58,148,113,10,103,137,7,130,64,12,52
95GG16,3991,685,3306,2692,533,2159,569,112,457,1509,287,1222,51,11,40,166,46,120,255,36,219,142,41,101,1299,152,1147,391,59,332,255,41,214,169,15,154,365,25,340,119,12,107
95GG17,3757,448,3309,2270,332,1938,536,66,470,1153,194,959,50,5,45,133,17,116,265,26,239,133,24,109,1487,116,1371,489,54,435,250,30,220,223,12,211,383,13,370,142,7,135
95GG18,3574,332,3242,1932,241,1691,477,51,426,968,127,841,28,3,25,48,10,38,294,36,258,117,14,103,1642,91,1551,325,18,307,216,21,195,271,13,258,621,22,599,209,17,192
95GG19,3167,174,2993,1454,117,1337,395,25,370,673,56,617,21,0,21,48,8,40,229,15,214,88,13,75,1713,57,1656,504,9,495,148,15,133,267,4,263,619,16,603,175,13,162
95GG20,3666,395,3271,2136,302,1834,472,52,420,1122,156,966,38,9,29,104,24,80,271,37,234,129,24,105,1530,93,1437,408,18,390,177,25,152,209,16,193,548,24,524,188,10,178
