GeographyCode,KS102NI0001,KS102NI0002,KS102NI0003,KS102NI0004,KS102NI0005,KS102NI0006,KS102NI0007,KS102NI0008,KS102NI0009,KS102NI0010,KS102NI0011,KS102NI0012,KS102NI0013,KS102NI0014,KS102NI0015,KS102NI0016,KS102NI0017,KS102NI0018,KS102NI0019,KS102NI0020,KS102NI0021,KS102NI0022,KS102NI0023,KS102NI0024,KS102NI0025,KS102NI0026,KS102NI0027,KS102NI0028,KS102NI0029,KS102NI0030,KS102NI0031,KS102NI0032,KS102NI0033,KS102NI0034,KS102NI0035
95II,67242,4051,2260,1508,4167,856,1798,1755,3782,3718,13946,14252,3335,5965,4305,1099,445,40.06,41,6.02,3.36,2.24,6.20,1.27,2.67,2.61,5.62,5.53,20.74,21.20,4.96,8.87,6.40,1.63,0.66
95JJ,59067,3470,2010,1338,3843,789,1567,2054,4222,3288,11222,12004,3371,5549,3194,790,356,39.26,39,5.87,3.40,2.27,6.51,1.34,2.65,3.48,7.15,5.57,19.00,20.32,5.71,9.39,5.41,1.34,0.60
95KK,37013,2802,1494,950,2503,545,1112,1008,2792,2701,7930,6644,1774,2684,1510,373,191,35.97,34,7.57,4.04,2.57,6.76,1.47,3.00,2.72,7.54,7.30,21.42,17.95,4.79,7.25,4.08,1.01,0.52
95LL,93023,7316,3733,2250,6013,1208,2634,2332,6392,6838,20048,17040,4602,7175,4063,947,432,36.55,35,7.86,4.01,2.42,6.46,1.30,2.83,2.51,6.87,7.35,21.55,18.32,4.95,7.71,4.37,1.02,0.46
95MM,107877,7574,4162,2841,7891,1746,3502,3393,7811,8010,22123,20617,5355,7598,4049,828,377,35.79,35,7.02,3.86,2.63,7.31,1.62,3.25,3.15,7.24,7.43,20.51,19.11,4.96,7.04,3.75,0.77,0.35
95NN,69731,4803,2595,1752,4832,1003,2134,1892,4668,4418,13614,13720,3884,5808,3311,873,424,37.85,38,6.89,3.72,2.51,6.93,1.44,3.06,2.71,6.69,6.34,19.52,19.68,5.57,8.33,4.75,1.25,0.61
95OO,57852,4540,2496,1533,4037,779,1731,1501,4121,4408,12623,10245,2666,4020,2316,539,297,35.55,34,7.85,4.31,2.65,6.98,1.35,2.99,2.59,7.12,7.62,21.82,17.71,4.61,6.95,4.00,0.93,0.51
95PP,61805,4190,2306,1604,4181,860,1833,1421,3809,3930,12623,12230,3594,5025,3028,800,371,38.18,38,6.78,3.73,2.60,6.76,1.39,2.97,2.30,6.16,6.36,20.42,19.79,5.82,8.13,4.90,1.29,0.60
95QQ,32180,1860,1125,744,2037,415,857,792,1937,1804,6177,6918,2030,3050,1791,405,238,40.13,41,5.78,3.50,2.31,6.33,1.29,2.66,2.46,6.02,5.61,19.20,21.50,6.31,9.48,5.57,1.26,0.74
95RR,33536,2317,1267,840,2337,482,1032,931,2330,2208,7430,6397,1730,2552,1227,321,135,36.59,36,6.91,3.78,2.50,6.97,1.44,3.08,2.78,6.95,6.58,22.16,19.08,5.16,7.61,3.66,0.96,0.40
95SS,120165,8844,4679,2989,8241,1787,3616,3297,7689,7814,25027,23383,6140,9405,5399,1195,660,37.06,37,7.36,3.89,2.49,6.86,1.49,3.01,2.74,6.40,6.50,20.83,19.46,5.11,7.83,4.49,0.99,0.55
95TT,45038,3524,1882,1234,3234,703,1386,1180,3278,3116,9698,8072,2102,3127,1847,437,218,35.60,34,7.82,4.18,2.74,7.18,1.56,3.08,2.62,7.28,6.92,21.53,17.92,4.67,6.94,4.10,0.97,0.48
95UU,17050,1053,642,388,1158,206,468,420,1094,957,3254,3482,1007,1693,887,239,102,39.51,40,6.18,3.77,2.28,6.79,1.21,2.74,2.46,6.42,5.61,19.09,20.42,5.91,9.93,5.20,1.40,0.60
95VV,99480,7720,4170,2800,7261,1567,3055,2617,6763,7238,20984,18417,4632,6854,4058,953,391,35.63,34,7.76,4.19,2.81,7.30,1.58,3.07,2.63,6.80,7.28,21.09,18.51,4.66,6.89,4.08,0.96,0.39
95WW,85139,5892,3218,1972,5238,1027,2258,2648,5673,5360,17780,16444,4514,7114,4489,1058,454,38.16,38,6.92,3.78,2.32,6.15,1.21,2.65,3.11,6.66,6.30,20.88,19.31,5.30,8.36,5.27,1.24,0.53
95XX,78937,4765,2686,1669,4480,915,1927,1783,4470,4760,15566,16240,5204,7898,4577,1309,688,40.88,41,6.04,3.40,2.11,5.68,1.16,2.44,2.26,5.66,6.03,19.72,20.57,6.59,10.01,5.80,1.66,0.87
95YY,51356,3679,2096,1366,3764,762,1672,1302,3327,3478,10542,10072,2581,3749,2170,540,256,36.58,36,7.16,4.08,2.66,7.33,1.48,3.26,2.54,6.48,6.77,20.53,19.61,5.03,7.30,4.23,1.05,0.50
95ZZ,39843,2685,1491,1017,3013,617,1227,1050,2588,2471,8512,7465,2120,3177,1827,389,194,37.16,37,6.74,3.74,2.55,7.56,1.55,3.08,2.64,6.50,6.20,21.36,18.74,5.32,7.97,4.59,0.98,0.49
