GeographyCode,LC4302NI0001,LC4302NI0002,LC4302NI0003,LC4302NI0004,LC4302NI0005,LC4302NI0006,LC4302NI0007,LC4302NI0008,LC4302NI0009,LC4302NI0010,LC4302NI0011,LC4302NI0012
95PP08W1,2678,425,2253,2253,335,1918,65,17,48,360,73,287
95PP09W1,1607,459,1148,829,252,577,412,133,279,366,74,292
95PP10W1,2387,435,1952,2112,357,1755,63,26,37,212,52,160
95PP11W1,2553,542,2011,1618,314,1304,474,146,328,461,82,379
95PP12W1,2602,455,2147,2271,394,1877,55,16,39,276,45,231
95PP13W1,2585,561,2024,1724,324,1400,332,128,204,529,109,420
95PP14S1,1555,326,1229,1241,217,1024,92,47,45,222,62,160
95PP14S2,2046,387,1659,1659,289,1370,98,42,56,289,56,233
95PP15W1,3182,493,2689,2613,389,2224,71,30,41,498,74,424
95PP16W1,1877,380,1497,1691,345,1346,21,4,17,165,31,134
95PP17W1,2486,513,1973,1498,285,1213,328,107,221,660,121,539
95PP18W1,3117,541,2576,2598,413,2185,102,43,59,417,85,332
95PP19W1,2502,531,1971,1800,322,1478,323,107,216,379,102,277
95PP20W1,3103,652,2451,1847,343,1504,360,165,195,896,144,752
95PP21W1,2167,398,1769,1762,286,1476,147,64,83,258,48,210
95PP22W1,2442,518,1924,1825,344,1481,268,106,162,349,68,281
95PP23W1,2515,475,2040,2131,392,1739,113,29,84,271,54,217
95QQ01W1,1483,440,1043,821,214,607,328,127,201,334,99,235
95QQ02W1,2582,416,2166,2281,347,1934,49,19,30,252,50,202
95QQ03W1,1096,277,819,590,142,448,322,88,234,184,47,137
95QQ04W1,1635,390,1245,1052,200,852,370,129,241,213,61,152
95QQ05W1,2872,491,2381,2585,414,2171,35,19,16,252,58,194
95QQ06W1,2005,437,1568,1479,294,1185,179,56,123,347,87,260
95QQ07W1,1775,494,1281,1019,194,825,328,179,149,428,121,307
95QQ08W1,1455,469,986,928,259,669,341,152,189,186,58,128
95QQ09W1,1846,473,1373,1472,316,1156,153,102,51,221,55,166
95QQ10W1,1851,316,1535,1486,231,1255,75,26,49,290,59,231
95QQ11W1,2027,385,1642,1821,334,1487,49,20,29,157,31,126
95QQ12W1,1697,338,1359,1231,213,1018,104,30,74,362,95,267
95QQ13W1,2568,458,2110,2139,356,1783,107,39,68,322,63,259
95QQ14S1,3660,417,3243,2967,310,2657,27,10,17,666,97,569
95QQ14S2,1770,304,1466,1552,229,1323,43,24,19,175,51,124
95QQ15W1,1592,379,1213,1166,263,903,78,35,43,348,81,267
95RR01S1,2491,339,2152,1850,217,1633,197,55,142,444,67,377
95RR01S2,1876,313,1563,1557,238,1319,93,31,62,226,44,182
95RR02W1,1751,392,1359,1261,259,1002,247,96,151,243,37,206
