GeographyCode,LC2116NI0001,LC2116NI0002,LC2116NI0003,LC2116NI0004,LC2116NI0005,LC2116NI0006,LC2116NI0007,LC2116NI0008,LC2116NI0009
95GG02S3,2115,24,2091,947,12,935,1168,12,1156
95GG03S1,1917,155,1762,906,85,821,1011,70,941
95GG03S2,1777,143,1634,860,76,784,917,67,850
95GG03S3,2020,155,1865,935,87,848,1085,68,1017
95GG04S1,1629,63,1566,775,33,742,854,30,824
95GG04S2,1475,40,1435,658,20,638,817,20,797
95GG04S3,1558,98,1460,773,53,720,785,45,740
95GG05S1,1747,107,1640,871,64,807,876,43,833
95GG05S2,1922,106,1816,927,63,864,995,43,952
95GG05S3,2023,107,1916,1073,71,1002,950,36,914
95GG06S1,1830,108,1722,842,58,784,988,50,938
95GG06S2,1714,106,1608,822,57,765,892,49,843
95GG06S3,1847,89,1758,866,47,819,981,42,939
95GG07S1,1776,39,1737,823,16,807,953,23,930
95GG07S2,1805,36,1769,809,22,787,996,14,982
95GG07S3,1642,32,1610,771,11,760,871,21,850
95GG08S1,1332,73,1259,673,40,633,659,33,626
95GG08S2,1641,63,1578,767,32,735,874,31,843
95GG08S3,1682,56,1626,826,28,798,856,28,828
95GG09S1,2064,177,1887,983,94,889,1081,83,998
95GG09S2,1833,146,1687,864,78,786,969,68,901
95GG09S3,2007,128,1879,943,68,875,1064,60,1004
95GG10S1,1773,164,1609,912,89,823,861,75,786
95GG10S2,2084,148,1936,1033,77,956,1051,71,980
95GG11S1,1808,124,1684,865,67,798,943,57,886
95GG11S2,1630,123,1507,813,72,741,817,51,766
95GG11S3,1786,151,1635,875,86,789,911,65,846
95GG12S1,1536,118,1418,792,71,721,744,47,697
95GG12S2,1927,105,1822,1048,76,972,879,29,850
95GG12S3,1459,81,1378,710,42,668,749,39,710
95GG12S4,1680,131,1549,895,84,811,785,47,738
95GG12S5,2133,73,2060,1054,38,1016,1079,35,1044
95GG13S1,1276,71,1205,616,44,572,660,27,633
95GG13S2,1682,97,1585,793,54,739,889,43,846
95GG13S3,1569,118,1451,717,55,662,852,63,789
95GG14S1,1564,110,1454,748,65,683,816,45,771
95GG14S2,1543,74,1469,766,40,726,777,34,743
95GG14S3,1546,125,1421,730,56,674,816,69,747
95GG15S1,1898,125,1773,849,62,787,1049,63,986
95GG15S2,1965,179,1786,897,90,807,1068,89,979
95GG15S3,1852,138,1714,823,65,758,1029,73,956
95GG16S1,1899,83,1816,972,45,927,927,38,889
95GG16S2,1892,82,1810,950,47,903,942,35,907
