GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
95CC19W1,2720,158,2562,2220,72,2148,500,86,414,2239,81,2158,116,14,102,2123,67,2056,481,77,404,384,72,312,97,5,92
95CC20S1,1308,57,1251,1102,26,1076,206,31,175,1127,29,1098,68,8,60,1059,21,1038,181,28,153,138,23,115,43,5,38
95CC20S2,1658,154,1504,1371,105,1266,287,49,238,1369,102,1267,88,11,77,1281,91,1190,289,52,237,199,38,161,90,14,76
95CC21W1,2925,295,2630,2357,193,2164,568,102,466,2324,191,2133,124,20,104,2200,171,2029,601,104,497,444,82,362,157,22,135
95CC22W1,1724,377,1347,1320,247,1073,404,130,274,1300,244,1056,84,25,59,1216,219,997,424,133,291,320,105,215,104,28,76
95DD01W1,2031,198,1833,1672,116,1556,359,82,277,1675,119,1556,103,20,83,1572,99,1473,356,79,277,256,62,194,100,17,83
95DD02S1,1453,159,1294,1165,84,1081,288,75,213,1161,88,1073,68,17,51,1093,71,1022,292,71,221,220,58,162,72,13,59
95DD02S2,2419,114,2305,2096,74,2022,323,40,283,2115,84,2031,89,17,72,2026,67,1959,304,30,274,234,23,211,70,7,63
95DD03W1,3474,196,3278,2957,139,2818,517,57,460,3023,149,2874,182,17,165,2841,132,2709,451,47,404,335,40,295,116,7,109
95DD04W1,1926,714,1212,1453,484,969,473,230,243,1376,467,909,78,42,36,1298,425,873,550,247,303,395,188,207,155,59,96
95DD05W1,1739,560,1179,1353,416,937,386,144,242,1327,406,921,95,33,62,1232,373,859,412,154,258,291,111,180,121,43,78
95DD06W1,2427,138,2289,2009,79,1930,418,59,359,2032,86,1946,116,14,102,1916,72,1844,395,52,343,302,45,257,93,7,86
95DD07S1,1596,150,1446,1243,80,1163,353,70,283,1229,79,1150,81,10,71,1148,69,1079,367,71,296,272,60,212,95,11,84
95DD07S2,1767,133,1634,1447,60,1387,320,73,247,1462,70,1392,106,25,81,1356,45,1311,305,63,242,214,48,166,91,15,76
95DD08W1,2083,812,1271,1523,524,999,560,288,272,1514,530,984,128,74,54,1386,456,930,569,282,287,432,214,218,137,68,69
95DD09W1,2572,63,2509,2162,36,2126,410,27,383,2173,34,2139,115,6,109,2058,28,2030,399,29,370,295,21,274,104,8,96
95DD10W1,2805,338,2467,2224,193,2031,581,145,436,2225,199,2026,148,32,116,2077,167,1910,580,139,441,433,113,320,147,26,121
95DD11W1,2363,709,1654,1916,519,1397,447,190,257,1895,526,1369,117,47,70,1778,479,1299,468,183,285,330,143,187,138,40,98
95DD12W1,2582,71,2511,2141,24,2117,441,47,394,2149,27,2122,124,9,115,2025,18,2007,433,44,389,317,38,279,116,6,110
95DD13W1,1743,392,1351,1367,253,1114,376,139,237,1382,267,1115,116,40,76,1266,227,1039,361,125,236,260,99,161,101,26,75
95DD14S1,1601,111,1490,1347,69,1278,254,42,212,1347,81,1266,76,17,59,1271,64,1207,254,30,224,178,25,153,76,5,71
95DD14S2,1667,27,1640,1472,12,1460,195,15,180,1486,14,1472,65,3,62,1421,11,1410,181,13,168,130,12,118,51,1,50
95DD15W1,3451,135,3316,2970,84,2886,481,51,430,2991,87,2904,147,8,139,2844,79,2765,460,48,412,334,43,291,126,5,121
95DD16W1,2943,86,2857,2453,47,2406,490,39,451,2469,46,2423,134,7,127,2335,39,2296,474,40,434,356,32,324,118,8,110
95DD17W1,3461,107,3354,2934,54,2880,527,53,474,2960,57,2903,143,11,132,2817,46,2771,501,50,451,384,42,342,117,8,109
95DD18W1,1813,407,1406,1374,272,1102,439,135,304,1321,252,1069,86,18,68,1235,234,1001,492,155,337,353,117,236,139,38,101
95DD19S1,1855,205,1650,1513,123,1390,342,82,260,1493,112,1381,69,12,57,1424,100,1324,362,93,269,273,70,203,89,23,66
95DD19S2,1460,57,1403,1189,27,1162,271,30,241,1203,28,1175,69,7,62,1134,21,1113,257,29,228,202,23,179,55,6,49
95DD20W1,1742,564,1178,1250,365,885,492,199,293,1244,365,879,105,41,64,1139,324,815,498,199,299,387,158,229,111,41,70
95DD21W1,2130,360,1770,1794,264,1530,336,96,240,1785,265,1520,99,24,75,1686,241,1445,345,95,250,237,72,165,108,23,85
95DD22S1,1537,111,1426,1226,54,1172,311,57,254,1258,68,1190,87,17,70,1171,51,1120,279,43,236,224,40,184,55,3,52
95DD22S2,1581,169,1412,1252,80,1172,329,89,240,1254,97,1157,86,23,63,1168,74,1094,327,72,255,243,66,177,84,6,78
95DD23W1,2490,59,2431,2065,27,2038,425,32,393,2100,33,2067,137,8,129,1963,25,1938,390,26,364,288,24,264,102,2,100
95DD24W1,2692,262,2430,2255,168,2087,437,94,343,2248,172,2076,117,23,94,2131,149,1982,444,90,354,320,71,249,124,19,105
95EE01W1,1895,104,1791,1570,65,1505,325,39,286,1574,62,1512,69,5,64,1505,57,1448,321,42,279,256,34,222,65,8,57
95EE02W1,2095,197,1898,1703,117,1586,392,80,312,1689,105,1584,84,7,77,1605,98,1507,406,92,314,308,73,235,98,19,79
95EE03W1,1983,329,1654,1540,197,1343,443,132,311,1537,189,1348,90,22,68,1447,167,1280,446,140,306,353,110,243,93,30,63
95EE04W1,1990,153,1837,1629,96,1533,361,57,304,1615,91,1524,93,14,79,1522,77,1445,375,62,313,268,43,225,107,19,88
95EE05W1,1497,109,1388,1200,68,1132,297,41,256,1183,61,1122,58,0,58,1125,61,1064,314,48,266,239,41,198,75,7,68
95EE06W1,2278,143,2135,1916,73,1843,362,70,292,1907,82,1825,83,12,71,1824,70,1754,371,61,310,279,58,221,92,3,89
95EE07W1,1798,259,1539,1371,167,1204,427,92,335,1393,165,1228,98,15,83,1295,150,1145,405,94,311,329,77,252,76,17,59
95EE08W1,1633,196,1437,1287,124,1163,346,72,274,1309,128,1181,98,18,80,1211,110,1101,324,68,256,248,54,194,76,14,62
95EE09W1,1859,117,1742,1525,63,1462,334,54,280,1539,69,1470,82,11,71,1457,58,1399,320,48,272,252,43,209,68,5,63
95EE10W1,1797,138,1659,1525,104,1421,272,34,238,1536,103,1433,85,9,76,1451,94,1357,261,35,226,187,25,162,74,10,64
95EE11W1,1677,53,1624,1376,26,1350,301,27,274,1378,22,1356,72,2,70,1306,20,1286,299,31,268,229,25,204,70,6,64
95EE12W1,2500,454,2046,1976,289,1687,524,165,359,1936,276,1660,112,28,84,1824,248,1576,564,178,386,412,137,275,152,41,111
95EE13W1,1529,361,1168,1083,187,896,446,174,272,1110,197,913,104,31,73,1006,166,840,419,164,255,342,143,199,77,21,56
95EE14W1,2684,224,2460,2152,139,2013,532,85,447,2185,140,2045,136,12,124,2049,128,1921,499,84,415,396,73,323,103,11,92
95EE15W1,1728,100,1628,1394,53,1341,334,47,287,1414,64,1350,85,14,71,1329,50,1279,314,36,278,249,33,216,65,3,62
95EE16W1,2111,82,2029,1703,46,1657,408,36,372,1730,48,1682,112,7,105,1618,41,1577,381,34,347,296,29,267,85,5,80
95FF01S1,2098,80,2018,1762,56,1706,336,24,312,1776,52,1724,100,5,95,1676,47,1629,322,28,294,236,19,217,86,9,77
95FF01S2,2655,156,2499,2294,126,2168,361,30,331,2309,119,2190,112,5,107,2197,114,2083,346,37,309,249,25,224,97,12,85
95FF02W1,2817,78,2739,2362,37,2325,455,41,414,2373,39,2334,107,6,101,2266,33,2233,444,39,405,348,35,313,96,4,92
95FF03W1,3006,287,2719,2434,184,2250,572,103,469,2445,182,2263,153,22,131,2292,160,2132,561,105,456,419,81,338,142,24,118
95FF04W1,2629,70,2559,2163,28,2135,466,42,424,2177,34,2143,107,9,98,2070,25,2045,452,36,416,359,33,326,93,3,90
95FF05W1,2563,394,2169,2015,226,1789,548,168,380,2034,229,1805,120,25,95,1914,204,1710,529,165,364,428,143,285,101,22,79
