GeographyCode,LC2103NI0001,LC2103NI0002,LC2103NI0003,LC2103NI0004,LC2103NI0005,LC2103NI0006,LC2103NI0007,LC2103NI0008,LC2103NI0009,LC2103NI0010,LC2103NI0011,LC2103NI0012,LC2103NI0013,LC2103NI0014,LC2103NI0015,LC2103NI0016
95WW15S2,1655,1524,83,48,501,479,9,13,178,161,8,9,976,884,66,26
95WW16S1,1668,1507,74,87,564,520,13,31,233,189,18,26,871,798,43,30
95WW16S2,1297,1176,67,54,391,362,15,14,215,184,9,22,691,630,43,18
95WW17W1,2266,2100,124,42,623,603,14,6,278,247,13,18,1365,1250,97,18
95WW18W1,2237,2023,127,87,600,561,13,26,275,235,18,22,1362,1227,96,39
95WW19S1,1872,1767,63,42,560,539,9,12,193,176,4,13,1119,1052,50,17
95WW19S2,2047,1877,109,61,789,758,22,9,139,121,4,14,1119,998,83,38
95WW19S3,2306,2040,161,105,836,773,38,25,132,106,9,17,1338,1161,114,63
95WW20S1,1827,1711,77,39,582,563,13,6,182,166,6,10,1063,982,58,23
95WW20S2,4574,4177,218,179,1756,1679,45,32,1044,891,65,88,1774,1607,108,59
95WW20S3,1937,1786,78,73,681,656,14,11,242,208,17,17,1014,922,47,45
95WW21S1,1517,1401,78,38,471,451,11,9,185,164,13,8,861,786,54,21
95WW21S2,2026,1803,84,139,808,744,17,47,364,302,18,44,854,757,49,48
95WW22S1,1414,1331,51,32,488,469,11,8,167,151,5,11,759,711,35,13
95WW22S2,1571,1476,64,31,530,513,10,7,234,217,7,10,807,746,47,14
95WW23S1,2250,1893,175,182,795,683,52,60,290,214,22,54,1165,996,101,68
95WW23S2,2644,1998,321,325,1472,1115,193,164,234,113,15,106,938,770,113,55
95WW24S1,1568,1442,71,55,427,404,8,15,217,186,10,21,924,852,53,19
95WW24S2,1926,1754,84,88,679,631,21,27,344,281,17,46,903,842,46,15
95WW25W1,2071,1920,91,60,484,458,14,12,267,245,6,16,1320,1217,71,32
95XX01S1,1730,1534,146,50,514,473,27,14,167,146,10,11,1049,915,109,25
95XX01S2,1930,1732,129,69,787,733,32,22,179,153,12,14,964,846,85,33
95XX01S3,1634,1433,150,51,532,480,35,17,187,160,20,7,915,793,95,27
95XX02W1,2652,2221,375,56,734,644,82,8,193,162,25,6,1725,1415,268,42
95XX03S1,1246,1118,95,33,336,321,7,8,101,88,6,7,809,709,82,18
95XX03S2,1475,1319,111,45,436,410,16,10,147,131,10,6,892,778,85,29
95XX04S1,1748,1583,130,35,497,475,20,2,164,151,7,6,1087,957,103,27
95XX04S2,1934,1750,134,50,668,634,23,11,231,204,11,16,1035,912,100,23
95XX05W1,2627,2296,202,129,631,579,24,28,290,231,20,39,1706,1486,158,62
95XX06S1,1724,1541,130,53,575,538,30,7,238,199,17,22,911,804,83,24
95XX06S2,2054,1815,165,74,713,669,32,12,315,274,23,18,1026,872,110,44
95XX07S1,1420,1225,148,47,305,273,20,12,155,131,15,9,960,821,113,26
95XX07S2,1425,1241,134,50,367,334,21,12,92,73,7,12,966,834,106,26
95XX08S1,1323,1165,128,30,321,299,14,8,111,92,15,4,891,774,99,18
95XX08S2,1267,1114,107,46,270,247,11,12,125,105,13,7,872,762,83,27
95XX09S1,1369,1228,105,36,285,268,11,6,110,89,12,9,974,871,82,21
95XX09S2,1448,1244,159,45,378,342,21,15,153,130,11,12,917,772,127,18
95XX10S1,1777,1581,152,44,707,665,31,11,225,197,16,12,845,719,105,21
95XX10S2,1862,1615,165,82,694,636,37,21,280,240,25,15,888,739,103,46
95XX10S3,1255,1148,82,25,445,427,15,3,187,167,13,7,623,554,54,15
95XX11S1,2449,2246,142,61,781,751,24,6,498,448,30,20,1170,1047,88,35
95XX11S2,2269,2028,171,70,818,766,36,16,486,438,30,18,965,824,105,36
95XX11S3,1545,1365,126,54,537,499,23,15,290,251,24,15,718,615,79,24
95XX12W1,2540,2079,336,125,673,561,73,39,161,130,21,10,1706,1388,242,76
95XX13W1,2770,2356,310,104,617,561,43,13,209,162,30,17,1944,1633,237,74
95XX14W1,2477,2099,278,100,652,588,45,19,187,155,20,12,1638,1356,213,69
95XX15W1,2449,2199,193,57,653,607,32,14,379,346,24,9,1417,1246,137,34
95XX16W1,3005,2635,285,85,585,535,36,14,235,204,19,12,2185,1896,230,59
95XX17S1,1495,1058,178,259,396,310,32,54,295,148,29,118,804,600,117,87
95XX17S2,1527,1178,226,123,445,363,53,29,171,117,24,30,911,698,149,64
95XX18W1,3012,2324,503,185,852,652,152,48,427,274,95,58,1733,1398,256,79
95XX19W1,2675,2269,291,115,732,647,56,29,180,144,22,14,1763,1478,213,72
95XX20S1,1981,1733,177,71,568,516,30,22,244,206,25,13,1169,1011,122,36
95XX20S2,1453,562,704,187,674,232,373,69,381,84,205,92,398,246,126,26
95XX21W1,2846,2428,348,70,678,596,66,16,172,145,16,11,1996,1687,266,43
95XX22W1,2215,1952,149,114,553,505,17,31,280,230,16,34,1382,1217,116,49
95XX23W1,3155,2711,200,244,861,763,33,65,636,522,41,73,1658,1426,126,106
95XX24S1,1336,1201,102,33,359,337,15,7,138,130,5,3,839,734,82,23
95XX24S2,1369,1219,95,55,310,286,7,17,137,119,5,13,922,814,83,25
95XX25W1,2469,2210,170,89,756,710,36,10,339,297,18,24,1374,1203,116,55
95YY01W1,2508,2307,126,75,916,874,17,25,292,261,13,18,1300,1172,96,32
95YY02W1,2283,1994,176,113,683,622,33,28,304,244,17,43,1296,1128,126,42
95YY03W1,3177,2904,205,68,1189,1139,28,22,389,353,26,10,1599,1412,151,36
