GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
N00000083,358,49,27,22,61,15,14,18,14,30,4,3,4,2,17,56,48,8,65,29,17,16,3,27,20,7,23,21,2,20,10,10,27,3,24
N00000084,229,35,20,15,43,7,10,13,13,18,2,3,1,2,10,37,33,4,39,18,12,4,5,7,5,2,14,11,3,18,9,9,18,6,12
N00000085,159,9,5,4,26,3,11,6,6,11,1,1,0,0,9,18,14,4,17,2,5,8,2,24,17,7,8,7,1,18,11,7,28,7,21
N00000086,189,6,2,4,34,5,15,7,7,18,3,4,0,3,8,31,29,2,37,2,11,20,4,9,6,3,18,17,1,13,5,8,23,5,18
N00000087,475,46,36,10,106,19,29,29,29,40,4,6,3,4,23,63,51,12,85,12,27,29,17,50,38,12,25,24,1,26,14,12,34,10,24
N00000088,74,5,4,1,5,1,2,2,0,6,2,1,0,2,1,9,7,2,18,1,8,6,3,8,7,1,5,5,0,11,7,4,7,2,5
N00000089,236,22,13,9,43,13,14,8,8,24,2,3,0,3,16,45,42,3,31,3,11,15,2,26,17,9,15,12,3,14,6,8,16,2,14
N00000090,197,9,9,0,43,6,21,8,8,12,3,4,0,0,5,30,26,4,28,1,5,19,3,21,16,5,17,17,0,14,7,7,23,3,20
N00000091,243,25,19,6,46,9,22,9,6,19,1,2,1,3,12,25,19,6,39,4,10,11,14,21,16,5,16,15,1,23,10,13,29,2,27
N00000092,231,21,14,7,41,10,16,5,10,26,4,2,1,2,17,33,27,6,42,13,17,9,3,12,9,3,20,18,2,20,6,14,16,4,12
N00000093,186,22,8,14,31,2,8,10,11,15,1,2,0,3,9,24,16,8,25,5,8,9,3,20,15,5,16,16,0,13,6,7,20,1,19
N00000094,254,23,13,10,64,13,21,14,16,31,6,1,1,2,21,34,29,5,46,14,18,8,6,20,14,6,18,18,0,11,6,5,7,1,6
N00000095,235,23,12,11,45,7,18,12,8,16,3,1,1,1,10,37,25,12,43,6,12,21,4,12,10,2,25,22,3,15,9,6,19,3,16
N00000096,245,33,20,13,46,10,20,9,7,29,4,5,2,3,15,34,28,6,42,16,13,10,3,12,7,5,22,21,1,14,10,4,13,3,10
N00000097,467,26,18,8,75,11,38,13,13,46,9,1,3,6,27,67,53,14,59,1,24,21,13,43,28,15,50,42,8,36,11,25,65,3,62
N00000098,698,50,36,14,174,29,91,32,22,50,8,8,4,9,21,88,70,18,74,3,38,15,18,61,46,15,51,42,9,43,26,17,107,17,90
N00000099,99,8,2,6,10,2,4,2,2,6,0,2,0,0,4,14,12,2,11,0,3,4,4,13,8,5,15,13,2,5,3,2,17,0,17
N00000100,164,11,8,3,21,1,14,5,1,11,3,2,1,2,3,27,20,7,14,1,4,1,8,18,12,6,13,13,0,22,10,12,27,6,21
N00000101,112,6,4,2,14,3,9,1,1,6,1,0,2,1,2,9,6,3,12,2,2,1,7,16,14,2,8,6,2,12,9,3,29,9,20
N00000102,159,12,7,5,34,5,19,5,5,8,3,2,1,0,2,24,23,1,18,1,7,4,6,19,16,3,17,15,2,13,4,9,14,2,12
N00000103,253,13,10,3,26,3,14,3,6,21,6,5,3,1,6,30,23,7,30,2,6,14,8,25,19,6,22,20,2,32,17,15,54,4,50
N00000104,163,9,6,3,16,5,9,1,1,8,1,2,0,1,4,21,19,2,20,2,2,10,6,29,24,5,14,12,2,17,7,10,29,2,27
N00000105,163,5,4,1,5,0,3,0,2,9,1,1,1,1,5,13,10,3,18,2,9,4,3,20,13,7,21,20,1,24,15,9,48,12,36
N00000106,67,1,1,0,3,0,1,0,2,1,0,0,1,0,0,9,7,2,9,1,2,4,2,6,5,1,8,7,1,7,4,3,23,0,23
N00000107,93,6,6,0,5,1,1,2,1,4,0,1,0,1,2,11,9,2,14,0,3,9,2,7,6,1,14,14,0,5,4,1,27,2,25
N00000108,108,5,3,2,16,5,6,3,2,11,2,0,1,0,8,15,13,2,9,0,1,5,3,12,8,4,8,5,3,9,4,5,23,2,21
N00000109,264,15,13,2,25,5,15,3,2,8,0,1,2,0,5,33,28,5,37,3,12,9,13,28,20,8,28,24,4,37,23,14,53,1,52
N00000110,133,7,6,1,4,1,2,1,0,8,3,0,0,2,3,20,15,5,17,3,6,5,3,10,7,3,18,16,2,18,9,9,31,2,29
N00000111,182,18,11,7,39,10,15,7,7,14,4,3,1,4,2,20,16,4,23,0,11,6,6,14,12,2,19,15,4,18,4,14,17,1,16
N00000112,201,24,19,5,15,3,9,2,1,13,1,3,1,1,7,22,15,7,20,1,10,7,2,23,21,2,12,11,1,30,5,25,42,1,41
N00000113,160,11,8,3,26,4,12,3,7,7,1,1,2,1,2,21,18,3,16,2,5,6,3,16,11,5,15,15,0,19,9,10,29,7,22
N00000114,169,12,7,5,30,5,18,3,4,17,5,3,1,4,4,23,20,3,16,1,4,7,4,12,7,5,10,10,0,18,9,9,31,1,30
N00000115,119,9,8,1,5,1,1,3,0,10,1,1,2,1,5,12,9,3,18,2,7,5,4,19,18,1,12,11,1,11,6,5,23,4,19
N00000116,132,5,3,2,13,4,4,3,2,6,0,1,0,2,3,18,16,2,17,1,4,4,8,24,15,9,13,11,2,19,9,10,17,6,11
N00000117,46,0,0,0,4,2,2,0,0,2,0,2,0,0,0,5,3,2,6,2,1,0,3,3,3,0,3,3,0,7,6,1,16,1,15
N00000118,166,30,17,13,42,12,8,15,7,22,3,3,0,4,12,13,11,2,13,3,6,2,2,10,8,2,15,8,7,6,4,2,15,3,12
N00000119,120,14,10,4,40,7,11,12,10,6,1,0,0,0,5,25,23,2,12,5,4,0,3,3,3,0,9,9,0,4,2,2,7,1,6
N00000120,145,33,26,7,24,4,6,4,10,12,1,1,1,2,7,21,17,4,15,6,5,1,3,6,3,3,17,13,4,7,2,5,10,0,10
N00000121,126,16,10,6,16,5,5,2,4,10,1,1,1,1,6,21,19,2,12,2,5,4,1,15,9,6,19,14,5,10,3,7,7,2,5
N00000122,247,53,33,20,52,9,20,9,14,36,2,2,1,4,27,31,23,8,19,5,7,4,3,22,12,10,14,13,1,8,1,7,12,3,9
N00000123,157,26,17,9,48,8,13,14,13,27,0,2,1,2,22,22,16,6,12,4,4,2,2,5,4,1,12,10,2,3,0,3,2,0,2
N00000124,162,29,19,10,37,12,5,11,9,15,0,0,1,3,11,20,16,4,21,4,12,3,2,11,7,4,13,10,3,8,4,4,8,2,6
N00000125,215,12,8,4,43,11,15,9,8,11,3,1,0,1,6,25,19,6,62,12,19,28,3,24,18,6,10,8,2,11,4,7,17,5,12
N00000126,207,9,7,2,35,8,7,11,9,17,4,2,0,2,9,24,21,3,61,9,12,32,8,22,15,7,14,14,0,12,6,6,13,4,9
N00000127,177,5,4,1,23,3,6,7,7,9,2,1,0,2,4,22,17,5,48,11,12,21,4,19,17,2,20,18,2,16,7,9,15,7,8
N00000128,485,40,29,11,95,13,38,22,22,27,5,0,0,3,19,48,38,10,131,21,39,63,8,29,21,8,33,29,4,38,13,25,44,11,33
N00000129,102,4,2,2,9,0,7,0,2,3,1,0,0,1,1,10,6,4,28,0,5,17,6,20,17,3,8,8,0,8,5,3,12,0,12
N00000130,279,22,17,5,41,7,9,13,12,29,2,4,2,5,16,63,55,8,35,4,16,7,8,22,18,4,30,27,3,19,9,10,18,2,16
N00000131,212,27,19,8,37,12,10,6,9,19,4,2,0,4,9,36,28,8,29,8,9,7,5,20,15,5,14,12,2,14,7,7,16,1,15
N00000132,187,9,3,6,27,3,7,10,7,17,1,3,1,2,10,29,27,2,55,21,11,19,4,15,15,0,11,9,2,13,2,11,11,4,7
N00000133,145,14,10,4,18,0,9,6,3,14,1,1,1,5,6,22,18,4,35,3,20,8,4,13,9,4,12,11,1,10,3,7,7,1,6
N00000134,241,40,31,9,30,7,7,8,8,25,2,4,0,1,18,55,46,9,29,1,13,11,4,20,16,4,13,11,2,16,4,12,13,0,13
N00000135,127,4,3,1,9,1,2,3,3,8,3,1,1,0,3,20,18,2,14,2,5,5,2,17,13,4,11,8,3,24,15,9,20,5,15
N00000136,277,23,15,8,49,12,11,10,16,35,2,5,2,6,20,55,44,11,33,6,8,11,8,16,9,7,27,23,4,15,8,7,24,2,22
N00000137,159,10,7,3,17,5,5,5,2,12,2,1,1,1,7,42,33,9,24,1,9,8,6,18,13,5,7,7,0,10,3,7,19,3,16
N00000138,251,26,15,11,47,17,15,7,8,20,3,3,2,1,11,62,56,6,31,2,19,9,1,22,18,4,19,17,2,9,5,4,15,0,15
N00000139,130,16,11,5,18,2,5,7,4,7,2,0,1,0,4,26,22,4,14,0,7,2,5,9,9,0,19,16,3,8,3,5,13,3,10
N00000140,142,13,5,8,26,4,6,8,8,12,2,0,0,1,9,25,22,3,11,2,3,4,2,13,11,2,16,13,3,11,6,5,15,1,14
N00000141,153,7,3,4,7,1,3,1,2,7,3,0,2,0,2,23,19,4,17,0,8,3,6,22,13,9,28,23,5,13,9,4,29,3,26
N00000142,74,3,2,1,9,3,3,1,2,6,0,2,2,0,2,10,9,1,14,2,4,7,1,6,5,1,8,6,2,6,2,4,12,1,11
N00000143,80,2,2,0,4,1,2,1,0,5,1,2,0,0,2,11,10,1,14,0,7,3,4,7,7,0,13,12,1,9,5,4,15,0,15
N00000144,92,3,3,0,4,1,1,0,2,7,2,0,0,1,4,9,7,2,15,1,3,4,7,16,13,3,12,9,3,8,3,5,18,4,14
N00000145,34,2,1,1,0,0,0,0,0,3,0,1,0,1,1,4,2,2,4,1,1,2,0,3,3,0,5,4,1,6,0,6,7,0,7
N00000146,132,19,13,6,33,6,9,11,7,11,1,1,0,2,7,17,16,1,13,7,5,0,1,7,6,1,10,10,0,8,6,2,14,10,4
N00000147,92,5,4,1,7,1,2,2,2,5,0,0,0,2,3,18,12,6,13,4,4,3,2,6,4,2,12,11,1,12,7,5,14,3,11
N00000148,278,13,6,7,29,4,8,6,11,17,5,1,2,2,7,45,35,10,37,7,14,11,5,48,38,10,28,22,6,21,8,13,40,9,31
N00000149,175,7,4,3,18,6,3,6,3,19,4,0,2,5,8,37,31,6,31,6,14,7,4,18,16,2,15,11,4,18,10,8,12,3,9
N00000150,135,9,4,5,27,3,8,7,9,16,2,2,2,1,9,31,28,3,20,5,8,5,2,10,7,3,6,6,0,9,3,6,7,0,7
N00000151,111,7,4,3,13,5,4,2,2,5,0,2,0,2,1,17,14,3,22,2,9,6,5,10,9,1,7,7,0,14,7,7,16,4,12
N00000152,100,6,1,5,4,0,1,2,1,6,2,2,2,0,0,17,14,3,16,6,4,4,2,11,10,1,11,10,1,10,5,5,19,3,16
N00000153,70,3,2,1,2,1,0,1,0,3,1,0,1,0,1,13,12,1,13,1,4,7,1,9,8,1,10,7,3,7,4,3,10,1,9
N00000154,111,8,3,5,12,1,8,0,3,10,1,1,2,1,5,21,20,1,24,1,8,10,5,11,7,4,10,10,0,2,1,1,13,3,10
N00000155,166,19,10,9,17,2,8,2,5,17,2,1,1,5,8,25,21,4,31,11,9,4,7,18,10,8,14,12,2,10,7,3,15,7,8
N00000156,128,9,8,1,15,3,5,2,5,21,1,5,1,1,13,26,23,3,18,6,5,4,3,8,7,1,7,7,0,6,5,1,18,3,15
N00000157,183,24,13,11,43,8,9,14,12,7,1,0,0,2,4,29,19,10,39,19,7,9,4,9,6,3,10,9,1,8,3,5,14,4,10
N00000158,253,32,14,18,28,4,8,9,7,26,3,1,3,3,16,40,35,5,45,8,20,11,6,29,21,8,23,19,4,12,4,8,18,4,14
N00000159,83,3,3,0,13,3,1,7,2,10,1,1,1,2,5,13,13,0,14,1,3,4,6,7,6,1,10,10,0,4,2,2,9,1,8
N00000160,132,13,10,3,33,5,10,10,8,12,1,0,4,4,3,21,20,1,14,1,5,4,4,9,9,0,13,13,0,7,7,0,10,1,9
N00000161,165,22,16,6,50,7,16,19,8,18,0,2,0,5,11,22,19,3,14,2,2,3,7,10,9,1,21,18,3,4,4,0,4,1,3
N00000162,123,12,6,6,9,2,3,2,2,10,1,1,1,1,6,22,19,3,14,0,4,8,2,11,7,4,18,15,3,14,6,8,13,0,13
N00000163,107,7,5,2,9,1,4,1,3,7,1,0,1,4,1,18,16,2,18,1,7,4,6,11,8,3,11,9,2,11,8,3,15,2,13
N00000164,136,25,14,11,26,2,4,10,10,19,3,0,0,6,10,18,13,5,18,8,6,2,2,9,8,1,11,8,3,4,2,2,6,2,4
N00000165,140,17,10,7,33,7,11,6,9,11,0,0,0,5,6,27,19,8,26,5,8,8,5,8,7,1,7,7,0,8,3,5,3,0,3
N00000166,106,6,5,1,20,5,7,4,4,13,2,1,2,1,7,24,21,3,8,2,0,4,2,14,13,1,8,7,1,3,2,1,10,1,9
N00000167,175,16,12,4,38,6,7,13,12,14,1,1,0,3,9,38,30,8,18,1,11,3,3,11,6,5,18,17,1,4,4,0,18,2,16
N00000168,159,22,11,11,34,5,11,3,15,10,1,1,0,3,5,30,27,3,17,1,5,6,5,18,15,3,8,6,2,9,2,7,11,2,9
N00000169,370,44,25,19,74,10,22,21,21,25,4,2,1,5,13,55,45,10,74,30,17,20,7,27,21,6,23,18,5,25,10,15,23,4,19
N00000170,170,15,7,8,20,3,5,7,5,12,2,1,2,1,6,19,16,3,28,9,9,7,3,21,15,6,19,16,3,20,8,12,16,1,15
N00000171,216,21,10,11,31,3,13,9,6,20,5,0,2,1,12,40,37,3,45,23,10,8,4,18,10,8,17,14,3,15,6,9,9,5,4
N00000172,388,45,28,17,59,8,14,20,17,31,5,3,2,3,18,65,55,10,71,14,21,15,21,38,31,7,30,23,7,17,6,11,32,8,24
N00000173,185,26,10,16,26,3,6,7,10,15,2,0,0,6,7,34,28,6,44,26,6,8,4,12,9,3,5,4,1,10,4,6,13,6,7
N00000174,168,8,6,2,20,7,5,6,2,14,3,0,0,6,5,19,16,3,21,5,2,8,6,25,21,4,16,12,4,14,7,7,31,6,25
N00000175,199,14,7,7,25,9,5,8,3,26,2,5,1,4,14,30,23,7,24,7,9,4,4,20,19,1,13,11,2,24,8,16,23,2,21
N00000176,211,14,11,3,8,1,3,2,2,17,5,2,3,1,6,28,26,2,29,3,15,2,9,26,19,7,30,22,8,22,7,15,37,3,34
N00000177,134,9,5,4,17,4,4,5,4,8,1,0,0,2,5,14,13,1,15,2,6,4,3,23,13,10,13,11,2,17,6,11,18,2,16
N00000178,256,13,9,4,31,8,7,9,7,19,2,3,7,2,5,37,32,5,25,2,10,5,8,31,25,6,42,39,3,20,7,13,38,2,36
N00000179,344,29,16,13,39,8,15,10,6,32,3,6,5,1,17,60,55,5,31,2,11,10,8,31,22,9,44,35,9,24,8,16,54,12,42
