GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N00001536,126,25,1,1,23,51,18,12,21,26,9,12,5,24,8,14,2
N00001537,128,19,1,0,18,48,5,10,33,25,3,19,3,36,12,23,1
N00001538,128,15,1,1,13,51,7,9,35,25,3,18,4,37,10,27,0
N00001539,116,18,1,3,14,53,8,10,35,26,4,16,6,19,7,9,3
N00001540,136,23,7,3,13,75,14,22,39,14,2,11,1,24,5,18,1
N00001541,118,18,2,0,16,37,10,11,16,26,20,4,2,37,20,16,1
N00001542,121,16,2,3,11,53,14,14,25,13,3,9,1,39,9,30,0
N00001543,133,31,5,4,22,48,12,12,24,14,3,9,2,40,9,29,2
N00001544,115,16,3,4,9,51,18,9,24,13,6,6,1,35,18,17,0
N00001545,139,25,6,4,15,70,21,18,31,21,12,8,1,23,14,9,0
N00001546,125,30,5,9,16,66,18,13,35,15,4,10,1,14,4,9,1
N00001547,156,50,21,16,13,66,34,10,22,23,15,7,1,17,7,9,1
N00001548,179,43,20,14,9,81,56,9,16,26,14,8,4,29,21,8,0
N00001549,167,43,8,8,27,80,39,6,35,26,14,10,2,18,13,4,1
N00001550,108,17,10,3,4,41,21,10,10,26,17,9,0,24,16,8,0
N00001551,151,32,10,12,10,73,26,17,30,26,9,14,3,20,11,8,1
N00001552,156,20,6,3,11,66,14,14,38,27,14,11,2,43,24,19,0
N00001553,162,46,20,12,14,48,32,8,8,15,13,1,1,53,45,7,1
N00001554,151,31,9,9,13,62,25,9,28,25,11,10,4,33,17,16,0
N00001555,112,27,5,1,21,51,12,14,25,14,9,4,1,20,8,12,0
N00001556,96,22,4,8,10,45,17,8,20,12,6,6,0,17,11,6,0
N00001557,124,29,8,3,18,49,16,9,24,17,8,6,3,29,15,13,1
N00001558,106,29,14,6,9,62,27,11,24,7,5,2,0,8,2,5,1
N00001559,149,28,12,10,6,59,26,14,19,24,8,10,6,38,21,17,0
N00001560,101,36,6,12,18,46,7,14,25,9,2,5,2,10,6,4,0
N00001561,100,26,6,8,12,54,23,14,17,8,3,5,0,12,5,7,0
N00001562,110,29,14,8,7,52,21,14,17,15,10,5,0,14,9,5,0
N00001563,109,13,4,2,7,21,10,5,6,11,8,2,1,64,54,10,0
N00001564,140,27,4,4,19,66,17,15,34,18,7,8,3,29,13,14,2
N00001565,143,31,3,6,22,50,18,8,24,25,7,16,2,37,13,24,0
N00001566,141,30,6,3,21,60,15,11,34,22,1,16,5,29,9,19,1
N00001567,105,22,3,2,17,42,9,9,24,13,6,6,1,28,16,12,0
N00001568,107,24,6,3,15,62,10,13,39,6,1,4,1,15,7,8,0
N00001569,124,32,5,9,18,51,12,16,23,14,4,8,2,27,7,19,1
N00001570,418,133,7,11,115,178,42,28,108,66,31,26,9,41,22,17,2
N00001571,144,30,2,1,27,63,9,12,42,29,4,20,5,22,6,15,1
N00001572,126,23,3,1,19,58,9,14,35,29,13,14,2,16,4,12,0
N00001573,154,39,3,1,35,67,16,12,39,33,12,18,3,15,4,11,0
N00001574,118,25,2,1,22,53,17,8,28,19,6,11,2,21,8,12,1
N00001575,110,20,1,4,15,54,9,11,34,20,9,10,1,16,5,11,0
N00001576,124,15,0,2,13,53,7,10,36,37,11,24,2,19,6,12,1
N00001577,123,33,10,3,20,52,6,9,37,21,9,10,2,17,5,12,0
N00001578,114,21,3,6,12,45,8,10,27,28,9,14,5,20,2,17,1
N00001579,140,79,23,52,4,32,13,6,13,11,6,3,2,18,13,5,0
N00001580,158,60,25,32,3,55,22,14,19,19,8,6,5,24,15,9,0
N00001581,111,11,4,6,1,55,11,5,39,16,3,10,3,29,16,12,1
N00001582,107,28,9,16,3,38,13,10,15,21,6,10,5,20,13,7,0
N00001583,125,71,22,46,3,37,18,11,8,6,3,3,0,11,10,1,0
N00001584,107,31,4,25,2,40,21,14,5,8,5,3,0,28,19,8,1
N00001585,136,105,10,93,2,24,11,7,6,2,1,1,0,5,5,0,0
N00001586,142,60,19,37,4,34,14,7,13,6,4,2,0,42,31,11,0
N00001587,142,101,18,74,9,26,10,10,6,1,0,1,0,14,11,3,0
N00001588,135,75,9,55,11,40,19,8,13,10,4,5,1,10,3,7,0
N00001589,118,44,12,27,5,33,14,6,13,12,6,6,0,29,15,14,0
N00001590,147,100,13,84,3,25,9,9,7,5,1,4,0,17,9,8,0
N00001591,128,100,31,65,4,26,18,6,2,1,1,0,0,1,1,0,0
N00001592,140,68,20,37,11,24,6,7,11,8,6,2,0,40,30,9,1
N00001593,194,146,32,99,15,34,16,10,8,10,7,2,1,4,2,2,0
N00001594,142,92,21,60,11,36,22,10,4,5,4,1,0,9,5,4,0
N00001595,108,71,12,55,4,24,7,6,11,8,5,3,0,5,4,1,0
N00001596,126,105,17,82,6,12,2,5,5,1,0,1,0,8,6,2,0
N00001597,111,70,16,45,9,30,12,10,8,4,3,1,0,7,4,2,1
N00001598,139,95,17,72,6,23,5,11,7,5,0,5,0,16,10,6,0
N00001599,149,113,16,90,7,23,11,6,6,6,4,2,0,7,2,5,0
N00001600,134,80,17,59,4,33,12,10,11,6,3,3,0,15,4,10,1
N00001601,109,61,10,48,3,24,7,11,6,6,5,1,0,18,9,9,0
N00001602,145,72,18,50,4,42,11,17,14,9,4,5,0,22,14,8,0
N00001603,158,69,23,42,4,42,34,7,1,15,11,3,1,32,27,5,0
N00001604,146,48,15,19,14,64,30,18,16,12,4,8,0,22,10,12,0
N00001605,138,40,12,16,12,51,21,14,16,18,10,6,2,29,18,11,0
N00001606,104,38,11,21,6,43,23,7,13,8,3,5,0,15,8,7,0
N00001607,132,39,11,18,10,54,21,24,9,15,10,3,2,24,15,8,1
N00001608,123,43,17,14,12,41,16,11,14,20,8,12,0,19,14,5,0
N00001609,121,48,13,17,18,48,22,13,13,15,7,8,0,10,6,4,0
N00001610,125,40,14,17,9,67,36,14,17,12,7,4,1,6,5,1,0
N00001611,138,31,6,7,18,63,21,8,34,19,6,11,2,25,20,5,0
N00001612,130,29,7,1,21,53,14,7,32,15,8,5,2,33,22,11,0
N00001613,301,104,18,38,48,115,31,41,43,27,15,10,2,55,38,15,2
N00001614,132,54,14,20,20,38,16,10,12,19,14,5,0,21,16,5,0
N00001615,146,30,9,13,8,58,19,13,26,14,7,6,1,44,21,23,0
N00001616,146,41,16,8,17,66,26,15,25,11,8,2,1,28,14,14,0
N00001617,133,57,17,34,6,50,22,18,10,8,5,3,0,18,11,7,0
N00001618,119,38,11,14,13,48,17,14,17,13,10,2,1,20,14,6,0
N00001619,160,26,10,8,8,41,12,12,17,21,8,12,1,72,55,17,0
