GeographyCode,QS104NI0001,QS104NI0002,QS104NI0003,QS104NI0004,QS104NI0005,QS104NI0006,QS104NI0007,QS104NI0008,QS104NI0009,QS104NI0010,QS104NI0011,QS104NI0012,QS104NI0013,QS104NI0014,QS104NI0015,QS104NI0016,QS104NI0017,QS104NI0018,QS104NI0019,QS104NI0020
N00000065,389,13,15,30,26,26,17,17,17,25,19,34,45,32,29,27,9,5,2,1
N00000066,264,12,10,8,10,14,19,10,21,11,8,22,19,33,33,13,13,6,1,1
N00000067,316,28,14,25,23,23,23,23,27,20,18,19,17,20,19,8,7,2,0,0
N00000068,371,19,23,29,34,21,11,17,20,34,23,27,25,31,22,14,14,4,2,1
N00000069,334,35,26,30,33,32,18,22,22,19,20,16,16,11,13,11,5,3,2,0
N00000070,243,5,9,6,19,8,7,9,8,13,10,23,20,24,34,16,11,12,6,3
N00000071,283,17,6,5,6,11,26,13,18,14,24,12,19,22,25,17,16,19,11,2
N00000072,1753,154,152,131,107,84,144,162,212,177,123,91,49,54,43,24,24,15,7,0
N00000073,521,23,13,15,13,30,55,45,33,25,27,21,23,34,28,30,34,29,23,20
N00000074,1047,127,80,68,40,39,115,140,126,102,60,49,27,28,20,18,6,1,1,0
N00000075,410,15,18,21,41,68,36,22,26,29,28,18,15,21,16,14,8,5,6,3
N00000076,344,34,24,20,33,19,7,16,27,47,32,21,7,11,12,9,17,5,1,2
N00000077,275,12,10,25,19,24,14,11,19,18,30,22,14,19,9,7,10,8,2,2
N00000078,488,48,59,43,30,19,18,40,75,59,37,16,8,8,10,9,1,4,4,0
N00000079,564,40,42,51,43,31,18,19,42,58,54,47,31,26,15,23,9,12,3,0
N00000080,424,27,33,35,30,23,11,15,31,45,45,37,25,25,13,14,8,5,2,0
N00000081,339,19,15,20,28,9,14,15,21,28,42,30,20,14,22,17,11,5,4,5
N00000082,342,8,23,28,19,22,17,10,10,35,19,33,26,28,27,17,8,6,5,1
N00000083,650,29,42,66,55,39,17,28,60,66,68,46,35,41,27,12,7,7,2,3
N00000084,456,30,26,40,34,23,11,16,24,44,52,29,29,30,30,16,11,6,4,1
N00000085,437,33,24,25,20,32,28,26,28,26,38,20,24,17,24,18,14,17,9,14
N00000086,395,38,30,30,25,31,36,30,25,22,38,26,16,15,14,6,7,4,1,1
N00000087,913,72,62,86,66,49,48,57,61,70,87,72,48,39,30,33,19,11,2,1
N00000088,216,3,3,12,8,12,7,8,10,24,10,13,5,15,18,26,13,12,9,8
N00000089,478,49,31,39,37,24,33,42,37,40,39,25,21,21,13,9,10,4,4,0
N00000090,392,19,27,41,31,27,21,28,21,46,39,17,26,10,15,7,7,6,2,2
N00000091,476,42,55,25,18,36,43,33,36,38,41,29,15,19,24,10,6,3,0,3
N00000092,504,42,36,47,27,24,12,29,28,50,44,31,36,23,28,13,16,10,7,1
N00000093,421,21,21,31,35,29,19,12,20,21,38,25,29,27,24,18,22,16,10,3
N00000094,492,22,31,41,32,30,30,20,37,37,38,43,28,29,26,16,15,11,4,2
N00000095,468,31,49,27,35,38,19,22,27,36,44,30,22,32,15,17,10,9,4,1
N00000096,464,17,18,20,33,34,18,29,17,33,42,34,41,49,27,19,17,9,6,1
N00000097,850,88,63,65,59,57,73,108,78,73,51,34,38,25,13,10,8,4,1,2
N00000098,1192,137,74,51,73,64,136,169,136,72,61,60,42,36,36,19,17,5,4,0
N00000099,258,16,20,14,19,13,20,15,19,15,17,16,22,14,9,7,9,8,4,1
N00000100,341,24,21,16,14,26,34,31,25,16,33,14,22,19,15,8,12,5,5,1
N00000101,282,43,23,18,22,29,35,20,16,19,15,10,14,9,3,3,3,0,0,0
N00000102,318,26,17,19,24,22,11,25,28,19,31,24,19,20,17,8,2,2,4,0
N00000103,623,67,58,37,26,40,60,60,42,53,28,36,31,31,13,18,10,4,7,2
N00000104,322,40,26,19,18,21,43,29,36,22,17,17,15,10,7,0,2,0,0,0
N00000105,327,16,12,19,19,31,32,15,18,22,20,27,13,26,20,15,12,7,2,1
N00000106,198,11,13,22,11,12,7,21,25,11,10,8,8,15,11,4,8,1,0,0
N00000107,269,27,21,19,13,23,21,22,19,14,18,8,15,17,11,11,8,2,0,0
N00000108,243,8,16,12,12,10,14,10,13,13,23,16,12,17,18,13,16,12,6,2
N00000109,512,54,27,17,21,43,53,77,40,33,32,21,14,14,20,22,13,8,3,0
N00000110,258,12,15,9,17,22,23,15,19,21,28,18,11,12,13,12,6,4,1,0
N00000111,356,23,22,25,20,17,31,21,15,23,27,28,24,25,24,15,8,7,1,0
N00000112,402,26,35,34,38,33,21,27,41,39,30,23,17,13,12,10,3,0,0,0
N00000113,309,24,20,24,14,16,27,29,26,19,17,19,25,28,11,3,5,2,0,0
N00000114,318,20,9,28,13,24,22,17,19,22,27,25,20,28,32,9,1,0,2,0
N00000115,302,31,16,11,23,28,22,20,22,17,22,20,13,20,13,6,14,3,0,1
N00000116,287,21,22,19,18,21,36,21,17,20,16,20,9,18,17,9,3,0,0,0
N00000117,168,16,8,13,14,13,16,11,9,10,7,15,9,10,5,7,2,1,1,1
N00000118,333,7,13,19,19,12,30,12,22,14,19,33,24,36,16,22,24,5,6,0
N00000119,289,17,5,13,17,11,10,9,12,11,20,22,29,33,22,26,19,9,2,2
N00000120,323,11,9,20,29,12,13,9,11,17,36,21,16,39,21,21,19,11,6,2
N00000121,293,21,12,11,19,19,17,14,28,22,13,14,13,22,30,23,9,6,0,0
N00000122,481,34,29,28,25,15,17,33,44,29,36,40,27,45,38,19,10,9,3,0
N00000123,351,13,21,24,21,15,8,8,20,18,43,31,20,23,29,23,18,9,7,0
N00000124,369,22,10,8,10,13,18,21,25,24,25,13,28,34,32,20,15,16,21,14
N00000125,464,34,36,41,40,26,27,30,22,45,37,29,22,23,16,10,9,5,6,6
N00000126,481,41,47,34,47,37,27,27,27,40,38,26,14,17,17,13,9,10,9,1
N00000127,405,44,43,26,24,29,21,33,34,25,26,26,14,11,22,6,7,10,4,0
N00000128,991,69,63,70,76,96,80,69,57,55,73,82,66,40,39,23,13,11,5,4
N00000129,346,30,27,29,29,23,24,24,21,22,13,25,21,27,14,8,7,1,1,0
N00000130,498,38,40,56,45,32,21,29,42,57,60,40,6,7,4,4,4,5,7,1
N00000131,388,12,24,26,29,26,16,19,21,23,38,35,35,40,15,14,5,7,2,1
N00000132,366,22,20,22,30,22,21,12,15,23,34,32,18,23,29,13,10,9,9,2
N00000133,322,20,17,10,11,23,24,17,17,25,19,26,16,23,15,22,14,14,5,4
N00000134,437,33,23,26,27,35,26,21,31,33,43,43,14,24,25,15,14,3,1,0
N00000135,312,13,29,22,20,26,17,22,13,21,30,20,16,12,17,13,4,11,3,3
N00000136,507,27,34,37,36,36,25,32,30,50,45,45,40,20,20,14,7,8,1,0
N00000137,315,16,15,27,24,18,12,17,16,34,29,26,23,11,11,9,10,6,8,3
N00000138,464,30,42,38,40,27,12,16,30,62,46,59,27,13,8,8,3,3,0,0
N00000139,301,8,10,8,13,19,19,9,18,22,19,20,22,31,21,17,19,11,10,5
N00000140,333,7,13,8,17,20,17,20,19,20,26,25,28,26,22,29,14,15,4,3
N00000141,443,19,19,29,28,24,25,20,27,29,37,27,18,19,22,20,31,23,15,11
N00000142,205,16,11,11,9,8,13,13,7,11,13,14,15,20,15,8,7,4,7,3
N00000143,215,9,11,11,9,8,17,18,14,13,16,20,9,6,19,12,13,5,5,0
N00000144,228,18,8,9,13,18,24,24,8,12,16,14,15,12,15,7,10,5,0,0
N00000145,124,3,3,3,9,6,3,7,5,7,4,5,11,9,7,11,14,9,6,2
N00000146,271,7,8,15,24,14,19,8,9,17,21,31,24,11,17,12,12,11,9,2
N00000147,227,22,11,9,11,18,20,14,7,21,10,23,13,11,8,5,9,9,6,0
N00000148,676,60,67,43,38,41,61,62,65,37,31,28,34,33,37,14,10,8,4,3
N00000149,432,37,27,18,23,18,29,40,30,27,21,22,19,23,23,26,21,19,4,5
N00000150,365,23,16,30,19,9,15,17,18,26,27,29,20,27,33,25,14,7,9,1
N00000151,283,11,10,15,13,19,13,20,17,20,23,18,17,23,18,16,13,9,8,0
N00000152,270,11,9,20,12,13,19,19,14,21,20,12,12,29,24,16,12,5,2,0
N00000153,250,20,16,12,12,7,16,17,17,18,10,13,12,14,20,14,20,8,1,3
N00000154,259,14,11,17,17,12,12,12,16,30,15,22,21,12,17,12,7,6,1,5
N00000155,337,14,14,21,22,24,19,17,15,34,25,29,32,19,16,14,12,3,2,5
N00000156,301,14,19,17,18,9,2,8,20,29,38,18,14,13,24,22,20,12,4,0
N00000157,368,21,17,22,18,26,16,11,27,28,37,20,32,20,27,21,13,7,2,3
N00000158,678,51,41,37,37,29,37,26,47,37,41,40,51,68,62,40,20,6,3,5
N00000159,221,5,7,6,8,17,14,10,3,9,12,23,16,14,23,23,12,8,10,1
N00000160,322,23,12,7,18,19,17,12,15,24,15,21,22,28,29,18,17,8,8,9
N00000161,342,10,11,21,27,20,7,10,12,17,31,37,36,44,22,10,15,11,1,0
N00000162,242,9,6,8,9,15,16,21,18,11,16,20,32,13,15,13,14,4,1,1
N00000163,311,13,12,15,19,15,22,20,17,24,24,24,14,28,22,14,12,10,5,1
N00000164,288,8,16,21,4,16,10,8,18,17,21,27,14,18,24,18,22,12,10,4
N00000165,325,20,14,19,16,15,14,13,25,24,23,17,25,26,25,16,18,6,3,6
N00000166,273,13,9,5,12,9,16,21,8,6,26,21,20,34,31,16,16,6,1,3
N00000167,379,19,10,30,24,18,15,18,21,28,27,22,29,32,29,18,20,12,5,2
N00000168,345,14,15,22,15,18,12,14,26,21,24,19,21,40,28,23,18,11,4,0
N00000169,704,26,31,44,44,37,31,29,30,45,67,67,53,49,62,40,22,16,9,2
N00000170,370,20,28,32,21,14,34,21,24,30,29,22,23,19,23,10,10,6,2,2
N00000171,416,15,23,38,30,19,20,17,16,39,44,41,32,28,17,18,8,8,3,0
N00000172,772,38,39,48,40,37,51,37,43,55,67,59,51,53,64,48,20,11,5,6
N00000173,373,17,20,20,14,24,17,20,25,20,26,27,19,47,31,19,15,7,4,1
N00000174,393,32,29,26,25,20,32,27,24,27,34,17,26,31,9,6,15,8,4,1
N00000175,373,28,29,20,16,24,24,23,33,38,28,23,16,23,19,14,7,5,3,0
N00000176,474,24,23,22,30,49,34,29,18,28,29,35,33,50,24,17,12,9,4,4
N00000177,323,25,6,12,16,30,27,22,19,18,21,29,18,16,20,15,15,8,4,2
N00000178,667,31,26,33,43,48,44,42,27,39,54,37,32,39,41,34,45,32,13,7
N00000179,852,50,22,24,41,70,78,72,67,54,51,47,34,45,41,39,39,46,25,7
N00000180,280,18,15,18,14,21,14,21,24,22,16,14,18,13,15,12,9,8,7,1
N00000181,274,3,0,8,11,27,40,19,20,17,16,20,18,16,17,18,8,9,6,1
N00000182,228,23,6,8,5,14,18,31,14,10,12,9,3,12,15,10,18,16,3,1
N00000183,293,20,15,16,17,21,33,18,14,13,24,32,19,21,20,3,1,5,1,0
N00000184,372,14,18,7,14,30,30,27,25,14,14,23,17,16,18,16,18,20,25,26
N00000185,211,4,2,3,9,13,10,8,2,7,10,14,20,24,21,14,19,15,10,6
N00000186,299,19,31,21,18,17,30,17,20,21,30,14,8,8,6,11,14,6,8,0
N00000187,255,19,9,19,12,12,15,16,20,18,13,18,15,18,16,7,8,11,6,3
N00000188,347,26,24,20,33,19,34,21,25,25,23,16,14,13,21,14,12,6,0,1
N00000189,341,15,30,28,24,17,16,9,23,43,25,31,20,15,17,12,5,6,3,2
N00000190,304,6,18,19,17,14,18,13,15,26,19,23,25,34,31,15,8,3,0,0
N00000191,303,14,8,11,20,16,17,13,14,21,18,30,22,33,27,16,15,8,0,0
N00000192,302,21,13,11,19,25,24,31,20,19,18,17,20,28,20,6,3,4,1,2
N00000193,291,26,20,24,28,28,18,17,24,17,15,16,14,13,7,7,6,4,4,3
N00000194,255,18,15,13,5,13,14,16,14,21,7,17,20,24,13,19,11,9,4,2
N00000195,246,13,8,10,9,15,10,13,15,11,11,10,24,17,17,12,26,15,4,6
N00000196,237,10,9,18,13,10,11,12,12,8,16,18,17,18,20,16,12,10,6,1
N00000197,326,25,20,23,22,14,22,26,25,28,26,27,20,21,17,3,5,1,1,0
N00000198,287,23,13,14,12,24,15,35,14,14,26,23,20,18,19,11,5,0,1,0
N00000199,350,17,23,30,19,13,21,27,22,39,32,21,18,30,15,13,7,3,0,0
N00000200,331,31,23,19,15,12,27,31,20,27,25,18,27,31,11,6,1,2,5,0
N00000201,294,20,9,7,10,9,19,16,16,17,11,21,25,32,30,24,12,9,6,1
N00000202,304,12,12,14,15,15,9,10,12,14,18,30,36,38,30,25,11,2,0,1
N00000203,334,11,13,24,16,15,18,15,15,23,23,34,16,26,29,18,17,12,4,5
N00000204,393,24,22,14,21,19,26,26,23,27,30,23,25,26,21,18,11,16,10,11
N00000205,303,17,21,20,17,24,10,17,19,26,24,24,22,24,14,7,6,5,4,2
N00000206,390,20,14,10,7,23,42,40,19,31,31,24,25,34,24,16,15,12,3,0
N00000207,253,11,6,10,13,21,17,13,21,22,26,19,21,24,13,6,2,3,4,1
N00000208,316,17,14,9,21,18,18,17,17,15,33,27,25,32,20,12,6,9,5,1
N00000209,356,16,12,24,37,32,16,8,19,22,34,43,39,27,10,9,2,5,1,0
N00000210,383,18,14,12,12,29,20,21,25,19,26,27,27,29,30,28,12,17,12,5
N00000211,528,27,18,20,16,19,16,22,37,30,30,35,25,51,51,40,37,25,21,8
N00000212,175,4,9,11,11,8,15,7,11,18,16,4,10,15,13,5,5,6,3,4
N00000213,281,10,8,9,11,13,22,21,18,14,14,20,25,30,22,14,11,11,4,4
N00000214,323,20,22,16,9,18,18,15,23,25,17,32,15,26,23,14,8,10,5,7
N00000215,400,16,23,19,29,26,15,17,21,20,27,35,33,37,41,15,9,7,6,4
N00000216,397,18,15,21,26,20,26,26,30,22,27,37,36,28,26,17,16,3,2,1
N00000217,479,17,14,37,36,20,13,10,17,24,36,44,40,50,42,25,16,22,9,7
N00000218,361,13,25,25,20,10,8,7,12,27,18,40,18,30,44,18,20,15,7,4
N00000219,245,14,23,8,14,18,18,16,9,14,18,19,17,18,14,9,10,6,0,0
N00000220,284,26,18,19,27,22,25,13,18,28,27,13,13,14,10,6,4,0,0,1
N00000221,262,16,16,22,14,13,22,10,15,18,25,25,20,15,15,6,6,3,1,0
N00000222,298,18,17,20,11,9,11,16,22,28,13,17,21,14,22,20,16,12,10,1
N00000223,319,13,10,24,29,18,7,8,12,31,43,22,15,16,25,17,12,9,7,1
N00000224,243,18,8,11,14,17,5,11,22,19,14,16,15,19,21,15,8,5,4,1
N00000225,147,0,4,4,6,4,1,1,3,8,8,9,5,14,18,19,13,12,11,7
N00000226,261,7,8,12,20,19,6,10,13,9,16,25,15,23,21,22,17,7,8,3
N00000227,195,9,5,7,6,4,8,8,11,14,11,13,18,25,16,15,15,2,3,5
N00000228,306,15,9,17,13,16,13,17,10,21,18,19,23,25,26,28,17,10,8,1
N00000229,395,20,9,17,32,20,10,14,19,32,33,30,19,25,28,15,22,21,15,14
N00000230,293,18,28,26,15,25,14,20,20,15,23,19,12,18,21,10,3,4,2,0
N00000231,324,45,35,21,28,26,34,19,17,18,19,15,4,12,9,13,5,3,1,0
N00000232,309,21,13,20,25,18,27,22,29,18,21,13,15,11,26,15,5,5,4,1
N00000233,258,15,12,7,9,23,17,28,13,20,19,12,20,13,17,9,9,11,3,1
N00000234,256,14,15,17,10,17,20,26,16,21,9,8,15,17,25,11,5,9,0,1
N00000235,323,24,16,22,19,28,18,15,8,16,22,17,15,30,33,23,11,4,2,0
N00000236,291,30,17,26,27,16,16,22,14,23,27,22,12,16,9,5,3,3,1,2
N00000237,416,24,26,37,31,15,10,10,32,45,37,33,26,23,22,22,12,9,2,0
N00000238,306,14,11,11,15,12,12,8,14,19,14,30,30,37,24,24,22,4,4,1
N00000239,254,18,14,21,13,16,17,15,19,18,19,16,14,17,14,9,7,1,4,2
N00000240,354,29,40,37,34,25,24,29,29,28,26,19,14,10,4,4,0,1,1,0
N00000241,424,21,27,39,47,22,6,7,23,40,52,41,37,24,14,11,9,3,1,0
N00000242,360,15,26,32,35,18,10,15,17,45,31,33,20,25,20,12,4,0,1,1
N00000243,265,10,17,15,19,12,14,21,15,11,17,20,25,13,17,18,10,6,3,2
N00000244,275,23,17,18,18,19,13,15,23,18,16,18,17,18,18,10,8,4,2,0
N00000245,314,19,15,15,14,14,25,11,26,20,25,21,18,24,35,13,10,7,2,0
N00000246,309,26,20,14,21,13,18,21,22,17,14,21,22,23,16,23,14,1,3,0
N00000247,309,14,19,15,14,18,13,9,10,25,28,26,31,14,36,19,10,4,3,1
N00000248,337,14,19,23,20,17,11,15,18,26,20,29,34,42,26,11,6,3,3,0
N00000249,386,34,34,26,25,24,30,23,38,34,29,28,23,12,13,7,2,3,1,0
N00000250,401,35,15,21,29,15,20,43,37,31,35,18,37,19,15,6,10,10,3,2
N00000251,456,36,46,54,37,19,21,40,36,58,40,29,10,10,11,6,2,0,0,1
N00000252,345,12,26,29,29,17,10,12,24,20,39,28,17,25,15,18,13,4,5,2
N00000253,499,28,26,27,31,35,34,24,27,32,43,42,35,33,27,24,14,9,5,3
N00000254,315,8,19,22,21,18,9,11,19,23,32,32,27,25,17,11,4,9,4,4
N00000255,351,15,20,23,16,22,24,12,17,16,29,33,29,24,24,16,16,11,3,1
N00000256,780,45,37,46,44,39,32,42,49,44,62,64,55,68,43,45,28,19,12,6
N00000257,447,32,21,29,28,22,23,35,34,29,38,34,22,17,21,14,11,16,11,10
N00000258,379,12,16,47,29,18,7,9,17,28,38,41,26,20,25,16,13,10,6,1
N00000259,465,25,33,30,29,21,28,22,38,38,33,41,38,35,26,16,7,4,0,1
N00000260,560,55,49,28,32,30,37,35,54,41,35,23,22,30,40,18,13,9,5,4
N00000261,561,39,55,39,36,26,27,37,41,47,40,29,32,41,31,17,14,5,5,0
N00000262,419,28,33,31,26,13,15,28,26,34,39,29,26,24,22,7,15,16,4,3
N00000263,239,9,10,18,15,17,14,15,12,22,22,15,13,14,12,16,5,8,2,0
N00000264,566,46,45,56,43,43,41,33,41,28,40,48,32,28,17,15,4,4,1,1
N00000265,351,14,16,17,34,23,16,24,12,32,27,24,17,30,19,19,12,8,5,2
N00000266,328,17,28,21,28,22,18,13,16,30,33,24,18,19,12,14,7,7,0,1
N00000267,431,4,22,41,41,21,13,11,16,38,40,32,41,39,32,17,9,10,3,1
N00000268,384,21,19,20,26,26,19,21,22,30,23,25,26,42,38,10,8,3,4,1
N00000269,347,12,15,20,22,27,12,3,18,21,29,38,24,35,25,11,11,19,4,1
N00000270,371,24,11,21,18,18,19,16,18,31,26,29,34,24,31,15,18,10,4,4
N00000271,380,21,26,23,26,14,10,17,23,33,41,32,25,23,18,17,13,13,4,1
N00000272,295,10,23,11,12,9,12,16,16,20,25,20,23,29,22,14,9,14,4,6
N00000273,460,20,25,53,31,12,18,12,23,33,59,36,33,26,30,13,17,16,2,1
N00000274,468,34,27,24,17,25,22,27,34,26,30,43,36,49,32,9,10,15,2,6
N00000275,291,9,14,22,18,17,14,12,13,22,28,20,15,44,17,10,8,4,4,0
N00000276,315,27,22,19,19,14,12,24,28,30,28,18,22,17,19,4,6,4,2,0
N00000277,310,18,21,31,23,18,14,15,28,41,29,25,20,10,6,1,8,2,0,0
N00000278,304,29,18,20,17,19,18,20,22,28,27,22,17,14,12,7,5,2,5,2
N00000279,181,17,16,9,4,14,15,37,21,18,5,4,4,6,5,3,2,0,1,0
N00000280,392,49,43,33,21,22,38,38,40,22,29,25,6,10,3,2,7,3,1,0
N00000281,349,10,10,17,26,25,14,10,12,21,31,32,26,28,21,15,12,13,13,13
N00000282,364,12,21,27,22,24,22,11,19,29,25,33,27,22,20,23,13,5,5,4
N00000283,346,20,17,35,13,17,15,26,25,25,32,21,22,19,21,21,6,7,3,1
N00000284,382,38,36,27,31,17,26,28,25,39,24,16,20,17,12,13,4,7,1,1
N00000285,322,33,32,37,19,19,38,24,20,23,22,19,11,11,4,5,5,0,0,0
N00000286,271,13,13,16,16,8,16,17,14,12,20,27,17,30,19,13,11,3,5,1
N00000287,297,23,19,15,11,18,30,21,20,16,17,16,14,19,15,14,8,11,7,3
N00000288,353,38,21,15,20,16,35,24,21,31,24,27,9,22,22,13,10,3,2,0
N00000289,496,50,31,31,27,23,66,43,33,33,33,29,17,21,21,16,8,7,4,3
N00000290,271,19,21,17,11,10,10,22,17,17,18,20,14,18,26,12,9,4,2,4
N00000291,512,41,33,21,21,36,33,43,33,39,30,32,34,43,31,21,11,4,4,2
N00000292,731,76,62,59,39,22,22,40,87,80,50,28,29,41,33,25,16,12,7,3
N00000293,522,52,57,45,30,20,20,36,70,59,42,28,24,14,6,8,6,4,0,1
N00000294,405,20,20,22,22,29,18,16,21,26,36,29,34,21,35,20,9,8,6,13
N00000295,421,16,29,26,24,18,15,18,22,35,24,19,27,26,24,16,22,24,11,25
N00000296,287,22,14,19,19,13,17,25,25,19,21,15,23,21,17,9,3,0,5,0
N00000297,371,17,15,11,15,21,18,20,17,28,22,30,34,26,22,7,14,12,21,21
N00000298,335,21,25,28,26,18,16,26,28,26,33,24,29,22,9,1,1,1,1,0
N00000299,324,21,24,11,12,12,29,27,17,22,23,13,21,23,12,26,18,8,3,2
N00000300,296,19,14,16,16,14,22,18,24,16,19,20,19,14,18,13,13,9,11,1
N00000301,366,36,37,31,22,12,12,29,48,43,36,14,19,11,6,5,4,1,0,0
N00000302,363,25,17,26,37,19,10,25,20,30,45,25,17,23,20,9,8,5,2,0
N00000303,318,28,24,23,19,14,9,24,32,33,21,22,17,23,7,9,7,4,1,1
