GeographyCode,QS606NI0001,QS606NI0002,QS606NI0003,QS606NI0004,QS606NI0005,QS606NI0006,QS606NI0007,QS606NI0008,QS606NI0009,QS606NI0010,QS606NI0011,QS606NI0012,QS606NI0013,QS606NI0014,QS606NI0015,QS606NI0016,QS606NI0017,QS606NI0018,QS606NI0019,QS606NI0020,QS606NI0021,QS606NI0022,QS606NI0023,QS606NI0024,QS606NI0025,QS606NI0026,QS606NI0027,QS606NI0028,QS606NI0029,QS606NI0030,QS606NI0031,QS606NI0032,QS606NI0033,QS606NI0034,QS606NI0035,QS606NI0036,QS606NI0037,QS606NI0038,QS606NI0039,QS606NI0040,QS606NI0041,QS606NI0042,QS606NI0043,QS606NI0044,QS606NI0045,QS606NI0046,QS606NI0047,QS606NI0048,QS606NI0049,QS606NI0050,QS606NI0051
N00000011,214,9,1,8,3,3,2,0,35,20,20,0,0,0,9,6,28,18,2,6,2,7,3,3,0,4,4,0,21,13,8,7,1,41,16,18,0,4,1,1,1,49,3,2,8,32,4,10,7,3,14
N00000012,207,4,2,2,1,1,0,0,31,15,15,0,0,0,6,10,27,14,7,4,2,10,4,3,1,6,6,0,31,20,11,10,1,49,17,24,3,5,0,0,0,39,4,2,8,25,0,7,6,1,9
N00000013,197,12,2,10,3,5,2,0,29,17,13,1,2,1,9,3,33,21,3,7,2,12,5,5,0,7,6,1,20,12,8,7,1,32,12,13,1,3,0,3,0,33,4,4,8,17,0,15,6,9,11
N00000014,359,18,2,16,6,9,1,0,62,38,30,4,2,2,12,12,43,28,5,7,3,26,8,8,0,18,17,1,42,27,15,12,3,78,34,23,3,12,0,5,1,54,6,3,22,23,0,16,11,5,20
N00000015,170,0,0,0,0,0,0,0,26,17,14,0,3,0,4,5,18,10,5,3,0,9,2,2,0,7,7,0,21,14,7,7,0,28,7,17,0,2,1,1,0,45,6,9,7,23,0,13,8,5,10
N00000016,172,4,0,4,2,2,0,0,26,14,12,1,1,0,7,5,28,14,7,5,2,11,4,4,0,7,6,1,15,7,8,5,3,34,8,16,2,6,1,1,0,38,2,4,10,22,0,9,2,7,7
N00000017,244,12,4,8,4,3,1,0,29,18,13,4,1,0,6,5,33,18,6,6,3,14,2,2,0,12,12,0,24,12,12,11,1,55,23,17,4,8,0,3,0,48,7,5,10,25,1,16,9,7,13
N00000018,165,8,1,7,5,0,2,0,31,18,16,1,0,1,7,6,21,18,2,1,0,5,0,0,0,5,4,1,17,13,4,4,0,27,15,5,3,3,0,1,0,37,6,3,17,11,0,3,0,3,16
N00000019,201,4,0,4,4,0,0,0,17,10,10,0,0,0,4,3,24,10,8,5,1,9,1,1,0,8,8,0,26,16,10,7,3,42,11,20,2,7,0,2,0,57,3,8,16,30,0,13,10,3,9
N00000020,158,0,0,0,0,0,0,0,25,15,14,1,0,0,5,5,26,15,6,4,1,2,0,0,0,2,2,0,16,7,9,9,0,34,10,18,0,4,1,1,0,42,3,9,8,22,0,12,7,5,1
N00000021,198,12,4,8,5,3,0,0,29,13,13,0,0,0,9,7,27,11,5,8,3,10,3,3,0,7,7,0,19,11,8,7,1,43,6,25,3,6,0,2,1,42,0,4,10,26,2,8,4,4,8
N00000022,191,3,0,3,2,0,1,0,24,13,12,1,0,0,3,8,25,8,10,6,1,12,2,2,0,10,10,0,9,5,4,3,1,47,17,20,2,6,1,1,0,43,4,1,23,15,0,12,9,3,16
N00000023,160,4,0,4,1,3,0,0,16,11,7,3,1,0,5,0,14,8,2,4,0,5,0,0,0,5,4,1,31,17,14,9,5,38,7,19,2,7,0,1,2,39,2,2,14,21,0,8,6,2,5
N00000024,379,43,9,34,14,10,8,2,93,64,47,7,8,2,19,10,45,31,11,3,0,62,16,14,2,46,35,11,25,14,11,10,1,36,14,11,1,5,2,3,0,20,6,0,6,8,0,10,4,6,45
N00000025,347,29,7,22,12,4,5,1,81,44,34,3,4,3,21,16,35,24,9,2,0,58,14,14,0,44,30,14,25,7,18,17,1,36,10,14,1,5,0,6,0,42,4,3,16,19,0,14,10,4,27
N00000026,356,30,5,25,15,5,3,2,88,63,50,7,6,0,20,5,50,28,12,6,4,61,24,23,1,37,22,15,21,9,12,9,3,25,8,10,1,4,0,2,0,29,5,2,12,10,0,8,7,1,44
N00000027,380,24,3,21,12,4,5,0,77,42,34,4,3,1,22,13,61,43,12,6,0,65,16,13,3,49,24,25,21,13,8,8,0,46,12,17,3,5,0,9,0,32,5,2,13,9,3,21,17,4,33
N00000028,184,7,3,4,3,1,0,0,36,23,20,2,1,0,11,2,29,21,3,5,0,16,3,3,0,13,13,0,10,7,3,3,0,24,9,6,3,0,1,4,1,28,5,1,16,6,0,8,2,6,26
N00000029,304,37,7,30,16,4,7,3,54,31,27,2,2,0,14,9,49,32,15,2,0,55,22,16,6,33,18,15,24,11,13,13,0,28,6,12,4,4,1,1,0,22,5,0,10,7,0,3,0,3,32
N00000030,277,16,5,11,8,3,0,0,67,43,32,4,7,0,11,13,39,26,10,3,0,49,7,3,4,42,27,15,15,10,5,5,0,37,12,12,2,2,3,6,0,22,2,1,12,5,2,8,5,3,24
N00000031,489,47,11,36,20,11,4,1,112,75,67,6,2,0,18,19,48,32,10,3,3,85,17,16,1,68,48,20,28,11,17,16,1,49,12,16,1,10,0,7,3,43,7,3,21,12,0,26,16,10,51
N00000032,270,21,5,16,13,3,0,0,56,36,30,6,0,0,9,11,39,23,6,10,0,41,9,8,1,32,31,1,20,7,13,12,1,32,7,13,1,8,0,2,1,29,4,6,14,5,0,7,4,3,25
N00000033,361,30,2,28,16,9,3,0,71,48,38,8,1,1,12,11,44,23,10,9,2,65,15,14,1,50,31,19,28,7,21,20,1,49,12,19,4,6,1,5,2,38,4,5,21,8,0,6,5,1,30
N00000034,322,27,4,23,14,7,1,1,76,51,40,3,7,1,16,9,38,22,3,12,1,34,16,15,1,18,17,1,29,10,19,15,4,44,16,14,2,6,0,4,2,34,3,5,9,17,0,16,12,4,24
N00000035,222,9,2,7,3,3,1,0,29,18,15,1,2,0,8,3,26,16,4,4,2,15,2,2,0,13,12,1,23,12,11,10,1,40,11,21,2,4,1,1,0,47,4,5,13,24,1,20,10,10,13
N00000036,260,23,6,17,14,2,1,0,53,29,23,3,3,0,13,11,35,24,4,6,1,23,4,4,0,19,18,1,9,3,6,6,0,33,7,15,4,3,1,2,1,43,6,4,19,14,0,15,10,5,26
N00000037,212,9,1,8,4,2,2,0,43,23,20,3,0,0,12,8,37,23,7,7,0,14,5,5,0,9,8,1,17,7,10,7,3,30,8,15,1,3,0,3,0,30,8,3,7,11,1,18,11,7,14
N00000038,284,18,6,12,6,4,2,0,60,33,27,3,2,1,12,15,29,22,6,1,0,39,8,8,0,31,19,12,24,18,6,6,0,42,12,15,1,5,0,7,2,23,3,3,10,7,0,15,10,5,34
N00000039,826,42,12,30,18,12,0,0,173,96,83,11,1,1,38,39,124,75,37,12,0,71,22,22,0,49,46,3,61,33,28,24,4,139,46,50,8,14,2,14,5,84,19,7,28,30,0,32,14,18,100
N00000040,201,3,0,3,0,2,1,0,20,11,9,1,1,0,6,3,34,25,6,3,0,18,4,4,0,14,14,0,14,10,4,4,0,37,14,12,4,2,0,4,1,49,4,8,22,15,0,10,7,3,16
N00000041,314,24,8,16,12,4,0,0,71,37,30,2,5,0,22,12,56,39,9,7,1,24,9,9,0,15,15,0,24,14,10,9,1,38,12,16,3,2,1,4,0,30,7,4,11,8,0,11,9,2,36
N00000042,307,16,3,13,10,3,0,0,59,35,29,4,2,0,8,16,42,22,12,5,3,35,8,8,0,27,25,2,31,13,18,16,2,38,11,16,3,5,0,2,1,34,7,4,14,8,1,13,8,5,39
N00000043,787,56,18,38,21,13,3,1,182,116,97,12,3,4,40,26,108,69,24,11,4,50,12,12,0,38,37,1,48,29,19,17,2,119,40,39,8,14,0,16,2,82,16,8,22,34,2,50,35,15,92
N00000044,202,3,0,3,2,0,1,0,31,17,16,0,1,0,9,5,35,25,6,3,1,13,0,0,0,13,13,0,9,5,4,3,1,47,16,17,3,8,0,2,1,25,6,2,6,11,0,14,12,2,25
N00000045,367,38,10,28,15,7,6,0,77,57,39,9,4,5,12,8,43,34,7,2,0,66,18,17,1,48,32,16,28,14,14,13,1,38,10,11,4,9,0,4,0,43,2,5,20,16,0,8,3,5,26
N00000046,282,18,1,17,8,6,3,0,59,37,32,3,1,1,10,12,34,27,5,1,1,54,13,8,5,41,23,18,12,6,6,6,0,35,10,12,3,3,1,5,1,27,0,2,14,11,0,20,17,3,23
N00000047,285,20,2,18,11,3,4,0,65,47,41,3,3,0,10,8,46,33,7,3,3,42,14,12,2,28,19,9,18,6,12,10,2,29,9,9,2,5,1,2,1,25,4,2,12,7,0,22,21,1,18
N00000048,224,6,3,3,2,1,0,0,18,9,7,1,1,0,2,7,22,12,4,5,1,18,0,0,0,18,18,0,20,13,7,6,1,50,13,19,4,7,2,5,0,60,7,15,14,24,0,13,7,6,17
N00000049,202,7,1,6,4,1,0,1,27,13,11,1,0,1,8,6,25,16,6,3,0,15,3,3,0,12,11,1,18,10,8,4,4,44,11,22,2,6,1,1,1,44,2,6,11,25,0,14,9,5,8
N00000050,232,22,6,16,9,5,2,0,51,35,32,1,2,0,13,3,29,21,5,3,0,24,11,11,0,13,13,0,20,10,10,9,1,26,5,13,0,5,1,2,0,41,4,5,16,16,0,6,5,1,13
N00000051,219,3,1,2,1,1,0,0,26,19,18,0,0,1,4,3,20,8,8,3,1,9,5,5,0,4,4,0,19,11,8,8,0,38,13,15,1,7,0,2,0,64,12,7,13,32,0,27,18,9,13
N00000052,231,7,2,5,5,0,0,0,43,30,28,1,0,1,7,6,29,15,5,7,2,17,2,0,2,15,14,1,18,11,7,5,2,32,14,9,3,4,0,2,0,46,4,3,17,21,1,21,11,10,18
N00000053,196,4,1,3,3,0,0,0,27,15,15,0,0,0,4,8,18,7,6,4,1,8,2,2,0,6,6,0,18,12,6,4,2,46,14,15,2,11,0,4,0,42,5,5,11,21,0,15,10,5,18
N00000054,193,4,2,2,1,0,1,0,33,19,16,1,2,0,4,10,29,15,7,7,0,7,1,1,0,6,6,0,22,12,10,8,2,34,11,14,1,7,0,1,0,39,6,1,10,21,1,16,11,5,9
N00000055,204,1,0,1,1,0,0,0,32,20,19,0,1,0,6,6,28,13,9,6,0,9,6,6,0,3,3,0,22,11,11,9,2,47,11,16,7,11,0,1,1,40,4,2,11,23,0,9,4,5,16
N00000056,219,5,1,4,3,1,0,0,23,15,13,1,1,0,3,5,25,13,3,7,2,9,4,4,0,5,5,0,25,9,16,16,0,49,19,16,0,10,0,4,0,56,8,8,16,23,1,19,11,8,8
N00000057,192,4,2,2,2,0,0,0,13,8,7,0,1,0,4,1,20,13,4,3,0,6,3,3,0,3,3,0,12,9,3,2,1,58,16,21,2,14,2,2,1,47,9,3,10,25,0,17,11,6,15
N00000058,191,5,0,5,0,4,1,0,23,15,14,1,0,0,6,2,29,18,6,3,2,5,0,0,0,5,5,0,12,8,4,4,0,52,12,20,6,12,0,2,0,36,6,1,8,21,0,17,13,4,12
N00000059,170,4,1,3,1,0,2,0,16,8,7,1,0,0,2,6,18,8,7,3,0,6,1,1,0,5,5,0,14,9,5,5,0,51,18,18,8,5,0,2,0,39,4,7,11,16,1,13,10,3,9
N00000060,284,5,1,4,0,2,2,0,38,22,18,3,1,0,9,7,34,20,8,5,1,13,1,1,0,12,12,0,20,10,10,9,1,72,22,27,9,9,0,4,1,69,12,7,11,39,0,20,13,7,13
N00000061,210,23,3,20,10,4,6,0,52,33,24,5,2,2,13,6,23,15,3,5,0,18,4,4,0,14,14,0,20,13,7,7,0,27,5,10,4,5,0,2,1,28,1,1,8,18,0,3,3,0,16
N00000062,272,36,7,29,19,8,2,0,78,49,42,4,2,1,20,9,39,28,8,3,0,15,6,6,0,9,9,0,16,9,7,6,1,33,10,12,1,5,0,4,1,18,4,1,2,11,0,12,9,3,25
N00000063,276,14,1,13,9,3,1,0,42,23,22,1,0,0,15,4,19,9,3,7,0,16,6,6,0,10,9,1,32,22,10,5,5,51,16,24,3,1,2,5,0,53,9,6,12,26,0,22,14,8,27
N00000064,206,3,1,2,2,0,0,0,23,13,13,0,0,0,7,3,11,3,3,5,0,13,4,4,0,9,8,1,25,14,11,9,2,45,13,18,3,7,1,3,0,41,6,6,11,17,1,33,23,10,12
N00000065,310,25,9,16,9,6,1,0,68,40,36,3,1,0,14,14,48,28,11,8,1,21,6,5,1,15,15,0,22,15,7,6,1,44,13,20,3,3,0,3,2,48,8,5,20,14,1,11,8,3,23
N00000066,211,18,6,12,5,5,2,0,58,37,31,1,3,2,9,12,41,27,8,5,1,13,2,2,0,11,11,0,18,7,11,10,1,20,9,5,0,3,0,1,2,30,4,2,12,12,0,3,2,1,10
N00000067,234,3,1,2,1,0,1,0,21,7,6,1,0,0,8,6,25,15,6,3,1,17,3,3,0,14,14,0,24,15,9,8,1,54,17,19,4,8,1,5,0,46,7,6,7,25,1,25,18,7,19
N00000068,272,30,7,23,15,7,0,1,63,45,40,0,3,2,9,9,35,21,12,1,1,27,4,4,0,23,23,0,26,11,15,13,2,32,10,14,3,4,0,1,0,27,3,6,5,13,0,4,4,0,28
N00000069,228,2,1,1,1,0,0,0,16,6,5,0,1,0,9,1,24,17,1,3,3,10,3,3,0,7,7,0,22,13,9,7,2,45,18,19,2,4,1,0,1,48,7,8,8,25,0,42,30,12,19
N00000070,184,20,11,9,8,1,0,0,51,37,36,1,0,0,10,4,35,21,6,5,3,12,0,0,0,12,12,0,13,7,6,5,1,19,3,10,1,3,0,1,1,16,3,2,5,6,0,4,2,2,14
N00000071,206,4,1,3,2,1,0,0,41,24,23,1,0,0,12,5,38,22,7,9,0,14,6,6,0,8,8,0,21,7,14,14,0,36,11,14,3,2,0,5,1,34,6,0,6,22,0,10,7,3,8
N00000072,1244,93,14,79,41,31,7,0,287,177,151,18,5,3,58,52,190,114,43,29,4,93,33,30,3,60,59,1,83,45,38,32,6,201,62,63,15,38,0,20,3,170,16,16,40,98,0,40,25,15,87
N00000073,361,10,2,8,6,2,0,0,73,48,46,2,0,0,13,12,42,29,2,8,3,27,8,8,0,19,19,0,28,18,10,7,3,62,15,21,8,15,1,2,0,88,8,10,17,53,0,22,16,6,9
N00000074,756,79,13,66,42,18,5,1,205,131,102,22,5,2,45,29,137,87,29,17,4,54,12,12,0,42,40,2,60,29,31,29,2,89,28,38,3,11,2,6,1,73,11,9,23,30,0,16,8,8,43
N00000075,329,19,12,7,5,1,1,0,63,32,30,1,1,0,11,20,84,26,54,3,1,12,4,4,0,8,7,1,23,8,15,11,4,41,12,13,2,12,0,1,1,34,5,3,10,16,0,32,30,2,21
N00000076,233,13,5,8,5,3,0,0,65,42,31,7,1,3,13,10,34,19,8,6,1,14,1,1,0,13,13,0,21,11,10,10,0,32,11,15,3,2,0,1,0,25,5,0,5,15,0,2,1,1,27
N00000077,200,10,1,9,4,3,1,1,39,22,18,2,2,0,14,3,39,28,2,6,3,15,2,2,0,13,13,0,20,8,12,11,1,27,9,8,2,3,0,5,0,29,5,2,7,15,0,3,2,1,18
N00000078,321,35,8,27,16,10,0,1,83,50,43,3,3,1,20,13,43,27,9,6,1,21,7,6,1,14,14,0,27,15,12,12,0,58,20,20,7,8,0,3,0,22,3,1,8,10,0,6,4,2,26
N00000079,399,50,13,37,22,9,6,0,111,76,56,8,8,4,23,12,53,41,9,2,1,61,17,16,1,44,29,15,22,10,12,11,1,27,9,13,2,1,1,0,1,18,5,0,6,7,0,7,5,2,50
N00000080,309,48,9,39,21,14,4,0,73,47,32,9,6,0,18,8,68,56,7,4,1,27,9,9,0,18,14,4,16,10,6,5,1,29,6,12,3,3,2,2,1,19,3,0,3,10,3,3,2,1,26
N00000081,254,32,11,21,7,9,5,0,71,45,28,5,9,3,16,10,29,22,6,1,0,23,1,1,0,22,17,5,16,11,5,4,1,26,8,10,2,4,1,1,0,27,3,3,5,16,0,7,5,2,23
N00000082,257,28,5,23,13,6,4,0,68,36,30,0,5,1,23,9,37,24,9,4,0,50,21,18,3,29,21,8,14,9,5,4,1,23,7,7,0,1,2,5,1,17,2,1,6,5,3,5,4,1,15
N00000083,484,50,12,38,21,9,7,1,105,57,44,8,4,1,34,14,66,55,10,1,0,82,26,22,4,56,28,28,28,14,14,12,2,47,13,24,0,7,0,3,0,35,6,2,14,12,1,14,9,5,57
N00000084,334,34,8,26,14,6,5,1,82,52,46,5,1,0,20,10,48,42,2,2,2,54,13,13,0,41,22,19,16,6,10,7,3,31,10,10,1,2,3,3,2,27,4,1,11,10,1,11,10,1,31
N00000085,300,19,3,16,9,4,3,0,40,27,19,6,1,1,6,7,39,26,7,6,0,15,6,6,0,9,9,0,18,8,10,9,1,56,12,24,5,9,0,3,3,73,8,11,19,34,1,22,16,6,18
N00000086,279,14,3,11,7,4,0,0,59,41,34,2,4,1,6,12,38,26,2,8,2,31,4,4,0,27,26,1,17,10,7,7,0,39,14,14,3,3,3,2,0,40,6,5,11,18,0,14,8,6,27
N00000087,651,85,17,68,36,22,10,0,141,86,81,1,2,2,31,24,83,62,13,7,1,75,18,18,0,57,51,6,51,26,25,24,1,70,19,28,7,7,2,2,5,67,7,8,26,26,0,22,14,8,57
N00000088,154,1,0,1,1,0,0,0,24,14,12,0,2,0,7,3,19,15,1,3,0,8,2,2,0,6,5,1,14,5,9,8,1,31,10,11,2,6,0,2,0,41,3,10,9,19,0,9,2,7,7
N00000089,334,31,9,22,7,14,1,0,75,54,47,5,2,0,12,9,52,35,7,7,3,32,7,6,1,25,23,2,20,13,7,6,1,46,15,19,2,8,0,2,0,36,8,0,19,9,0,10,7,3,32
N00000090,283,14,3,11,4,7,0,0,71,54,47,5,1,1,9,8,36,26,2,8,0,26,8,8,0,18,18,0,17,9,8,7,1,47,14,19,1,4,2,5,2,41,3,5,19,13,1,7,4,3,24
N00000091,338,35,13,22,9,9,4,0,72,50,45,2,1,2,14,8,35,26,5,4,0,45,15,14,1,30,27,3,24,13,11,10,1,39,11,17,4,3,1,3,0,54,10,12,12,20,0,16,9,7,18
N00000092,337,36,8,28,16,9,2,1,82,52,42,5,4,1,15,15,42,35,5,1,1,43,14,12,2,29,18,11,17,6,11,11,0,44,13,16,1,6,5,1,2,34,5,4,16,8,1,16,11,5,23
N00000093,289,18,4,14,10,4,0,0,55,37,31,2,3,1,8,10,39,28,5,5,1,43,12,12,0,31,24,7,17,12,5,4,1,44,13,20,3,6,0,1,1,30,3,3,11,13,0,13,6,7,30
N00000094,353,43,5,38,23,12,3,0,98,71,62,4,4,1,14,13,37,23,8,5,1,55,16,15,1,39,30,9,21,10,11,9,2,34,10,11,2,5,0,4,2,23,2,1,12,8,0,13,9,4,29
N00000095,329,26,6,20,10,9,1,0,69,48,43,2,2,1,12,9,45,34,7,4,0,52,22,21,1,30,23,7,19,6,13,12,1,39,11,13,2,6,0,7,0,29,2,3,9,14,1,13,6,7,37
N00000096,370,43,14,29,17,10,2,0,85,56,46,5,4,1,15,14,46,34,8,1,3,53,15,14,1,38,19,19,22,11,11,10,1,36,10,13,1,6,0,6,0,24,2,0,12,10,0,31,29,2,30
N00000097,606,30,4,26,18,7,1,0,131,88,75,8,4,1,25,18,89,54,22,12,1,49,11,11,0,38,38,0,56,30,26,23,3,95,30,37,8,8,0,9,3,87,15,6,29,37,0,20,7,13,49
N00000098,890,72,9,63,37,21,5,0,238,161,141,11,8,1,45,32,141,89,25,19,8,44,9,9,0,35,33,2,62,37,25,23,2,129,37,45,10,21,0,12,4,124,9,17,28,70,0,24,20,4,56
N00000099,180,6,1,5,2,3,0,0,30,13,10,1,2,0,8,9,17,10,4,1,2,11,3,3,0,8,8,0,11,6,5,4,1,40,13,19,2,4,0,2,0,38,7,4,11,16,0,17,14,3,10
N00000100,254,4,0,4,3,1,0,0,55,34,30,1,2,1,12,9,32,22,7,3,0,15,4,4,0,11,11,0,27,16,11,11,0,46,13,19,4,7,0,3,0,47,4,2,12,29,0,14,8,6,14
N00000101,193,3,0,3,1,1,1,0,27,20,18,0,1,1,5,2,24,13,4,7,0,5,1,1,0,4,4,0,17,12,5,5,0,38,8,16,4,5,1,4,0,43,5,12,5,20,1,19,11,8,17
N00000102,244,12,1,11,7,3,1,0,64,38,33,2,3,0,15,11,38,23,7,6,2,10,0,0,0,10,10,0,17,9,8,6,2,29,11,13,0,3,0,1,1,33,2,4,12,15,0,14,7,7,27
N00000103,430,16,3,13,8,5,0,0,62,37,34,2,1,0,12,13,49,32,5,11,1,18,6,6,0,12,11,1,39,22,17,13,4,79,14,41,3,16,0,3,2,93,9,6,25,51,2,47,38,9,27
N00000104,231,9,2,7,5,1,1,0,32,16,16,0,0,0,9,7,36,19,8,9,0,12,4,4,0,8,8,0,17,10,7,6,1,37,10,16,4,4,0,3,0,57,3,8,15,31,0,19,15,4,12
N00000105,258,2,0,2,1,0,1,0,29,16,14,2,0,0,6,7,24,12,6,6,0,10,3,3,0,7,7,0,24,14,10,7,3,67,18,22,9,11,2,5,0,71,8,7,17,38,1,15,13,2,16
N00000106,139,1,1,0,0,0,0,0,13,6,5,1,0,0,4,3,15,11,3,0,1,7,1,1,0,6,6,0,9,7,2,2,0,35,18,12,1,3,0,1,0,37,0,4,11,22,0,14,7,7,8
N00000107,190,3,0,3,1,2,0,0,22,10,9,0,1,0,5,7,13,11,1,1,0,9,2,2,0,7,7,0,16,12,4,3,1,43,16,20,0,6,0,1,0,47,6,4,11,26,0,23,13,10,14
N00000108,169,12,2,10,3,4,2,1,33,25,22,1,2,0,4,4,23,14,6,3,0,7,5,5,0,2,2,0,20,14,6,4,2,28,6,13,3,3,0,3,0,31,3,3,6,19,0,4,2,2,11
N00000109,385,15,3,12,7,5,0,0,46,20,19,0,1,0,16,10,53,27,14,10,2,18,4,4,0,14,14,0,40,21,19,18,1,84,25,24,9,22,0,4,0,102,15,5,22,60,0,12,6,6,15
N00000110,210,4,2,2,0,2,0,0,22,10,10,0,0,0,6,6,25,14,6,5,0,12,3,3,0,9,9,0,28,19,9,6,3,51,12,21,6,6,0,6,0,40,4,2,12,22,0,7,5,2,21
N00000111,266,28,6,22,13,5,4,0,62,43,39,0,4,0,10,9,39,21,12,4,2,24,9,9,0,15,15,0,22,15,7,5,2,32,13,11,1,2,0,4,1,31,3,3,15,10,0,10,3,7,18
N00000112,299,17,9,8,4,4,0,0,49,24,20,3,1,0,16,9,29,18,4,7,0,17,4,4,0,13,13,0,35,20,15,12,3,44,10,25,4,2,0,3,0,59,5,5,26,23,0,16,11,5,33
N00000113,230,11,2,9,5,2,2,0,47,29,25,3,1,0,11,7,28,21,5,2,0,16,3,3,0,13,13,0,22,9,13,9,4,41,12,16,3,8,0,2,0,41,6,3,12,20,0,14,8,6,10
N00000114,255,12,2,10,3,7,0,0,59,39,36,2,1,0,11,9,38,25,5,7,1,15,3,3,0,12,12,0,25,15,10,8,2,38,3,21,2,8,0,4,0,43,3,5,15,20,0,11,8,3,14
N00000115,224,2,2,0,0,0,0,0,27,12,7,4,1,0,9,6,29,12,9,7,1,10,2,2,0,8,8,0,13,8,5,5,0,50,15,21,4,6,0,4,0,45,4,3,17,20,1,24,18,6,24
N00000116,220,8,3,5,5,0,0,0,24,15,14,1,0,0,8,1,36,21,10,5,0,15,3,3,0,12,12,0,24,18,6,6,0,52,13,25,3,10,0,1,0,36,1,7,13,15,0,14,7,7,11
N00000117,120,2,0,2,1,1,0,0,8,3,3,0,0,0,4,1,7,6,0,0,1,1,0,0,0,1,1,0,10,6,4,3,1,34,9,16,1,5,2,1,0,34,3,9,3,19,0,18,9,9,6
N00000118,256,34,8,26,16,8,1,1,80,52,37,6,7,2,21,7,28,18,8,2,0,23,13,12,1,10,8,2,8,3,5,4,1,29,8,10,3,2,1,4,1,16,7,0,4,5,0,20,20,0,18
N00000119,221,33,7,26,15,2,8,1,64,40,37,1,1,1,14,10,34,26,7,1,0,23,13,9,4,10,8,2,8,4,4,3,1,22,7,8,2,3,0,2,0,10,0,1,5,4,0,8,4,4,19
N00000120,237,32,10,22,18,2,2,0,58,29,22,4,3,0,24,5,37,29,7,1,0,33,15,15,0,18,9,9,12,8,4,4,0,20,10,2,1,3,0,4,0,15,4,2,3,6,0,6,5,1,24
N00000121,230,17,5,12,7,3,2,0,50,20,14,1,3,2,20,10,40,30,7,3,0,21,5,5,0,16,13,3,15,7,8,6,2,28,10,11,1,3,1,2,0,32,4,4,11,13,0,11,6,5,16
N00000122,363,53,16,37,17,10,10,0,108,67,44,11,10,2,30,11,42,34,6,2,0,61,35,34,1,26,23,3,15,9,6,5,1,39,12,14,1,0,3,6,3,15,3,0,8,4,0,6,4,2,24
N00000123,255,55,14,41,17,15,9,0,95,63,52,5,5,1,19,13,28,21,5,1,1,22,12,11,1,10,6,4,3,1,2,2,0,16,5,4,1,0,1,5,0,8,2,0,5,1,0,6,5,1,22
