GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
N00000850,270,269,267,2,3,262,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
N00000851,243,242,241,7,0,234,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
N00000852,1179,1171,1144,15,1,1127,1,0,20,0,0,7,4,3,6,1,1,0,0,0,0
N00000853,282,282,276,9,2,264,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
N00000854,763,761,740,18,4,718,0,0,7,0,2,12,12,0,1,1,0,0,0,0,0
N00000855,169,155,149,10,4,135,0,0,3,0,0,3,2,1,3,9,1,0,0,1,0
N00000856,182,172,164,14,3,146,1,0,5,0,0,3,3,0,3,3,4,0,0,0,0
N00000857,386,375,363,13,4,346,0,0,7,0,0,5,3,2,5,3,1,0,1,1,0
N00000858,239,222,210,16,0,194,0,0,5,0,0,7,7,0,0,14,2,0,1,0,0
N00000859,287,259,243,6,5,232,0,0,6,0,1,9,9,0,1,23,4,0,0,0,0
N00000860,437,426,414,20,9,384,1,0,6,0,0,6,5,1,5,2,1,0,0,3,0
N00000861,303,293,284,13,5,263,3,0,5,0,0,4,4,0,3,6,0,0,0,1,0
N00000862,876,823,786,53,13,718,2,0,16,0,0,21,20,1,13,25,8,0,1,6,0
N00000863,294,285,272,9,1,262,0,0,10,0,0,3,3,0,2,2,3,0,1,1,0
N00000864,305,287,271,7,4,259,1,0,10,0,0,6,6,0,1,9,6,0,0,2,0
N00000865,358,343,336,16,4,316,0,0,6,0,0,1,1,0,2,11,1,0,0,1,0
N00000866,342,314,290,19,2,269,0,0,5,0,2,17,16,1,1,20,5,0,0,2,0
N00000867,288,266,250,16,2,231,1,0,5,0,0,11,11,0,2,16,4,0,0,0,0
N00000868,297,288,278,17,6,253,2,0,10,0,0,0,0,0,1,3,3,0,0,2,0
N00000869,186,177,162,8,1,152,1,0,1,0,0,14,13,1,1,6,1,0,0,1,0
N00000870,394,374,366,11,2,353,0,0,4,0,0,4,3,1,11,5,1,0,3,0,0
N00000871,340,330,322,15,1,306,0,0,5,0,0,3,3,0,2,7,1,0,0,0,0
N00000872,256,247,231,11,2,217,0,1,2,0,0,14,14,0,0,7,0,0,0,2,0
N00000873,322,321,310,2,0,308,0,0,8,0,0,3,3,0,0,0,1,0,0,0,0
N00000874,533,475,439,15,3,417,4,0,20,0,0,16,15,1,2,49,5,0,0,2,0
N00000875,284,281,268,4,1,263,0,0,10,0,0,3,3,0,0,2,1,0,0,0,0
N00000876,212,211,208,2,0,206,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
N00000877,357,351,349,12,4,332,1,0,1,0,0,1,1,0,4,1,0,0,0,1,0
N00000878,234,233,228,8,2,218,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0
N00000879,1015,1007,989,11,3,974,1,0,8,0,0,10,10,0,0,5,1,1,0,1,0
N00000880,315,314,305,2,1,302,0,0,7,0,0,2,2,0,0,0,1,0,0,0,0
N00000881,296,294,273,5,8,260,0,0,2,0,0,19,18,1,1,1,0,0,0,0,0
N00000882,253,247,235,5,1,229,0,0,0,0,0,12,10,2,1,4,0,0,0,1,0
N00000883,264,259,252,4,1,247,0,0,5,0,0,2,2,0,0,3,2,0,0,0,0
N00000884,205,197,188,6,1,181,0,0,0,0,0,9,7,2,7,0,0,0,1,0,0
N00000885,618,593,514,17,15,482,0,0,4,0,0,75,71,4,3,15,3,0,0,4,0
N00000886,253,225,196,9,1,185,1,0,12,0,0,17,13,4,3,20,4,0,1,0,0
N00000887,308,302,271,10,1,258,2,0,9,0,0,22,21,1,0,5,1,0,0,0,0
N00000888,308,281,251,13,4,234,0,0,12,0,0,18,16,2,2,24,1,0,0,0,0
N00000889,259,230,206,7,0,198,1,0,19,0,0,5,5,0,1,12,13,0,0,3,0
N00000890,339,321,288,11,2,274,1,0,17,0,0,16,16,0,3,5,7,0,1,2,0
N00000891,346,318,287,20,7,260,0,0,14,0,0,17,16,1,6,11,9,0,1,1,0
N00000892,318,305,259,11,2,245,0,1,8,0,0,38,37,1,4,5,4,0,0,0,0
N00000893,284,263,215,22,3,189,1,0,9,0,0,39,38,1,1,14,3,0,1,2,0
N00000894,263,245,208,17,3,188,0,0,11,0,0,26,26,0,5,6,4,0,0,3,0
N00000895,272,242,202,13,3,186,0,0,7,0,0,33,32,1,10,13,5,0,0,2,0
N00000896,265,238,198,7,1,190,0,0,18,0,0,22,22,0,5,13,8,0,1,0,0
N00000897,300,275,241,15,6,219,1,0,18,0,0,16,14,2,1,15,4,0,1,4,0
N00000898,307,291,260,17,2,241,0,0,22,0,1,8,7,1,5,3,4,1,0,3,0
N00000899,306,281,231,14,2,215,0,0,17,0,0,33,33,0,0,16,6,0,0,3,0
N00000900,216,190,182,10,3,169,0,0,3,0,0,5,5,0,4,19,1,0,2,0,0
N00000901,313,299,255,17,1,237,0,0,16,0,0,28,28,0,3,2,5,0,2,2,0
N00000902,294,268,230,13,2,215,0,0,18,0,0,20,18,2,7,12,3,1,1,2,0
N00000903,206,136,120,12,2,105,1,0,1,0,0,15,15,0,2,64,3,0,1,0,0
N00000904,446,414,370,31,9,328,2,0,18,0,0,26,24,2,10,13,7,0,0,2,0
N00000905,325,304,265,11,2,252,0,0,9,0,0,30,29,1,2,15,3,0,0,1,0
N00000906,263,257,256,7,1,247,1,0,0,0,0,1,1,0,0,5,1,0,0,0,0
N00000907,332,322,321,6,2,312,1,0,1,0,0,0,0,0,1,9,0,0,0,0,0
N00000908,329,324,319,9,2,308,0,0,0,0,0,5,5,0,3,1,0,0,0,1,0
N00000909,246,245,242,5,2,235,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
N00000910,273,268,255,7,4,242,2,0,0,0,0,13,13,0,2,2,1,0,0,0,0
N00000911,239,236,235,7,4,224,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0
N00000912,243,233,225,5,6,213,1,0,0,0,0,8,8,0,3,7,0,0,0,0,0
N00000913,321,318,309,1,0,307,1,0,2,0,0,7,6,1,0,2,1,0,0,0,0
N00000914,294,286,276,4,3,269,0,0,4,0,0,6,6,0,0,6,1,0,0,1,0
N00000915,214,208,201,2,0,199,0,0,2,0,0,5,5,0,1,0,1,0,0,4,0
N00000916,234,228,227,8,0,219,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
N00000917,226,225,218,4,0,214,0,0,5,0,0,2,2,0,0,1,0,0,0,0,0
N00000918,261,258,246,10,2,234,0,0,1,0,0,11,11,0,3,0,0,0,0,0,0
N00000919,229,219,212,6,0,206,0,0,1,0,0,6,4,2,1,7,1,0,0,1,0
N00000920,148,145,144,5,0,139,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
N00000921,713,696,686,15,3,667,1,0,2,0,0,8,6,2,10,3,2,0,1,1,0
N00000922,292,280,275,5,1,266,3,0,1,0,0,4,3,1,1,6,3,1,0,1,0
N00000923,257,254,245,11,4,229,1,0,1,0,0,8,8,0,2,1,0,0,0,0,0
N00000924,224,221,211,7,6,198,0,0,2,0,0,8,8,0,0,2,0,0,0,1,0
N00000925,288,280,278,5,2,271,0,0,1,0,0,1,0,1,4,3,1,0,0,0,0
N00000926,284,275,263,5,0,258,0,0,10,0,0,2,2,0,1,7,1,0,0,0,0
N00000927,421,296,287,4,0,283,0,0,5,0,0,4,3,1,6,116,2,0,0,1,0
N00000928,356,344,334,5,5,324,0,0,7,0,0,3,2,1,2,6,2,0,0,2,0
N00000929,437,423,408,5,0,403,0,0,7,0,0,8,7,1,1,9,4,0,0,0,0
N00000930,364,358,343,5,1,337,0,0,9,0,0,6,6,0,2,3,1,0,0,0,0
N00000931,682,667,655,11,1,642,1,0,8,0,0,4,4,0,2,10,3,0,0,0,0
N00000932,419,387,364,5,0,358,1,0,21,0,0,2,2,0,0,31,1,0,0,0,0
N00000933,288,273,263,4,2,257,0,0,8,0,0,2,2,0,1,14,0,0,0,0,0
N00000934,282,272,263,5,0,257,1,0,4,0,0,5,1,4,1,6,3,0,0,0,0
N00000935,251,240,231,1,0,230,0,0,3,0,0,6,6,0,0,7,0,0,2,2,0
N00000936,473,473,468,7,1,460,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
N00000937,433,430,418,6,3,409,0,0,5,0,0,7,7,0,0,1,2,0,0,0,0
N00000938,345,342,330,6,1,323,0,0,5,0,0,7,7,0,0,0,0,0,2,1,0
N00000939,198,191,180,2,0,178,0,0,2,0,0,9,9,0,4,3,0,0,0,0,0
N00000940,252,249,240,2,1,237,0,0,6,0,0,3,3,0,1,2,0,0,0,0,0
N00000941,343,339,331,10,3,318,0,0,5,0,0,3,3,0,0,4,0,0,0,0,0
N00000942,280,279,271,9,1,261,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0
N00000943,272,267,260,6,0,254,0,0,5,0,0,2,2,0,0,4,1,0,0,0,0
N00000944,245,238,229,3,0,226,0,0,5,0,0,4,1,3,2,5,0,0,0,0,0
N00000945,254,252,241,8,1,232,0,0,7,0,0,4,4,0,0,0,1,0,0,1,0
N00000946,386,376,349,19,8,320,2,0,8,0,0,19,19,0,5,1,2,0,1,1,0
N00000947,248,246,237,4,2,230,1,0,3,0,0,6,6,0,0,0,1,0,0,1,0
N00000948,225,223,210,8,3,199,0,0,5,0,1,7,7,0,0,0,2,0,0,0,0
N00000949,314,309,300,6,3,291,0,0,3,0,0,6,6,0,1,3,1,0,0,0,0
N00000950,317,312,280,5,4,271,0,0,1,0,1,30,30,0,2,3,0,0,0,0,0
N00000951,240,234,224,7,1,216,0,0,6,0,0,4,4,0,1,2,3,0,0,0,0
N00000952,391,373,341,20,5,313,3,0,3,0,1,28,28,0,3,15,0,0,0,0,0
N00000953,238,235,218,5,0,213,0,0,5,0,0,12,11,1,0,0,2,0,0,1,0
N00000954,275,272,257,10,3,244,0,0,1,0,0,14,13,1,1,1,0,0,0,1,0
N00000955,394,387,369,18,7,343,1,0,9,0,0,9,9,0,1,1,4,0,0,1,0
N00000956,488,479,454,11,1,440,2,0,7,0,2,16,16,0,1,2,3,0,0,3,0
N00000957,555,544,533,23,7,500,3,0,7,0,0,4,4,0,2,1,4,0,0,4,0
N00000958,294,283,279,7,1,270,1,0,2,0,0,2,1,1,2,1,5,1,1,1,0
N00000959,476,468,462,18,5,438,1,0,3,0,0,3,3,0,1,3,1,0,0,3,0
N00000960,515,500,488,20,4,464,0,0,10,0,0,2,2,0,5,7,2,0,0,1,0
N00000961,311,306,298,8,4,286,0,0,3,0,0,5,5,0,1,1,3,0,0,0,0
N00000962,338,328,317,16,4,296,1,0,5,0,0,6,6,0,2,6,1,0,0,1,0
N00000963,252,241,226,7,3,214,2,0,5,0,0,10,10,0,2,8,1,0,0,0,0
N00000964,297,287,285,8,1,276,0,0,0,0,0,2,2,0,2,5,1,0,0,2,0
N00000965,300,299,292,11,2,279,0,0,5,0,1,1,1,0,0,1,0,0,0,0,0
N00000966,331,327,311,11,6,294,0,0,6,0,0,10,9,1,1,2,1,0,0,0,0
N00000967,378,359,352,2,2,348,0,0,5,0,0,2,2,0,2,16,1,0,0,0,0
N00000968,255,253,250,16,1,231,2,0,1,0,0,2,1,1,0,1,1,0,0,0,0
N00000969,193,180,171,13,5,153,0,0,3,0,0,6,6,0,4,7,0,0,1,1,0
N00000970,486,476,446,19,7,419,0,1,4,0,1,25,25,0,2,6,2,0,0,0,0
N00000971,261,259,253,9,1,243,0,0,0,0,0,6,6,0,1,0,1,0,0,0,0
N00000972,317,312,303,10,8,285,0,0,0,0,0,9,9,0,2,2,1,0,0,0,0
N00000973,331,325,315,9,6,300,0,0,1,0,0,9,8,1,1,2,2,0,0,1,0
N00000974,275,273,273,11,6,256,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
N00000975,262,254,234,13,1,220,0,0,3,0,0,17,16,1,3,2,1,0,2,0,0
N00000976,141,133,110,2,2,106,0,0,1,0,0,22,21,1,3,2,3,0,0,0,0
N00000977,285,276,254,7,4,243,0,0,3,0,0,19,17,2,3,2,1,0,2,1,0
N00000978,239,234,206,11,3,191,1,0,0,0,0,28,27,1,2,0,1,0,1,1,0
N00000979,217,212,192,9,5,176,2,0,1,0,0,19,18,1,2,0,1,0,0,2,0
N00000980,223,208,173,11,3,159,0,0,1,0,0,34,34,0,6,5,1,0,3,0,0
N00000981,207,193,175,2,4,169,0,0,0,0,0,18,18,0,3,5,3,0,1,2,0
N00000982,252,242,201,12,0,189,0,0,1,0,0,40,40,0,1,8,1,0,0,0,0
N00000983,336,332,309,14,6,289,0,0,1,0,0,22,22,0,2,1,0,0,1,0,0
N00000984,329,303,251,10,4,237,0,0,10,0,1,41,40,1,6,14,3,0,2,1,0
N00000985,244,240,225,18,3,204,0,0,0,0,0,15,14,1,3,1,0,0,0,0,0
N00000986,214,208,194,11,2,181,0,0,2,0,0,12,11,1,0,5,1,0,0,0,0
N00000987,367,345,325,21,2,300,2,0,2,0,0,18,18,0,5,9,1,0,6,1,0
N00000988,146,144,124,8,1,115,0,0,1,0,0,19,19,0,1,1,0,0,0,0,0
N00000989,262,253,249,4,2,241,2,0,0,0,0,4,3,1,2,4,1,0,1,1,0
N00000990,274,261,237,17,5,214,1,0,0,0,0,24,21,3,4,6,3,0,0,0,0
N00000991,269,264,246,11,4,231,0,0,1,0,0,17,17,0,2,1,1,0,1,0,0
N00000992,462,449,402,18,5,379,0,0,7,0,0,40,39,1,4,5,2,0,0,2,0
N00000993,236,233,195,7,3,184,1,0,1,0,0,37,37,0,2,1,0,0,0,0,0
N00000994,928,897,798,30,7,760,1,0,11,0,1,87,85,2,14,12,4,0,0,1,0
N00000995,195,193,185,12,3,170,0,0,3,0,0,5,2,3,0,1,1,0,0,0,0
N00000996,383,375,361,32,3,325,1,0,9,0,0,5,5,0,1,2,3,1,0,1,0
N00000997,271,268,253,11,3,239,0,0,3,0,0,12,11,1,0,3,0,0,0,0,0
N00000998,304,295,272,7,1,263,1,0,9,0,0,14,14,0,3,4,2,0,0,0,0
N00000999,227,224,202,9,4,189,0,0,0,0,0,22,22,0,1,1,0,0,1,0,0
N00001000,307,303,298,19,3,274,2,0,1,0,0,4,4,0,1,0,2,0,1,0,0
N00001001,296,275,227,8,4,214,1,0,6,0,0,42,40,2,5,10,3,0,1,2,0
N00001002,796,786,696,27,6,663,0,0,10,0,1,79,76,3,5,2,2,1,0,0,0
N00001003,218,212,193,7,2,184,0,0,5,0,1,13,13,0,2,1,0,0,1,2,0
N00001004,303,290,268,8,6,253,1,0,3,0,0,19,19,0,0,13,0,0,0,0,0
N00001005,258,252,235,12,6,215,2,0,3,0,0,14,14,0,3,1,1,0,1,0,0
N00001006,527,475,416,44,7,363,2,0,35,0,0,24,24,0,4,42,4,0,0,2,0
N00001007,595,524,475,34,6,435,0,0,20,0,0,29,27,2,18,35,11,1,4,2,0
N00001008,245,217,204,15,0,189,0,0,8,0,0,5,5,0,7,13,6,0,1,1,0
N00001009,188,149,116,11,4,101,0,0,18,0,0,15,14,1,5,31,2,0,0,1,0
N00001010,334,311,269,13,2,252,2,0,18,0,0,24,23,1,5,7,10,0,0,1,0
N00001011,374,358,323,27,2,294,0,0,14,0,0,21,20,1,6,6,1,3,0,0,0
N00001012,353,342,319,28,6,285,0,0,16,0,0,7,7,0,5,3,2,1,0,0,0
N00001013,242,232,216,8,4,203,1,0,6,0,0,10,7,3,4,4,1,0,0,1,0
N00001014,239,223,193,14,1,176,2,0,23,0,1,6,6,0,2,10,3,0,1,0,0
