GeographyCode,QS604NI0001,QS604NI0002,QS604NI0003,QS604NI0004,QS604NI0005,QS604NI0006,QS604NI0007,QS604NI0008,QS604NI0009,QS604NI0010,QS604NI0011,QS604NI0012,QS604NI0013,QS604NI0014,QS604NI0015,QS604NI0016,QS604NI0017,QS604NI0018,QS604NI0019,QS604NI0020,QS604NI0021,QS604NI0022,QS604NI0023,QS604NI0024,QS604NI0025,QS604NI0026,QS604NI0027,QS604NI0028
N00000018,109,1,0,18,0,0,0,1,5,8,4,0,2,4,27,11,5,0,2,0,0,8,11,5,11,4,0,0
N00000019,116,0,0,11,0,0,1,4,1,5,0,0,1,5,28,13,8,1,2,0,1,4,7,4,23,7,1,0
N00000020,88,2,0,10,0,1,0,0,1,6,2,0,0,4,8,10,11,1,0,1,2,6,8,6,17,1,1,0
N00000021,114,0,0,12,0,0,0,3,2,7,0,0,0,3,24,6,7,4,4,0,4,12,7,4,22,5,0,0
N00000022,110,0,0,7,1,0,0,2,3,1,0,0,1,9,20,11,3,0,2,0,2,5,6,9,29,6,0,0
N00000023,88,1,0,12,0,0,0,1,3,6,2,0,0,8,13,7,10,1,2,0,2,2,7,1,20,2,0,0
N00000024,281,11,0,32,7,0,0,4,8,6,7,0,2,16,50,14,6,10,9,4,17,10,26,28,36,10,0,0
N00000025,241,15,1,18,2,0,0,3,2,5,6,1,5,28,43,18,6,9,6,1,9,3,14,20,31,13,0,0
N00000026,260,11,0,21,2,0,0,2,3,7,7,1,3,17,43,27,17,5,6,3,11,8,14,26,31,16,0,0
N00000027,257,21,1,19,5,0,0,6,1,6,1,0,1,18,39,14,22,8,5,0,15,7,28,27,21,11,0,0
N00000028,123,0,0,11,0,0,1,2,3,2,3,1,2,6,20,10,7,3,6,0,2,5,15,11,18,6,0,0
N00000029,218,21,0,11,2,0,1,0,1,5,2,1,0,26,40,12,11,6,3,4,16,5,11,19,24,7,0,1
N00000030,190,15,1,18,3,0,0,3,2,2,8,0,1,13,34,6,3,5,2,4,4,8,16,20,31,8,1,0
N00000031,338,15,0,24,2,1,1,8,2,6,4,1,3,64,42,13,12,7,8,1,18,5,29,39,47,10,0,0
N00000032,174,2,0,22,4,0,1,3,2,8,4,2,3,27,30,5,6,0,4,2,5,1,14,13,35,3,0,0
N00000033,246,18,0,26,3,1,0,5,3,13,1,1,2,36,29,14,13,2,5,1,12,6,16,23,36,6,0,0
N00000034,224,1,0,22,7,2,0,5,2,3,3,1,1,26,42,10,5,6,9,5,3,10,14,20,42,7,0,0
N00000035,120,2,0,7,0,2,0,1,2,2,0,0,0,15,18,1,9,5,2,1,3,5,8,9,33,2,0,0
N00000036,174,1,1,17,3,2,0,4,2,4,2,1,2,23,26,7,4,1,4,1,6,2,16,11,45,6,0,0
N00000037,120,0,0,11,1,1,0,6,1,1,1,1,1,11,25,9,3,3,4,0,4,4,3,10,27,4,0,0
N00000038,182,11,0,21,0,1,0,2,1,11,6,0,2,15,36,8,11,3,6,2,10,3,13,13,24,4,0,0
N00000039,590,2,1,48,6,2,0,14,2,14,10,0,1,48,108,43,23,14,12,6,22,18,71,45,106,22,0,0
N00000040,118,1,1,6,1,0,0,2,0,1,2,2,2,12,25,15,8,3,3,0,4,1,4,10,16,5,0,0
N00000041,225,1,1,28,1,0,2,8,4,12,1,0,1,11,30,19,10,7,4,7,7,11,20,18,40,10,0,0
N00000042,198,0,0,18,4,1,1,4,2,6,0,0,1,15,29,18,6,5,5,2,10,8,22,20,27,12,0,0
N00000043,547,2,2,45,4,0,3,14,5,11,8,3,3,42,94,38,23,28,22,2,24,15,57,52,73,22,0,0
N00000044,113,0,0,8,0,0,0,4,1,2,1,0,1,7,23,11,4,2,5,0,9,3,9,6,15,10,0,0
N00000045,269,15,1,25,2,2,0,3,5,10,3,5,4,37,36,6,9,3,16,1,12,10,17,19,43,10,0,0
N00000046,191,15,0,17,3,0,1,2,0,6,5,0,5,22,27,4,3,1,6,0,6,9,12,18,34,12,0,0
N00000047,184,7,0,20,5,1,0,2,3,7,2,0,2,14,31,11,4,13,4,1,7,7,12,14,31,6,0,0
N00000048,135,1,0,18,5,0,0,5,3,3,2,0,6,11,16,11,11,3,0,0,3,3,8,8,29,7,0,0
N00000049,120,2,0,12,2,1,1,2,1,4,1,0,3,11,18,8,8,3,0,1,6,7,6,4,28,3,0,0
N00000050,147,0,0,20,2,2,2,4,0,5,5,0,4,19,25,5,9,3,3,2,2,5,8,14,24,4,0,0
N00000051,110,0,0,18,0,0,2,6,3,3,4,1,1,4,19,12,9,1,0,0,4,5,1,7,23,5,0,0
N00000052,124,1,0,11,0,0,0,2,1,5,3,0,0,8,26,3,12,0,2,4,4,4,6,5,34,4,0,0
N00000053,112,1,0,21,0,0,0,8,3,7,3,0,1,4,26,7,7,0,4,0,2,6,6,3,18,6,0,0
N00000054,116,0,0,20,0,3,0,4,0,8,5,0,0,2,23,12,6,0,0,0,3,4,13,7,22,4,0,0
N00000055,113,0,0,26,1,0,1,6,1,13,4,0,0,2,18,13,8,1,1,0,3,3,8,6,22,2,0,0
N00000056,125,0,0,25,0,1,0,2,1,15,6,0,2,8,23,11,5,2,1,0,2,7,6,2,23,8,0,0
N00000057,106,0,0,15,1,1,1,3,0,6,3,1,0,7,23,8,11,0,1,0,0,11,1,7,17,4,0,0
N00000058,120,0,0,24,2,1,3,6,1,6,5,0,0,6,21,7,7,3,2,1,0,5,7,4,29,4,0,0
N00000059,99,0,0,13,0,2,0,5,3,3,0,0,1,2,27,7,13,1,4,0,2,5,2,2,17,3,0,0
N00000060,161,2,0,15,0,1,1,3,3,4,3,1,2,7,35,12,16,1,3,0,3,11,7,6,36,4,0,0
N00000061,124,0,0,17,2,1,0,5,0,3,6,0,1,6,21,8,8,2,0,2,7,12,7,15,15,3,0,0
N00000062,159,0,0,8,1,0,1,1,1,4,0,2,2,12,34,5,5,5,5,0,10,5,18,14,26,8,0,0
N00000063,146,2,0,14,0,0,0,5,2,4,3,0,1,9,25,16,17,3,2,2,4,6,10,5,19,11,0,0
N00000064,88,2,0,13,0,0,1,3,4,4,1,0,0,6,19,8,11,0,2,1,1,3,2,4,13,3,0,0
N00000065,192,1,0,15,1,0,2,2,2,6,2,0,1,10,26,13,13,5,4,2,4,8,15,20,44,11,0,0
N00000066,146,0,1,14,1,0,0,1,1,6,5,1,1,10,24,11,5,3,2,2,3,3,16,13,31,5,0,1
N00000067,111,0,0,13,0,1,1,1,2,5,3,0,2,7,26,9,13,0,0,0,2,6,4,7,20,2,0,0
N00000068,183,0,0,24,1,2,0,9,4,7,1,0,0,10,30,7,20,7,4,2,3,4,18,14,34,6,0,0
N00000069,87,0,0,10,0,0,1,1,1,4,3,2,1,3,18,6,9,3,1,1,2,4,1,5,16,5,0,0
N00000070,102,0,0,15,1,2,0,1,3,6,2,0,0,5,16,5,3,2,3,1,1,4,10,3,27,6,1,0
N00000071,123,0,0,9,0,1,0,2,0,5,1,1,1,5,23,7,8,1,1,2,4,4,14,14,25,4,0,0
N00000072,943,6,1,116,7,4,5,27,10,48,15,2,8,61,178,65,58,29,22,3,26,38,84,72,146,28,0,0
N00000073,237,0,0,28,0,1,2,10,3,7,5,2,5,12,46,35,11,3,2,2,6,9,11,16,42,7,0,0
N00000074,593,2,1,60,6,2,3,8,6,21,14,4,3,39,89,40,33,13,20,5,32,15,73,51,98,13,1,1
N00000075,216,2,1,15,1,1,0,6,2,3,2,0,1,12,20,11,10,1,2,1,2,8,90,10,25,5,0,0
N00000076,182,0,0,20,2,2,0,3,3,8,2,1,0,7,38,6,12,7,2,3,4,5,18,13,43,3,0,0
N00000077,141,0,0,11,0,2,0,2,0,6,1,1,3,11,29,8,14,2,5,4,2,6,6,9,26,4,0,0
N00000078,263,0,0,33,3,1,2,6,2,15,4,2,3,16,54,22,16,9,10,1,6,7,16,16,45,6,1,0
N00000079,300,16,0,23,6,0,1,4,7,4,1,4,1,27,40,18,12,8,11,1,18,14,25,27,41,14,0,0
N00000080,225,7,0,14,5,1,0,4,1,3,0,1,2,15,30,8,12,8,16,3,15,10,26,24,23,11,0,0
N00000081,166,4,0,14,1,1,0,2,3,5,2,0,1,14,24,6,6,6,14,1,8,9,14,25,15,4,1,0
N00000082,181,11,0,9,0,1,0,0,1,3,4,1,1,15,31,11,5,4,3,1,16,8,17,16,26,6,0,0
N00000083,358,30,2,24,3,0,0,3,1,11,6,4,4,34,72,14,7,8,11,5,18,10,27,28,39,18,0,3
N00000084,229,14,0,27,2,0,0,4,6,7,8,3,1,19,45,10,11,7,8,1,15,7,17,17,20,7,0,0
N00000085,159,0,0,22,1,3,0,3,3,12,0,0,5,13,17,13,6,4,6,1,8,5,5,12,38,4,0,0
N00000086,189,2,0,14,1,1,1,0,2,4,5,0,3,34,30,11,9,3,5,0,9,5,19,11,33,1,0,0
N00000087,475,11,0,43,5,1,2,4,4,21,6,1,6,56,63,17,21,13,14,4,22,9,43,54,86,12,0,0
N00000088,74,0,0,13,5,0,0,2,1,1,4,1,2,13,8,5,3,0,0,1,2,1,2,7,16,0,0,0
N00000089,236,5,0,22,1,0,0,4,4,6,7,1,1,23,29,11,14,13,8,2,5,5,26,16,47,8,0,0
N00000090,197,1,0,9,2,0,0,2,1,3,1,1,5,27,27,7,9,4,8,1,9,5,17,14,47,6,0,0
N00000091,243,4,1,28,1,3,0,6,1,10,7,0,5,21,37,13,22,3,7,2,6,10,12,14,52,6,0,0
N00000092,231,14,0,20,5,2,0,4,1,8,0,2,4,17,44,14,11,8,8,1,18,9,21,10,26,4,0,0
N00000093,186,5,1,14,0,0,0,1,1,9,3,1,1,16,37,9,10,1,3,1,8,5,13,20,34,7,0,0
N00000094,254,7,0,20,2,0,1,5,2,7,3,3,0,25,38,5,8,5,12,3,11,7,22,28,48,12,0,0
N00000095,235,5,0,22,3,0,0,4,2,8,5,2,2,34,41,8,7,5,5,4,12,9,19,15,43,2,0,0
N00000096,245,14,0,27,5,1,2,4,7,7,1,1,0,25,44,5,2,5,7,0,12,13,24,19,34,13,0,0
N00000097,467,0,0,42,0,0,0,12,3,19,8,2,2,39,88,40,28,12,12,0,6,13,47,24,90,21,0,1
N00000098,698,3,1,77,8,4,1,13,14,25,12,4,6,33,103,39,34,25,11,2,31,31,54,47,181,16,0,0
N00000099,99,0,0,2,0,0,0,1,0,1,0,0,0,7,27,6,8,3,3,0,1,6,5,6,19,6,0,0
N00000100,164,0,0,21,2,0,1,3,1,10,4,0,3,8,28,13,7,3,1,0,4,11,9,10,41,5,0,0
N00000101,112,1,0,14,1,2,0,6,1,1,3,0,1,7,19,8,10,2,0,0,1,5,4,6,32,2,0,0
N00000102,159,0,0,14,1,0,1,2,2,2,6,0,0,9,32,9,8,3,1,0,4,10,18,12,35,4,0,0
N00000103,253,1,2,33,2,2,1,8,6,9,5,0,2,17,39,29,16,4,6,1,6,10,14,15,50,8,0,0
N00000104,163,0,0,14,1,1,0,4,2,3,3,1,3,15,28,18,15,1,0,0,2,11,4,4,43,4,0,0
N00000105,163,0,1,28,4,0,0,8,6,6,4,0,2,14,36,12,5,1,5,0,4,10,13,6,18,8,0,0
N00000106,67,0,0,5,0,0,0,1,1,3,0,0,2,5,14,4,5,0,0,0,1,9,4,2,12,4,0,0
N00000107,93,0,0,9,2,2,0,1,1,1,2,0,1,9,23,7,9,2,2,0,2,4,4,1,19,1,0,0
N00000108,108,0,0,12,2,0,1,2,2,3,2,0,1,8,17,10,8,5,0,1,6,6,6,9,16,3,0,0
N00000109,264,3,0,43,2,1,0,12,6,16,6,0,3,9,69,16,10,3,7,1,3,14,19,8,44,12,0,0
N00000110,133,1,0,18,2,1,1,6,2,4,2,0,1,9,35,16,13,1,3,0,3,6,5,5,15,2,0,0
N00000111,182,0,0,11,0,1,0,1,0,8,1,0,2,15,37,20,5,1,2,1,8,4,10,18,36,12,0,0
N00000112,201,2,0,15,2,2,0,2,1,4,4,0,3,11,31,27,17,5,1,0,5,13,9,14,45,3,0,0
N00000113,160,0,0,16,3,0,0,4,2,6,1,0,0,12,31,17,9,2,7,2,6,6,6,7,32,7,0,0
N00000114,169,0,0,14,2,0,0,4,1,4,3,3,3,12,23,13,8,2,4,3,4,9,12,10,38,11,0,0
N00000115,119,0,1,17,1,1,0,2,1,8,4,0,2,7,25,6,8,1,2,1,2,4,6,10,26,1,0,0
N00000116,132,0,0,19,2,1,0,5,1,9,1,1,1,7,17,7,12,3,2,2,3,9,9,6,25,9,0,0
N00000117,46,1,0,6,1,0,1,2,0,2,0,0,1,2,5,5,5,0,1,0,1,4,4,0,9,2,0,0
N00000118,166,5,0,7,1,0,1,0,0,4,1,1,0,9,25,10,16,17,4,2,6,6,13,19,18,8,0,0
N00000119,120,6,0,12,4,1,0,2,0,1,4,0,2,2,19,3,4,2,5,4,5,9,16,19,12,0,0,0
N00000120,145,4,0,17,5,0,1,2,2,3,4,0,3,6,36,8,7,6,3,1,4,6,14,6,16,8,0,0
N00000121,126,2,0,10,1,0,0,2,2,2,3,0,0,6,32,15,7,2,6,1,6,7,9,3,15,5,0,0
N00000122,247,6,0,12,2,2,0,3,4,1,0,0,0,13,37,17,16,6,21,4,16,14,19,19,36,11,0,0
N00000123,157,4,0,8,2,1,1,1,0,2,1,1,1,10,25,4,9,6,9,1,14,6,16,17,22,4,0,0
N00000124,162,2,0,13,1,0,0,4,1,5,2,4,4,13,15,18,11,9,10,2,17,3,9,13,16,3,0,0
N00000125,215,12,0,22,2,0,3,1,6,8,2,0,1,38,30,8,9,3,3,1,12,4,13,23,29,7,0,0
N00000126,207,6,0,23,4,0,1,1,9,5,3,1,4,47,26,3,6,4,3,1,6,0,14,25,28,10,0,0
N00000127,177,7,1,20,6,0,1,1,6,4,2,0,1,27,29,9,9,2,3,2,6,3,10,15,28,5,0,0
N00000128,485,22,2,45,5,0,1,4,17,13,5,0,2,101,79,15,26,7,5,3,24,8,24,40,64,17,1,0
N00000129,102,0,0,11,2,0,0,2,5,1,1,0,1,17,21,5,8,0,3,1,1,0,6,3,20,5,0,0
N00000130,279,1,1,32,7,0,0,4,2,15,4,1,1,20,49,7,12,6,7,1,15,18,37,18,41,12,0,0
N00000131,212,5,0,11,2,0,0,0,3,3,3,0,0,10,41,6,7,14,9,1,13,12,23,16,30,13,1,0
N00000132,187,18,1,13,0,0,0,1,1,7,4,1,1,27,26,14,8,2,5,2,7,3,9,14,28,8,0,0
N00000133,145,3,0,17,2,2,0,3,2,3,5,0,1,18,26,3,7,1,3,2,8,3,16,10,22,5,0,0
N00000134,241,3,1,18,2,0,0,1,3,7,5,2,1,19,40,13,10,10,8,2,7,15,32,17,31,12,0,0
N00000135,127,5,2,12,1,1,0,1,5,2,2,2,0,11,17,8,2,2,5,0,4,8,12,7,23,7,0,0
N00000136,277,1,1,19,3,0,1,1,3,6,5,4,1,17,40,14,25,9,18,1,12,15,29,16,37,18,0,0
N00000137,159,2,0,18,1,0,0,1,2,7,7,1,1,12,21,8,12,3,8,1,5,8,23,13,16,7,0,0
N00000138,251,0,2,23,2,0,0,0,5,10,6,0,1,21,39,8,9,7,11,6,6,15,41,17,39,6,0,0
N00000139,130,0,0,10,2,0,0,1,1,3,3,0,0,7,28,5,6,1,8,3,6,9,16,11,19,1,0,0
N00000140,142,3,0,6,3,0,0,0,0,2,1,1,2,8,20,6,9,2,11,1,11,10,14,12,24,2,0,0
N00000141,153,1,0,17,5,2,0,0,3,7,0,0,2,7,40,7,10,3,4,0,6,12,11,6,17,10,0,0
N00000142,74,0,0,11,2,1,0,0,2,4,2,0,0,8,13,4,2,1,4,1,1,7,7,4,7,3,1,0
N00000143,80,0,0,10,5,1,0,0,2,1,1,0,0,7,22,4,5,1,0,0,1,4,11,3,11,1,0,0
N00000144,92,0,0,4,2,0,0,0,1,1,0,0,5,8,23,4,8,0,3,1,1,5,7,2,18,3,0,0
N00000145,34,0,0,1,1,0,0,0,0,0,0,0,0,5,7,5,0,0,0,0,0,2,1,2,9,2,0,0
N00000146,132,12,2,11,1,0,0,0,2,4,4,0,0,6,33,1,4,2,7,1,8,3,15,12,11,4,0,0
N00000147,92,1,0,11,2,0,1,1,1,4,2,0,2,9,23,5,3,3,3,0,5,3,7,5,7,5,0,0
N00000148,278,6,0,23,6,0,0,1,3,10,3,2,1,21,42,16,10,4,3,1,13,17,30,17,54,17,1,0
N00000149,175,7,0,21,5,1,0,1,4,5,5,0,2,14,24,8,5,2,5,2,11,6,22,12,25,7,2,0
N00000150,135,1,1,12,3,0,0,2,3,4,0,0,1,13,13,3,5,2,9,1,8,5,23,12,18,8,0,0
N00000151,111,4,0,16,0,1,0,2,2,8,3,1,1,15,17,5,12,0,3,1,0,3,9,4,15,5,0,0
N00000152,100,3,0,7,0,0,0,2,1,2,2,0,0,8,14,8,10,0,1,0,2,10,9,7,14,7,0,0
N00000153,70,0,0,6,1,2,0,1,1,1,0,1,0,12,12,1,5,1,2,0,1,1,7,5,11,5,0,0
N00000154,111,5,0,8,0,0,0,2,1,3,2,1,0,11,22,3,5,0,1,0,5,8,15,3,19,5,0,0
N00000155,166,17,0,14,0,2,0,5,2,1,4,0,0,11,22,4,14,4,4,0,12,8,20,9,14,12,1,0
N00000156,128,2,0,6,1,0,0,0,0,3,2,0,0,10,24,4,9,2,1,2,7,10,21,4,21,4,0,1
N00000157,183,14,1,15,3,0,0,0,6,4,2,0,0,21,27,3,9,1,6,2,13,7,18,17,19,8,2,0
N00000158,253,13,2,18,6,0,0,2,2,7,1,0,0,18,56,11,10,2,14,3,8,16,20,15,37,10,0,0
N00000159,83,0,0,10,0,0,0,1,1,3,5,0,0,6,19,3,4,1,3,2,2,3,11,7,9,3,0,0
N00000160,132,0,0,14,2,2,0,1,3,5,1,0,1,8,22,0,6,4,8,0,7,7,11,15,22,7,0,0
N00000161,165,0,2,14,2,0,0,0,0,5,7,2,0,6,28,3,7,5,7,1,7,7,14,31,21,10,0,0
N00000162,123,0,0,15,3,1,0,0,0,8,3,0,0,11,28,6,7,2,6,1,5,3,11,8,13,7,0,0
N00000163,107,2,0,12,2,0,0,0,2,6,2,1,0,7,20,6,6,3,3,3,2,10,9,6,12,5,0,0
N00000164,136,7,0,9,0,1,0,0,2,3,3,0,1,7,24,6,4,2,6,2,9,7,18,15,9,10,0,0
N00000165,140,3,0,13,3,2,0,2,1,4,1,0,1,13,23,7,3,2,5,1,14,4,17,10,17,7,0,0
N00000166,106,0,0,7,2,0,0,0,0,3,2,1,0,5,15,5,4,2,4,0,5,2,19,12,21,3,1,0
N00000167,175,2,0,11,3,0,0,1,0,6,1,0,0,7,34,5,8,7,7,1,8,13,23,22,16,11,0,0
N00000168,159,0,0,11,2,2,0,1,1,2,3,2,0,8,25,8,7,6,9,3,10,7,16,17,23,7,0,0
N00000169,370,21,1,27,5,0,0,2,8,6,6,2,2,34,53,16,16,12,10,5,26,14,34,32,50,13,2,0
N00000170,170,9,1,11,1,0,0,2,2,1,5,1,3,12,34,14,5,4,5,0,3,5,14,17,20,12,0,0
N00000171,216,19,1,16,3,2,1,1,2,6,1,0,2,23,32,7,6,3,6,4,13,15,23,16,20,10,0,0
N00000172,388,16,1,27,2,1,0,1,4,11,8,0,4,41,64,14,27,7,20,4,17,28,25,29,43,20,1,0
N00000173,185,34,0,17,6,0,0,2,3,3,3,0,1,14,16,9,13,2,7,0,11,5,18,12,18,8,0,0
N00000174,168,5,1,14,3,5,0,1,1,4,0,1,0,18,22,5,7,3,3,2,4,11,13,21,23,15,0,0
N00000175,199,5,2,24,4,1,0,2,2,11,4,1,3,8,27,15,12,8,10,2,11,8,12,21,25,5,0,0
N00000176,211,3,0,26,3,1,0,2,7,9,4,0,0,8,46,16,23,3,11,2,3,10,16,8,24,12,0,0
N00000177,134,1,1,10,1,2,0,1,0,5,1,0,2,6,25,7,8,2,2,2,3,12,11,8,21,13,0,0
N00000178,256,5,0,16,4,3,0,0,1,7,1,0,5,12,55,8,23,6,5,3,6,6,29,18,48,11,0,0
N00000179,344,2,0,21,5,2,0,2,2,8,2,3,4,15,65,21,25,5,16,6,7,29,46,18,51,10,0,0
N00000180,104,1,0,19,4,1,0,3,1,5,5,0,1,4,15,2,8,1,4,0,4,8,8,4,21,4,0,0
N00000181,145,1,0,11,0,3,0,1,3,3,1,0,2,4,24,8,14,5,5,1,4,7,20,6,21,12,0,0
N00000182,91,1,0,10,2,0,0,1,3,2,2,0,0,7,16,3,4,1,4,0,8,3,15,2,11,6,0,0
N00000183,151,2,0,11,3,1,0,1,0,2,4,0,0,7,24,5,15,5,12,3,8,6,21,10,16,6,0,0
N00000184,156,1,0,12,0,0,0,4,2,4,2,0,2,10,28,1,13,3,7,0,5,5,23,7,32,7,0,0
N00000185,78,0,0,1,1,0,0,0,0,0,0,1,0,10,12,3,3,0,0,1,0,8,8,7,18,6,0,0
N00000186,121,1,0,13,2,1,0,1,2,4,3,0,0,13,22,6,11,2,2,3,6,6,10,5,17,4,0,0
N00000187,92,0,1,9,1,0,0,3,4,0,1,0,0,6,18,6,5,1,3,0,2,7,9,5,15,5,0,0
N00000188,149,1,0,17,0,0,1,2,5,6,3,0,1,12,32,1,9,2,4,2,1,16,12,8,22,9,0,0
N00000189,160,11,0,10,0,1,0,0,1,5,3,0,0,15,26,4,5,6,15,0,7,3,11,20,19,8,0,0
N00000190,147,1,0,14,1,0,0,1,2,8,2,1,0,6,24,8,6,6,8,1,5,12,16,7,22,10,0,0
N00000191,157,1,0,20,0,1,0,2,3,8,6,0,0,7,35,4,3,2,4,2,4,11,19,13,19,13,0,0
N00000192,167,3,1,20,2,0,0,3,4,9,2,3,3,6,40,11,6,1,2,1,3,9,21,6,27,4,0,0
N00000193,113,0,0,14,3,0,1,1,1,5,3,0,0,7,28,8,5,2,2,1,3,8,8,6,13,8,0,0
N00000194,109,2,0,7,1,1,0,1,0,1,3,1,2,11,13,4,8,5,4,0,5,6,11,7,15,8,0,0
N00000195,83,1,1,7,0,1,0,0,2,4,0,0,0,8,15,5,3,3,3,0,3,6,9,2,14,3,0,0
N00000196,69,1,0,6,2,1,0,0,0,2,1,1,0,7,17,3,3,3,1,0,3,3,6,5,8,2,0,0
N00000197,171,4,0,17,5,1,0,0,3,6,2,0,0,19,31,8,7,3,7,2,9,9,20,8,21,6,0,0
N00000198,156,11,0,11,0,0,2,0,0,9,0,2,0,16,22,8,6,4,8,0,11,7,11,11,23,5,0,0
N00000199,185,2,0,14,3,0,0,2,2,7,0,2,0,16,32,8,8,2,11,0,7,11,27,12,24,9,0,0
N00000200,179,3,0,13,2,3,0,1,1,5,1,1,2,17,29,7,7,6,5,1,6,16,17,12,34,3,0,0
N00000201,146,1,0,8,0,1,0,1,0,3,3,3,0,5,30,4,7,3,7,2,7,7,15,12,27,8,0,0
N00000202,150,1,0,10,1,0,0,2,1,4,2,0,0,7,23,5,3,7,4,4,7,9,21,20,20,9,0,0
N00000203,160,8,0,19,1,0,0,2,5,5,6,0,0,13,23,5,7,6,4,1,8,7,12,13,24,10,0,0
N00000204,185,1,2,16,2,1,1,0,3,5,4,1,0,16,36,7,6,4,10,1,8,16,15,9,31,6,0,0
N00000205,159,3,2,10,1,0,0,0,2,4,3,0,0,11,29,3,8,6,5,3,4,14,20,10,27,4,0,0
N00000206,208,1,1,8,2,0,0,1,0,3,2,2,2,15,31,5,7,9,15,1,9,19,27,15,29,12,0,0
N00000207,153,4,0,5,1,0,0,1,1,1,1,3,2,5,22,8,10,4,7,2,11,6,20,11,24,9,0,0
N00000208,163,2,1,17,5,0,0,0,2,7,3,1,0,6,29,1,9,6,8,2,6,8,23,14,21,9,0,0
N00000209,210,2,0,19,3,0,0,1,2,8,5,0,1,12,25,1,16,6,13,0,7,7,45,14,29,13,0,0
N00000210,166,3,0,6,1,0,0,0,0,5,0,1,2,11,33,11,11,4,4,2,5,10,12,13,31,6,1,0
N00000211,193,0,0,12,1,1,1,1,0,5,3,3,3,14,36,6,15,2,9,5,6,10,19,10,28,15,0,0
N00000212,89,0,0,6,0,0,0,1,1,0,4,1,0,1,15,2,10,7,4,0,1,5,9,5,19,4,0,0
N00000213,137,1,0,13,1,0,0,2,3,4,3,2,1,5,18,5,10,2,7,2,9,6,19,11,16,8,1,1
N00000214,156,1,0,16,3,0,0,1,2,1,9,1,0,6,17,4,9,3,8,1,8,7,14,19,31,11,0,0
N00000215,197,9,0,12,3,1,3,1,0,3,1,2,2,14,31,6,8,11,10,2,12,9,10,23,21,15,0,0
N00000216,193,14,0,13,0,0,1,2,5,3,2,0,0,14,30,6,5,4,5,4,9,17,18,19,25,10,0,0
N00000217,213,6,0,8,1,1,0,0,0,2,4,0,0,16,38,2,10,3,16,6,26,5,30,22,14,11,0,0
N00000218,149,1,0,10,1,2,0,1,0,1,5,1,1,7,26,4,5,3,7,1,14,8,22,17,14,8,0,0
N00000219,88,1,0,8,1,1,0,1,0,3,2,1,1,3,19,8,10,3,0,1,4,7,6,0,8,8,0,0
N00000220,112,1,0,5,0,2,0,1,0,1,1,0,2,8,23,6,8,2,0,1,2,10,7,5,26,6,0,0
N00000221,99,0,0,8,1,2,0,3,0,2,0,1,0,4,19,8,4,1,2,2,4,9,10,5,14,7,1,0
