GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95II01S2,1313,306,1007,1074,208,866,169,80,89,40,13,27,30,5,25
95II02S1,1385,253,1132,1221,200,1021,134,45,89,14,5,9,16,3,13
95II02S2,1309,212,1097,1073,160,913,141,38,103,48,9,39,47,5,42
95II02S3,1283,226,1057,1082,156,926,125,55,70,25,7,18,51,8,43
95II03S1,1290,242,1048,1089,196,893,156,36,120,15,6,9,30,4,26
95II03S2,1462,219,1243,1265,181,1084,123,26,97,23,5,18,51,7,44
95II04S1,1838,300,1538,1533,242,1291,205,43,162,28,6,22,72,9,63
95II04S2,1528,173,1355,1285,142,1143,134,20,114,41,6,35,68,5,63
95II05S1,1324,284,1040,1096,202,894,162,65,97,23,3,20,43,14,29
95II05S2,1530,220,1310,1316,168,1148,123,34,89,30,8,22,61,10,51
95II06S1,1169,219,950,987,162,825,133,48,85,14,2,12,35,7,28
95II06S2,1479,238,1241,1262,172,1090,134,52,82,39,6,33,44,8,36
95II07W1,1687,169,1518,1418,128,1290,134,22,112,51,6,45,84,13,71
95II08W1,1983,273,1710,1679,205,1474,177,47,130,41,8,33,86,13,73
95II09S1,1605,234,1371,1372,186,1186,141,33,108,33,5,28,59,10,49
95II09S2,1107,176,931,913,135,778,118,30,88,28,5,23,48,6,42
95II10W1,2118,231,1887,1776,172,1604,180,37,143,60,9,51,102,13,89
95II11W1,2105,405,1700,1779,317,1462,227,71,156,33,6,27,66,11,55
95II12W1,2036,427,1609,1694,316,1378,239,83,156,37,8,29,66,20,46
95II13W1,2198,265,1933,1848,200,1648,183,41,142,60,6,54,107,18,89
95II14W1,2123,430,1693,1739,316,1423,254,81,173,56,18,38,74,15,59
95II15S1,1373,229,1144,1167,177,990,147,40,107,25,6,19,34,6,28
95II15S2,1296,252,1044,1072,194,878,144,49,95,21,3,18,59,6,53
95II16W1,1748,192,1556,1466,136,1330,145,37,108,47,9,38,90,10,80
95II17W1,2085,329,1756,1713,237,1476,224,67,157,55,8,47,93,17,76
95II18W1,1861,240,1621,1550,184,1366,152,37,115,53,6,47,106,13,93
95II19S1,1450,334,1116,1184,247,937,204,76,128,23,4,19,39,7,32
95II19S2,1615,294,1321,1305,210,1095,200,66,134,39,6,33,71,12,59
95II20W1,2284,395,1889,1923,315,1608,244,61,183,49,5,44,68,14,54
95II21W1,1879,191,1688,1593,143,1450,126,27,99,50,9,41,110,12,98
95II22W1,1854,248,1606,1559,191,1368,175,44,131,52,5,47,68,8,60
95II23W1,1801,337,1464,1471,236,1235,211,77,134,40,11,29,79,13,66
95JJ01W1,1993,362,1631,1682,265,1417,194,77,117,44,8,36,73,12,61
95JJ02W1,1960,365,1595,1673,282,1391,169,60,109,43,11,32,75,12,63
95JJ03S1,1027,114,913,889,89,800,53,16,37,37,5,32,48,4,44
95JJ03S2,785,84,701,681,57,624,53,16,37,24,5,19,27,6,21
95JJ04S1,1226,196,1030,1069,160,909,79,28,51,29,3,26,49,5,44
95JJ04S2,1275,257,1018,1106,205,901,95,40,55,33,7,26,41,5,36
95JJ05W1,1597,152,1445,1428,118,1310,86,20,66,32,9,23,51,5,46
95JJ06W1,1914,191,1723,1682,148,1534,96,23,73,58,8,50,78,12,66
95JJ07W1,2035,179,1856,1810,139,1671,103,27,76,46,5,41,76,8,68
95JJ08S1,1154,188,966,966,148,818,113,35,78,29,3,26,46,2,44
95JJ08S2,1524,375,1149,1336,313,1023,130,50,80,26,9,17,32,3,29
95JJ09W1,1700,298,1402,1436,223,1213,167,61,106,42,8,34,55,6,49
95JJ10W1,2122,298,1824,1867,239,1628,129,38,91,42,9,33,84,12,72
95JJ11S1,1424,263,1161,1220,200,1020,117,44,73,26,6,20,61,13,48
95JJ11S2,1535,305,1230,1292,231,1061,156,62,94,30,8,22,57,4,53
95JJ12W1,2090,235,1855,1807,177,1630,133,39,94,50,7,43,100,12,88
95JJ13S1,1597,271,1326,1412,223,1189,108,36,72,33,5,28,44,7,37
95JJ13S2,1427,263,1164,1210,190,1020,146,57,89,29,5,24,42,11,31
