GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
95MM22S2,1097,943,28,12,1,99,2,1,11,582,481,15,10,1,66,1,1,7,550,452,13,10,1,65,1,1,7,32,29,2,0,0,1,0,0,0,515,462,13,2,0,33,1,0,4,342,317,9,1,0,11,1,0,3,19,14,1,0,0,4,0,0,0,21,19,0,0,0,2,0,0,0,31,25,2,1,0,2,0,0,1,102,87,1,0,0,14,0,0,0
95MM23W1,2098,1736,98,18,0,129,26,31,60,712,577,31,6,0,44,10,11,33,570,468,23,5,0,37,5,4,28,142,109,8,1,0,7,5,7,5,1386,1159,67,12,0,85,16,20,27,1003,857,44,5,0,55,14,12,16,34,20,2,1,0,0,2,3,6,108,89,8,2,0,6,0,0,3,111,92,6,2,0,7,0,2,2,130,101,7,2,0,17,0,3,0
95MM24W1,1928,1738,52,21,1,96,4,2,14,729,642,21,6,0,49,4,1,6,668,592,18,4,0,47,2,1,4,61,50,3,2,0,2,2,0,2,1199,1096,31,15,1,47,0,1,8,809,763,18,6,1,14,0,1,6,32,29,1,0,0,2,0,0,0,112,98,5,4,0,5,0,0,0,111,100,3,1,0,6,0,0,1,135,106,4,4,0,20,0,0,1
95MM25S1,925,846,26,12,3,32,1,1,4,300,274,9,3,1,9,0,1,3,256,240,6,0,1,7,0,0,2,44,34,3,3,0,2,0,1,1,625,572,17,9,2,23,1,0,1,447,420,11,3,1,10,1,0,1,10,9,1,0,0,0,0,0,0,75,61,3,2,1,8,0,0,0,51,45,1,3,0,2,0,0,0,42,37,1,1,0,3,0,0,0
95MM25S2,990,878,37,8,0,58,0,2,7,330,287,10,3,0,28,0,1,1,298,259,7,3,0,27,0,1,1,32,28,3,0,0,1,0,0,0,660,591,27,5,0,30,0,1,6,470,438,12,2,0,13,0,1,4,6,6,0,0,0,0,0,0,0,86,73,2,2,0,8,0,0,1,58,44,8,0,0,5,0,0,1,40,30,5,1,0,4,0,0,0
95MM25S3,1038,912,33,9,0,60,4,1,19,371,321,13,6,0,23,0,0,8,312,269,10,6,0,20,0,0,7,59,52,3,0,0,3,0,0,1,667,591,20,3,0,37,4,1,11,488,436,13,2,0,22,3,1,11,3,3,0,0,0,0,0,0,0,84,75,2,0,0,6,1,0,0,68,55,4,1,0,8,0,0,0,24,22,1,0,0,1,0,0,0
95MM25S4,1447,1284,51,18,2,63,3,2,24,680,588,27,9,2,37,2,1,14,610,525,24,7,2,35,2,1,14,70,63,3,2,0,2,0,0,0,767,696,24,9,0,26,1,1,10,546,506,16,3,0,13,1,0,7,13,12,0,0,0,1,0,0,0,76,67,1,1,0,5,0,1,1,79,65,6,4,0,2,0,0,2,53,46,1,1,0,5,0,0,0
95MM26S1,1339,1201,32,17,1,73,5,3,7,540,480,13,6,0,34,1,2,4,486,437,12,2,0,28,1,2,4,54,43,1,4,0,6,0,0,0,799,721,19,11,1,39,4,1,3,560,512,13,6,1,24,4,0,0,8,8,0,0,0,0,0,0,0,95,84,2,4,0,5,0,0,0,83,75,2,1,0,4,0,0,1,53,42,2,0,0,6,0,1,2
95MM26S2,1162,1012,26,13,2,87,3,1,18,610,513,13,11,1,58,1,1,12,586,492,13,10,1,56,1,1,12,24,21,0,1,0,2,0,0,0,552,499,13,2,1,29,2,0,6,419,390,9,1,0,15,1,0,3,24,20,1,0,0,1,1,0,1,36,30,2,0,1,3,0,0,0,27,24,1,0,0,0,0,0,2,46,35,0,1,0,10,0,0,0
95MM27S1,1720,1350,50,18,2,132,20,46,102,362,257,10,4,0,23,3,25,40,278,208,4,3,0,14,0,22,27,84,49,6,1,0,9,3,3,13,1358,1093,40,14,2,109,17,21,62,982,789,26,10,2,75,16,17,47,25,13,1,0,0,3,0,1,7,123,107,5,1,0,6,0,0,4,132,105,6,3,0,10,1,3,4,96,79,2,0,0,15,0,0,0
