GeographyCode,DC2415NI0001,DC2415NI0002,DC2415NI0003,DC2415NI0004,DC2415NI0005,DC2415NI0006,DC2415NI0007,DC2415NI0008,DC2415NI0009,DC2415NI0010,DC2415NI0011,DC2415NI0012,DC2415NI0013,DC2415NI0014,DC2415NI0015,DC2415NI0016,DC2415NI0017,DC2415NI0018,DC2415NI0019,DC2415NI0020,DC2415NI0021,DC2415NI0022,DC2415NI0023,DC2415NI0024,DC2415NI0025,DC2415NI0026,DC2415NI0027,DC2415NI0028,DC2415NI0029,DC2415NI0030,DC2415NI0031,DC2415NI0032,DC2415NI0033,DC2415NI0034,DC2415NI0035,DC2415NI0036,DC2415NI0037,DC2415NI0038,DC2415NI0039,DC2415NI0040,DC2415NI0041,DC2415NI0042,DC2415NI0043,DC2415NI0044,DC2415NI0045,DC2415NI0046,DC2415NI0047,DC2415NI0048,DC2415NI0049,DC2415NI0050,DC2415NI0051,DC2415NI0052,DC2415NI0053,DC2415NI0054,DC2415NI0055,DC2415NI0056,DC2415NI0057,DC2415NI0058,DC2415NI0059,DC2415NI0060,DC2415NI0061,DC2415NI0062,DC2415NI0063,DC2415NI0064,DC2415NI0065,DC2415NI0066,DC2415NI0067,DC2415NI0068,DC2415NI0069,DC2415NI0070,DC2415NI0071,DC2415NI0072,DC2415NI0073,DC2415NI0074,DC2415NI0075,DC2415NI0076,DC2415NI0077,DC2415NI0078,DC2415NI0079,DC2415NI0080,DC2415NI0081,DC2415NI0082,DC2415NI0083,DC2415NI0084,DC2415NI0085,DC2415NI0086,DC2415NI0087,DC2415NI0088,DC2415NI0089,DC2415NI0090,DC2415NI0091,DC2415NI0092,DC2415NI0093,DC2415NI0094,DC2415NI0095,DC2415NI0096,DC2415NI0097,DC2415NI0098,DC2415NI0099,DC2415NI0100,DC2415NI0101,DC2415NI0102,DC2415NI0103,DC2415NI0104,DC2415NI0105,DC2415NI0106,DC2415NI0107,DC2415NI0108,DC2415NI0109,DC2415NI0110,DC2415NI0111,DC2415NI0112,DC2415NI0113,DC2415NI0114,DC2415NI0115,DC2415NI0116,DC2415NI0117,DC2415NI0118,DC2415NI0119,DC2415NI0120,DC2415NI0121,DC2415NI0122,DC2415NI0123,DC2415NI0124,DC2415NI0125,DC2415NI0126,DC2415NI0127,DC2415NI0128,DC2415NI0129,DC2415NI0130,DC2415NI0131,DC2415NI0132,DC2415NI0133,DC2415NI0134,DC2415NI0135,DC2415NI0136,DC2415NI0137,DC2415NI0138,DC2415NI0139,DC2415NI0140,DC2415NI0141,DC2415NI0142,DC2415NI0143,DC2415NI0144,DC2415NI0145,DC2415NI0146,DC2415NI0147,DC2415NI0148,DC2415NI0149,DC2415NI0150
WELB,109206,71962,34853,641,1750,25406,18370,6408,152,476,44618,29596,13967,275,780,28686,17772,10341,169,404,10496,6224,4137,45,90,70925,45061,24680,363,821,7009,4880,2037,26,66,28469,18467,9494,150,358,25483,15780,9235,144,324,9964,5934,3914,43,73,464,301,149,7,7,103,77,21,2,3,249,157,87,3,2,92,58,32,2,0,20,9,9,0,2,17149,12795,4027,72,255,9839,7430,2235,39,135,6478,4763,1571,31,113,694,502,184,2,6,138,100,37,0,1,17595,11923,4859,187,626,6982,4974,1674,80,254,8262,5527,2355,85,295,2048,1273,691,20,64,303,149,139,2,13,3073,1882,1138,12,41,1473,1009,441,5,18,1160,682,460,6,12,369,159,199,1,10,71,32,38,0,1
UKN01,120595,54899,57007,1944,6745,48321,22479,22082,893,2867,49528,22174,23823,761,2770,18707,8365,9172,241,929,4039,1881,1930,49,179,62301,28748,30450,641,2462,13143,6599,5999,119,426,30706,13840,15251,316,1299,15320,6845,7677,169,629,3132,1464,1523,37,108,718,372,287,11,48,212,127,68,2,15,395,195,168,6,26,93,43,40,3,7,18,7,11,0,0,30818,13531,15629,302,1356,21126,9545,10488,191,902,8854,3679,4679,103,393,743,263,416,7,57,95,44,46,1,4,23632,11041,8915,945,2731,11658,5356,4322,553,1427,8809,4158,3322,322,1007,2403,1170,943,60,230,762,357,328,10,67,3126,1207,1726,45,148,2182,852,1205,28,97,764,302,403,14,45,148,44,96,2,6,32,9,22,1,0
UKN02,156882,33156,112961,1662,9103,29952,6222,21532,305,1893,67854,14330,48619,817,4088,46624,10329,33288,429,2578,12452,2275,9522,111,544,114348,23770,84010,1108,5460,10862,2126,8245,101,390,49134,10122,36057,535,2420,42470,9355,30590,366,2159,11882,2167,9118,106,491,1364,356,879,13,116,182,43,115,2,22,834,229,521,10,74,317,76,221,1,19,31,8,22,0,1,21552,4449,15579,197,1327,12265,2647,8775,103,740,8294,1635,6064,87,508,901,151,676,4,70,92,16,64,3,9,16631,4133,10128,307,2063,5158,1161,3230,82,685,8470,2180,5102,168,1020,2638,713,1551,55,319,365,79,245,2,39,2987,448,2365,37,137,1485,245,1167,17,56,1122,164,875,17,66,298,34,250,3,11,82,5,73,0,4
UKN03,170132,56873,104754,1486,7019,30921,11726,17431,266,1498,69934,23770,42409,716,3039,51506,15931,33218,391,1966,17771,5446,11696,113,516,120291,37887,77676,908,3820,9717,3442,5971,64,240,47442,15174,30321,417,1530,46231,14109,30201,324,1597,16901,5162,11183,103,453,1049,384,594,10,61,146,74,64,2,6,600,212,344,6,38,257,83,158,2,14,46,15,28,0,3,19772,6884,11731,200,957,10865,3832,6459,81,493,7796,2687,4611,105,393,976,307,592,13,64,135,58,69,1,7,24721,10434,11908,328,2051,8291,3740,3736,107,708,12345,5173,5980,168,1024,3518,1323,1879,46,270,567,198,313,7,49,4299,1284,2845,40,130,1902,638,1201,12,51,1751,524,1153,20,54,524,109,388,6,21,122,13,103,2,4
UKN04,109318,59110,47140,724,2344,26581,16206,9533,190,652,45925,24832,19746,313,1034,27507,13491,13289,176,551,9305,4581,4572,45,107,69260,35749,31972,393,1146,6984,4142,2716,35,91,29290,15340,13250,170,530,24256,11938,11731,148,439,8730,4329,4275,40,86,588,291,278,7,12,109,62,40,2,5,328,154,165,4,5,130,65,63,1,1,21,10,10,0,1,18728,11539,6741,86,362,10793,6771,3763,48,211,6996,4232,2591,35,138,805,454,335,3,13,134,82,52,0,0,17808,10105,6703,223,777,7258,4443,2389,98,328,8237,4599,3193,100,345,1979,932,939,22,86,334,131,182,3,18,2934,1426,1446,15,47,1437,788,625,7,17,1074,507,547,4,16,337,102,221,2,12,86,29,53,2,2
UKN05,146348,92539,50351,838,2620,23884,16262,6895,150,577,57775,36750,19482,357,1186,45852,28220,16720,242,670,18837,11307,7254,89,187,104307,64546,38082,511,1168,8186,5352,2731,29,74,37901,23641,13612,197,451,40386,24802,14888,205,491,17834,10751,6851,80,152,525,323,180,3,19,119,82,33,0,4,269,165,93,2,9,110,66,39,1,4,27,10,15,0,2,14015,9597,4077,72,269,7066,4950,1959,33,124,5974,4014,1795,34,131,797,523,258,3,13,178,110,65,2,1,23224,15566,6317,232,1109,6799,4793,1570,81,355,11858,7884,3292,112,570,3907,2514,1208,32,153,660,375,247,7,31,4277,2507,1695,20,55,1714,1085,602,7,20,1773,1046,690,12,25,652,315,327,1,9,138,61,76,0,1
95AA,20064,7702,11176,186,1000,3616,1402,1974,31,209,8288,3256,4468,86,478,6074,2299,3473,55,247,2086,745,1261,14,66,14243,5384,8258,111,490,1159,418,707,5,29,5625,2162,3205,45,213,5462,2092,3131,48,191,1997,712,1215,13,57,129,61,61,0,7,21,16,5,0,0,82,36,39,0,7,21,7,14,0,0,5,2,3,0,0,2385,879,1319,24,163,1399,509,797,9,84,878,333,463,14,68,97,32,54,1,10,11,5,5,0,1,2817,1216,1232,44,325,834,384,347,13,90,1493,652,632,26,183,431,155,228,4,44,59,25,25,1,8,490,162,306,7,15,203,75,118,4,6,210,73,129,1,7,63,13,46,2,2,14,1,13,0,0
95BB,31514,3774,25541,329,1870,5233,698,4125,65,345,12903,1529,10431,154,789,10035,1112,8254,86,583,3343,435,2731,24,153,23064,2568,19156,208,1132,1737,210,1440,19,68,9033,957,7550,95,431,9102,983,7555,74,490,3192,418,2611,20,143,239,25,187,5,22,33,5,25,1,2,131,12,103,4,12,65,6,52,0,7,10,2,7,0,1,4094,466,3298,51,279,2103,233,1718,20,132,1707,198,1359,26,124,263,32,206,4,21,21,3,15,1,2,3376,614,2304,57,401,993,194,648,21,130,1761,323,1208,26,204,528,88,372,7,61,94,9,76,3,6,741,101,596,8,36,367,56,294,4,13,271,39,211,3,18,77,3,69,1,4,26,3,22,0,1
95CC,21594,10165,10821,133,475,3210,1802,1290,19,99,8497,4103,4139,52,203,7059,3089,3805,38,127,2828,1171,1587,24,46,15867,7094,8456,87,230,1122,586,520,4,12,5781,2679,2995,27,80,6288,2722,3431,35,100,2676,1107,1510,21,38,61,36,22,0,3,20,13,6,0,1,32,20,12,0,0,6,3,2,0,1,3,0,2,0,1,2029,1063,914,13,39,1005,570,409,7,19,863,430,409,5,19,131,53,76,1,1,30,10,20,0,0,3029,1711,1098,31,189,837,527,240,8,62,1575,872,588,18,97,521,267,229,2,23,96,45,41,3,7,608,261,331,2,14,226,106,115,0,5,246,102,135,2,7,113,44,67,0,2,23,9,14,0,0
95DD,24817,5152,18604,213,848,4284,961,3090,39,194,10037,2101,7497,90,349,7609,1523,5791,64,231,2887,567,2226,20,74,17722,3397,13743,132,450,1309,261,1005,12,31,6833,1270,5343,52,168,6826,1320,5273,50,183,2754,546,2122,18,68,122,28,88,1,5,16,6,9,0,1,69,15,52,0,2,34,7,24,1,2,3,0,3,0,0,2778,556,2095,30,97,1561,305,1193,9,54,1081,229,798,17,37,119,19,92,4,4,17,3,12,0,2,3489,1068,2107,40,274,1122,336,665,17,104,1746,550,1053,14,129,537,166,326,8,37,84,16,63,1,4,706,103,571,10,22,276,53,218,1,4,308,37,251,7,13,93,11,76,1,5,29,2,26,1,0
95EE,11508,3212,7896,84,316,1778,454,1254,14,56,4731,1255,3297,36,143,3649,1012,2518,24,95,1350,491,827,10,22,8054,2316,5514,55,169,503,127,369,2,5,3093,813,2188,24,68,3183,899,2185,21,78,1275,477,772,8,18,66,15,51,0,0,5,0,5,0,0,33,9,24,0,0,24,4,20,0,0,4,2,2,0,0,1437,371,1020,5,41,678,165,489,5,19,633,172,442,0,19,110,31,76,0,3,16,3,13,0,0,1621,425,1075,21,100,453,131,287,6,29,831,213,553,11,54,294,73,205,3,13,43,8,30,1,4,330,85,236,3,6,139,31,104,1,3,141,48,90,1,2,38,5,32,0,1,12,1,10,1,0
95FF,18303,5673,11847,152,631,2596,889,1595,15,97,7138,2268,4515,86,269,6349,1915,4178,40,216,2220,601,1559,11,49,13466,4008,8990,103,365,835,291,525,2,17,4826,1461,3175,56,134,5691,1687,3795,35,174,2114,569,1495,10,40,79,28,49,1,1,6,3,3,0,0,46,15,30,0,1,22,8,13,1,0,5,2,3,0,0,1806,609,1100,20,77,891,293,549,9,40,786,269,476,10,31,107,40,60,1,6,22,7,15,0,0,2392,860,1327,24,181,626,225,361,3,37,1247,448,678,18,103,451,164,251,3,33,68,23,37,0,8,560,168,381,4,7,238,77,157,1,3,233,75,156,2,0,78,16,59,0,3,11,0,9,1,1
95GG,120595,54899,57007,1944,6745,48321,22479,22082,893,2867,49528,22174,23823,761,2770,18707,8365,9172,241,929,4039,1881,1930,49,179,62301,28748,30450,641,2462,13143,6599,5999,119,426,30706,13840,15251,316,1299,15320,6845,7677,169,629,3132,1464,1523,37,108,718,372,287,11,48,212,127,68,2,15,395,195,168,6,26,93,43,40,3,7,18,7,11,0,0,30818,13531,15629,302,1356,21126,9545,10488,191,902,8854,3679,4679,103,393,743,263,416,7,57,95,44,46,1,4,23632,11041,8915,945,2731,11658,5356,4322,553,1427,8809,4158,3322,322,1007,2403,1170,943,60,230,762,357,328,10,67,3126,1207,1726,45,148,2182,852,1205,28,97,764,302,403,14,45,148,44,96,2,6,32,9,22,1,0
95HH,16200,1543,13422,166,1069,3432,347,2800,40,245,6989,666,5774,77,472,4507,412,3772,36,287,1272,118,1076,13,65,11628,1043,9802,114,669,1162,120,978,11,53,5112,450,4299,59,304,4132,364,3488,31,249,1222,109,1037,13,63,119,13,95,0,11,10,2,8,0,0,71,6,58,0,7,36,5,27,0,4,2,0,2,0,0,2214,185,1866,26,137,1336,118,1121,17,80,789,62,670,8,49,83,4,70,1,8,6,1,5,0,0,1923,283,1382,22,236,771,96,558,11,106,884,140,633,8,103,235,39,168,3,25,33,8,23,0,2,316,19,277,4,16,153,11,135,1,6,133,8,114,2,9,21,0,19,1,1,9,0,9,0,0
95II,27733,5277,20552,330,1574,5020,459,4200,45,316,12435,2274,9294,166,701,8350,2201,5589,97,463,1928,343,1469,22,94,20695,4302,15198,221,974,2088,227,1773,15,73,9206,1742,6921,104,439,7568,2005,5102,82,379,1833,328,1402,20,83,201,45,140,1,15,32,4,25,0,3,108,28,71,1,8,56,12,40,0,4,5,1,4,0,0,3882,189,3378,36,279,2012,95,1758,16,143,1625,81,1415,18,111,225,12,191,0,22,20,1,14,2,3,2436,711,1380,63,282,602,120,389,11,82,1317,406,738,37,136,457,172,214,15,56,60,13,39,0,8,519,30,456,9,24,286,13,255,3,15,179,17,149,6,7,44,0,42,0,2,10,0,10,0,0
95JJ,23508,6029,16377,216,886,4986,1327,3362,52,245,10032,2517,7030,99,386,6454,1603,4582,53,216,2036,582,1403,12,39,15426,3738,11123,119,446,1352,357,945,12,38,6632,1511,4851,55,215,5590,1344,4040,42,164,1852,526,1287,10,29,159,37,114,1,7,25,4,19,0,2,94,21,68,1,4,37,12,24,0,1,3,0,3,0,0,3235,803,2282,26,124,1908,468,1347,11,82,1173,291,832,15,35,137,38,92,0,7,17,6,11,0,0,4027,1305,2364,64,294,1409,427,838,26,118,1885,635,1095,28,127,596,198,348,9,41,137,45,83,1,8,661,146,494,6,15,292,71,213,3,5,248,59,184,0,5,94,11,78,2,3,27,5,19,1,2
95KK,12904,7165,5429,64,246,1960,1142,743,8,67,5024,2799,2089,31,105,4056,2185,1791,19,61,1864,1039,806,6,13,9406,5180,4092,40,94,727,432,288,2,5,3328,1826,1444,18,40,3563,1922,1589,15,37,1788,1000,771,5,12,70,32,34,0,4,9,4,4,0,1,39,19,19,0,1,21,9,10,0,2,1,0,1,0,0,1052,557,464,7,24,499,260,226,2,11,477,252,209,5,11,64,40,22,0,2,12,5,7,0,0,2032,1220,681,15,116,604,380,174,4,46,1031,629,346,6,50,343,178,142,4,19,54,33,19,1,1,344,176,158,2,8,121,66,51,0,4,149,73,71,2,3,65,36,28,0,1,9,1,8,0,0
95LL,35931,15511,18756,330,1334,7946,3993,3502,72,379,15489,6765,7971,162,591,9633,3667,5599,71,296,2863,1086,1684,25,68,23657,9545,13342,188,582,2289,1125,1108,13,43,10081,4205,5535,87,254,8568,3200,5075,64,229,2719,1015,1624,24,56,272,129,126,3,14,46,31,13,1,1,145,58,76,2,9,70,35,32,0,3,11,5,5,0,1,4710,2195,2243,48,224,2670,1280,1251,21,118,1823,822,885,25,91,193,80,96,2,15,24,13,11,0,0,6468,3329,2566,86,487,2525,1381,907,35,202,3131,1569,1288,45,229,718,331,336,5,46,94,48,35,1,10,824,313,479,5,27,416,176,223,2,15,309,111,187,3,8,84,21,60,0,3,15,5,9,0,1
95MM,40779,29734,10087,300,658,12839,9883,2624,95,237,17083,12458,4222,125,278,8367,5765,2415,66,121,2490,1628,826,14,22,23374,16499,6442,149,284,3092,2326,719,18,29,10525,7521,2801,62,141,7418,5109,2155,55,99,2339,1543,767,14,15,226,159,58,5,4,55,40,11,2,2,130,88,38,3,1,31,25,6,0,0,10,6,3,0,1,9271,7370,1740,40,121,5659,4508,1054,23,74,3252,2576,615,15,46,311,248,60,2,1,49,38,11,0,0,6980,5054,1587,103,236,3489,2605,707,51,126,2883,2080,675,43,85,527,333,166,9,19,81,36,39,0,6,928,652,260,3,13,544,404,133,1,6,293,193,93,2,5,80,50,28,0,2,11,5,6,0,0
95NN,26206,15870,9363,187,786,4373,2942,1267,26,138,10485,6505,3556,98,326,8233,4663,3272,51,247,3115,1760,1268,12,75,18575,10887,7121,111,456,1379,877,472,9,21,6935,4200,2508,56,171,7319,4144,2936,35,204,2942,1666,1205,11,60,131,95,32,0,4,16,12,3,0,1,77,60,15,0,2,31,19,12,0,0,7,4,2,0,1,2575,1777,716,16,66,1335,941,358,6,30,1061,718,305,9,29,149,94,48,1,6,30,24,5,0,1,4252,2748,1200,56,248,1377,950,335,11,81,2116,1367,597,31,121,640,367,226,13,34,119,64,42,1,12,673,363,294,4,12,266,162,99,0,5,296,160,131,2,3,94,39,50,2,3,17,2,14,0,1
95OO,20270,12372,7412,134,352,3245,2185,951,31,78,8139,4980,2938,51,170,6273,3696,2460,37,80,2613,1511,1063,15,24,13949,8090,5658,77,124,985,580,391,8,6,5133,2984,2078,23,48,5388,3111,2194,33,50,2443,1415,995,13,20,79,53,21,1,4,21,16,3,0,2,35,20,13,1,1,19,15,3,0,1,4,2,2,0,0,2083,1424,597,15,47,1016,720,272,8,16,923,604,284,5,30,123,85,36,1,1,21,15,5,1,0,3560,2480,867,40,173,992,739,185,15,53,1800,1232,458,21,89,648,441,177,3,27,120,68,47,1,4,599,325,269,1,4,231,130,100,0,1,248,140,105,1,2,95,44,50,0,1,25,11,14,0,0
