GeographyCode,DC1102NI0001,DC1102NI0002,DC1102NI0003,DC1102NI0004,DC1102NI0005,DC1102NI0006,DC1102NI0007,DC1102NI0008,DC1102NI0009,DC1102NI0010,DC1102NI0011,DC1102NI0012,DC1102NI0013,DC1102NI0014,DC1102NI0015,DC1102NI0016,DC1102NI0017,DC1102NI0018,DC1102NI0019,DC1102NI0020,DC1102NI0021,DC1102NI0022,DC1102NI0023,DC1102NI0024,DC1102NI0025,DC1102NI0026,DC1102NI0027,DC1102NI0028,DC1102NI0029,DC1102NI0030,DC1102NI0031,DC1102NI0032,DC1102NI0033,DC1102NI0034,DC1102NI0035,DC1102NI0036,DC1102NI0037,DC1102NI0038,DC1102NI0039,DC1102NI0040,DC1102NI0041,DC1102NI0042,DC1102NI0043,DC1102NI0044,DC1102NI0045,DC1102NI0046,DC1102NI0047,DC1102NI0048
95FF,612,7,1,8,2,4,3,40,132,151,123,69,30,22,16,4,281,2,0,3,0,3,3,20,57,74,54,29,9,13,11,3,331,5,1,5,2,1,0,20,75,77,69,40,21,9,5,1
95GG,2041,71,18,28,15,14,14,117,372,442,369,241,133,71,120,16,1014,32,8,13,11,9,7,51,179,221,171,124,71,39,70,8,1027,39,10,15,4,5,7,66,193,221,198,117,62,32,50,8
95HH,340,10,3,6,2,5,4,22,62,83,62,37,19,10,14,1,145,6,3,3,1,5,2,13,19,34,23,15,6,8,6,1,195,4,0,3,1,0,2,9,43,49,39,22,13,2,8,0
95II,702,12,4,8,4,1,3,43,146,187,125,96,27,20,24,2,337,8,2,6,3,0,2,20,71,89,53,42,12,11,16,2,365,4,2,2,1,1,1,23,75,98,72,54,15,9,8,0
95JJ,858,18,9,12,2,3,6,50,150,207,180,114,43,22,39,3,396,11,4,4,1,2,3,15,63,84,85,62,28,13,19,2,462,7,5,8,1,1,3,35,87,123,95,52,15,9,20,1
95KK,496,6,6,5,0,2,5,39,128,90,87,74,23,14,17,0,236,6,4,3,0,1,3,15,53,41,41,37,13,11,8,0,260,0,2,2,0,1,2,24,75,49,46,37,10,3,9,0
95LL,1019,40,11,15,2,4,9,64,248,226,178,114,47,21,38,2,523,26,7,11,1,1,8,26,130,111,76,68,25,10,22,1,496,14,4,4,1,3,1,38,118,115,102,46,22,11,16,1
95MM,1560,35,11,22,7,5,4,107,306,340,278,194,111,57,80,3,737,22,4,13,4,4,1,47,134,159,130,88,58,34,38,1,823,13,7,9,3,1,3,60,172,181,148,106,53,23,42,2
95NN,996,26,18,9,11,3,12,56,183,217,202,123,67,25,37,7,452,9,8,4,4,2,6,26,81,95,85,54,36,16,21,5,544,17,10,5,7,1,6,30,102,122,117,69,31,9,16,2
95OO,857,11,5,7,2,2,6,60,182,214,156,106,49,23,31,3,388,5,2,7,2,2,4,25,74,97,67,54,24,8,15,2,469,6,3,0,0,0,2,35,108,117,89,52,25,15,16,1
95PP,1260,12,13,15,5,7,17,82,232,324,227,164,85,23,54,0,547,7,6,9,4,3,11,34,98,130,90,77,43,10,25,0,713,5,7,6,1,4,6,48,134,194,137,87,42,13,29,0
95QQ,351,6,2,4,2,3,1,18,86,82,48,60,26,5,8,0,160,2,1,1,2,0,1,4,38,39,23,35,7,4,3,0,191,4,1,3,0,3,0,14,48,43,25,25,19,1,5,0
95RR,415,8,3,3,2,0,1,30,97,97,76,54,26,8,9,1,190,4,1,2,1,0,1,11,43,50,27,27,14,4,4,1,225,4,2,1,1,0,0,19,54,47,49,27,12,4,5,0
95SS,1238,32,13,29,14,11,8,89,236,247,242,148,91,32,44,2,551,15,8,17,8,3,5,39,94,105,109,64,46,12,25,1,687,17,5,12,6,8,3,50,142,142,133,84,45,20,19,1
95TT,616,12,3,8,3,3,5,50,151,124,115,74,33,16,18,1,292,7,1,4,1,3,3,17,77,56,47,47,11,6,12,0,324,5,2,4,2,0,2,33,74,68,68,27,22,10,6,1
95UU,277,7,4,3,4,2,8,19,48,51,57,37,12,9,12,4,117,2,3,1,2,0,5,9,22,20,20,14,7,5,4,3,160,5,1,2,2,2,3,10,26,31,37,23,5,4,8,1
95VV,1501,33,9,18,10,8,13,97,355,318,255,180,88,48,62,7,643,19,7,6,5,5,7,36,132,140,113,73,40,24,34,2,858,14,2,12,5,3,6,61,223,178,142,107,48,24,28,5
95WW,668,19,9,12,3,5,8,43,120,156,117,76,40,18,39,3,309,9,5,6,1,3,6,15,48,69,53,33,23,9,26,3,359,10,4,6,2,2,2,28,72,87,64,43,17,9,13,0
95XX,1013,18,7,23,9,8,8,42,196,230,189,131,72,35,42,3,489,7,5,13,6,6,6,17,81,114,92,58,35,20,27,2,524,11,2,10,3,2,2,25,115,116,97,73,37,15,15,1
95YY,985,8,1,4,5,3,4,52,215,247,189,101,69,37,47,3,465,5,0,3,3,1,2,24,92,109,92,49,35,18,29,3,520,3,1,1,2,2,2,28,123,138,97,52,34,19,18,0
95ZZ,581,8,5,2,3,4,5,28,131,141,111,76,35,15,15,2,262,6,2,1,0,4,2,10,58,60,43,39,18,10,7,2,319,2,3,1,3,0,3,18,73,81,68,37,17,5,8,0
