GeographyCode,DC2217NI0001,DC2217NI0002,DC2217NI0003,DC2217NI0004,DC2217NI0005,DC2217NI0006,DC2217NI0007,DC2217NI0008,DC2217NI0009,DC2217NI0010,DC2217NI0011,DC2217NI0012,DC2217NI0013,DC2217NI0014,DC2217NI0015,DC2217NI0016,DC2217NI0017,DC2217NI0018,DC2217NI0019,DC2217NI0020,DC2217NI0021,DC2217NI0022,DC2217NI0023,DC2217NI0024,DC2217NI0025,DC2217NI0026,DC2217NI0027,DC2217NI0028,DC2217NI0029,DC2217NI0030,DC2217NI0031,DC2217NI0032,DC2217NI0033,DC2217NI0034,DC2217NI0035,DC2217NI0036,DC2217NI0037,DC2217NI0038,DC2217NI0039,DC2217NI0040,DC2217NI0041,DC2217NI0042,DC2217NI0043,DC2217NI0044,DC2217NI0045,DC2217NI0046,DC2217NI0047,DC2217NI0048,DC2217NI0049,DC2217NI0050,DC2217NI0051,DC2217NI0052,DC2217NI0053,DC2217NI0054,DC2217NI0055,DC2217NI0056,DC2217NI0057,DC2217NI0058,DC2217NI0059,DC2217NI0060,DC2217NI0061,DC2217NI0062,DC2217NI0063,DC2217NI0064,DC2217NI0065,DC2217NI0066,DC2217NI0067,DC2217NI0068,DC2217NI0069,DC2217NI0070,DC2217NI0071,DC2217NI0072,DC2217NI0073,DC2217NI0074,DC2217NI0075,DC2217NI0076,DC2217NI0077,DC2217NI0078,DC2217NI0079,DC2217NI0080,DC2217NI0081,DC2217NI0082,DC2217NI0083,DC2217NI0084,DC2217NI0085,DC2217NI0086,DC2217NI0087,DC2217NI0088,DC2217NI0089,DC2217NI0090,DC2217NI0091
95OO,55075,49935,5140,1215,2018,1601,306,17141,17026,115,43,44,18,10,21265,20795,470,237,145,61,27,14918,14834,84,34,33,11,6,363,336,27,13,8,5,1,144,137,7,3,2,2,0,28,25,3,1,1,1,0,944,84,860,190,352,268,50,3709,130,3579,687,1437,1222,233,1366,31,1335,274,530,431,100,1780,72,1708,309,705,593,101,563,27,536,104,202,198,32,549,211,338,110,142,77,9
95PP,59282,57652,1630,565,653,342,70,22122,22045,77,36,27,11,3,21350,21166,184,101,52,20,11,17494,17445,49,28,11,6,4,783,780,3,1,2,0,0,231,230,1,0,1,0,0,43,42,1,1,0,0,0,168,39,129,71,43,11,4,1190,50,1140,290,503,295,52,627,24,603,163,273,143,24,332,8,324,63,140,107,14,231,18,213,64,90,45,14,426,264,162,80,59,21,2
95QQ,31065,30819,246,114,97,33,2,21699,21659,40,7,16,16,1,3150,3132,18,15,2,0,1,9677,9659,18,10,7,1,0,356,355,1,1,0,0,0,275,272,3,3,0,0,0,32,30,2,2,0,0,0,90,30,60,35,21,4,0,98,8,90,32,51,7,0,35,3,32,11,19,2,0,7,0,7,5,2,0,0,56,5,51,16,30,5,0,175,135,40,20,13,6,1
95RR,32150,31787,363,145,117,72,29,13670,13642,28,14,3,8,3,10192,10127,65,32,15,15,3,9852,9839,13,4,3,3,3,288,288,0,0,0,0,0,175,174,1,0,1,0,0,40,38,2,2,0,0,0,29,9,20,15,2,2,1,219,8,211,53,89,51,18,150,2,148,44,62,34,8,27,3,24,4,7,13,0,42,3,39,5,20,4,10,192,128,64,42,11,7,4
95SS,114825,112324,2501,1230,830,374,67,64178,63779,399,193,129,61,16,28033,27560,473,356,84,26,7,32775,32677,98,66,19,9,4,1506,1497,9,6,2,1,0,743,742,1,1,0,0,0,151,146,5,4,1,0,0,280,111,169,123,33,12,1,1210,72,1138,351,496,251,40,693,34,659,185,276,172,26,276,19,257,77,127,47,6,241,19,222,89,93,32,8,1164,736,428,244,136,47,1
95TT,42883,41691,1192,411,411,319,51,13593,13543,50,24,12,13,1,18211,17974,237,170,42,17,8,12690,12656,34,16,11,3,4,286,286,0,0,0,0,0,143,139,4,4,0,0,0,18,18,0,0,0,0,0,39,13,26,22,4,0,0,883,23,860,174,351,293,42,434,3,431,72,188,150,21,225,8,217,56,81,72,8,224,12,212,46,82,71,13,279,204,75,32,26,14,3
95UU,16423,16205,218,118,52,36,12,6364,6342,22,12,7,1,2,5585,5508,77,61,11,4,1,5273,5250,23,9,3,3,8,198,198,0,0,0,0,0,148,147,1,1,0,0,0,20,20,0,0,0,0,0,30,10,20,17,3,0,0,75,4,71,18,28,24,1,47,1,46,14,15,16,1,13,1,12,2,7,3,0,15,2,13,2,6,5,0,118,77,41,19,12,9,1
95VV,94839,91046,3793,1225,1439,881,248,19322,19174,148,63,44,26,15,50044,49621,423,261,102,40,20,26242,26168,74,41,26,5,2,743,734,9,9,0,0,0,342,340,2,1,1,0,0,77,76,1,0,1,0,0,213,63,150,100,36,12,2,3055,125,2930,704,1213,810,203,1810,65,1745,414,716,483,132,749,33,716,145,308,207,56,496,27,469,145,189,120,15,742,449,293,144,104,28,17
95WW,81578,79775,1803,714,685,332,72,54504,54159,345,159,105,60,21,10876,10671,205,130,45,21,9,25202,25140,62,32,18,9,3,655,648,7,1,3,3,0,350,347,3,3,0,0,0,77,75,2,2,0,0,0,163,46,117,76,36,4,1,738,46,692,149,324,183,36,609,35,574,114,272,157,31,34,0,34,7,15,8,4,95,11,84,28,37,18,1,990,450,540,239,213,81,7
95XX,76068,74776,1292,625,452,173,42,54186,53934,252,121,75,40,16,6923,6850,73,43,17,11,2,24839,24753,86,45,21,12,8,1481,1477,4,1,3,0,0,706,702,4,3,0,0,1,129,126,3,1,1,0,1,267,111,156,117,26,12,1,481,32,449,159,199,77,14,301,12,289,99,138,45,7,32,3,29,15,12,1,1,148,17,131,45,49,31,6,1009,630,379,198,142,33,6
95YY,49120,47566,1554,438,598,448,70,14159,14075,84,41,22,15,6,19975,19776,199,124,39,31,5,16063,16032,31,17,6,4,4,313,311,2,0,2,0,0,189,188,1,1,0,0,0,35,32,3,3,0,0,0,80,26,54,30,15,6,3,1208,40,1168,214,507,395,52,650,11,639,93,282,230,34,117,5,112,26,51,32,3,441,24,417,95,174,133,15,329,238,91,36,31,22,2
95ZZ,38209,37681,528,223,160,113,32,12640,12610,30,15,8,3,4,14929,14803,126,105,9,4,8,12139,12107,32,17,9,5,1,293,293,0,0,0,0,0,220,219,1,1,0,0,0,30,30,0,0,0,0,0,30,12,18,9,6,3,0,299,10,289,64,111,94,20,197,5,192,42,73,63,14,12,5,7,0,5,2,0,90,0,90,22,33,29,6,163,110,53,23,24,6,0
