ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC6603NI0021,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, Full-time hours worked per week: 49 or more hours"
DC6603NI0022,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, All usual residents aged 16 to 74"
DC6603NI0023,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, Part-time hours worked per week: Total"
DC6603NI0024,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, Part-time hours worked per week: 15 hours or less"
DC6603NI0025,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0026,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, Full-time hours worked per week: Total"
DC6603NI0027,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0028,Count,PERSONS,"All categories: Sex, All categories: Age, 12.Other managers and proprietors, Full-time hours worked per week: 49 or more hours"
DC6603NI0029,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, All usual residents aged 16 to 74"
DC6603NI0030,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, Part-time hours worked per week: Total"
DC6603NI0031,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0032,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0033,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, Full-time hours worked per week: Total"
DC6603NI0034,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0035,Count,PERSONS,"All categories: Sex, All categories: Age, 2.Professional occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0036,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, All usual residents aged 16 to 74"
DC6603NI0037,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: Total"
DC6603NI0038,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0039,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0040,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: Total"
DC6603NI0041,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0042,Count,PERSONS,"All categories: Sex, All categories: Age, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0043,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, All usual residents aged 16 to 74"
DC6603NI0044,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, Part-time hours worked per week: Total"
DC6603NI0045,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0046,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0047,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, Full-time hours worked per week: Total"
DC6603NI0048,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0049,Count,PERSONS,"All categories: Sex, All categories: Age, 22.Health professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0050,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, All usual residents aged 16 to 74"
DC6603NI0051,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, Part-time hours worked per week: Total"
DC6603NI0052,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0053,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0054,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, Full-time hours worked per week: Total"
DC6603NI0055,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0056,Count,PERSONS,"All categories: Sex, All categories: Age, 23.Teaching and educational professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0057,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, All usual residents aged 16 to 74"
DC6603NI0058,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, Part-time hours worked per week: Total"
DC6603NI0059,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0060,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0061,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, Full-time hours worked per week: Total"
DC6603NI0062,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0063,Count,PERSONS,"All categories: Sex, All categories: Age, 24.Business, media and public service professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0064,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, All usual residents aged 16 to 74"
DC6603NI0065,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, Part-time hours worked per week: Total"
DC6603NI0066,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0067,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0068,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, Full-time hours worked per week: Total"
DC6603NI0069,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0070,Count,PERSONS,"All categories: Sex, All categories: Age, 3.Associate professional and technical occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0071,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, All usual residents aged 16 to 74"
DC6603NI0072,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: Total"
DC6603NI0073,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0074,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0075,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: Total"
DC6603NI0076,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0077,Count,PERSONS,"All categories: Sex, All categories: Age, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0078,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, All usual residents aged 16 to 74"
DC6603NI0079,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, Part-time hours worked per week: Total"
DC6603NI0080,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0081,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0082,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, Full-time hours worked per week: Total"
DC6603NI0083,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0084,Count,PERSONS,"All categories: Sex, All categories: Age, 32.Health and social care associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0085,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, All usual residents aged 16 to 74"
DC6603NI0086,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, Part-time hours worked per week: Total"
DC6603NI0087,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0088,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0089,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, Full-time hours worked per week: Total"
DC6603NI0090,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0091,Count,PERSONS,"All categories: Sex, All categories: Age, 33.Protective service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0092,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, All usual residents aged 16 to 74"
DC6603NI0093,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, Part-time hours worked per week: Total"
DC6603NI0094,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0095,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0096,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, Full-time hours worked per week: Total"
DC6603NI0097,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0098,Count,PERSONS,"All categories: Sex, All categories: Age, 34.Culture, media and sports occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0099,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, All usual residents aged 16 to 74"
DC6603NI0100,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, Part-time hours worked per week: Total"
DC6603NI0101,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI0102,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0103,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, Full-time hours worked per week: Total"
DC6603NI0104,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0105,Count,PERSONS,"All categories: Sex, All categories: Age, 35.Business and public service associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI0106,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, All usual residents aged 16 to 74"
DC6603NI0107,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, Part-time hours worked per week: Total"
DC6603NI0108,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0109,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0110,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, Full-time hours worked per week: Total"
DC6603NI0111,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0112,Count,PERSONS,"All categories: Sex, All categories: Age, 4.Administrative and secretarial occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0113,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, All usual residents aged 16 to 74"
DC6603NI0114,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, Part-time hours worked per week: Total"
DC6603NI0115,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0116,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0117,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, Full-time hours worked per week: Total"
DC6603NI0118,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0119,Count,PERSONS,"All categories: Sex, All categories: Age, 41.Administrative occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0120,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, All usual residents aged 16 to 74"
DC6603NI0121,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, Part-time hours worked per week: Total"
DC6603NI0122,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0123,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0124,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, Full-time hours worked per week: Total"
DC6603NI0125,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0126,Count,PERSONS,"All categories: Sex, All categories: Age, 42.Secretarial and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0127,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, All usual residents aged 16 to 74"
DC6603NI0128,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, Part-time hours worked per week: Total"
DC6603NI0129,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0130,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0131,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, Full-time hours worked per week: Total"
DC6603NI0132,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0133,Count,PERSONS,"All categories: Sex, All categories: Age, 5.Skilled trades occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0134,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, All usual residents aged 16 to 74"
DC6603NI0135,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, Part-time hours worked per week: Total"
DC6603NI0136,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0137,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0138,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, Full-time hours worked per week: Total"
DC6603NI0139,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0140,Count,PERSONS,"All categories: Sex, All categories: Age, 51.Skilled agricultural and related trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0141,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, All usual residents aged 16 to 74"
DC6603NI0142,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: Total"
DC6603NI0143,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0144,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0145,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: Total"
DC6603NI0146,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0147,Count,PERSONS,"All categories: Sex, All categories: Age, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0148,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, All usual residents aged 16 to 74"
DC6603NI0149,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, Part-time hours worked per week: Total"
DC6603NI0150,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0151,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0152,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, Full-time hours worked per week: Total"
DC6603NI0153,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0154,Count,PERSONS,"All categories: Sex, All categories: Age, 53.Skilled construction and building trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0155,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, All usual residents aged 16 to 74"
DC6603NI0156,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: Total"
DC6603NI0157,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 15 hours or less"
DC6603NI0158,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0159,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: Total"
DC6603NI0160,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0161,Count,PERSONS,"All categories: Sex, All categories: Age, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 49 or more hours"
DC6603NI0162,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, All usual residents aged 16 to 74"
DC6603NI0163,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, Part-time hours worked per week: Total"
DC6603NI0164,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0165,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0166,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, Full-time hours worked per week: Total"
DC6603NI0167,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0168,Count,PERSONS,"All categories: Sex, All categories: Age, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0169,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, All usual residents aged 16 to 74"
DC6603NI0170,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, Part-time hours worked per week: Total"
DC6603NI0171,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0172,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0173,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, Full-time hours worked per week: Total"
DC6603NI0174,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0175,Count,PERSONS,"All categories: Sex, All categories: Age, 61.Caring personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0176,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, All usual residents aged 16 to 74"
DC6603NI0177,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: Total"
DC6603NI0178,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0179,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0180,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: Total"
DC6603NI0181,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0182,Count,PERSONS,"All categories: Sex, All categories: Age, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0183,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, All usual residents aged 16 to 74"
DC6603NI0184,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, Part-time hours worked per week: Total"
DC6603NI0185,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0186,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0187,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, Full-time hours worked per week: Total"
DC6603NI0188,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0189,Count,PERSONS,"All categories: Sex, All categories: Age, 7.Sales and customer service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0190,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, All usual residents aged 16 to 74"
DC6603NI0191,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, Part-time hours worked per week: Total"
DC6603NI0192,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0193,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0194,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, Full-time hours worked per week: Total"
DC6603NI0195,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0196,Count,PERSONS,"All categories: Sex, All categories: Age, 71.Sales occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0197,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, All usual residents aged 16 to 74"
DC6603NI0198,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, Part-time hours worked per week: Total"
DC6603NI0199,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI0200,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0201,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, Full-time hours worked per week: Total"
DC6603NI0202,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0203,Count,PERSONS,"All categories: Sex, All categories: Age, 72.Customer service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI0204,Count,PERSONS,"All categories: Sex, All categories: Age, 8.Process, plant and machine operatives, All usual residents aged 16 to 74"
DC6603NI0205,Count,PERSONS,"All categories: Sex, All categories: Age, 8.Process, plant and machine operatives, Part-time hours worked per week: Total"
DC6603NI0206,Count,PERSONS,"All categories: Sex, All categories: Age, 8.Process, plant and machine operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI0207,Count,PERSONS,"All categories: Sex, All categories: Age, 8.Process, plant and machine operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0208,Count,PERSONS,"All categories: Sex, All categories: Age, 8.Process, plant and machine operatives, Full-time hours worked per week: Total"
