GeographyCode,DC2248NI0001,DC2248NI0002,DC2248NI0003,DC2248NI0004,DC2248NI0005,DC2248NI0006,DC2248NI0007,DC2248NI0008,DC2248NI0009,DC2248NI0010,DC2248NI0011,DC2248NI0012,DC2248NI0013,DC2248NI0014,DC2248NI0015,DC2248NI0016,DC2248NI0017,DC2248NI0018,DC2248NI0019,DC2248NI0020,DC2248NI0021,DC2248NI0022,DC2248NI0023,DC2248NI0024,DC2248NI0025,DC2248NI0026,DC2248NI0027,DC2248NI0028,DC2248NI0029,DC2248NI0030,DC2248NI0031,DC2248NI0032,DC2248NI0033,DC2248NI0034,DC2248NI0035,DC2248NI0036,DC2248NI0037,DC2248NI0038,DC2248NI0039,DC2248NI0040,DC2248NI0041,DC2248NI0042,DC2248NI0043,DC2248NI0044,DC2248NI0045,DC2248NI0046,DC2248NI0047,DC2248NI0048,DC2248NI0049,DC2248NI0050,DC2248NI0051,DC2248NI0052,DC2248NI0053,DC2248NI0054,DC2248NI0055,DC2248NI0056,DC2248NI0057,DC2248NI0058,DC2248NI0059,DC2248NI0060,DC2248NI0061,DC2248NI0062,DC2248NI0063,DC2248NI0064,DC2248NI0065,DC2248NI0066,DC2248NI0067,DC2248NI0068,DC2248NI0069,DC2248NI0070,DC2248NI0071,DC2248NI0072,DC2248NI0073,DC2248NI0074,DC2248NI0075,DC2248NI0076,DC2248NI0077,DC2248NI0078,DC2248NI0079,DC2248NI0080
WELB,294417,199299,87582,1640,5896,291174,197896,87086,817,5375,290923,197663,87073,816,5371,251,233,13,1,4,1972,712,215,684,361,486,83,51,45,307,893,351,90,429,23,99,7,5,78,9,21,1,5,15,0,473,270,64,117,22,237,83,97,25,32,64,17,29,5,13,115,40,43,19,13,58,26,25,1,6,740,467,128,54,91,294,141,56,60,37
UKN01,280962,136497,118856,4825,20784,270945,133818,117196,1707,18224,270743,133650,117172,1705,18216,202,168,24,2,8,6785,1641,701,2499,1944,2226,129,245,200,1652,2203,517,157,1361,168,222,5,3,202,12,202,3,6,176,17,1932,987,290,560,95,1255,311,481,279,184,90,23,52,2,13,1017,254,382,249,132,148,34,47,28,39,1401,526,373,168,334,576,201,105,172,98
UKN02,390597,92393,259368,4128,34708,382884,90409,257440,2363,32672,382752,90306,257417,2361,32668,132,103,23,2,4,4891,1346,714,1358,1473,1685,49,258,111,1267,1527,666,226,553,82,359,11,7,324,17,105,3,4,95,3,1215,617,219,275,104,756,139,422,105,90,90,18,54,5,13,499,92,287,75,45,167,29,81,25,32,1588,404,601,172,411,478,95,191,130,62
UKN03,438823,156162,251695,3668,27298,433005,154306,250252,2450,25997,432805,154151,250219,2447,25988,200,155,33,3,9,3365,1049,475,959,882,1060,55,148,73,784,935,430,168,303,34,299,24,7,257,11,186,1,3,174,8,885,539,149,152,45,708,261,315,58,74,86,23,56,2,5,397,123,184,43,47,225,115,75,13,22,1306,420,488,125,273,439,126,165,76,72
UKN04,288597,163249,114709,1853,8786,285124,162020,114070,965,8069,284968,161879,114058,964,8067,156,141,12,1,2,2080,596,227,741,516,640,85,63,43,449,895,288,109,458,40,87,4,0,78,5,23,0,5,18,0,435,219,50,144,22,285,91,141,24,29,68,20,30,6,12,157,47,82,16,12,60,24,29,2,5,818,427,206,50,135,290,115,65,73,37
UKN05,411884,269084,131089,2118,9593,407792,267023,130457,1440,8872,407181,266458,130419,1439,8865,611,565,38,1,7,2009,754,225,521,509,692,100,72,54,466,638,275,63,277,23,124,16,6,98,4,24,4,3,16,1,531,359,81,76,15,612,402,116,45,49,38,19,15,3,1,275,143,69,35,28,299,240,32,7,20,901,544,194,62,101,570,361,97,50,62
95AA,53428,22010,26970,498,3950,52311,21638,26690,250,3733,52291,21626,26685,250,3730,20,12,5,0,3,729,261,102,214,152,168,10,12,20,126,366,154,58,142,12,46,3,5,29,9,3,0,1,2,0,146,94,26,21,5,141,32,83,17,9,22,6,15,0,1,86,19,47,15,5,33,7,21,2,3,213,66,87,11,49,34,13,8,6,7
95BB,78078,9904,60054,819,7301,77278,9776,59818,592,7092,77267,9773,59815,592,7087,11,3,3,0,5,495,107,60,192,136,161,7,20,4,130,61,29,10,18,4,11,2,1,8,0,134,0,1,133,0,128,69,28,29,2,41,7,28,4,2,2,0,2,0,0,24,4,15,3,2,15,3,11,1,0,200,9,116,19,56,64,5,32,12,15
95CC,59340,28698,28486,356,1800,58889,28542,28371,280,1696,58814,28471,28368,280,1695,75,71,3,0,1,288,99,50,62,77,117,16,16,13,72,105,54,21,27,3,13,2,0,11,0,4,0,0,3,1,49,27,13,8,1,13,5,7,0,1,4,2,2,0,0,5,2,2,0,1,4,1,3,0,0,99,27,44,11,17,51,25,14,3,9
95DD,64044,14440,45700,546,3358,63431,14279,45538,406,3208,63350,14209,45529,405,3207,81,70,9,1,1,392,122,56,111,103,128,5,23,9,91,86,34,23,26,3,52,4,0,47,1,6,0,0,4,2,120,79,10,25,6,47,6,27,11,3,3,0,3,0,0,34,3,19,10,2,10,3,5,1,1,99,22,38,7,32,75,11,41,11,12
95EE,31224,9928,19687,191,1418,31063,9902,19639,164,1358,31054,9893,19639,164,1358,9,9,0,0,0,86,7,16,23,40,45,1,3,3,38,32,4,9,18,1,0,0,0,0,0,0,0,0,0,0,9,2,4,2,1,10,2,5,3,0,7,2,2,3,0,2,0,2,0,0,1,0,1,0,0,54,14,26,0,14,11,3,1,1,6
95FF,48339,15479,29979,361,2520,47955,15391,29847,266,2451,47944,15384,29843,266,2451,11,7,4,0,0,198,37,41,68,52,76,4,19,7,46,32,11,4,17,0,21,1,1,19,0,6,0,1,5,0,63,21,16,20,6,18,6,12,0,0,7,0,7,0,0,7,4,3,0,0,4,2,2,0,0,119,33,54,17,15,49,12,25,10,2
95GG,280962,136497,118856,4825,20784,270945,133818,117196,1707,18224,270743,133650,117172,1705,18216,202,168,24,2,8,6785,1641,701,2499,1944,2226,129,245,200,1652,2203,517,157,1361,168,222,5,3,202,12,202,3,6,176,17,1932,987,290,560,95,1255,311,481,279,184,90,23,52,2,13,1017,254,382,249,132,148,34,47,28,39,1401,526,373,168,334,576,201,105,172,98
95HH,39114,3738,31005,357,4014,38621,3636,30845,265,3875,38617,3635,30842,265,3875,4,1,3,0,0,252,61,41,68,82,93,2,14,7,70,77,39,13,22,3,16,0,0,16,0,5,0,1,4,0,61,20,13,19,9,43,11,22,6,4,3,1,2,0,0,31,9,17,2,3,9,1,3,4,1,169,28,83,10,48,29,2,14,8,5
95II,67242,14955,45669,842,5776,65276,14406,45212,403,5255,65266,14399,45210,403,5254,10,7,2,0,1,1410,417,222,342,429,496,9,100,24,363,317,135,37,126,19,96,0,1,91,4,38,1,1,35,1,463,272,83,66,42,129,24,75,16,14,11,5,4,0,2,110,19,64,16,11,8,0,7,0,1,308,81,119,43,65,119,27,41,38,13
95JJ,59067,16552,38560,541,3414,58179,16376,38321,331,3151,58168,16369,38318,331,3150,11,7,3,0,1,529,100,62,164,203,222,16,27,4,175,131,21,15,75,20,36,2,0,34,0,8,0,2,6,0,132,61,18,45,8,76,17,55,2,2,5,3,2,0,0,61,14,44,1,2,10,0,9,1,0,199,41,92,18,48,84,18,30,26,10
95KK,37013,21933,13982,177,921,36703,21807,13931,140,825,36697,21801,13931,140,825,6,6,0,0,0,141,29,12,33,67,89,10,10,4,65,20,11,0,9,0,15,0,0,15,0,0,0,0,0,0,17,8,2,5,2,98,65,21,0,12,8,6,2,0,0,62,36,19,0,7,28,23,0,0,5,61,28,16,1,16,10,4,2,3,1
95LL,93023,42735,44686,851,4751,91093,41994,44319,457,4323,91043,41949,44314,457,4323,50,45,5,0,0,1102,354,149,303,296,336,13,43,21,259,237,96,52,79,10,162,11,0,150,1,15,0,0,13,2,352,234,54,40,24,303,162,79,13,49,21,9,9,2,1,182,77,60,11,34,100,76,10,0,14,388,165,107,50,66,137,60,32,28,17
95MM,107877,80729,24105,823,2220,106079,79987,23863,291,1938,106005,79923,23854,291,1937,74,64,9,0,1,1114,346,104,454,210,258,38,18,20,182,608,205,74,318,11,47,2,0,40,5,12,0,0,12,0,189,101,12,64,12,171,63,64,18,26,51,13,23,3,12,82,28,30,14,10,38,22,11,1,4,388,267,59,23,39,125,66,15,37,7
95NN,69731,43591,22372,409,3359,68949,43271,22170,318,3190,68929,43255,22166,318,3190,20,16,4,0,0,349,139,44,58,108,137,13,20,6,98,123,90,9,19,5,4,2,0,2,0,21,1,0,16,4,64,33,15,15,1,145,47,77,13,8,26,7,16,0,3,58,16,36,4,2,61,24,25,9,3,214,112,55,11,36,74,22,26,9,17
95OO,57852,37087,19111,324,1330,56635,36227,18985,230,1193,56405,36000,18984,230,1191,230,227,1,0,2,351,188,46,45,72,94,8,7,9,70,101,54,25,21,1,7,3,1,3,0,5,2,0,3,0,144,121,13,9,1,370,281,32,32,25,9,7,1,1,0,135,76,19,27,13,226,198,12,4,12,244,184,26,7,27,252,207,22,10,13
95PP,61805,36563,23350,353,1539,61232,36309,23236,236,1451,61195,36276,23233,236,1450,37,33,3,0,1,347,151,51,90,55,75,11,12,9,43,136,86,10,36,4,37,3,5,25,4,5,1,2,2,0,94,50,22,18,4,29,11,15,2,1,8,3,4,1,0,13,6,5,1,1,8,2,6,0,0,125,61,27,19,18,72,31,21,6,14
95QQ,32180,8003,21934,184,2059,31988,7957,21870,161,2000,31981,7955,21867,159,2000,7,2,3,2,0,100,29,23,13,35,54,3,11,6,34,30,16,12,2,0,3,1,0,2,0,1,0,0,1,0,12,9,0,2,1,13,1,9,0,3,5,1,4,0,0,6,0,4,0,2,2,0,1,0,1,73,13,31,10,19,6,3,1,0,2
95RR,33536,20014,12625,103,794,33305,19902,12572,81,750,33285,19882,12572,81,750,20,20,0,0,0,130,66,22,18,24,43,11,9,1,22,21,12,2,6,1,3,0,0,3,0,3,0,3,0,0,60,43,8,8,1,14,4,9,1,0,1,0,1,0,0,6,4,1,1,0,7,0,7,0,0,66,30,19,0,17,21,12,3,3,3
95SS,120165,43815,67197,1009,8144,118197,43197,66644,632,7724,118097,43112,66633,631,7721,100,85,11,1,3,1141,374,214,255,298,348,16,61,19,252,460,223,86,124,27,53,4,4,45,0,7,0,1,6,0,273,131,62,61,19,239,46,120,41,32,17,1,13,2,1,155,30,79,33,13,67,15,28,6,18,447,167,151,54,75,141,31,68,27,15
95TT,45038,29728,14179,212,919,44697,29595,14124,141,837,44675,29582,14115,141,837,22,13,9,0,0,192,49,22,56,65,87,15,15,3,54,66,11,1,44,10,1,0,0,1,0,1,0,1,0,0,37,23,5,8,1,9,4,4,1,0,4,0,4,0,0,3,2,0,1,0,2,2,0,0,0,94,62,21,5,6,46,18,8,9,11
95UU,17050,10155,6310,78,507,16915,10098,6282,48,487,16915,10098,6282,48,487,0,0,0,0,0,82,32,14,21,15,29,9,2,5,13,41,23,6,10,2,0,0,0,0,0,0,0,0,0,0,12,0,6,6,0,5,2,3,0,0,2,1,1,0,0,2,0,2,0,0,1,1,0,0,0,37,22,6,7,2,11,1,5,2,3
95VV,99480,78953,17901,452,2174,98661,78600,17788,254,2019,98498,78460,17767,253,2018,163,140,21,1,1,448,134,15,174,125,163,27,4,11,121,144,34,5,102,3,40,6,0,34,0,8,1,0,7,0,93,66,6,20,1,79,34,33,6,6,3,1,2,0,0,47,20,20,3,4,29,13,11,3,2,191,126,41,9,15,101,59,24,9,9
95WW,85139,19204,57688,1006,7241,83351,18855,57361,476,6659,83344,18848,57361,476,6659,7,7,0,0,0,1292,256,123,448,465,503,12,47,38,406,442,135,55,224,28,111,2,1,98,10,12,2,0,10,0,224,105,20,78,21,114,15,68,18,13,9,1,5,1,2,87,14,55,10,8,18,0,8,7,3,307,64,114,34,95,75,14,22,30,9
95XX,78937,10681,57809,914,9533,77439,10315,57378,587,9159,77428,10312,57371,586,9159,11,3,7,1,0,796,238,114,245,199,245,10,36,23,176,231,134,35,57,5,83,5,1,74,3,43,0,1,40,2,194,89,41,51,13,231,43,137,24,27,50,10,30,2,8,116,20,72,14,10,65,13,35,8,9,357,64,134,31,128,114,21,46,27,20
95YY,51356,36122,14080,244,910,50975,35943,14022,159,851,50897,35868,14021,159,849,78,75,1,0,2,242,104,29,61,48,67,13,8,5,41,66,25,1,38,2,11,2,0,9,0,1,0,0,1,0,97,64,20,8,5,14,2,4,4,4,2,0,0,1,1,10,1,4,3,2,2,1,0,0,1,87,56,19,10,2,38,17,6,10,5
95ZZ,39843,25871,13422,117,433,39583,25755,13393,50,385,39541,25714,13393,49,385,42,41,0,1,0,139,45,9,61,24,43,10,4,10,19,62,23,3,31,5,1,0,0,1,0,0,0,0,0,0,33,12,2,19,0,9,3,5,0,1,2,1,1,0,0,4,1,3,0,0,3,1,1,0,1,74,53,4,2,15,38,15,11,4,8
