GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
WELB,109206,71962,34853,641,1750,29406,19190,9556,158,502,10956,6486,4346,42,82,18450,12704,5210,116,420,71091,46629,22986,420,1056,5810,3135,2609,33,33,42826,27478,14480,275,593,9663,5535,3882,65,181,22907,15195,7195,168,349,10256,6748,3403,42,63,5011,3196,1592,33,190,2497,1584,803,18,92,2277,1467,698,15,97,237,145,91,0,1,17444,12820,4305,79,240,11233,8512,2484,47,190,6211,4308,1821,32,50,8709,6143,2311,63,192,3602,2627,899,24,52,71,46,17,0,8,590,389,193,5,3,4446,3081,1202,34,129
UKN01,120595,54899,57007,1944,6745,42401,17293,22312,624,2172,14555,5061,9192,109,193,27846,12232,13120,515,1979,64315,30069,29949,996,3301,6375,2096,4159,51,69,29604,13352,14175,679,1398,8786,3248,4901,181,456,14162,6818,6100,447,797,6656,3286,3174,51,145,7316,3175,3091,109,941,4445,1990,1790,51,614,2565,1066,1128,56,315,306,119,173,2,12,21020,11446,8524,157,893,14184,7792,5541,117,734,6836,3654,2983,40,159,13879,7537,4746,324,1272,3542,2179,1082,61,220,1592,794,579,47,172,615,281,326,3,5,8130,4283,2759,213,875
UKN02,156882,33156,112961,1662,9103,43525,7301,33583,514,2127,18382,2033,15918,158,273,25143,5268,17665,356,1854,105299,23447,74588,1028,6236,12969,1387,11313,100,169,62440,13807,44516,685,3432,18990,3222,14587,220,961,31234,8053,20754,374,2053,12216,2532,9175,91,418,9461,2574,5546,81,1260,5250,1433,3096,41,680,3765,1054,2139,37,535,446,87,311,3,45,20429,5679,13213,162,1375,13407,4163,8014,106,1124,7022,1516,5199,56,251,8058,2408,4790,120,740,3200,1086,1769,59,286,66,19,34,1,12,503,75,418,3,7,4289,1228,2569,57,435
UKN03,170132,56873,104754,1486,7019,44655,14154,28455,445,1601,18500,5002,13142,141,215,26155,9152,15313,304,1386,115487,38544,71261,933,4749,12495,2733,9537,92,133,71084,23347,44567,610,2560,20256,5185,14136,183,752,35953,12952,21148,330,1523,14875,5210,9283,97,285,9870,3576,5193,77,1024,4982,1725,2731,38,488,4360,1671,2149,31,509,528,180,313,8,27,22038,8888,11964,154,1032,13889,5795,7161,91,842,8149,3093,4803,63,190,9990,4175,5038,108,669,4092,1818,1987,46,241,19,8,10,1,0,766,274,480,6,6,5113,2075,2561,55,422
UKN04,109318,59110,47140,724,2344,29564,15569,13143,187,665,11182,5132,5903,54,93,18382,10437,7240,133,572,70880,38135,30856,467,1422,6651,2632,3945,29,45,41354,21756,18524,304,770,10310,4447,5528,94,241,21297,11954,8721,169,453,9747,5355,4275,41,76,5333,2665,2364,40,264,2629,1295,1181,25,128,2437,1244,1046,15,132,267,126,137,0,4,17542,11082,6023,94,343,11501,7575,3600,58,268,6041,3507,2423,36,75,8874,5406,3141,70,257,3630,2398,1149,22,61,344,133,169,2,40,585,316,263,5,1,4315,2559,1560,41,155
UKN05,146348,92539,50351,838,2620,36269,22353,13139,202,575,15482,8741,6582,65,94,20787,13612,6557,137,481,99095,62704,34201,541,1649,8336,4233,4001,63,39,64939,40995,22702,343,899,13926,7729,5848,95,254,36031,23719,11608,170,534,14982,9547,5246,78,111,6619,4130,2061,47,381,3247,2033,1001,21,192,3059,1911,942,23,183,313,186,118,3,6,19201,13346,5437,88,330,11247,8070,2875,49,253,7954,5276,2562,39,77,10984,7482,3011,95,396,4516,3105,1225,37,149,34,15,13,2,4,810,533,268,5,4,5624,3829,1505,51,239
95AA,20064,7702,11176,186,1000,5093,1762,3060,38,233,1866,525,1306,11,24,3227,1237,1754,27,209,13696,5377,7509,134,676,1289,322,950,5,12,8619,3418,4686,100,415,2417,764,1494,28,131,4503,1970,2233,59,241,1699,684,959,13,43,1233,496,591,14,132,586,223,290,7,66,573,250,254,6,63,74,23,47,1,3,2555,1141,1282,15,117,1667,773,792,11,91,888,368,490,4,26,1275,563,607,14,91,585,294,261,7,23,8,5,3,0,0,60,16,44,0,0,622,248,299,7,68
95BB,31514,3774,25541,329,1870,8310,971,6826,102,411,3640,392,3150,33,65,4670,579,3676,69,346,21637,2531,17572,206,1328,2784,201,2518,23,42,13402,1617,10942,121,722,4450,421,3773,39,217,6289,874,4922,60,433,2663,322,2247,22,72,1806,230,1289,25,262,963,121,694,15,133,720,95,496,5,124,123,14,99,5,5,3645,483,2823,37,302,2307,280,1752,21,254,1338,203,1071,16,48,1567,272,1143,21,131,616,99,456,11,50,1,0,1,0,0,119,17,101,0,1,831,156,585,10,80
95CC,21594,10165,10821,133,475,5464,2584,2764,26,90,2412,994,1394,7,17,3052,1590,1370,19,73,14810,6840,7556,92,322,1385,492,871,13,9,9669,4334,5093,63,179,2257,845,1350,18,44,5188,2457,2590,28,113,2224,1032,1153,17,22,954,473,397,7,77,494,248,200,3,43,426,209,181,3,33,34,16,16,1,1,2802,1541,1195,9,57,1682,953,676,6,47,1120,588,519,3,10,1320,741,501,15,63,540,307,209,4,20,3,0,0,2,1,104,58,44,2,0,673,376,248,7,42
95DD,24817,5152,18604,213,848,6381,1211,4931,65,174,2849,435,2374,19,21,3532,776,2557,46,153,16887,3481,12701,122,583,1996,238,1727,19,12,10514,2168,7982,75,289,3071,473,2498,20,80,5093,1189,3697,34,173,2350,506,1787,21,36,1276,337,790,9,140,633,160,414,5,54,564,159,324,4,77,79,18,52,0,9,3101,738,2202,19,142,1819,438,1244,12,125,1282,300,958,7,17,1549,460,972,26,91,598,189,368,9,32,4,2,2,0,0,137,23,110,2,2,810,246,492,15,57
95EE,11508,3212,7896,84,316,2741,651,1990,25,75,1192,270,902,12,8,1549,381,1088,13,67,7931,2244,5425,51,211,819,160,650,6,3,5116,1541,3423,33,119,1307,246,1016,13,32,2676,903,1691,14,68,1133,392,716,6,19,715,195,472,6,42,358,102,235,4,17,319,80,214,2,23,38,13,23,0,2,1281,348,880,6,47,669,194,440,0,35,612,154,440,6,12,836,317,481,8,30,362,155,192,2,13,2,0,2,0,0,86,31,54,1,0,386,131,233,5,17
95FF,18303,5673,11847,152,631,4613,1445,2954,50,164,1862,527,1297,24,14,2751,918,1657,26,150,12732,3872,8340,96,424,1211,226,963,15,7,8303,2469,5536,66,232,2181,552,1542,26,61,4463,1402,2883,31,147,1659,515,1111,9,24,1045,359,580,1,105,569,195,324,1,49,438,148,238,0,52,38,16,18,0,4,2173,818,1261,14,80,1330,520,739,8,63,843,298,522,6,17,958,356,553,6,43,330,125,191,0,14,0,0,0,0,0,98,31,64,3,0,530,200,298,3,29
95GG,120595,54899,57007,1944,6745,42401,17293,22312,624,2172,14555,5061,9192,109,193,27846,12232,13120,515,1979,64315,30069,29949,996,3301,6375,2096,4159,51,69,29604,13352,14175,679,1398,8786,3248,4901,181,456,14162,6818,6100,447,797,6656,3286,3174,51,145,7316,3175,3091,109,941,4445,1990,1790,51,614,2565,1066,1128,56,315,306,119,173,2,12,21020,11446,8524,157,893,14184,7792,5541,117,734,6836,3654,2983,40,159,13879,7537,4746,324,1272,3542,2179,1082,61,220,1592,794,579,47,172,615,281,326,3,5,8130,4283,2759,213,875
95HH,16200,1543,13422,166,1069,4674,440,3887,66,281,1950,153,1733,21,43,2724,287,2154,45,238,10768,1003,8964,88,713,1287,76,1172,11,28,6397,584,5364,56,393,2012,154,1722,19,117,3109,312,2564,28,205,1276,118,1078,9,71,910,124,669,4,113,502,70,368,1,63,355,46,259,3,47,53,8,42,0,3,2174,219,1759,17,179,1513,145,1204,10,154,661,74,555,7,25,758,100,571,12,75,291,36,223,6,26,6,2,3,0,1,34,3,30,1,0,427,59,315,5,48
95II,27733,5277,20552,330,1574,8210,1177,6555,83,395,3658,297,3269,29,63,4552,880,3286,54,332,18172,3766,13162,220,1024,2492,222,2226,16,28,10940,2581,7621,148,590,3194,540,2448,45,161,5634,1701,3492,86,355,2112,340,1681,17,74,1623,473,923,20,207,957,295,541,10,111,585,163,324,8,90,81,15,58,2,6,3117,490,2392,36,199,1808,321,1311,23,153,1309,169,1081,13,46,1351,334,835,27,155,469,103,280,13,73,9,4,4,0,1,108,10,95,1,2,765,217,456,13,79
95JJ,23508,6029,16377,216,886,6715,1600,4801,69,245,2858,568,2236,20,34,3857,1032,2565,49,211,15008,3847,10498,129,534,1879,289,1566,10,14,8875,2376,6135,78,286,2796,595,2070,32,99,4241,1305,2740,35,161,1838,476,1325,11,26,1283,352,816,7,108,663,183,416,7,57,553,156,347,0,50,67,13,53,0,1,2971,830,1981,34,126,1904,538,1245,22,99,1067,292,736,12,27,1785,582,1078,18,107,560,200,339,5,16,283,92,157,2,32,110,26,83,1,0,832,264,499,10,59
95KK,12904,7165,5429,64,246,3023,1598,1372,16,37,1312,638,668,4,2,1711,960,704,12,35,8959,4992,3753,45,169,762,274,477,5,6,5931,3402,2416,31,82,1254,590,626,10,28,3253,1997,1193,16,47,1424,815,597,5,7,570,310,219,3,38,270,140,106,2,22,270,153,100,1,16,30,17,13,0,0,1696,1006,641,6,43,973,591,346,6,30,723,415,295,0,13,922,575,304,3,40,414,270,126,0,18,3,1,1,0,1,58,36,21,0,1,447,268,156,3,20
95LL,35931,15511,18756,330,1334,9528,3742,5391,103,292,3723,1235,2423,30,35,5805,2507,2968,73,257,24119,10503,12554,201,861,2336,678,1618,17,23,14332,6090,7676,142,424,3719,1238,2328,35,118,7605,3476,3785,88,256,3008,1376,1563,19,50,2330,1103,1001,13,213,1132,529,498,4,101,1092,520,456,8,108,106,54,47,1,4,5121,2632,2259,29,201,3373,1801,1395,15,162,1748,831,864,14,39,2284,1266,811,26,181,956,551,321,12,72,3,0,3,0,0,155,90,63,1,1,1170,625,424,13,108
95MM,40779,29734,10087,300,658,11366,8072,3007,64,223,3639,2349,1255,13,22,7727,5723,1752,51,201,25568,18648,6364,204,352,1927,1203,708,6,10,13665,9643,3684,147,191,3034,1920,1020,34,60,7233,5255,1768,94,116,3398,2468,896,19,15,1783,1236,470,17,60,890,610,240,11,29,814,571,206,6,31,79,55,24,0,0,8193,6566,1502,34,91,5740,4686,957,25,72,2453,1880,545,9,19,3845,3014,716,32,83,1706,1402,273,11,20,55,38,9,0,8,182,132,48,1,1,1902,1442,386,20,54
95NN,26206,15870,9363,187,786,6888,4071,2585,57,175,2957,1525,1380,17,35,3931,2546,1205,40,140,17647,10740,6262,121,524,1824,873,919,8,24,10822,6482,3970,73,297,2766,1422,1238,23,83,5652,3508,1925,43,176,2404,1552,807,7,38,1388,850,427,9,102,677,394,231,5,47,641,411,173,3,54,70,45,23,1,1,3613,2535,946,31,101,2241,1632,514,18,77,1372,903,432,13,24,1671,1059,516,9,87,723,471,216,5,31,2,1,1,0,0,144,86,56,0,2,802,501,243,4,54
95OO,20270,12372,7412,134,352,4856,2754,1997,29,76,2028,1003,1009,9,7,2828,1751,988,20,69,13602,8333,4978,87,204,1109,517,583,8,1,8909,5428,3322,54,105,1875,949,879,20,27,5052,3278,1687,22,65,1982,1201,756,12,13,917,579,264,14,60,437,272,129,8,28,438,284,118,6,30,42,23,17,0,2,2667,1809,809,11,38,1610,1152,419,7,32,1057,657,390,4,6,1812,1285,437,18,72,789,582,166,8,33,4,3,1,0,0,118,76,41,1,0,901,624,229,9,39
95PP,23069,13235,9231,140,463,6356,3655,2541,42,118,2716,1409,1263,17,27,3640,2246,1278,25,91,14998,8548,6071,81,298,1342,614,706,11,11,9759,5514,4021,49,175,2427,1205,1153,11,58,5136,2981,2027,29,99,2196,1328,841,9,18,1185,724,408,3,50,628,372,224,3,29,508,320,167,0,21,49,32,17,0,0,2712,1696,936,18,62,1488,959,473,10,46,1224,737,463,8,16,1715,1032,619,17,47,623,374,226,6,17,13,5,8,0,0,155,92,60,1,2,924,561,325,10,28
95QQ,13297,3191,9467,89,550,3842,952,2708,30,152,1603,363,1212,7,21,2239,589,1496,23,131,8769,2040,6323,53,353,1055,195,842,5,13,5092,1103,3775,33,181,1652,315,1263,12,62,2348,533,1703,15,97,1092,255,809,6,22,792,201,515,6,70,422,103,280,1,38,332,88,208,5,31,38,10,27,0,1,1830,541,1191,9,89,1152,351,725,6,70,678,190,466,3,19,686,199,436,6,45,284,89,174,2,19,1,0,0,1,0,53,11,42,0,0,348,99,220,3,26
95RR,12098,6878,4949,52,219,2811,1559,1186,13,53,1086,551,517,2,16,1725,1008,669,11,37,8443,4811,3446,36,150,693,293,387,4,9,5240,3024,2126,14,76,1241,594,622,4,21,2734,1681,997,9,47,1265,749,507,1,8,703,373,289,9,32,338,182,139,3,14,332,177,131,6,18,33,14,19,0,0,1807,1121,644,9,33,1141,726,382,6,27,666,395,262,3,6,844,508,317,3,16,361,220,137,1,3,0,0,0,0,0,50,27,22,1,0,433,261,158,1,13
95SS,45723,15205,28044,420,2054,11384,2970,7858,126,430,4480,767,3631,38,44,6904,2203,4227,88,386,31580,10931,18930,270,1449,3354,538,2758,31,27,18708,5916,11781,181,830,5253,1306,3677,52,218,9720,3429,5672,104,515,3735,1181,2432,25,97,2800,1079,1410,22,289,1493,551,765,10,167,1176,492,561,11,112,131,36,84,1,10,6718,3398,2981,36,303,4645,2613,1762,24,246,2073,785,1219,12,57,2759,1304,1256,24,175,1268,693,505,10,60,16,7,7,0,2,158,33,122,1,2,1317,571,622,13,111
95TT,15037,9366,5366,87,218,3174,1774,1328,19,53,1445,771,654,10,10,1729,1003,674,9,43,10694,6798,3695,61,140,855,444,400,8,3,7411,4855,2449,35,72,1415,781,597,11,26,4260,2966,1240,14,40,1736,1108,612,10,6,648,375,229,4,40,309,184,107,1,17,304,180,99,3,22,35,11,23,0,1,1780,1124,617,14,25,936,605,306,8,17,844,519,311,6,8,1169,794,343,7,25,492,329,145,3,15,1,0,1,0,0,98,67,30,0,1,578,398,167,4,9
95UU,6608,3761,2677,27,143,1950,1072,832,10,36,852,446,392,6,8,1098,626,440,4,28,4220,2436,1673,13,98,502,240,253,2,7,2570,1546,964,10,50,668,352,296,5,15,1276,817,424,5,30,626,377,244,0,5,269,147,109,0,13,120,62,52,0,6,136,77,53,0,6,13,8,4,0,1,879,503,347,1,28,503,292,193,1,17,376,211,154,0,11,438,253,172,4,9,160,102,53,1,4,2,1,1,0,0,54,33,21,0,0,222,117,97,3,5
95VV,35031,27617,6660,176,578,8504,6699,1642,37,126,3609,2697,884,9,19,4895,4002,758,28,107,23660,18720,4493,110,337,1866,1314,537,7,8,14986,11791,2944,68,183,3001,2283,660,15,43,8475,6755,1569,37,114,3510,2753,715,16,26,1585,1168,327,13,77,728,553,134,3,38,773,549,178,8,38,84,66,15,2,1,5223,4447,685,22,69,3238,2808,366,10,54,1985,1639,319,12,15,2867,2198,525,29,115,1227,931,245,12,39,9,5,2,0,2,177,133,44,0,0,1454,1129,234,17,74
95WW,33971,6823,24910,382,1856,9265,1468,7264,123,410,3977,416,3475,41,45,5288,1052,3789,82,365,23018,4932,16568,233,1285,2691,309,2333,17,32,13381,2942,9625,162,652,4014,704,3092,48,170,6668,1675,4512,88,393,2699,563,2021,26,89,2082,535,1243,16,288,1141,306,685,8,142,851,219,489,8,135,90,10,69,0,11,4864,1146,3367,38,313,3247,829,2133,26,259,1617,317,1234,12,54,1688,423,1078,26,161,634,167,399,14,54,31,5,18,1,7,105,19,86,0,0,918,232,575,11,100
95XX,33255,4308,26033,364,2550,9992,1246,8019,116,611,4317,400,3810,29,78,5675,846,4209,87,533,21761,2815,16964,217,1765,3145,242,2824,25,54,13014,1784,10125,138,967,4517,518,3648,56,295,6103,936,4514,68,585,2394,330,1963,14,87,2046,363,1301,19,363,1157,211,737,12,197,798,134,506,7,151,91,18,58,0,15,3556,426,2714,35,381,2194,255,1604,23,312,1362,171,1110,12,69,1502,247,1050,31,174,538,87,362,16,73,4,1,2,0,1,98,10,85,0,3,862,149,601,15,97
95YY,18443,12619,5432,104,288,4892,3289,1495,33,75,1960,1229,710,9,12,2932,2060,785,24,63,12372,8473,3655,65,179,1017,578,427,11,1,8274,5671,2457,43,103,1697,1076,583,10,28,4667,3285,1302,24,56,1910,1310,572,9,19,760,501,217,3,39,381,264,101,1,15,340,216,99,2,23,39,21,17,0,1,2321,1723,554,8,36,1320,1002,289,2,27,1001,721,265,6,9,1179,857,282,6,34,431,312,108,4,7,1,1,0,0,0,100,71,28,1,0,647,473,146,1,27
95ZZ,14817,9496,5154,45,122,3981,2615,1327,6,33,1555,948,601,1,5,2426,1667,726,5,28,9710,6149,3450,34,77,831,447,381,1,2,5888,3626,2192,22,48,1264,740,504,6,14,3137,1993,1101,12,31,1487,893,587,4,3,580,362,208,1,9,260,156,99,0,5,283,183,95,1,4,37,23,14,0,0,2411,1714,669,10,18,1544,1139,383,4,18,867,575,286,6,0,1126,732,377,5,12,481,319,155,2,5,2,2,0,0,0,103,67,35,1,0,540,344,187,2,7
