GeographyCode,DC2418NI0001,DC2418NI0002,DC2418NI0003,DC2418NI0004,DC2418NI0005,DC2418NI0006,DC2418NI0007,DC2418NI0008,DC2418NI0009,DC2418NI0010,DC2418NI0011,DC2418NI0012,DC2418NI0013,DC2418NI0014,DC2418NI0015,DC2418NI0016,DC2418NI0017,DC2418NI0018,DC2418NI0019,DC2418NI0020,DC2418NI0021,DC2418NI0022,DC2418NI0023,DC2418NI0024,DC2418NI0025,DC2418NI0026,DC2418NI0027,DC2418NI0028,DC2418NI0029,DC2418NI0030,DC2418NI0031,DC2418NI0032,DC2418NI0033,DC2418NI0034,DC2418NI0035,DC2418NI0036,DC2418NI0037,DC2418NI0038,DC2418NI0039,DC2418NI0040,DC2418NI0041,DC2418NI0042,DC2418NI0043,DC2418NI0044,DC2418NI0045,DC2418NI0046,DC2418NI0047,DC2418NI0048,DC2418NI0049,DC2418NI0050,DC2418NI0051,DC2418NI0052,DC2418NI0053,DC2418NI0054,DC2418NI0055,DC2418NI0056,DC2418NI0057,DC2418NI0058,DC2418NI0059,DC2418NI0060,DC2418NI0061,DC2418NI0062,DC2418NI0063,DC2418NI0064,DC2418NI0065,DC2418NI0066,DC2418NI0067,DC2418NI0068,DC2418NI0069,DC2418NI0070,DC2418NI0071,DC2418NI0072,DC2418NI0073,DC2418NI0074,DC2418NI0075,DC2418NI0076,DC2418NI0077,DC2418NI0078,DC2418NI0079,DC2418NI0080,DC2418NI0081,DC2418NI0082,DC2418NI0083,DC2418NI0084,DC2418NI0085,DC2418NI0086,DC2418NI0087,DC2418NI0088,DC2418NI0089,DC2418NI0090,DC2418NI0091,DC2418NI0092,DC2418NI0093,DC2418NI0094,DC2418NI0095,DC2418NI0096,DC2418NI0097,DC2418NI0098,DC2418NI0099,DC2418NI0100,DC2418NI0101,DC2418NI0102,DC2418NI0103,DC2418NI0104,DC2418NI0105,DC2418NI0106,DC2418NI0107,DC2418NI0108,DC2418NI0109,DC2418NI0110,DC2418NI0111,DC2418NI0112,DC2418NI0113,DC2418NI0114,DC2418NI0115,DC2418NI0116,DC2418NI0117,DC2418NI0118,DC2418NI0119,DC2418NI0120,DC2418NI0121,DC2418NI0122,DC2418NI0123,DC2418NI0124,DC2418NI0125,DC2418NI0126,DC2418NI0127,DC2418NI0128,DC2418NI0129,DC2418NI0130,DC2418NI0131,DC2418NI0132,DC2418NI0133,DC2418NI0134,DC2418NI0135,DC2418NI0136,DC2418NI0137,DC2418NI0138,DC2418NI0139,DC2418NI0140
WELB,109206,65251,30830,11828,14365,1990,2647,579,4942,7604,70925,41436,22161,8707,10127,1530,1797,320,2817,4191,36094,19258,13163,5213,5991,971,988,154,1157,2362,34831,22178,8998,3494,4136,559,809,166,1660,1829,464,281,136,57,57,9,13,7,22,18,17149,11405,3441,1332,1685,169,255,67,627,1609,13352,8765,2842,1116,1406,132,188,46,462,1237,3797,2640,599,216,279,37,67,21,165,372,17595,10457,4081,1351,2032,202,496,174,1390,1493,15807,9382,3603,1178,1805,172,448,164,1294,1364,90,46,26,11,6,0,9,2,12,4,1432,860,401,141,202,29,29,2,72,97,266,169,51,21,19,1,10,6,12,28,3073,1672,1011,381,464,80,86,11,86,293
UKN01,120595,46467,45058,19193,15507,4760,5598,1695,15816,11559,62301,24886,24245,10547,7984,2794,2920,551,7635,4984,27904,9811,12919,5778,4255,1517,1369,227,2530,2417,34397,15075,11326,4769,3729,1277,1551,324,5105,2567,718,309,209,84,66,17,42,9,124,67,30818,11523,12930,5340,5038,1282,1270,260,2485,3620,20794,7378,9220,3836,3644,904,836,157,1565,2474,10024,4145,3710,1504,1394,378,434,103,920,1146,23632,8731,6249,2605,1902,507,1235,837,5326,2489,21854,8082,5705,2371,1725,465,1144,790,4998,2279,100,51,20,6,8,2,4,4,13,12,1242,458,377,172,119,24,62,15,269,123,436,140,147,56,50,16,25,28,46,75,3126,1018,1425,617,517,160,131,38,246,399
UKN02,156882,28442,93220,42348,29023,9371,12478,1508,23688,10024,114348,20586,69737,32033,21605,6985,9114,1001,16620,6404,50083,6122,34962,16470,10944,3508,4040,433,5368,3198,64265,14464,34775,15563,10661,3477,5074,568,11252,3206,1364,299,672,299,197,76,100,13,296,84,21552,3757,12894,5687,4346,1405,1456,181,2651,2069,17040,2558,10442,4614,3596,1118,1114,137,2248,1655,4512,1199,2452,1073,750,287,342,44,403,414,16631,3411,7875,3429,2223,686,1537,276,3849,1220,14561,3047,6789,3043,1967,595,1184,238,3400,1087,466,89,225,32,30,7,156,8,123,21,1240,219,684,296,202,72,114,15,245,77,364,56,177,58,24,12,83,15,81,35,2987,389,2042,900,652,219,271,37,272,247
UKN03,170132,50801,89192,46254,25459,5215,12264,1324,17783,11032,120291,34219,66777,35529,18423,3858,8967,804,11835,6656,57394,14253,34974,19311,9304,2016,4343,376,4124,3667,62897,19966,31803,16218,9119,1842,4624,428,7711,2989,1049,343,457,215,146,26,70,8,157,84,19772,6015,9961,4813,3371,603,1174,181,1788,1827,16551,5064,8253,4089,2803,451,910,149,1528,1557,3221,951,1708,724,568,152,264,32,260,270,24721,9061,9487,4360,2825,581,1721,298,3763,2112,22026,8198,8262,3832,2516,512,1402,267,3374,1925,391,88,171,22,30,6,113,10,104,18,1892,665,859,429,235,51,144,13,218,137,412,110,195,77,44,12,62,8,67,32,4299,1163,2510,1337,694,147,332,33,240,353
UKN04,109318,53129,40975,21461,14507,1099,3908,650,6767,7797,69260,32584,28066,15516,9158,765,2627,346,3994,4270,34217,14197,15965,9308,4881,422,1354,166,1519,2370,35043,18387,12101,6208,4277,343,1273,180,2475,1900,588,268,241,124,81,7,29,7,46,26,18728,10258,5823,2644,2627,141,411,80,859,1708,14888,7853,4981,2250,2298,103,330,60,675,1319,3840,2405,842,394,329,38,81,20,184,389,17808,8738,5561,2478,2211,155,717,205,1763,1541,16022,7871,4923,2168,1974,142,639,192,1637,1399,84,41,26,13,5,0,8,2,9,6,1448,686,550,268,210,11,61,4,104,104,254,140,62,29,22,2,9,7,13,32,2934,1281,1284,699,430,31,124,12,105,252
UKN05,146348,84314,44363,15853,20009,2687,5814,748,6546,10377,104307,59475,34038,12690,14986,2120,4242,455,3742,6597,56247,29678,20806,7961,9124,1335,2386,264,1609,3890,48060,29797,13232,4729,5862,785,1856,191,2133,2707,525,299,160,57,74,7,22,3,31,32,14015,8505,3452,1008,1843,182,419,67,608,1383,11617,7006,2956,881,1600,144,331,46,482,1127,2398,1499,496,127,243,38,88,21,126,256,23224,13817,5187,1583,2400,273,931,205,2039,1976,20752,12342,4569,1370,2121,238,840,188,1898,1755,175,98,32,9,10,2,11,3,21,21,1962,1180,511,175,241,32,63,7,99,165,335,197,75,29,28,1,17,7,21,35,4277,2218,1526,515,706,105,200,18,126,389
95AA,20064,6861,9419,5533,2450,311,1125,165,2294,1325,14243,4844,7037,4297,1763,235,742,95,1428,839,6211,1680,3621,2334,839,105,343,29,451,430,8032,3164,3416,1963,924,130,399,66,977,409,129,52,40,21,14,2,3,0,20,17,2385,759,1108,583,359,28,138,22,284,212,2147,681,995,533,321,25,116,20,258,193,238,78,113,50,38,3,22,2,26,19,2817,1054,969,465,250,39,215,42,537,215,2288,916,732,376,214,32,110,33,411,196,222,36,102,11,12,4,75,6,76,2,205,78,89,60,18,2,9,2,22,14,102,24,46,18,6,1,21,1,28,3,490,152,265,167,64,7,27,6,25,42
95BB,31514,3166,21213,11909,5229,1539,2536,299,4910,1926,23064,2151,15979,9048,3871,1149,1911,189,3481,1264,10957,944,8013,4637,1927,570,879,76,1225,699,12107,1207,7966,4411,1944,579,1032,113,2256,565,239,24,136,74,37,6,19,4,61,14,4094,394,2787,1529,762,212,284,45,527,341,3436,346,2302,1276,634,168,224,39,462,287,658,48,485,253,128,44,60,6,65,54,3376,502,1801,976,439,137,249,55,769,249,3006,442,1601,873,384,122,222,48,696,219,26,6,14,5,6,0,3,0,5,1,300,51,154,86,41,11,16,6,61,28,44,3,32,12,8,4,8,1,7,1,741,95,510,282,120,35,73,6,72,58
95CC,21594,9266,9534,3619,4039,540,1336,122,1166,1506,15867,6523,7544,2955,3113,438,1038,79,708,1013,8380,3160,4333,1728,1800,262,543,43,267,577,7487,3363,3211,1227,1313,176,495,36,441,436,61,29,18,7,9,1,1,0,5,9,2029,941,776,249,404,33,90,12,107,193,1718,789,678,222,354,26,76,11,90,150,311,152,98,27,50,7,14,1,17,43,3029,1541,893,296,378,51,168,29,321,245,2692,1373,781,255,328,46,152,29,294,215,25,10,8,3,3,1,1,0,4,3,258,130,85,30,41,4,10,0,20,23,54,28,19,8,6,0,5,0,3,4,608,232,303,112,135,17,39,2,25,46
95DD,24817,4582,16263,10569,2774,596,2324,192,2143,1637,17722,3083,12181,8111,1933,442,1695,119,1384,955,9550,1450,6985,4846,995,247,897,69,498,548,8172,1633,5196,3265,938,195,798,50,886,407,122,24,66,38,14,4,10,1,19,12,2778,474,1795,1086,418,75,216,28,193,288,2376,406,1519,934,375,47,163,23,165,263,402,68,276,152,43,28,53,5,28,25,3489,911,1712,989,341,51,331,37,504,325,3155,834,1521,881,310,44,286,34,463,303,21,6,9,3,3,0,3,0,3,3,265,61,154,89,25,6,34,1,32,17,48,10,28,16,3,1,8,2,6,2,706,90,509,345,68,24,72,7,43,57
95EE,11508,2965,7000,4394,1561,86,959,76,853,614,8054,2147,4919,3219,929,61,710,52,536,400,4087,983,2648,1857,420,22,349,35,177,244,3967,1164,2271,1362,509,39,361,17,359,156,66,14,46,21,14,1,10,0,4,2,1437,340,896,492,321,8,75,4,91,106,1329,319,823,447,302,7,67,3,88,96,108,21,73,45,19,1,8,1,3,10,1621,382,923,519,250,16,138,17,209,90,1449,335,831,459,230,16,126,16,189,78,1,0,1,0,0,0,1,0,0,0,152,42,82,54,17,0,11,0,18,10,19,5,9,6,3,0,0,1,2,2,330,82,216,143,47,0,26,3,13,16
95FF,18303,5099,10291,5262,3157,368,1504,137,1723,1053,13466,3645,7871,4130,2312,263,1166,96,1177,677,6216,1529,3899,2149,1040,137,573,53,372,363,7250,2116,3972,1981,1272,126,593,43,805,314,79,22,38,17,11,1,9,1,9,9,1806,545,958,439,375,39,105,18,140,145,1524,461,810,370,325,32,83,12,113,128,282,84,148,69,50,7,22,6,27,17,2392,733,1070,483,358,50,179,18,386,185,2153,666,932,413,320,46,153,18,364,173,15,9,3,0,0,1,2,0,2,1,198,52,120,62,33,3,22,0,17,9,26,6,15,8,5,0,2,0,3,2,560,154,354,193,101,15,45,4,11,37
95GG,120595,46467,45058,19193,15507,4760,5598,1695,15816,11559,62301,24886,24245,10547,7984,2794,2920,551,7635,4984,27904,9811,12919,5778,4255,1517,1369,227,2530,2417,34397,15075,11326,4769,3729,1277,1551,324,5105,2567,718,309,209,84,66,17,42,9,124,67,30818,11523,12930,5340,5038,1282,1270,260,2485,3620,20794,7378,9220,3836,3644,904,836,157,1565,2474,10024,4145,3710,1504,1394,378,434,103,920,1146,23632,8731,6249,2605,1902,507,1235,837,5326,2489,21854,8082,5705,2371,1725,465,1144,790,4998,2279,100,51,20,6,8,2,4,4,13,12,1242,458,377,172,119,24,62,15,269,123,436,140,147,56,50,16,25,28,46,75,3126,1018,1425,617,517,160,131,38,246,399
95HH,16200,1189,11071,5008,3132,1347,1584,149,2799,992,11628,801,8112,3737,2261,963,1151,101,2004,610,4804,324,3556,1727,952,424,453,38,604,282,6824,477,4556,2010,1309,539,698,63,1400,328,119,11,72,34,20,6,12,0,31,5,2214,139,1546,662,473,221,190,24,309,196,1758,114,1205,509,390,165,141,17,271,151,456,25,341,153,83,56,49,7,38,45,1923,224,1113,480,317,127,189,20,420,146,1736,205,996,437,285,108,166,18,384,133,12,7,4,0,0,0,4,0,1,0,158,11,106,38,31,18,19,2,32,7,17,1,7,5,1,1,0,0,3,6,316,14,228,95,61,30,42,4,35,35
95II,27733,4500,16972,7534,5110,1904,2424,302,4274,1685,20695,3724,12603,5601,3737,1437,1828,203,3054,1111,9356,1050,6642,2993,1997,771,881,79,1016,569,11339,2674,5961,2608,1740,666,947,124,2038,542,201,35,108,48,31,12,17,1,44,13,3882,119,2824,1259,927,303,335,33,560,346,3308,75,2402,1097,787,252,266,22,508,301,574,44,422,162,140,51,69,11,52,45,2436,601,1038,451,296,96,195,56,567,174,2145,535,893,386,255,81,171,51,510,156,31,15,14,6,2,0,6,1,1,0,232,46,117,54,36,13,14,2,53,14,28,5,14,5,3,2,4,2,3,4,519,21,399,175,119,56,49,9,49,41
95JJ,23508,5267,13934,6909,5189,368,1468,200,2432,1675,15426,3309,9528,5007,3298,263,960,109,1499,981,8477,1637,5602,3115,1799,158,530,59,605,574,6949,1672,3926,1892,1499,105,430,50,894,407,159,33,92,52,27,1,12,1,25,8,3235,691,1944,820,935,36,153,24,263,313,2769,601,1659,678,832,22,127,19,228,262,466,90,285,142,103,14,26,5,35,51,4027,1102,1939,814,778,58,289,62,609,315,3622,994,1717,719,694,53,251,56,574,281,31,16,10,3,4,0,3,1,1,3,329,83,185,83,68,3,31,3,31,27,45,9,27,9,12,2,4,2,3,4,661,132,431,216,151,10,54,4,36,58
95KK,12904,6612,4800,1934,2045,183,638,55,569,868,9406,4828,3663,1547,1506,120,490,33,305,577,5081,2373,2219,992,878,62,287,19,124,346,4325,2455,1444,555,628,58,203,14,181,231,70,28,29,7,15,1,6,0,4,9,1052,502,404,126,205,27,46,7,47,92,930,445,358,109,187,23,39,5,46,76,122,57,46,17,18,4,7,2,1,16,2032,1099,559,193,257,25,84,13,200,161,1825,992,486,164,226,24,72,11,189,147,11,5,2,1,1,0,0,0,2,2,178,92,66,26,29,1,10,2,9,9,18,10,5,2,1,0,2,0,0,3,344,155,145,61,62,10,12,2,13,29
95LL,35931,13953,16191,4138,7688,1620,2745,297,2950,2540,23657,8738,11696,3092,5450,1175,1979,169,1704,1350,10523,3388,5792,1490,2769,629,904,77,531,735,13134,5350,5904,1602,2681,546,1075,92,1173,615,272,120,110,25,55,10,20,2,23,17,4710,1897,1891,415,1032,183,261,43,391,488,3750,1553,1465,331,809,126,199,32,314,386,960,344,426,84,223,57,62,11,77,102,6468,2921,2069,504,943,200,422,78,794,606,5977,2721,1870,453,861,180,376,75,751,560,36,14,13,0,7,0,6,1,7,1,378,152,162,44,63,19,36,1,30,33,77,34,24,7,12,1,4,1,6,12,824,277,425,102,208,52,63,5,38,79
95MM,40779,26374,8648,4193,3387,358,710,264,2071,3422,23374,14884,5651,2906,2099,238,408,124,1083,1632,9840,5671,2955,1628,1047,116,164,46,375,793,13534,9213,2696,1278,1052,122,244,78,708,839,226,147,50,25,20,4,1,5,14,10,9271,6516,1457,637,631,72,117,38,337,923,6766,4657,1198,538,523,56,81,27,231,653,2505,1859,259,99,108,16,36,11,106,270,6980,4260,1270,517,542,36,175,95,607,748,6346,3847,1145,459,493,34,159,90,571,693,22,12,5,2,0,0,3,1,2,2,472,303,111,50,49,2,10,1,27,30,140,98,9,6,0,0,3,3,7,23,928,567,220,108,95,8,9,2,30,109
95NN,26206,14363,7727,3791,2520,238,1178,157,2286,1673,18575,9923,5924,3001,1899,184,840,90,1600,1038,9166,4389,3468,1770,1143,109,446,51,665,593,9409,5534,2456,1231,756,75,394,39,935,445,131,85,27,13,9,2,3,0,11,8,2575,1600,602,272,233,16,81,14,144,215,2134,1344,475,228,184,9,54,13,120,182,441,256,127,44,49,7,27,1,24,33,4252,2424,916,382,286,29,219,50,502,360,3709,2160,758,337,238,22,161,41,436,314,66,15,28,2,2,1,23,3,11,9,389,222,95,36,41,1,17,3,41,28,88,27,35,7,5,5,18,3,14,9,673,331,258,123,93,7,35,3,29,52
95OO,20270,11205,6590,2202,3171,375,842,114,806,1555,13949,7427,5129,1833,2398,303,595,67,415,911,7460,3536,3169,1194,1456,189,330,39,176,540,6489,3891,1960,639,942,114,265,28,239,371,79,50,21,6,8,1,6,1,4,3,2083,1247,500,106,314,28,52,14,93,229,1662,991,409,90,267,19,33,11,67,184,421,256,91,16,47,9,19,3,26,45,3560,2194,702,185,337,28,152,31,275,358,3184,1968,614,153,302,23,136,30,260,312,41,26,6,2,1,1,2,1,2,6,272,156,73,25,31,4,13,0,11,32,63,44,9,5,3,0,1,0,2,8,599,287,238,72,114,15,37,1,19,54
95PP,23069,12168,8204,768,5476,1100,860,134,1200,1363,16713,8640,6371,611,4243,894,623,82,753,867,9847,4826,4045,388,2693,587,377,46,374,556,6866,3814,2326,223,1550,307,246,36,379,311,69,35,27,3,17,3,4,1,3,3,2170,1330,519,38,368,55,58,12,108,201,1752,1093,400,27,292,42,39,6,80,173,418,237,119,11,76,13,19,6,28,28,3361,1772,1005,98,658,99,150,35,319,230,2986,1574,880,89,576,78,137,33,292,207,27,12,9,2,4,0,3,1,3,2,302,159,101,4,71,20,6,0,22,20,46,27,15,3,7,1,4,1,2,1,756,391,282,18,190,49,25,4,17,62
95QQ,13297,2777,8088,5052,1641,543,852,77,1477,878,9564,1835,6089,3850,1195,410,634,46,1061,533,4771,873,3196,2085,591,219,301,21,382,299,4793,962,2893,1765,604,191,333,25,679,234,77,16,40,27,6,1,6,0,14,7,1424,346,820,489,192,50,89,11,109,138,1184,273,687,417,155,44,71,10,96,118,240,73,133,72,37,6,18,1,13,20,1927,516,950,561,208,75,106,18,271,172,1738,459,848,499,189,66,94,18,253,160,5,2,2,1,0,0,1,0,0,1,157,49,85,52,14,9,10,0,15,8,27,6,15,9,5,0,1,0,3,3,305,64,189,125,40,7,17,2,22,28
