GeographyCode,DC2421NI0001,DC2421NI0002,DC2421NI0003,DC2421NI0004,DC2421NI0005,DC2421NI0006,DC2421NI0007,DC2421NI0008,DC2421NI0009,DC2421NI0010,DC2421NI0011,DC2421NI0012,DC2421NI0013,DC2421NI0014,DC2421NI0015,DC2421NI0016,DC2421NI0017,DC2421NI0018,DC2421NI0019,DC2421NI0020,DC2421NI0021,DC2421NI0022,DC2421NI0023,DC2421NI0024,DC2421NI0025,DC2421NI0026,DC2421NI0027,DC2421NI0028,DC2421NI0029,DC2421NI0030,DC2421NI0031,DC2421NI0032,DC2421NI0033,DC2421NI0034,DC2421NI0035
UKN03,170132,56873,104754,1486,7019,44655,14154,28455,445,1601,53121,15623,34879,439,2180,29312,10318,17391,245,1358,26165,9187,15547,206,1225,16879,7591,8482,151,655,2.55,2.72,2.46,2.50,2.63
UKN04,109318,59110,47140,724,2344,29564,15569,13143,187,665,32001,15887,15171,222,721,18607,10315,7749,131,412,16471,9251,6761,114,345,12675,8088,4316,70,201,2.60,2.70,2.49,2.57,2.48
UKN05,146348,92539,50351,838,2620,36269,22353,13139,202,575,39570,23638,14869,258,805,24094,15209,8229,162,494,23433,15037,7824,118,454,22982,16302,6290,98,292,2.79,2.87,2.65,2.66,2.72
95AA,20064,7702,11176,186,1000,5093,1762,3060,38,233,5960,2031,3584,49,296,3555,1430,1892,48,185,3282,1380,1682,35,185,2174,1099,958,16,101,2.62,2.81,2.48,2.71,2.66
95BB,31514,3774,25541,329,1870,8310,971,6826,102,411,10811,1090,9002,106,613,5258,650,4225,47,336,4708,598,3735,44,331,2427,465,1753,30,179,2.46,2.66,2.42,2.42,2.63
95CC,21594,10165,10821,133,475,5464,2584,2764,26,90,6080,2685,3199,45,151,3655,1675,1862,28,90,3368,1586,1675,17,90,3027,1635,1321,17,54,2.72,2.78,2.65,2.74,2.78
95DD,24817,5152,18604,213,848,6381,1211,4931,65,174,7927,1399,6203,63,262,4335,957,3150,37,191,3726,837,2722,25,142,2448,748,1598,23,79,2.55,2.79,2.48,2.44,2.68
95EE,11508,3212,7896,84,316,2741,651,1990,25,75,3451,766,2568,31,86,1978,551,1332,13,82,1879,584,1242,9,44,1459,660,764,6,29,2.70,3.06,2.56,2.31,2.59
95FF,18303,5673,11847,152,631,4613,1445,2954,50,164,5539,1585,3719,51,184,3067,1003,1931,18,115,3055,857,2065,21,112,2029,783,1178,12,56,2.62,2.71,2.59,2.35,2.58
95GG,120595,54899,57007,1944,6745,42401,17293,22312,624,2172,36385,15972,17797,467,2149,19166,9350,8215,421,1180,13886,7029,5753,295,809,8757,5255,2930,137,435,2.29,2.44,2.13,2.45,2.32
95HH,16200,1543,13422,166,1069,4674,440,3887,66,281,5293,449,4467,42,335,2808,285,2287,16,220,2353,240,1927,27,159,1072,129,854,15,74,2.39,2.49,2.38,2.31,2.47
95II,27733,5277,20552,330,1574,8210,1177,6555,83,395,9002,1478,6957,105,462,4474,1021,3101,62,290,4055,936,2785,47,287,1992,665,1154,33,140,2.40,2.75,2.29,2.58,2.62
95JJ,23508,6029,16377,216,886,6715,1600,4801,69,245,7651,1741,5544,73,293,3819,1023,2616,27,153,3193,899,2144,31,119,2130,766,1272,16,76,2.46,2.65,2.39,2.35,2.45
95KK,12904,7165,5429,64,246,3023,1598,1372,16,37,3486,1703,1672,24,87,2095,1153,886,6,50,2138,1232,853,4,49,2162,1479,646,14,23,2.84,3.01,2.63,2.67,2.75
95LL,35931,15511,18756,330,1334,9528,3742,5391,103,292,10740,4195,6049,85,411,6389,2908,3147,57,277,5561,2585,2701,43,232,3713,2081,1468,42,122,2.57,2.74,2.43,2.64,2.66
95MM,40779,29734,10087,300,658,11366,8072,3007,64,223,11364,8044,3049,79,192,7079,5235,1678,66,100,6130,4579,1401,59,91,4840,3804,952,32,52,2.61,2.66,2.48,2.76,2.37
95NN,26206,15870,9363,187,786,6888,4071,2585,57,175,7708,4353,3061,58,236,4477,2820,1483,21,153,4038,2506,1357,31,144,3095,2120,877,20,78,2.62,2.70,2.49,2.50,2.69
95OO,20270,12372,7412,134,352,4856,2754,1997,29,76,5341,2992,2211,44,94,3424,2139,1182,28,75,3321,2111,1132,15,63,3328,2376,890,18,44,2.83,2.97,2.61,2.78,2.79
95PP,23069,13235,9231,140,463,6356,3655,2541,42,118,6549,3490,2860,45,154,3696,2168,1428,27,73,3489,2024,1372,13,80,2979,1898,1030,13,38,2.65,2.71,2.57,2.43,2.56
95QQ,13297,3191,9467,89,550,3842,952,2708,30,152,4436,970,3261,27,178,2231,550,1563,17,101,1795,424,1285,7,79,993,295,650,8,40,2.40,2.45,2.38,2.28,2.45
95RR,12098,6878,4949,52,219,2811,1559,1186,13,53,3562,1840,1641,15,66,2219,1293,870,17,39,2003,1140,815,4,44,1503,1046,437,3,17,2.72,2.82,2.57,2.42,2.59
95SS,45723,15205,28044,420,2054,11384,2970,7858,126,430,14276,4223,9305,122,626,8238,3127,4598,75,438,7256,2705,4131,53,367,4569,2180,2152,44,193,2.59,2.87,2.44,2.48,2.68
95TT,15037,9366,5366,87,218,3174,1774,1328,19,53,3933,2270,1567,32,64,2420,1499,870,18,33,2664,1722,892,13,37,2846,2101,709,5,31,2.98,3.15,2.71,2.48,2.77
95UU,6608,3761,2677,27,143,1950,1072,832,10,36,1933,1013,862,10,48,1008,590,396,0,22,912,543,342,3,24,805,543,245,4,13,2.56,2.67,2.40,2.33,2.59
95VV,35031,27617,6660,176,578,8504,6699,1642,37,126,9340,7304,1818,41,177,5905,4615,1146,40,104,5523,4356,1034,37,96,5759,4643,1020,21,75,2.82,2.83,2.78,2.86,2.79
95WW,33971,6823,24910,382,1856,9265,1468,7264,123,410,11178,2069,8434,98,577,5925,1331,4137,64,393,5070,1188,3481,61,340,2533,767,1594,36,136,2.45,2.70,2.37,2.48,2.60
95XX,33255,4308,26033,364,2550,9992,1246,8019,116,611,11460,1292,9228,118,822,5296,768,3963,52,513,4448,613,3380,38,417,2059,389,1443,40,187,2.33,2.47,2.29,2.42,2.53
95YY,18443,12619,5432,104,288,4892,3289,1495,33,75,4841,3194,1542,27,78,2899,1960,855,15,69,2930,2006,866,19,39,2881,2170,674,10,27,2.76,2.82,2.63,2.49,2.58
95ZZ,14817,9496,5154,45,122,3981,2615,1327,6,33,4040,2483,1507,14,36,2504,1623,857,8,16,2354,1506,817,8,23,1938,1269,646,9,14,2.67,2.68,2.66,3.11,2.60
