GeographyCode,DC4306NI0001,DC4306NI0002,DC4306NI0003,DC4306NI0004,DC4306NI0005,DC4306NI0006,DC4306NI0007,DC4306NI0008,DC4306NI0009,DC4306NI0010,DC4306NI0011,DC4306NI0012,DC4306NI0013,DC4306NI0014,DC4306NI0015,DC4306NI0016,DC4306NI0017,DC4306NI0018,DC4306NI0019,DC4306NI0020,DC4306NI0021,DC4306NI0022,DC4306NI0023,DC4306NI0024,DC4306NI0025,DC4306NI0026,DC4306NI0027,DC4306NI0028,DC4306NI0029,DC4306NI0030,DC4306NI0031,DC4306NI0032,DC4306NI0033,DC4306NI0034,DC4306NI0035
UKN02,384428,16481,19126,674,1414,553,351321,334579,13394,14105,524,1142,432,308933,30633,1266,1622,56,108,46,27926,7146,434,876,15,54,18,5920,12070,1387,2523,79,110,57,8542
UKN03,434612,28556,21006,727,1461,714,388424,381683,23873,15774,579,1166,535,344529,30932,2177,1786,49,112,60,27274,8399,716,931,21,68,21,6871,13598,1790,2515,78,115,98,9750
UKN04,284667,19573,15291,567,1192,382,252186,253041,16592,11952,449,998,295,226374,16942,1243,1078,42,65,27,14794,5609,504,652,21,41,14,4527,9075,1234,1609,55,88,46,6491
UKN05,408491,40889,19332,855,1614,648,352187,363208,35416,15093,688,1342,508,315717,25525,2741,1558,50,111,45,21579,8021,892,774,37,51,36,6501,11737,1840,1907,80,110,59,8390
95AA,52540,3660,2610,74,167,84,46679,46562,3082,1974,57,147,51,41791,3568,280,204,6,7,16,3119,936,80,112,1,2,6,762,1474,218,320,10,11,11,1007
95BB,77483,4909,3879,128,204,118,69495,66905,3928,2825,97,168,96,60688,6317,420,343,7,17,5,5647,1590,164,194,5,9,4,1276,2671,397,517,19,10,13,1884
95CC,58638,5770,2760,86,223,167,50618,52042,4998,2149,74,183,131,45291,3914,384,229,4,14,15,3342,1099,127,107,3,10,12,877,1583,261,275,5,16,9,1108
95DD,63403,4336,2889,104,245,103,56661,56268,3700,2200,84,187,74,50734,4245,308,250,7,26,12,3728,1089,95,116,3,12,2,894,1801,233,323,10,20,15,1305
95EE,31054,2588,1396,41,77,22,27352,27631,2171,1070,26,61,19,24596,1918,216,104,8,5,1,1636,544,66,67,2,1,0,423,961,135,155,5,10,2,697
95FF,48045,4017,2122,82,147,42,42318,42279,3439,1610,62,124,29,37546,3399,302,181,11,10,5,2948,916,85,103,1,1,2,742,1451,191,228,8,12,6,1082
95GG,276141,13259,19850,930,1830,554,245797,242416,11136,15517,769,1513,467,217934,17878,724,1280,49,99,28,16054,6122,361,823,34,70,10,5026,9725,1038,2230,78,148,49,6783
95HH,38785,1440,2113,71,163,66,35503,33820,1156,1536,60,133,47,31322,2978,106,177,5,9,4,2719,699,35,101,0,6,2,574,1288,143,299,6,15,13,888
95II,66502,1966,3367,119,262,103,61453,57457,1513,2453,87,200,75,53703,5678,198,294,10,31,15,5195,1245,61,157,5,12,5,1025,2122,194,463,17,19,8,1530
95JJ,57761,3157,2818,112,231,79,52147,51460,2692,2172,80,185,59,46895,3646,211,210,10,19,7,3246,1023,66,134,6,5,3,837,1632,188,302,16,22,10,1169
95KK,36711,3577,2257,75,107,49,31268,32610,3111,1794,65,85,37,28007,2299,233,175,2,11,2,1923,748,70,88,2,5,5,601,1054,163,200,6,6,5,737
95LL,92513,5360,4795,144,349,159,82981,81673,4498,3701,125,271,126,73970,6121,368,350,2,21,8,5445,1860,135,200,4,23,4,1536,2859,359,544,13,34,21,2030
95MM,106500,6372,6848,255,479,192,94413,94319,5348,5406,215,406,157,84475,6325,363,453,14,18,7,5583,2246,178,258,5,18,7,1837,3610,483,731,21,37,21,2518
95NN,68714,4777,3262,134,285,109,61152,60088,3982,2413,110,220,80,54059,4915,387,316,13,24,6,4259,1414,121,140,2,17,1,1169,2297,287,393,9,24,22,1665
95OO,57462,5565,2864,126,283,55,49549,51377,4860,2215,100,238,39,44691,3342,350,230,4,18,0,2815,1174,132,146,7,8,4,927,1569,223,273,15,19,12,1116
95PP,61064,7092,2487,109,166,85,52143,54340,6112,1931,83,141,70,46789,3889,505,206,8,10,5,3246,1141,152,102,9,5,2,926,1694,323,248,9,10,8,1182
95QQ,31914,1497,1449,61,64,99,29138,27908,1244,1051,44,49,79,25741,2367,112,142,3,7,8,2128,594,36,66,5,4,2,492,1045,105,190,9,4,10,777
95RR,32850,2694,1391,50,129,34,28990,29492,2330,1091,40,108,21,26253,1757,157,96,5,7,6,1514,590,59,58,3,7,4,472,1011,148,146,2,7,3,751
95SS,118525,7179,5638,187,391,147,106688,103676,6002,4234,152,311,114,94213,8747,517,475,12,32,11,7825,2305,171,230,4,14,4,1934,3797,489,699,19,34,18,2716
95TT,44822,4493,2111,129,152,61,38620,40039,3886,1654,96,124,54,34807,2739,306,163,11,16,4,2302,853,100,84,5,5,1,684,1191,201,210,17,7,2,827
95UU,16907,1386,946,32,45,25,14718,14957,1152,710,23,37,19,13193,1079,107,90,1,2,1,898,315,41,34,0,3,0,251,556,86,112,8,3,5,376
95VV,98922,9251,4667,221,495,182,85915,87625,7977,3586,184,406,145,76770,6063,598,374,12,33,12,5164,2022,209,173,8,13,7,1671,3212,467,534,17,43,18,2310
95WW,83141,2952,4217,167,330,85,76363,72459,2383,3127,131,280,70,67211,6490,217,331,13,17,3,5976,1554,80,188,4,9,4,1303,2638,272,571,19,24,8,1873
95XX,77475,2944,3791,130,268,152,71314,67167,2340,2755,94,218,126,62484,6740,228,345,16,19,13,6211,1343,87,200,2,13,3,1084,2225,289,491,18,18,10,1535
95YY,50872,5141,2186,109,188,49,44074,45175,4472,1764,86,165,32,39362,3279,365,181,9,9,7,2787,984,102,74,3,5,5,815,1434,202,167,11,9,5,1110
95ZZ,39595,3376,1892,77,231,30,34566,35182,2899,1503,65,201,20,30962,2217,189,125,4,14,5,1917,891,94,101,5,7,0,707,1305,194,163,3,9,5,980
