GeographyCode,DC2233NI0001,DC2233NI0002,DC2233NI0003,DC2233NI0004,DC2233NI0005,DC2233NI0006,DC2233NI0007,DC2233NI0008,DC2233NI0009,DC2233NI0010,DC2233NI0011,DC2233NI0012,DC2233NI0013,DC2233NI0014,DC2233NI0015,DC2233NI0016,DC2233NI0017,DC2233NI0018,DC2233NI0019,DC2233NI0020,DC2233NI0021,DC2233NI0022,DC2233NI0023,DC2233NI0024,DC2233NI0025,DC2233NI0026,DC2233NI0027,DC2233NI0028,DC2233NI0029,DC2233NI0030,DC2233NI0031,DC2233NI0032,DC2233NI0033,DC2233NI0034,DC2233NI0035,DC2233NI0036,DC2233NI0037,DC2233NI0038,DC2233NI0039,DC2233NI0040,DC2233NI0041,DC2233NI0042,DC2233NI0043,DC2233NI0044,DC2233NI0045,DC2233NI0046,DC2233NI0047,DC2233NI0048,DC2233NI0049,DC2233NI0050,DC2233NI0051,DC2233NI0052,DC2233NI0053,DC2233NI0054,DC2233NI0055,DC2233NI0056,DC2233NI0057,DC2233NI0058,DC2233NI0059,DC2233NI0060,DC2233NI0061,DC2233NI0062,DC2233NI0063,DC2233NI0064,DC2233NI0065,DC2233NI0066,DC2233NI0067,DC2233NI0068,DC2233NI0069,DC2233NI0070,DC2233NI0071,DC2233NI0072,DC2233NI0073,DC2233NI0074,DC2233NI0075,DC2233NI0076,DC2233NI0077,DC2233NI0078,DC2233NI0079,DC2233NI0080,DC2233NI0081,DC2233NI0082,DC2233NI0083,DC2233NI0084,DC2233NI0085,DC2233NI0086,DC2233NI0087,DC2233NI0088,DC2233NI0089,DC2233NI0090,DC2233NI0091,DC2233NI0092,DC2233NI0093,DC2233NI0094,DC2233NI0095,DC2233NI0096,DC2233NI0097,DC2233NI0098,DC2233NI0099,DC2233NI0100,DC2233NI0101,DC2233NI0102,DC2233NI0103,DC2233NI0104,DC2233NI0105,DC2233NI0106,DC2233NI0107,DC2233NI0108,DC2233NI0109,DC2233NI0110,DC2233NI0111,DC2233NI0112,DC2233NI0113,DC2233NI0114,DC2233NI0115,DC2233NI0116,DC2233NI0117,DC2233NI0118,DC2233NI0119,DC2233NI0120,DC2233NI0121,DC2233NI0122,DC2233NI0123,DC2233NI0124,DC2233NI0125,DC2233NI0126
WELB,282102,276095,2100,527,697,59,152,164,176,153,163,158,305,1353,59522,59083,211,1,127,4,9,10,2,2,0,0,19,54,225102,220205,1890,526,585,51,143,64,64,151,143,46,286,948,125349,124814,7,2,91,1,0,58,62,1,2,46,1,264,95662,95019,7,0,492,2,0,3,2,0,2,0,7,128,1941,62,1864,8,1,1,0,0,0,0,0,0,0,5,564,28,1,511,0,0,0,0,0,0,23,0,0,1,1586,282,11,5,1,47,143,3,0,150,116,0,278,550,2430,1671,0,0,10,5,0,92,118,0,22,113,0,399
UKN01,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,39344,38424,335,2,186,5,31,55,0,0,2,0,9,295,231347,222238,3329,226,1490,111,494,310,360,84,86,72,205,2342,159583,157895,22,0,196,10,10,290,346,0,14,69,0,731,65147,63666,4,0,1288,2,4,11,13,2,11,3,0,143,3448,152,3279,1,0,1,3,0,0,0,1,0,0,11,260,17,1,223,0,0,1,0,0,0,13,0,0,5,2909,508,23,2,6,98,476,9,1,82,47,0,205,1452,6314,3164,6,0,5,50,2,597,429,0,75,199,1,1786
UKN02,374966,367324,2081,368,539,109,173,532,505,99,161,381,89,2605,45825,45506,161,3,57,5,12,7,0,0,2,0,2,70,333205,327475,1922,365,499,81,161,277,205,99,105,139,87,1790,285267,283685,15,0,89,7,4,263,202,0,20,129,4,849,43667,43110,1,1,410,0,0,5,3,0,6,10,0,121,2021,117,1886,3,0,0,3,0,0,0,2,0,0,10,421,30,4,358,0,0,0,0,0,0,28,0,0,1,1829,533,16,3,0,74,154,9,0,99,49,0,83,809,4786,2946,4,0,1,26,0,263,321,0,64,246,1,914
UKN03,420580,408237,4440,1660,399,940,757,280,348,331,202,249,174,2563,72950,72154,482,31,60,81,39,7,0,0,1,0,4,91,352183,341761,3961,1628,349,800,718,174,126,330,163,52,170,1951,283992,282855,24,7,49,10,0,161,124,0,16,45,0,701,58579,58100,9,4,298,41,1,7,1,0,5,4,0,109,4095,155,3886,16,1,16,2,0,1,0,3,0,1,14,1728,82,15,1582,0,12,2,0,0,0,23,0,1,11,3789,569,27,19,1,721,713,6,0,330,116,3,168,1116,3745,2456,2,2,3,63,0,104,228,1,50,197,0,639
UKN04,277050,272011,1984,132,627,48,53,233,141,62,113,135,79,1432,57734,57308,238,0,96,8,2,5,2,3,1,0,3,68,221636,217765,1747,132,546,39,51,80,56,59,85,37,76,963,140560,139961,7,2,102,1,0,72,55,0,1,37,0,322,78063,77491,6,0,443,1,0,4,1,0,7,0,0,110,1782,56,1717,0,0,0,1,0,0,0,0,0,0,8,145,16,1,128,0,0,0,0,0,0,0,0,0,0,1086,241,16,2,1,37,50,4,0,59,77,0,76,523,2413,1577,0,0,9,1,0,150,92,0,31,99,0,454
UKN05,393311,376695,5561,3862,949,1037,748,230,155,697,570,138,451,2218,80008,78969,527,39,139,137,47,10,0,2,4,0,41,93,318161,303398,5035,3818,830,821,701,109,41,693,507,35,410,1763,182286,181571,19,7,121,18,1,101,39,1,11,35,3,359,121780,120850,13,13,707,43,1,1,1,1,10,0,11,129,5148,153,4944,10,1,18,2,0,0,0,2,0,1,17,4107,190,33,3741,0,8,6,0,0,2,107,0,2,18,4840,634,26,47,1,734,691,7,1,689,377,0,393,1240,3150,2208,2,7,9,88,0,112,118,2,71,103,1,429
95AA,51042,49238,582,279,83,49,189,30,59,14,18,87,79,335,8058,7958,62,5,7,8,7,1,0,0,0,0,1,9,43431,41936,520,274,79,40,182,15,32,14,13,19,78,229,34481,34290,2,0,18,1,0,13,31,0,0,17,0,109,7629,7548,1,0,61,0,1,2,0,0,1,2,0,13,547,23,515,1,0,6,0,0,1,0,0,0,0,1,297,10,0,273,0,0,2,0,0,0,10,0,0,2,477,65,2,0,0,33,179,0,0,14,2,0,78,104,637,413,0,0,0,1,0,16,27,0,5,68,0,107
95BB,75313,74323,173,147,3,16,33,50,63,46,51,16,16,376,11702,11663,16,1,0,0,2,0,0,0,0,0,0,20,64503,63720,158,146,3,14,31,37,8,46,40,3,16,281,58960,58748,2,1,0,0,0,31,8,0,3,3,0,164,4881,4856,1,1,3,1,0,4,0,0,3,0,0,12,173,14,155,4,0,0,0,0,0,0,0,0,0,0,158,12,0,137,0,0,0,0,0,0,8,0,0,1,331,90,0,3,0,13,31,2,0,46,26,0,16,104,614,405,0,0,0,3,0,16,57,0,15,13,0,105
95CC,56792,54716,536,675,113,28,39,33,13,172,76,29,44,318,10552,10444,52,17,13,2,6,2,0,1,0,0,3,12,46986,45134,484,659,104,15,33,14,4,170,59,6,41,263,30028,29928,2,4,8,3,0,14,4,0,4,6,0,55,15174,15055,3,5,95,1,0,0,0,1,3,0,1,10,495,15,475,0,0,0,0,0,0,0,0,0,1,4,709,36,2,644,0,0,4,0,0,1,17,0,0,5,580,100,2,6,1,11,29,0,0,168,35,0,39,189,404,269,0,0,1,13,0,17,10,1,22,23,0,48
95DD,61601,59509,918,48,18,18,331,45,48,31,17,15,5,598,12495,12326,134,2,2,1,12,0,0,0,0,0,1,17,49643,47848,787,46,17,16,319,31,14,31,16,2,4,512,42892,42751,9,0,5,0,0,29,14,0,2,2,0,80,5047,5015,3,0,12,2,0,1,0,0,0,0,0,14,788,15,767,2,0,0,0,0,0,0,2,0,0,2,44,3,0,41,0,0,0,0,0,0,0,0,0,0,872,64,8,3,0,14,319,1,0,31,12,0,4,416,458,311,0,0,0,1,0,14,35,0,2,13,0,82
95EE,29937,29495,241,6,15,11,7,7,2,17,28,4,4,100,7470,7421,34,0,1,2,0,0,0,0,0,0,0,12,22732,22364,207,6,14,9,7,6,2,17,19,0,4,77,18864,18816,1,0,1,1,0,6,2,0,0,0,0,37,3540,3517,0,0,13,1,0,0,0,0,4,0,0,5,215,10,202,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,107,21,4,0,0,7,7,0,0,17,15,0,4,32,101,73,0,0,0,0,0,1,0,0,10,4,0,13
95FF,46112,45397,317,88,27,7,10,18,19,15,6,9,6,193,8066,8009,44,0,4,1,0,1,0,0,0,0,1,6,38581,38001,273,86,23,4,10,10,7,15,2,3,5,142,32196,32114,2,0,3,0,0,10,7,0,1,3,0,56,5852,5823,0,0,20,0,0,0,0,0,0,0,0,9,287,13,271,0,0,0,0,0,0,0,0,0,0,3,89,3,0,86,0,0,0,0,0,0,0,0,0,0,157,48,0,0,0,4,10,0,0,15,1,0,5,74,337,243,0,2,0,2,0,7,12,0,5,6,0,60
95GG,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,39344,38424,335,2,186,5,31,55,0,0,2,0,9,295,231347,222238,3329,226,1490,111,494,310,360,84,86,72,205,2342,159583,157895,22,0,196,10,10,290,346,0,14,69,0,731,65147,63666,4,0,1288,2,4,11,13,2,11,3,0,143,3448,152,3279,1,0,1,3,0,0,0,1,0,0,11,260,17,1,223,0,0,1,0,0,0,13,0,0,5,2909,508,23,2,6,98,476,9,1,82,47,0,205,1452,6314,3164,6,0,5,50,2,597,429,0,75,199,1,1786
95HH,37739,37226,153,20,6,14,21,36,9,4,10,26,4,210,5134,5116,10,1,0,1,0,0,0,0,0,0,0,6,32897,32506,144,19,6,12,21,24,0,4,3,0,4,154,30736,30636,1,0,2,1,2,22,0,0,3,0,0,69,1830,1816,0,0,4,0,0,1,0,0,0,0,0,9,157,14,143,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,155,40,0,0,0,11,19,1,0,4,0,0,4,76,380,253,0,0,0,2,0,14,9,0,9,26,0,67
95II,64756,63223,369,39,49,13,35,134,219,4,31,69,11,560,6967,6919,27,0,3,0,3,3,0,0,0,0,0,12,58440,57280,345,39,48,11,32,96,123,4,22,20,11,409,50116,49639,5,0,10,0,0,89,122,0,4,18,1,228,7604,7532,0,0,38,0,0,3,1,0,2,2,0,26,360,20,337,1,0,0,0,0,0,0,1,0,0,1,48,5,0,38,0,0,0,0,0,0,4,0,0,1,312,84,3,0,0,11,32,4,0,4,11,0,10,153,965,576,1,0,0,2,0,39,105,0,13,50,0,179
95JJ,56990,55434,838,19,67,9,28,96,34,12,20,12,5,416,11177,11034,112,0,6,3,2,1,0,1,1,0,0,17,46264,45061,727,19,62,6,26,29,12,11,12,0,5,294,38924,38763,5,0,20,0,0,24,12,0,1,0,0,99,6276,6199,4,0,42,0,0,1,0,0,2,0,0,28,738,21,714,0,0,0,1,0,0,0,0,0,0,2,21,2,0,19,0,0,0,0,0,0,0,0,0,0,305,76,4,0,0,6,25,4,0,11,9,0,5,165,658,417,0,0,0,0,0,66,25,0,10,12,0,128
95KK,35320,34089,238,129,43,241,262,29,3,47,59,8,33,139,7836,7762,14,0,6,26,16,0,0,1,1,0,2,8,27907,26813,224,129,43,205,246,14,0,46,54,0,31,102,18856,18780,2,0,12,6,0,12,0,0,1,0,0,43,8011,7970,1,0,31,5,0,0,0,0,0,0,0,4,241,7,221,0,0,10,1,0,0,0,0,0,0,2,140,4,0,126,0,0,0,0,0,0,3,0,0,7,659,52,0,3,0,184,245,2,0,46,50,0,31,46,209,137,0,0,0,11,0,15,3,0,5,8,0,30
95LL,88565,83203,2091,968,115,799,144,79,135,149,88,49,46,699,14589,14246,193,22,21,67,14,3,0,0,1,0,1,21,74694,70047,1896,947,96,683,130,46,64,148,73,11,45,508,52839,52499,8,6,5,7,0,43,63,0,4,7,0,197,17424,17248,4,3,90,38,0,0,1,0,1,1,0,38,1955,72,1854,9,1,10,2,0,0,0,1,0,0,6,993,40,14,917,0,12,0,0,0,0,3,0,1,6,1483,188,16,12,0,616,128,3,0,148,64,3,44,261,892,474,2,0,2,51,0,30,74,1,16,38,0,204
95MM,103341,101409,520,63,342,20,14,87,63,9,29,93,12,680,17887,17765,53,0,44,3,0,3,0,2,0,0,0,17,86253,84818,467,63,308,16,14,25,33,7,21,32,12,437,39160,38890,1,2,38,0,0,24,32,0,0,32,0,141,46138,45810,2,0,269,0,0,1,1,0,1,0,0,54,480,19,460,0,0,0,0,0,0,0,0,0,0,1,64,5,0,59,0,0,0,0,0,0,0,0,0,0,411,94,4,2,1,16,14,0,0,7,20,0,12,241,1111,689,0,0,7,1,0,60,36,0,8,62,0,248
95NN,66882,65748,325,120,142,13,37,38,22,65,17,62,19,274,12110,12033,32,1,24,0,4,2,0,0,0,0,0,14,55854,54934,294,119,121,11,33,22,1,65,15,14,19,206,39670,39537,1,0,16,1,0,22,1,0,2,13,0,77,15422,15296,0,0,104,0,0,0,0,0,0,1,0,21,309,14,292,0,0,0,0,0,0,0,0,0,1,2,137,14,1,118,0,0,0,0,0,0,2,0,0,2,316,73,0,1,1,10,33,0,0,65,11,0,18,104,622,462,0,0,1,3,0,14,21,0,3,48,0,70
95OO,55075,49935,1331,1705,187,649,130,26,20,157,196,24,75,640,10827,10560,123,12,19,87,6,1,0,0,2,0,6,11,44827,40118,1209,1687,173,527,124,12,5,156,184,12,69,551,24615,24470,5,2,31,8,0,12,4,0,0,12,2,69,15588,15381,2,7,142,30,0,0,0,0,1,0,3,22,1208,27,1168,1,0,6,0,0,0,0,2,0,0,4,1817,85,21,1655,0,8,1,0,0,1,40,0,2,4,1599,155,13,22,0,475,123,0,1,155,141,0,62,452,465,274,0,7,1,38,0,14,15,1,10,12,1,92
95PP,59282,57652,601,322,92,15,25,28,33,87,47,41,33,306,13637,13574,25,0,18,0,1,5,0,0,0,0,3,11,46188,44740,576,322,76,15,24,14,8,87,44,6,30,246,28055,27965,0,0,14,0,0,14,7,0,2,6,0,47,16744,16649,2,0,62,1,0,0,1,0,1,0,0,28,603,23,571,8,0,0,0,0,0,0,0,0,0,1,345,11,1,311,0,0,0,0,0,0,21,0,0,1,441,92,2,3,0,14,24,0,0,87,20,0,30,169,445,305,0,0,1,0,0,9,26,0,5,35,0,64
95QQ,31065,30819,34,10,11,38,13,20,2,11,5,11,3,88,5930,5919,1,0,2,4,0,0,0,0,0,0,0,4,25477,25275,33,10,10,32,13,13,0,11,4,0,3,73,22954,22916,0,0,2,1,0,13,0,0,4,0,0,18,2324,2314,0,0,8,0,0,0,0,0,0,0,0,2,36,4,32,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,153,41,1,0,0,31,13,0,0,11,0,0,3,53,185,148,0,0,0,2,0,7,2,0,4,11,0,11
95RR,32150,31787,146,24,25,4,2,14,31,12,15,4,1,85,7570,7545,13,0,4,0,0,1,2,0,0,0,0,5,24830,24548,133,24,23,4,2,7,8,12,13,0,1,55,17885,17845,0,0,8,0,0,7,8,0,0,0,0,17,6707,6682,0,0,15,0,0,0,0,0,0,0,0,10,132,2,130,0,0,0,0,0,0,0,0,0,0,0,26,2,0,24,0,0,0,0,0,0,0,0,0,0,80,17,3,0,0,4,2,0,0,12,13,0,1,28,231,172,0,0,0,0,0,6,21,0,2,4,0,26
95SS,114825,112324,678,247,363,42,38,83,119,44,60,128,40,659,15669,15524,62,2,39,2,1,3,0,0,0,0,2,34,100706,98698,614,245,333,24,37,51,50,44,47,65,39,459,78998,78596,2,0,53,2,0,51,49,0,2,61,2,180,20209,19889,1,1,280,0,0,0,1,0,2,4,0,31,646,38,599,2,0,0,0,0,0,0,1,0,0,6,283,21,4,239,0,0,0,0,0,0,19,0,0,0,570,154,8,3,0,22,37,0,0,44,23,0,37,242,1218,795,2,0,1,17,0,35,77,0,15,65,0,211
95TT,42883,41691,439,205,174,13,85,9,15,57,42,1,9,143,10536,10426,42,2,40,3,7,1,0,0,0,0,1,14,32997,31958,397,203,132,9,78,5,4,57,40,0,8,106,20026,19951,0,0,21,0,0,5,4,0,0,0,0,45,12076,11957,0,0,111,3,0,0,0,0,0,0,0,5,399,3,395,0,0,1,0,0,0,0,0,0,0,0,228,11,1,202,0,0,1,0,0,0,13,0,0,0,268,36,1,1,0,5,77,0,0,57,27,0,8,56,283,228,0,0,4,3,0,3,11,0,2,1,0,31
95UU,16423,16205,47,12,60,2,1,16,0,1,7,12,0,60,4239,4218,2,0,11,0,0,0,0,0,0,0,0,8,12411,12242,45,12,51,2,1,6,0,1,7,5,0,39,8503,8470,0,0,13,0,0,6,0,0,0,5,0,9,3795,3754,0,0,38,0,0,0,0,0,0,0,0,3,45,1,43,0,0,0,0,0,0,0,0,0,0,1,16,3,1,12,0,0,0,0,0,0,0,0,0,0,52,14,1,0,0,2,1,0,0,1,7,0,0,26,113,80,0,0,1,0,0,10,0,0,0,7,0,15
95VV,94839,91046,1775,716,220,73,97,83,33,143,92,25,55,481,15583,15329,175,7,12,18,3,0,0,0,1,0,13,25,80571,77268,1599,709,212,36,94,39,6,143,74,3,42,346,37681,37540,4,1,26,0,1,36,6,0,4,3,0,60,39721,39489,2,1,186,2,1,1,0,0,5,0,0,34,1648,63,1579,1,0,0,1,0,0,0,0,0,0,4,751,37,8,694,0,0,0,0,0,0,11,0,0,1,770,139,6,12,0,34,91,2,0,143,54,0,42,247,900,636,2,0,1,19,0,44,28,0,21,22,0,127
95WW,81578,79775,583,30,93,15,40,198,76,15,40,75,8,630,10307,10246,33,0,11,2,4,1,0,0,2,0,0,8,71713,70456,550,30,86,12,36,54,22,15,20,42,8,382,62595,62254,1,0,15,2,0,51,22,0,8,41,1,200,8190,8078,0,0,71,0,0,0,0,0,1,1,0,39,584,32,548,0,0,0,3,0,0,0,0,0,0,1,35,1,0,30,0,0,0,0,0,0,4,0,0,0,309,91,1,0,0,10,33,3,0,15,7,0,7,142,1074,555,0,0,0,2,0,144,56,0,19,33,0,265
95XX,76068,74776,298,32,28,25,39,81,82,32,20,83,26,546,7748,7701,29,0,4,0,4,0,0,0,0,0,0,10,69449,68535,269,32,26,22,35,52,10,32,13,12,25,386,62822,62560,6,0,9,2,2,50,9,0,3,9,0,172,5834,5795,0,0,17,0,0,1,1,0,1,3,0,16,274,13,259,0,0,0,0,0,0,0,0,0,0,2,36,3,0,32,0,0,0,0,0,0,1,0,0,0,483,164,4,0,0,20,33,1,0,32,8,0,25,196,1149,767,1,0,0,3,0,31,74,0,8,72,1,192
95YY,49120,47566,641,110,120,18,110,22,38,34,58,10,202,191,11037,10874,96,1,31,1,8,1,0,0,0,0,13,12,38685,37367,546,109,90,14,102,11,14,34,52,8,189,149,23025,22937,6,0,9,1,0,8,14,1,0,8,1,40,14466,14349,3,0,80,1,0,0,0,0,0,0,7,26,554,15,535,0,1,1,0,0,0,0,0,0,0,2,117,6,0,109,0,0,0,0,0,0,2,0,0,0,523,60,2,0,0,11,102,3,0,33,50,0,181,81,444,359,0,0,1,4,0,10,25,0,6,2,0,37
95ZZ,38209,37681,192,8,118,2,1,13,11,11,14,10,57,91,9391,9325,24,0,30,0,0,0,0,0,0,0,3,9,29146,28732,168,8,88,2,1,7,1,11,13,0,54,61,17224,17177,0,0,22,0,0,5,1,0,0,0,0,19,11607,11529,0,0,66,0,0,2,0,0,0,0,0,10,172,3,168,0,0,0,0,0,0,0,0,0,0,1,12,4,0,8,0,0,0,0,0,0,0,0,0,0,131,19,0,0,0,2,1,0,0,11,13,0,54,31,199,146,0,0,1,0,0,7,10,0,1,10,0,24
