GeographyCode,DC2221NI0001,DC2221NI0002,DC2221NI0003,DC2221NI0004,DC2221NI0005,DC2221NI0006,DC2221NI0007,DC2221NI0008,DC2221NI0009,DC2221NI0010,DC2221NI0011,DC2221NI0012,DC2221NI0013,DC2221NI0014,DC2221NI0015,DC2221NI0016,DC2221NI0017,DC2221NI0018,DC2221NI0019,DC2221NI0020,DC2221NI0021,DC2221NI0022,DC2221NI0023,DC2221NI0024,DC2221NI0025,DC2221NI0026,DC2221NI0027,DC2221NI0028,DC2221NI0029,DC2221NI0030,DC2221NI0031,DC2221NI0032,DC2221NI0033,DC2221NI0034,DC2221NI0035,DC2221NI0036,DC2221NI0037,DC2221NI0038,DC2221NI0039,DC2221NI0040,DC2221NI0041,DC2221NI0042,DC2221NI0043,DC2221NI0044,DC2221NI0045,DC2221NI0046,DC2221NI0047,DC2221NI0048,DC2221NI0049,DC2221NI0050,DC2221NI0051,DC2221NI0052,DC2221NI0053,DC2221NI0054,DC2221NI0055,DC2221NI0056,DC2221NI0057,DC2221NI0058,DC2221NI0059,DC2221NI0060,DC2221NI0061,DC2221NI0062,DC2221NI0063,DC2221NI0064,DC2221NI0065,DC2221NI0066,DC2221NI0067,DC2221NI0068,DC2221NI0069,DC2221NI0070,DC2221NI0071,DC2221NI0072,DC2221NI0073,DC2221NI0074,DC2221NI0075,DC2221NI0076,DC2221NI0077,DC2221NI0078,DC2221NI0079,DC2221NI0080,DC2221NI0081,DC2221NI0082,DC2221NI0083,DC2221NI0084,DC2221NI0085,DC2221NI0086,DC2221NI0087,DC2221NI0088,DC2221NI0089,DC2221NI0090,DC2221NI0091,DC2221NI0092,DC2221NI0093,DC2221NI0094,DC2221NI0095,DC2221NI0096,DC2221NI0097,DC2221NI0098,DC2221NI0099,DC2221NI0100,DC2221NI0101,DC2221NI0102,DC2221NI0103,DC2221NI0104,DC2221NI0105,DC2221NI0106,DC2221NI0107,DC2221NI0108,DC2221NI0109,DC2221NI0110,DC2221NI0111,DC2221NI0112,DC2221NI0113,DC2221NI0114,DC2221NI0115,DC2221NI0116,DC2221NI0117
UKN04,288597,65367,138295,75322,3905,431,351,3155,1771,115216,27376,82873,3304,1104,256,21,113,169,105185,20439,23132,58606,2157,59,263,224,305,83284,20266,44776,16423,1440,123,49,98,109,2777,515,2090,124,24,4,0,13,7,1670,358,1222,65,14,3,0,4,4,264,37,216,5,4,0,1,0,1,609,22,29,34,0,9,5,505,5,2829,315,22,13,0,2,2,2463,12,2245,293,14,11,0,1,1,1916,9,149,6,3,1,0,0,0,139,0,435,16,5,1,0,1,1,408,3,2305,115,312,90,14,147,126,36,1465
UKN05,411884,92353,177924,116992,6560,600,796,14702,1957,129977,32020,92046,3905,1313,285,31,208,169,169260,33513,39945,89657,4036,151,611,842,505,119579,29615,59603,27403,2247,158,101,314,138,3256,682,2266,224,21,5,0,50,8,1389,276,1026,61,15,4,0,3,4,274,44,201,20,4,0,0,3,2,1895,155,44,37,3,13,11,1618,14,13436,940,42,54,2,8,9,12376,5,6156,666,27,22,1,4,5,5428,3,4336,114,6,15,0,0,3,4198,0,2944,160,9,17,1,4,1,2750,2,3038,134,424,129,17,217,307,287,1523
95AA,53428,9467,34132,6877,876,123,64,1402,487,29509,5257,23063,614,377,85,2,33,78,10746,1611,3693,4914,405,13,38,41,31,16218,3059,11013,1728,341,27,10,27,13,807,105,679,9,3,3,1,3,4,340,43,285,5,4,1,0,0,2,71,6,64,1,0,0,0,0,0,134,14,9,1,2,3,1,101,3,1337,91,2,2,0,0,0,1241,1,654,67,1,1,0,0,0,585,0,310,9,0,0,0,0,0,300,1,373,15,1,1,0,0,0,356,0,605,15,98,8,2,40,28,12,402
95BB,78078,13301,58515,3725,1223,241,38,662,373,57480,9530,45891,995,723,176,14,61,90,5873,883,2712,1861,342,5,11,37,22,24900,4235,18628,1304,586,57,11,42,37,912,132,755,7,5,3,0,4,6,465,67,388,4,3,1,0,0,2,109,13,94,1,0,0,0,0,1,137,6,11,0,1,3,1,114,1,510,23,3,3,1,2,1,474,3,186,16,0,1,1,1,1,166,0,163,2,1,1,0,0,0,159,0,161,5,2,1,0,1,0,149,3,533,20,113,9,5,85,16,15,270
95CC,59340,12243,29433,14395,983,104,62,1850,270,26358,5699,19585,621,312,67,2,41,31,19197,3561,3921,10949,545,10,40,114,57,16089,3546,8793,3329,310,34,8,49,20,435,83,315,24,1,2,0,9,1,194,28,150,12,2,1,0,1,0,52,6,37,8,1,0,0,0,0,125,2,6,5,2,3,2,104,1,1799,125,6,5,0,0,1,1662,0,592,72,4,4,0,0,0,512,0,760,34,2,0,0,0,1,723,0,447,19,0,1,0,0,0,427,0,399,14,74,9,5,33,31,16,217
95DD,64044,14016,42640,4302,823,154,21,1768,320,44165,9759,33137,647,418,107,4,42,51,7105,1329,2667,2696,316,16,12,45,24,17891,3883,12253,1308,333,57,6,35,16,490,70,402,6,4,1,0,2,5,343,65,269,7,0,2,0,0,0,41,5,32,4,0,0,0,0,0,94,3,11,2,0,2,0,76,0,1854,198,6,10,1,5,0,1633,1,999,159,5,5,0,3,0,827,0,53,3,0,0,0,0,0,50,0,802,36,1,5,1,2,0,756,1,466,18,97,8,1,70,10,8,254
95EE,31224,8383,18792,3271,323,28,8,350,69,18907,5051,13398,284,122,18,0,28,6,5126,1089,1674,2188,153,1,6,10,5,9652,2750,5724,1023,116,10,1,23,5,341,80,241,10,1,0,0,9,0,166,30,133,1,1,0,0,1,0,32,4,27,0,1,0,0,0,0,28,2,2,0,0,0,0,23,1,351,42,2,1,0,0,0,299,7,282,38,2,1,0,0,0,235,6,6,0,0,0,0,0,0,6,0,63,4,0,0,0,0,0,58,1,146,24,52,1,2,12,4,2,49
95FF,48339,9473,31993,5249,714,105,30,554,221,29559,5757,22809,550,297,65,0,23,58,7815,1363,2648,3415,289,12,20,33,35,15382,2997,10305,1653,330,29,5,34,29,463,71,370,10,5,3,0,4,0,219,34,175,4,2,1,0,2,1,52,7,41,2,0,0,0,2,0,70,3,6,2,0,1,1,57,0,506,53,5,3,0,0,1,444,0,339,43,3,3,0,0,0,290,0,93,5,0,0,0,0,1,87,0,74,5,2,0,0,0,0,67,0,304,12,62,14,4,39,11,3,159
95GG,280962,45310,155913,60408,5805,913,430,6810,5373,121272,20327,95350,2602,1791,566,20,177,439,97682,14558,28948,49831,3371,125,287,303,259,75356,12163,49729,10651,2210,188,92,187,136,2538,326,2028,73,24,16,2,33,36,1474,243,1172,26,17,9,1,2,4,282,39,226,7,7,1,0,2,0,1540,53,50,37,1,43,17,1327,12,5709,513,37,18,0,25,8,5100,8,4073,397,22,5,0,4,2,3636,7,262,5,0,0,0,0,1,256,0,1374,111,15,13,0,21,5,1208,1,7043,420,802,154,36,407,198,162,4864
95HH,39114,5898,30631,1335,507,132,25,338,248,29941,4380,24701,385,320,91,3,20,41,2090,250,1039,609,142,10,12,10,18,11845,1789,9253,496,218,37,10,23,19,439,56,366,1,7,2,0,7,0,300,36,262,0,1,1,0,0,0,63,8,51,0,0,4,0,0,0,97,6,12,1,0,0,0,78,0,252,17,3,2,0,3,0,227,0,182,16,1,2,0,2,0,161,0,17,0,0,0,0,0,0,17,0,53,1,2,0,0,1,0,49,0,352,7,70,9,1,43,11,2,209
95II,67242,8240,49463,6494,1282,248,78,737,700,44511,5732,37094,821,567,176,6,33,82,9853,826,3652,4706,533,26,43,32,35,21050,2521,16228,1617,534,73,17,27,33,569,73,484,6,4,1,0,1,0,369,46,309,2,5,4,0,1,2,67,11,53,1,1,0,0,1,0,185,6,13,6,0,2,4,154,0,577,42,1,1,0,9,0,520,4,417,30,1,0,0,4,0,378,4,51,4,0,0,0,0,0,47,0,109,8,0,1,0,5,0,95,0,1004,39,169,22,9,91,33,20,621
95JJ,59067,12508,38407,5470,867,172,53,1114,476,36854,7922,27542,761,421,115,7,33,53,8559,1476,3103,3476,337,21,31,57,58,18662,3843,12677,1654,374,51,11,25,27,694,113,555,11,11,2,0,1,1,425,98,318,2,3,2,0,1,1,70,9,59,2,0,0,0,0,0,157,10,10,2,0,4,3,126,2,1085,142,11,5,0,1,0,926,0,942,138,8,4,0,1,0,791,0,23,2,0,0,0,0,0,21,0,120,2,3,1,0,0,0,114,0,627,20,89,19,4,61,14,17,403
95KK,37013,9009,18547,7617,539,58,31,1082,130,13796,3389,9967,284,111,27,0,8,10,12417,2670,3791,5508,317,20,22,64,25,11890,3219,6313,2097,211,14,4,24,8,287,84,191,9,1,1,0,1,0,131,32,90,8,0,1,0,0,0,16,1,13,2,0,0,0,0,0,281,31,11,0,0,0,2,237,0,846,53,3,6,0,1,0,783,0,268,19,3,2,0,0,0,244,0,144,5,0,1,0,0,0,138,0,434,29,0,3,0,1,0,401,0,227,7,53,1,0,17,10,33,106
95LL,93023,17255,52310,16496,1355,198,77,4652,680,44887,8347,34782,983,471,133,6,75,90,23807,4077,6632,12137,628,19,55,186,73,26704,5565,16360,4057,515,46,16,116,29,793,141,587,34,5,4,0,19,3,397,72,312,6,4,0,0,1,2,71,13,55,2,1,0,0,0,0,970,80,16,13,0,7,2,849,3,3988,333,18,18,0,1,8,3610,0,2363,257,7,13,0,0,7,2079,0,1065,46,8,2,0,1,1,1007,0,560,30,3,3,0,0,0,524,0,984,44,167,19,3,90,22,64,575
95MM,107877,20685,38114,45323,1582,127,195,994,857,25560,5220,18661,1220,277,72,5,30,75,59367,10474,10099,37336,1030,22,157,102,147,26528,5626,11890,8354,530,24,21,36,47,951,161,713,65,5,2,0,1,4,530,102,381,40,4,1,0,0,2,71,8,58,2,2,0,1,0,0,334,10,11,29,0,4,2,277,1,741,68,4,4,0,0,2,660,3,581,65,1,4,0,0,1,507,3,64,1,2,0,0,0,0,61,0,96,2,1,0,0,0,1,92,0,1039,36,103,49,7,49,70,9,716
95NN,69731,13953,38706,14186,1443,153,92,784,414,28037,5487,21108,861,430,80,1,25,45,22465,4115,7230,10121,764,25,64,71,75,23791,5092,13999,3960,593,40,19,40,48,910,131,733,27,6,7,0,3,3,307,41,254,7,3,0,0,0,2,80,10,62,2,5,0,0,0,1,125,4,2,7,1,5,4,101,1,672,51,7,1,0,2,1,606,4,366,36,2,0,0,2,0,326,0,134,6,1,0,0,0,0,127,0,172,9,4,1,0,0,1,153,4,609,24,101,31,7,58,35,21,332
95OO,57852,12543,24082,15023,864,71,110,4849,310,17866,4550,12563,499,149,31,7,48,19,22423,4402,5477,11535,529,12,76,289,103,15669,3830,7926,3501,284,16,19,75,18,372,76,243,24,3,1,0,23,2,147,39,103,2,0,1,0,1,1,29,8,17,0,0,0,0,3,1,971,88,9,15,1,1,2,844,11,4010,225,9,19,1,4,3,3746,3,1494,154,6,6,1,2,0,1323,2,1904,44,3,12,0,0,2,1843,0,612,27,0,1,0,2,1,580,1,569,22,59,23,3,30,44,159,229
95PP,61805,15364,27585,16132,786,93,98,1443,304,22994,5889,15901,868,226,50,10,28,22,22300,5041,4665,11920,432,23,69,86,64,18252,4967,8974,3938,279,24,12,41,17,793,166,549,62,12,1,0,3,0,234,54,169,7,4,0,0,0,0,43,4,36,2,0,0,0,0,1,173,3,9,1,0,4,1,155,0,1281,54,3,3,1,0,0,1220,0,675,37,1,2,0,0,0,635,0,365,7,0,0,0,0,0,358,0,241,10,2,1,1,0,0,227,0,453,18,63,22,2,35,40,18,255
95QQ,32180,6661,22786,1908,428,81,16,198,102,22466,4578,17243,328,232,47,2,24,12,3249,573,1364,1124,151,11,10,4,12,10090,2042,7189,604,193,36,3,10,13,360,67,286,4,2,1,0,0,0,280,44,234,1,1,0,0,0,0,32,4,28,0,0,0,0,0,0,96,12,5,3,0,2,2,72,0,105,4,1,0,0,0,0,100,0,38,2,0,0,0,0,0,36,0,8,1,0,0,0,0,0,7,0,59,1,1,0,0,0,0,57,0,182,4,50,2,2,30,6,3,85
95RR,33536,8551,17707,6400,393,38,42,245,160,14163,3491,10158,354,106,22,9,8,15,10718,2474,3192,4716,226,4,34,27,45,10286,2863,5669,1585,145,11,4,2,7,291,54,228,8,1,0,0,0,0,178,44,130,3,1,0,0,0,0,41,5,35,0,1,0,0,0,0,29,0,1,1,0,1,0,25,1,231,16,3,0,0,0,0,211,1,159,14,1,0,0,0,0,144,0,29,2,1,0,0,0,0,26,0,43,0,1,0,0,0,0,41,1,202,19,23,5,0,6,21,1,127
95SS,120165,18624,77922,18407,2313,326,120,1581,872,66767,10221,53906,1269,944,223,11,65,128,29630,4200,9632,14376,1117,39,65,113,88,34433,5463,24102,3733,902,88,29,58,58,1547,180,1325,22,4,5,0,6,5,750,90,653,2,2,2,0,1,0,158,18,134,3,1,0,1,1,0,305,20,18,6,0,13,3,243,2,1326,92,8,7,0,4,1,1211,3,759,79,4,2,0,0,0,672,2,306,8,0,3,0,0,0,295,0,261,5,4,2,0,4,1,244,1,1234,32,189,31,13,138,59,32,740
95TT,45038,12085,19500,11450,785,55,90,928,145,14143,4252,9444,288,113,24,1,9,12,19222,4592,5137,8790,508,20,67,69,39,13414,3701,6563,2826,267,15,19,14,9,295,75,197,22,0,0,0,0,1,148,30,112,3,1,0,0,0,2,18,1,16,1,0,0,0,0,0,39,2,2,0,0,0,0,34,1,936,72,1,0,0,1,0,862,0,466,50,1,0,0,0,0,415,0,237,5,0,0,0,0,0,232,0,233,17,0,0,0,1,0,215,0,290,39,55,17,0,25,28,11,115
95UU,17050,4669,8303,3539,301,16,17,119,86,6587,2055,4254,199,62,6,0,5,6,5814,1261,1623,2708,171,2,11,9,29,5477,1539,3024,779,108,6,4,5,12,201,34,156,10,1,0,0,0,0,149,29,115,3,1,0,0,1,0,20,2,18,0,0,0,0,0,0,31,0,4,2,0,0,0,25,0,86,3,1,1,0,0,0,80,1,56,3,1,0,0,0,0,52,0,15,0,0,1,0,0,0,14,0,15,0,0,0,0,0,0,14,1,124,9,23,6,1,6,4,5,70
95VV,99480,18523,36326,38570,1813,122,262,3295,569,20135,4455,14340,887,298,46,10,47,52,52715,8556,11386,31017,1191,38,220,164,143,27474,5964,12866,7843,617,26,26,88,44,758,123,556,62,3,0,0,11,3,343,42,268,23,7,1,0,1,1,78,14,57,4,3,0,0,0,0,221,24,6,12,0,1,4,174,0,3257,258,9,8,0,1,4,2976,1,1945,219,6,5,0,1,4,1709,1,797,14,1,1,0,0,0,781,0,515,25,2,2,0,0,0,486,0,766,23,65,43,4,47,105,41,438
95WW,85139,12277,62407,7141,1222,232,64,969,827,56644,8368,46490,907,567,164,7,38,103,11443,1279,4456,5050,491,19,35,70,43,26549,3759,20248,1841,520,86,17,34,44,667,89,549,20,3,0,0,5,1,357,54,296,3,1,1,0,0,2,77,7,70,0,0,0,0,0,0,169,8,9,0,0,4,0,148,0,799,45,4,2,0,4,1,743,0,665,43,2,2,0,0,0,618,0,34,0,0,0,0,0,0,34,0,100,2,2,0,0,4,1,91,0,1039,31,140,21,7,87,24,18,711
95XX,78937,9233,61814,4045,1820,354,80,787,804,56146,6326,47292,944,1159,253,9,62,101,7187,622,3518,2288,607,33,48,30,41,26013,3296,20211,1420,813,122,19,61,71,1513,139,1330,14,7,8,0,5,10,714,88,606,8,5,1,0,0,6,131,15,110,3,1,2,0,0,0,286,7,24,6,1,17,2,228,1,517,42,8,3,0,2,0,461,1,328,35,2,0,0,1,0,289,1,36,0,0,0,0,0,0,36,0,153,7,6,3,0,1,0,136,0,1057,26,162,13,7,110,33,26,680
95YY,51356,12586,22451,13805,790,97,143,1255,229,14685,3786,10246,458,104,40,1,27,23,20986,4691,5568,9938,514,28,117,56,74,16791,4388,8168,3869,279,29,13,23,22,316,75,215,21,1,0,0,3,1,192,51,134,6,1,0,0,0,0,38,10,25,3,0,0,0,0,0,85,5,1,4,0,4,0,70,1,1307,153,11,13,0,1,1,1127,1,716,115,6,3,0,1,1,590,0,129,5,0,1,0,0,0,123,0,462,33,5,9,0,0,0,414,1,334,11,55,14,3,30,49,9,163
95ZZ,39843,10571,16972,11319,439,50,36,333,123,13145,3637,8860,486,116,23,0,9,14,15601,3665,3441,8182,240,9,24,19,21,12679,3645,5792,3028,167,21,8,7,11,299,73,197,20,5,0,0,2,2,222,55,145,16,4,0,0,1,1,30,9,19,1,0,0,0,0,1,30,0,1,0,0,0,0,29,0,335,44,1,2,0,1,0,287,0,225,35,1,2,0,0,0,187,0,12,1,0,0,0,0,0,11,0,98,8,0,0,0,1,0,89,0,167,7,22,10,0,13,13,2,100
