GeographyCode,DC2203NI0001,DC2203NI0002,DC2203NI0003,DC2203NI0004,DC2203NI0005,DC2203NI0006,DC2203NI0007,DC2203NI0008,DC2203NI0009,DC2203NI0010,DC2203NI0011,DC2203NI0012,DC2203NI0013,DC2203NI0014,DC2203NI0015,DC2203NI0016,DC2203NI0017,DC2203NI0018,DC2203NI0019,DC2203NI0020,DC2203NI0021,DC2203NI0022,DC2203NI0023,DC2203NI0024,DC2203NI0025,DC2203NI0026,DC2203NI0027,DC2203NI0028,DC2203NI0029,DC2203NI0030,DC2203NI0031,DC2203NI0032,DC2203NI0033,DC2203NI0034,DC2203NI0035,DC2203NI0036,DC2203NI0037,DC2203NI0038,DC2203NI0039,DC2203NI0040,DC2203NI0041,DC2203NI0042,DC2203NI0043,DC2203NI0044,DC2203NI0045,DC2203NI0046,DC2203NI0047,DC2203NI0048,DC2203NI0049,DC2203NI0050,DC2203NI0051,DC2203NI0052,DC2203NI0053,DC2203NI0054,DC2203NI0055,DC2203NI0056,DC2203NI0057,DC2203NI0058,DC2203NI0059,DC2203NI0060,DC2203NI0061,DC2203NI0062,DC2203NI0063,DC2203NI0064,DC2203NI0065,DC2203NI0066,DC2203NI0067,DC2203NI0068,DC2203NI0069,DC2203NI0070,DC2203NI0071,DC2203NI0072,DC2203NI0073,DC2203NI0074,DC2203NI0075,DC2203NI0076,DC2203NI0077,DC2203NI0078,DC2203NI0079,DC2203NI0080,DC2203NI0081,DC2203NI0082,DC2203NI0083,DC2203NI0084,DC2203NI0085,DC2203NI0086,DC2203NI0087,DC2203NI0088,DC2203NI0089,DC2203NI0090,DC2203NI0091,DC2203NI0092,DC2203NI0093,DC2203NI0094,DC2203NI0095,DC2203NI0096,DC2203NI0097,DC2203NI0098,DC2203NI0099,DC2203NI0100,DC2203NI0101,DC2203NI0102,DC2203NI0103,DC2203NI0104,DC2203NI0105,DC2203NI0106,DC2203NI0107,DC2203NI0108,DC2203NI0109,DC2203NI0110,DC2203NI0111,DC2203NI0112
UKN04,277050,273803,273653,150,1970,615,838,83,22,412,272,68,147,57,726,279,272011,269963,269815,148,983,241,538,40,13,151,200,61,91,48,670,195,5039,3840,3838,2,987,374,300,43,9,261,72,7,56,9,56,84,2079,1508,1506,2,443,75,189,30,6,143,40,2,35,3,36,52,1615,1193,1193,0,368,164,89,10,3,102,22,2,15,5,12,20,1041,868,868,0,149,116,21,2,0,10,9,3,5,1,7,8,304,271,271,0,27,19,1,1,0,6,1,0,1,0,1,4
UKN05,393311,389519,388967,552,1896,664,593,118,23,498,583,37,259,287,772,541,376695,374849,374303,546,834,253,322,62,9,188,190,27,84,79,587,235,16616,14670,14664,6,1062,411,271,56,14,310,393,10,175,208,185,306,4770,4092,4089,3,428,79,153,31,6,159,91,3,56,32,60,99,6341,5589,5588,1,395,171,95,13,5,111,182,0,73,109,80,95,4539,4092,4091,1,209,139,20,11,3,36,99,6,32,61,39,100,966,897,896,1,30,22,3,1,0,4,21,1,14,6,6,12
95AA,51042,50048,50028,20,664,160,328,45,2,129,122,22,74,26,175,33,49238,48608,48588,20,352,79,183,32,2,56,92,19,51,22,163,23,1804,1440,1440,0,312,81,145,13,0,73,30,3,23,4,12,10,590,408,408,0,152,9,94,10,0,39,17,2,12,3,7,6,681,560,560,0,104,28,41,3,0,32,8,1,6,1,5,4,454,403,403,0,49,37,10,0,0,2,2,0,2,0,0,0,79,69,69,0,7,7,0,0,0,0,3,0,3,0,0,0
95BB,75313,74574,74563,11,473,155,60,10,124,124,40,2,24,14,164,62,74323,73926,73915,11,163,58,34,2,35,34,34,2,21,11,160,40,990,648,648,0,310,97,26,8,89,90,6,0,3,3,4,22,385,237,237,0,128,21,13,4,37,53,6,0,3,3,2,12,336,210,210,0,115,29,11,3,39,33,0,0,0,0,1,10,217,162,162,0,54,38,2,1,9,4,0,0,0,0,1,0,52,39,39,0,13,9,0,0,4,0,0,0,0,0,0,0
95CC,56792,56379,56307,72,266,113,96,13,3,41,13,4,5,4,84,50,54716,54458,54388,70,136,45,58,12,0,21,13,4,5,4,75,34,2076,1921,1919,2,130,68,38,1,3,20,0,0,0,0,9,16,592,540,539,1,45,9,21,1,1,13,0,0,0,0,4,3,756,693,693,0,52,30,15,0,0,7,0,0,0,0,4,7,600,564,564,0,30,26,2,0,2,0,0,0,0,0,0,6,128,124,123,1,3,3,0,0,0,0,0,0,0,0,1,0
95DD,61601,61031,60953,78,379,126,82,50,6,115,44,3,33,8,74,73,59509,59172,59095,77,191,57,54,37,1,42,33,3,24,6,68,45,2092,1859,1858,1,188,69,28,13,5,73,11,0,9,2,6,28,516,436,436,0,64,11,8,5,2,38,6,0,5,1,1,9,844,740,739,1,81,27,18,1,3,32,5,0,4,1,2,16,573,533,533,0,34,22,2,7,0,3,0,0,0,0,3,3,159,150,150,0,9,9,0,0,0,0,0,0,0,0,0,0
95EE,29937,29788,29779,9,84,44,31,0,0,9,8,7,1,0,46,11,29495,29377,29368,9,56,24,26,0,0,6,8,7,1,0,43,11,442,411,411,0,28,20,5,0,0,3,0,0,0,0,3,0,126,116,116,0,8,4,2,0,0,2,0,0,0,0,2,0,144,134,134,0,9,6,2,0,0,1,0,0,0,0,1,0,136,125,125,0,11,10,1,0,0,0,0,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
95FF,46112,45759,45748,11,189,73,30,18,6,62,18,7,7,4,98,48,45397,45177,45167,10,92,34,19,15,1,23,16,7,6,3,86,26,715,582,581,1,97,39,11,3,5,39,2,0,1,1,12,22,266,209,208,1,39,7,6,2,2,22,0,0,0,0,5,13,264,227,227,0,26,9,4,1,3,9,2,0,1,1,2,7,153,120,120,0,27,19,0,0,0,8,0,0,0,0,5,1,32,26,26,0,5,4,1,0,0,0,0,0,0,0,0,1
95GG,269804,260580,260387,193,6330,2128,1997,203,185,1817,1174,87,958,129,1166,554,256904,252354,252167,187,2565,678,1061,111,86,629,688,74,542,72,987,310,12900,8226,8220,6,3765,1450,936,92,99,1188,486,13,416,57,179,244,6083,4045,4041,4,1594,217,589,47,33,708,217,5,188,24,103,124,4427,2709,2708,1,1408,627,295,28,43,415,176,3,157,16,57,77,1944,1220,1219,1,592,455,46,17,20,54,77,4,57,16,15,40,446,252,252,0,171,151,6,0,3,11,16,1,14,1,4,3
95HH,37739,37287,37283,4,237,91,67,16,4,59,42,3,31,8,145,28,37226,36932,36928,4,105,29,35,13,2,26,33,3,24,6,140,16,513,355,355,0,132,62,32,3,2,33,9,0,7,2,5,12,220,161,161,0,44,12,19,0,0,13,8,0,6,2,3,4,183,114,114,0,62,31,13,3,2,13,1,0,1,0,1,5,84,59,59,0,22,16,0,0,0,6,0,0,0,0,1,2,26,21,21,0,4,3,0,0,0,1,0,0,0,0,0,1
95II,64756,62955,62945,10,1322,479,281,90,36,436,123,11,105,7,245,111,63223,62182,62172,10,646,237,165,67,15,162,100,9,86,5,222,73,1533,773,773,0,676,242,116,23,21,274,23,2,19,2,23,38,793,377,377,0,357,58,81,6,16,196,14,2,10,2,15,30,474,267,267,0,185,81,29,12,5,58,8,0,8,0,7,7,231,108,108,0,120,93,6,4,0,17,1,0,1,0,1,1,35,21,21,0,14,10,0,1,0,3,0,0,0,0,0,0
95JJ,56990,56155,56144,11,506,215,127,35,7,122,72,5,57,10,177,80,55434,54953,54943,10,209,64,78,13,4,50,54,5,39,10,159,59,1556,1202,1201,1,297,151,49,22,3,72,18,0,18,0,18,21,532,386,385,1,106,26,31,14,1,34,13,0,13,0,10,17,564,428,428,0,124,76,14,5,2,27,4,0,4,0,6,2,359,301,301,0,55,43,4,2,0,6,0,0,0,0,2,1,101,87,87,0,12,6,0,1,0,5,1,0,1,0,0,1
95KK,35320,35029,35023,6,138,87,20,15,0,16,93,8,59,26,50,10,34089,33970,33964,6,46,26,9,6,0,5,25,3,16,6,41,7,1231,1059,1059,0,92,61,11,9,0,11,68,5,43,20,9,3,324,279,279,0,20,11,2,1,0,6,20,0,10,10,4,1,466,401,401,0,37,22,9,2,0,4,22,0,19,3,4,2,348,296,296,0,34,28,0,5,0,1,17,4,6,7,1,0,93,83,83,0,1,0,0,1,0,0,9,1,8,0,0,0
95LL,88565,86773,86733,40,1051,327,224,154,14,332,282,20,171,91,326,133,83203,82295,82255,40,480,150,134,74,9,113,92,12,58,22,263,73,5362,4478,4478,0,571,177,90,80,5,219,190,8,113,69,63,60,1412,1086,1086,0,231,27,55,34,0,115,59,5,35,19,25,11,2182,1838,1838,0,209,61,30,31,4,83,80,1,48,31,25,30,1432,1267,1267,0,104,71,3,12,0,18,39,2,26,11,9,13,336,287,287,0,27,18,2,3,1,3,12,0,4,8,4,6
95MM,103341,101660,101591,69,1048,248,565,44,12,179,165,51,78,36,349,119,101409,100348,100280,68,548,108,352,23,6,59,121,44,47,30,320,72,1932,1312,1311,1,500,140,213,21,6,120,44,7,31,6,29,47,935,617,616,1,249,30,140,16,5,58,20,2,15,3,19,30,578,359,359,0,187,67,57,5,1,57,15,2,11,2,5,12,325,255,255,0,55,36,15,0,0,4,9,3,5,1,4,2,94,81,81,0,9,7,1,0,0,1,0,0,0,0,1,3
95NN,66882,66163,66146,17,331,134,112,4,18,63,137,26,56,55,178,73,65748,65266,65251,15,141,62,44,1,9,25,104,23,45,36,172,65,1134,897,895,2,190,72,68,3,9,38,33,3,11,19,6,8,463,376,375,1,62,7,29,3,3,20,18,0,8,10,2,5,400,300,300,0,83,29,34,0,4,16,11,1,3,7,4,2,222,181,180,1,38,31,4,0,1,2,2,1,0,1,0,1,49,40,40,0,7,5,1,0,1,0,2,1,0,1,0,0
95OO,55075,53928,53737,191,337,91,97,7,5,137,352,9,123,220,220,238,49935,49612,49423,189,105,24,44,4,1,32,73,6,25,42,98,47,5140,4316,4314,2,232,67,53,3,4,105,279,3,98,178,122,191,1215,1015,1014,1,73,16,20,1,3,33,51,2,32,17,30,46,2018,1665,1665,0,98,34,23,0,1,40,141,0,40,101,52,62,1601,1360,1359,1,56,16,9,2,0,29,76,1,21,54,35,74,306,276,276,0,5,1,1,0,0,3,11,0,5,6,5,9
95PP,59282,58774,58737,37,313,70,117,34,5,87,28,8,12,8,100,67,57652,57358,57321,37,143,32,59,15,3,34,17,6,4,7,86,48,1630,1416,1416,0,170,38,58,19,2,53,11,2,8,1,14,19,565,464,464,0,84,12,30,12,1,29,4,1,3,0,7,6,653,576,576,0,63,14,24,4,1,20,4,0,3,1,6,4,342,309,309,0,20,11,3,3,0,3,3,1,2,0,1,9,70,67,67,0,3,1,1,0,0,1,0,0,0,0,0,0
95QQ,31065,30886,30879,7,98,53,29,3,1,12,12,5,6,1,63,6,30819,30694,30687,7,55,27,18,0,0,10,9,4,4,1,56,5,246,192,192,0,43,26,11,3,1,2,3,1,2,0,7,1,114,95,95,0,13,2,6,3,1,1,2,0,2,0,3,1,97,78,78,0,16,13,2,0,0,1,1,1,0,0,2,0,33,19,19,0,12,9,3,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
95RR,32150,31937,31917,20,125,42,18,3,3,59,14,1,6,7,53,21,31787,31652,31632,20,61,20,12,3,3,23,8,1,2,5,50,16,363,285,285,0,64,22,6,0,0,36,6,0,4,2,3,5,145,97,97,0,40,5,1,0,0,34,4,0,4,0,3,1,117,104,104,0,9,2,5,0,0,2,2,0,0,2,0,2,72,59,59,0,11,11,0,0,0,0,0,0,0,0,0,2,29,25,25,0,4,4,0,0,0,0,0,0,0,0,0,0
95SS,114825,113039,112948,91,1057,334,410,48,7,258,223,17,147,59,373,133,112324,111188,111097,91,541,176,226,28,3,108,162,15,106,41,342,91,2501,1851,1851,0,516,158,184,20,4,150,61,2,41,18,31,42,1230,893,893,0,249,37,110,11,2,89,38,2,27,9,20,30,830,615,615,0,176,57,57,5,2,55,18,0,12,6,10,11,374,280,280,0,87,63,16,4,0,4,5,0,2,3,1,1,67,63,63,0,4,1,1,0,0,2,0,0,0,0,0,0
95TT,42883,42572,42553,19,181,82,63,1,1,34,9,4,3,2,78,43,41691,41480,41461,19,105,42,50,1,1,11,6,4,1,1,72,28,1192,1092,1092,0,76,40,13,0,0,23,3,0,2,1,6,15,411,369,369,0,29,7,9,0,0,13,2,0,2,0,3,8,411,374,374,0,29,17,3,0,0,9,1,0,0,1,2,5,319,301,301,0,17,15,1,0,0,1,0,0,0,0,1,0,51,48,48,0,1,1,0,0,0,0,0,0,0,0,0,2
95UU,16423,16300,16300,0,76,27,38,0,0,11,5,2,2,1,31,11,16205,16126,16126,0,36,7,26,0,0,3,4,2,1,1,29,10,218,174,174,0,40,20,12,0,0,8,1,0,1,0,2,1,118,101,101,0,15,2,9,0,0,4,1,0,1,0,1,0,52,36,36,0,15,8,3,0,0,4,0,0,0,0,0,1,36,26,26,0,9,9,0,0,0,0,0,0,0,0,1,0,12,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0
95VV,94839,94075,93920,155,428,157,136,37,8,90,76,3,47,26,164,96,91046,90626,90473,153,177,63,57,14,3,40,52,3,31,18,146,45,3793,3449,3447,2,251,94,79,23,5,50,24,0,16,8,18,51,1225,1052,1051,1,124,18,55,16,1,34,11,0,6,5,9,29,1439,1324,1323,1,82,40,19,6,3,14,13,0,10,3,8,12,881,838,838,0,32,24,4,1,1,2,0,0,0,0,1,10,248,235,235,0,13,12,1,0,0,0,0,0,0,0,0,0
95WW,81578,79912,79905,7,1226,494,405,102,12,213,112,9,86,17,262,66,79775,78853,78846,7,553,197,247,47,6,56,85,9,64,12,240,44,1803,1059,1059,0,673,297,158,55,6,157,27,0,22,5,22,22,714,400,400,0,283,45,106,38,0,94,9,0,9,0,10,12,685,404,404,0,246,141,43,12,4,46,17,0,13,4,11,7,332,195,195,0,132,103,7,4,2,16,1,0,0,1,1,3,72,60,60,0,12,8,2,1,0,1,0,0,0,0,0,0
95XX,76068,74687,74677,10,745,239,213,75,42,176,212,50,106,56,315,109,74776,73898,73888,10,336,121,97,45,18,55,172,47,81,44,301,69,1292,789,789,0,409,118,116,30,24,121,40,3,25,12,14,40,625,372,372,0,194,34,74,12,11,63,27,3,16,8,9,23,452,277,277,0,148,46,31,12,8,51,11,0,7,4,3,13,173,107,107,0,60,31,11,6,5,7,0,0,0,0,2,4,42,33,33,0,7,7,0,0,0,0,2,0,2,0,0,0
95YY,49120,48762,48690,72,233,64,64,11,1,93,12,1,10,1,76,37,47566,47345,47273,72,122,21,45,10,1,45,4,1,2,1,69,26,1554,1417,1417,0,111,43,19,1,0,48,8,0,8,0,7,11,438,373,373,0,53,6,16,0,0,31,3,0,3,0,3,6,598,556,556,0,34,14,2,1,0,17,1,0,1,0,4,3,448,424,424,0,20,19,1,0,0,0,3,0,3,0,0,1,70,64,64,0,4,4,0,0,0,0,1,0,1,0,0,1
95ZZ,38209,37963,37922,41,131,39,59,1,0,32,8,2,3,3,70,37,37681,37507,37466,41,73,18,44,1,0,10,5,2,1,2,69,27,528,456,456,0,58,21,15,0,0,22,3,0,2,1,1,10,223,191,191,0,25,8,6,0,0,11,2,0,2,0,1,4,160,132,132,0,24,5,8,0,0,11,1,0,0,1,0,3,113,102,102,0,8,7,1,0,0,0,0,0,0,0,0,3,32,31,31,0,1,1,0,0,0,0,0,0,0,0,0,0
