GeographyCode,DC6506NI0001,DC6506NI0002,DC6506NI0003,DC6506NI0004,DC6506NI0005,DC6506NI0006,DC6506NI0007,DC6506NI0008,DC6506NI0009,DC6506NI0010,DC6506NI0011,DC6506NI0012,DC6506NI0013,DC6506NI0014,DC6506NI0015,DC6506NI0016,DC6506NI0017,DC6506NI0018,DC6506NI0019,DC6506NI0020,DC6506NI0021,DC6506NI0022,DC6506NI0023,DC6506NI0024
95EE,24608,3439,21169,8229,450,7779,2914,338,2576,3987,644,3343,1165,142,1023,2886,539,2347,4521,1201,3320,906,125,781
95FF,37527,5636,31891,10440,579,9861,4525,519,4006,5855,960,4895,1689,213,1476,4630,880,3750,8924,2319,6605,1464,166,1298
95GG,228679,34407,194272,69498,2695,66803,24585,2454,22131,28773,4436,24337,7444,680,6764,30052,7228,22824,59536,15920,43616,8791,994,7797
95HH,31409,4677,26732,7992,482,7510,4037,430,3607,5074,778,4296,1741,146,1595,4108,771,3337,7325,1948,5377,1132,122,1010
95II,54400,8751,45649,12918,691,12227,6086,705,5381,7991,1387,6604,2553,242,2311,6598,1334,5264,16304,4123,12181,1950,269,1681
95JJ,47617,7967,39650,13612,786,12826,5347,658,4689,7116,1291,5825,1734,223,1511,6189,1472,4717,11646,3230,8416,1973,307,1666
95KK,28719,3822,24897,9667,486,9181,3364,402,2962,4359,720,3639,1165,146,1019,3356,612,2744,5421,1322,4099,1387,134,1253
95LL,72503,9629,62874,22178,1185,20993,8503,886,7617,11358,1590,9768,2767,306,2461,8334,1562,6772,15311,3741,11570,4052,359,3693
95MM,83663,11510,72153,27285,1295,25990,9795,1114,8681,12316,2093,10223,2946,371,2575,10294,1895,8399,18272,4405,13867,2755,337,2418
95NN,54746,8779,45967,14199,831,13368,6077,709,5368,8802,1477,7325,2825,349,2476,7006,1411,5595,13749,3742,10007,2088,260,1828
95OO,44467,6266,38201,13813,703,13110,4769,561,4208,6390,1068,5322,1617,214,1403,5053,933,4120,9415,2508,6907,3410,279,3131
95PP,48664,8164,40500,15733,1031,14702,5725,808,4917,7320,1447,5873,1714,278,1436,5213,1251,3962,10353,2974,7379,2606,375,2231
95QQ,25999,3641,22358,7257,340,6917,3247,327,2920,4109,641,3468,1574,181,1393,3341,596,2745,5422,1428,3994,1049,128,921
95RR,26293,3363,22930,9067,376,8691,3079,304,2775,4016,671,3345,1131,133,998,3235,637,2598,4753,1113,3640,1012,129,883
95SS,93625,14276,79349,23658,1293,22365,11398,1132,10266,14760,2366,12394,4051,454,3597,11629,2164,9465,24633,6448,18185,3496,419,3077
95TT,34461,4976,29485,10871,619,10252,3824,421,3403,5198,900,4298,1551,238,1313,4152,774,3378,7467,1872,5595,1398,152,1246
95UU,13603,2188,11415,4254,188,4066,1629,228,1401,2058,363,1695,622,87,535,1491,322,1169,2997,916,2081,552,84,468
95VV,75962,11328,64634,22655,1271,21384,8476,1092,7384,11239,1997,9242,3883,542,3341,9143,1748,7395,16483,4253,12230,4083,425,3658
95WW,67792,9841,57951,17636,841,16795,8451,849,7602,10525,1626,8899,3271,328,2943,9160,1915,7245,16248,3974,12274,2501,308,2193
95XX,64422,11087,53335,12963,764,12199,7395,907,6488,10323,1818,8505,2877,315,2562,8370,1647,6723,20087,5306,14781,2407,330,2077
95YY,39689,6566,33123,12560,773,11787,4178,590,3588,5900,1268,4632,1458,210,1248,4419,952,3467,9318,2565,6753,1856,208,1648
95ZZ,31020,3990,27030,12570,659,11911,3588,420,3168,4253,708,3545,970,127,843,3400,621,2779,4991,1281,3710,1248,174,1074
