GeographyCode,DC2419NI0001,DC2419NI0002,DC2419NI0003,DC2419NI0004,DC2419NI0005,DC2419NI0006,DC2419NI0007,DC2419NI0008,DC2419NI0009,DC2419NI0010,DC2419NI0011,DC2419NI0012,DC2419NI0013,DC2419NI0014,DC2419NI0015,DC2419NI0016,DC2419NI0017,DC2419NI0018,DC2419NI0019,DC2419NI0020,DC2419NI0021,DC2419NI0022,DC2419NI0023,DC2419NI0024,DC2419NI0025,DC2419NI0026,DC2419NI0027,DC2419NI0028,DC2419NI0029,DC2419NI0030,DC2419NI0031,DC2419NI0032,DC2419NI0033,DC2419NI0034,DC2419NI0035,DC2419NI0036,DC2419NI0037,DC2419NI0038,DC2419NI0039,DC2419NI0040,DC2419NI0041,DC2419NI0042,DC2419NI0043,DC2419NI0044,DC2419NI0045,DC2419NI0046,DC2419NI0047,DC2419NI0048,DC2419NI0049,DC2419NI0050,DC2419NI0051,DC2419NI0052,DC2419NI0053,DC2419NI0054,DC2419NI0055,DC2419NI0056,DC2419NI0057,DC2419NI0058,DC2419NI0059,DC2419NI0060,DC2419NI0061,DC2419NI0062,DC2419NI0063,DC2419NI0064,DC2419NI0065,DC2419NI0066,DC2419NI0067,DC2419NI0068,DC2419NI0069,DC2419NI0070
WELB,109206,71962,34853,641,1750,70925,45061,24680,363,821,36094,21093,14484,171,346,34831,23968,10196,192,475,464,301,149,7,7,17149,12795,4027,72,255,13352,9812,3294,48,198,3797,2983,733,24,57,17595,11923,4859,187,626,15807,10721,4316,177,593,90,50,28,2,10,1432,959,455,2,16,266,193,60,6,7,3073,1882,1138,12,41
UKN01,120595,54899,57007,1944,6745,62301,28748,30450,641,2462,27904,11271,15598,262,773,34397,17477,14852,379,1689,718,372,287,11,48,30818,13531,15629,302,1356,20794,8661,11077,176,880,10024,4870,4552,126,476,23632,11041,8915,945,2731,21854,10213,8165,895,2581,100,56,29,5,10,1242,588,530,16,108,436,184,191,29,32,3126,1207,1726,45,148
UKN02,156882,33156,112961,1662,9103,114348,23770,84010,1108,5460,50083,7103,40981,482,1517,64265,16667,43029,626,3943,1364,356,879,13,116,21552,4449,15579,197,1327,17040,3112,12651,148,1129,4512,1337,2928,49,198,16631,4133,10128,307,2063,14561,3711,8793,266,1791,466,99,262,10,95,1240,257,853,15,115,364,66,220,16,62,2987,448,2365,37,137
UKN03,170132,56873,104754,1486,7019,120291,37887,77676,908,3820,57394,15875,39917,429,1173,62897,22012,37759,479,2647,1049,384,594,10,61,19772,6884,11731,200,957,16551,5798,9759,165,829,3221,1086,1972,35,128,24721,10434,11908,328,2051,22026,9466,10430,296,1834,391,105,199,11,76,1892,735,1047,13,97,412,128,232,8,44,4299,1284,2845,40,130
UKN04,109318,59110,47140,724,2344,69260,35749,31972,393,1146,34217,15709,17915,186,407,35043,20040,14057,207,739,588,291,278,7,12,18728,11539,6741,86,362,14888,8800,5722,63,303,3840,2739,1019,23,59,17808,10105,6703,223,777,16022,9118,5967,210,727,84,46,29,2,7,1448,776,634,4,34,254,165,73,7,9,2934,1426,1446,15,47
UKN05,146348,92539,50351,838,2620,104307,64546,38082,511,1168,56247,32437,23004,290,516,48060,32109,15078,221,652,525,323,180,3,19,14015,9597,4077,72,269,11617,7889,3470,48,210,2398,1708,607,24,59,23224,15566,6317,232,1109,20752,13921,5578,213,1040,175,117,43,4,11,1962,1310,602,8,42,335,218,94,7,16,4277,2507,1695,20,55
95AA,20064,7702,11176,186,1000,14243,5384,8258,111,490,6211,1896,4148,34,133,8032,3488,4110,77,357,129,61,61,0,7,2385,879,1319,24,163,2147,791,1183,22,151,238,88,136,2,12,2817,1216,1232,44,325,2288,1056,960,35,237,222,41,119,6,56,205,93,101,2,9,102,26,52,1,23,490,162,306,7,15
95BB,31514,3774,25541,329,1870,23064,2568,19156,208,1132,10957,1114,9437,88,318,12107,1454,9719,120,814,239,25,187,5,22,4094,466,3298,51,279,3436,410,2734,44,248,658,56,564,7,31,3376,614,2304,57,401,3006,543,2046,50,367,26,7,16,0,3,300,60,206,6,28,44,4,36,1,3,741,101,596,8,36
95CC,21594,10165,10821,133,475,15867,7094,8456,87,230,8380,3462,4789,45,84,7487,3632,3667,42,146,61,36,22,0,3,2029,1063,914,13,39,1718,888,788,11,31,311,175,126,2,8,3029,1711,1098,31,189,2692,1527,958,30,177,25,12,11,0,2,258,143,106,1,8,54,29,23,0,2,608,261,331,2,14
95DD,24817,5152,18604,213,848,17722,3397,13743,132,450,9550,1589,7741,76,144,8172,1808,6002,56,306,122,28,88,1,5,2778,556,2095,30,97,2376,479,1787,25,85,402,77,308,5,12,3489,1068,2107,40,274,3155,982,1881,37,255,21,9,10,0,2,265,66,185,1,13,48,11,31,2,4,706,103,571,10,22
95EE,11508,3212,7896,84,316,8054,2316,5514,55,169,4087,1069,2938,36,44,3967,1247,2576,19,125,66,15,51,0,0,1437,371,1020,5,41,1329,345,941,3,40,108,26,79,2,1,1621,425,1075,21,100,1449,376,963,20,90,1,0,1,0,0,152,44,100,0,8,19,5,11,1,2,330,85,236,3,6
95FF,18303,5673,11847,152,631,13466,4008,8990,103,365,6216,1672,4361,58,125,7250,2336,4629,45,240,79,28,49,1,1,1806,609,1100,20,77,1524,515,932,14,63,282,94,168,6,14,2392,860,1327,24,181,2153,786,1170,24,173,15,11,4,0,0,198,56,134,0,8,26,7,19,0,0,560,168,381,4,7
95GG,120595,54899,57007,1944,6745,62301,28748,30450,641,2462,27904,11271,15598,262,773,34397,17477,14852,379,1689,718,372,287,11,48,30818,13531,15629,302,1356,20794,8661,11077,176,880,10024,4870,4552,126,476,23632,11041,8915,945,2731,21854,10213,8165,895,2581,100,56,29,5,10,1242,588,530,16,108,436,184,191,29,32,3126,1207,1726,45,148
95HH,16200,1543,13422,166,1069,11628,1043,9802,114,669,4804,402,4172,42,188,6824,641,5630,72,481,119,13,95,0,11,2214,185,1866,26,137,1758,153,1459,18,128,456,32,407,8,9,1923,283,1382,22,236,1736,260,1233,20,223,12,7,4,0,1,158,15,130,2,11,17,1,15,0,1,316,19,277,4,16
95II,27733,5277,20552,330,1574,20695,4302,15198,221,974,9356,1223,7761,88,284,11339,3079,7437,133,690,201,45,140,1,15,3882,189,3378,36,279,3308,130,2900,25,253,574,59,478,11,26,2436,711,1380,63,282,2145,633,1205,57,250,31,15,14,2,0,232,57,144,2,29,28,6,17,2,3,519,30,456,9,24
95JJ,23508,6029,16377,216,886,15426,3738,11123,119,446,8477,1844,6407,64,162,6949,1894,4716,55,284,159,37,114,1,7,3235,803,2282,26,124,2769,700,1938,21,110,466,103,344,5,14,4027,1305,2364,64,294,3622,1174,2114,58,276,31,19,10,1,1,329,100,210,3,16,45,12,30,2,1,661,146,494,6,15
95KK,12904,7165,5429,64,246,9406,5180,4092,40,94,5081,2571,2442,23,45,4325,2609,1650,17,49,70,32,34,0,4,1052,557,464,7,24,930,494,407,5,24,122,63,57,2,0,2032,1220,681,15,116,1825,1103,598,13,111,11,6,3,0,2,178,99,74,2,3,18,12,6,0,0,344,176,158,2,8
95LL,35931,15511,18756,330,1334,23657,9545,13342,188,582,10523,3765,6510,87,161,13134,5780,6832,101,421,272,129,126,3,14,4710,2195,2243,48,224,3750,1793,1737,36,184,960,402,506,12,40,6468,3329,2566,86,487,5977,3109,2324,83,461,36,15,15,1,5,378,165,195,1,17,77,40,32,1,4,824,313,479,5,27
95MM,40779,29734,10087,300,658,23374,16499,6442,149,284,9840,6378,3305,56,101,13534,10121,3137,93,183,226,159,58,5,4,9271,7370,1740,40,121,6766,5249,1401,28,88,2505,2121,339,12,33,6980,5054,1587,103,236,6346,4580,1442,98,226,22,13,6,1,2,472,343,125,1,3,140,118,14,3,5,928,652,260,3,13
95NN,26206,15870,9363,187,786,18575,10887,7121,111,456,9166,4857,4070,61,178,9409,6030,3051,50,278,131,95,32,0,4,2575,1777,716,16,66,2134,1492,575,14,53,441,285,141,2,13,4252,2748,1200,56,248,3709,2453,995,46,215,66,20,32,4,10,389,242,129,3,15,88,33,44,3,8,673,363,294,4,12
95OO,20270,12372,7412,134,352,13949,8090,5658,77,124,7460,3892,3471,45,52,6489,4198,2187,32,72,79,53,21,1,4,2083,1424,597,15,47,1662,1133,484,11,34,421,291,113,4,13,3560,2480,867,40,173,3184,2227,756,38,163,41,30,8,2,1,272,177,88,0,7,63,46,15,0,2,599,325,269,1,4
95PP,23069,13235,9231,140,463,16713,9318,7064,87,244,9847,5235,4454,48,110,6866,4083,2610,39,134,69,38,29,1,1,2170,1478,629,13,50,1752,1221,491,6,34,418,257,138,7,16,3361,1975,1190,35,161,2986,1752,1051,33,150,27,14,10,1,2,302,181,113,0,8,46,28,16,1,1,756,426,319,4,7
95QQ,13297,3191,9467,89,550,9564,2098,7066,55,345,4771,982,3650,25,114,4793,1116,3416,30,231,77,18,51,0,8,1424,402,960,11,51,1184,318,811,10,45,240,84,149,1,6,1927,599,1172,21,135,1738,537,1054,21,126,5,2,3,0,0,157,53,97,0,7,27,7,18,0,2,305,74,218,2,11
95RR,12098,6878,4949,52,219,8330,4657,3533,23,117,4025,2044,1933,7,41,4305,2613,1600,16,76,62,32,28,1,1,1557,886,625,8,38,1308,752,515,6,35,249,134,110,2,3,1853,1165,613,18,57,1641,1043,527,18,53,15,6,6,0,3,178,108,69,0,1,19,8,11,0,0,296,138,150,2,6
95SS,45723,15205,28044,420,2054,32322,10080,20824,272,1146,13718,2716,10567,128,307,18604,7364,10257,144,839,364,150,192,1,21,7699,3221,4078,63,337,5764,2229,3236,48,251,1935,992,842,15,86,4345,1478,2269,77,521,3641,1297,1864,66,414,272,54,152,4,62,290,98,171,2,19,142,29,82,5,26,993,276,681,7,29
95TT,15037,9366,5366,87,218,11051,7021,3859,66,105,5987,3573,2324,42,48,5064,3448,1535,24,57,55,32,22,0,1,1278,688,566,2,22,1133,592,519,2,20,145,96,47,0,2,2171,1371,698,15,87,1938,1223,624,13,78,22,16,5,1,0,186,118,62,1,5,25,14,7,0,4,482,254,221,4,3
95UU,6608,3761,2677,27,143,4453,2604,1763,13,73,2679,1498,1141,11,29,1774,1106,622,2,44,24,13,11,0,0,890,406,461,2,21,762,326,420,1,15,128,80,41,1,6,1042,629,355,12,46,915,555,309,12,39,7,3,3,0,1,114,68,41,0,5,6,3,2,0,1,199,109,87,0,3
95VV,35031,27617,6660,176,578,24436,19191,4909,84,252,12219,9144,2923,39,113,12217,10047,1986,45,139,135,95,34,1,5,3590,3029,487,16,58,2850,2399,401,9,41,740,630,86,7,17,5955,4607,1023,70,255,5342,4133,907,62,240,31,27,3,0,1,489,378,100,3,8,93,69,13,5,6,915,695,207,5,8
95WW,33971,6823,24910,382,1856,24954,5277,18289,259,1129,10512,1550,8570,107,285,14442,3727,9719,152,844,298,86,178,7,27,4481,511,3645,36,289,3815,352,3168,30,265,666,159,477,6,24,3616,877,2288,68,383,3291,808,2070,59,354,15,2,10,1,2,258,55,177,5,21,52,12,31,3,6,622,72,510,12,28
95XX,33255,4308,26033,364,2550,24749,3068,19897,242,1542,11693,1212,9911,117,453,13056,1856,9986,125,1089,382,62,274,4,42,3276,343,2612,36,285,2395,248,1888,27,232,881,95,724,9,53,4311,784,2809,77,641,3748,713,2421,64,550,136,21,82,3,30,302,32,231,4,35,125,18,75,6,26,537,51,441,5,40
95YY,18443,12619,5432,104,288,12885,8652,4044,70,119,7273,4560,2601,48,64,5612,4092,1443,22,55,56,37,18,0,1,1813,1358,420,6,29,1572,1162,380,4,26,241,196,40,2,3,3116,2202,760,26,128,2785,1956,684,24,121,18,12,3,0,3,277,214,59,1,3,36,20,14,1,1,573,370,190,2,11
95ZZ,14817,9496,5154,45,122,9623,5935,3597,34,57,5109,2876,2191,12,30,4514,3059,1406,22,27,51,35,16,0,0,2338,1703,613,5,17,1954,1428,507,4,15,384,275,106,1,2,2285,1527,709,5,44,2049,1390,612,4,43,8,5,3,0,0,203,113,89,0,1,25,19,5,1,0,520,296,219,1,4
