GeographyCode,DC6201NI0001,DC6201NI0002,DC6201NI0003,DC6201NI0004,DC6201NI0005,DC6201NI0006,DC6201NI0007,DC6201NI0008,DC6201NI0009,DC6201NI0010,DC6201NI0011,DC6201NI0012,DC6201NI0013,DC6201NI0014,DC6201NI0015,DC6201NI0016,DC6201NI0017,DC6201NI0018,DC6201NI0019,DC6201NI0020,DC6201NI0021,DC6201NI0022,DC6201NI0023,DC6201NI0024,DC6201NI0025,DC6201NI0026,DC6201NI0027,DC6201NI0028,DC6201NI0029,DC6201NI0030,DC6201NI0031,DC6201NI0032,DC6201NI0033,DC6201NI0034,DC6201NI0035,DC6201NI0036,DC6201NI0037,DC6201NI0038,DC6201NI0039,DC6201NI0040,DC6201NI0041,DC6201NI0042,DC6201NI0043,DC6201NI0044,DC6201NI0045,DC6201NI0046,DC6201NI0047,DC6201NI0048
95PP,48664,8164,40500,48301,8085,40216,48272,8079,40193,29,6,23,242,48,194,58,9,49,93,18,75,25,6,19,4,0,4,62,15,47,24,3,21,8,2,6,8,0,8,8,1,7,43,9,34,54,19,35
95QQ,25999,3641,22358,25872,3620,22252,25865,3618,22247,7,2,5,75,8,67,42,5,37,19,2,17,3,0,3,1,0,1,10,1,9,12,3,9,5,2,3,6,1,5,1,0,1,36,10,26,4,0,4
95RR,26293,3363,22930,26134,3336,22798,26120,3336,22784,14,0,14,96,9,87,38,2,36,15,1,14,3,0,3,0,0,0,40,6,34,12,5,7,1,1,0,5,2,3,6,2,4,32,5,27,19,8,11
95SS,93625,14276,79349,92365,14063,78302,92315,14062,78253,50,1,49,810,97,713,274,41,233,297,30,267,38,7,31,4,3,1,197,16,181,167,44,123,17,3,14,111,38,73,39,3,36,188,38,150,95,34,61
95TT,34461,4976,29485,34232,4938,29294,34221,4935,29286,11,3,8,155,25,130,70,7,63,60,15,45,1,0,1,1,1,0,23,2,21,9,3,6,4,1,3,3,2,1,2,0,2,31,4,27,34,6,28
95UU,13603,2188,11415,13516,2178,11338,13516,2178,11338,0,0,0,60,4,56,21,3,18,32,1,31,0,0,0,0,0,0,7,0,7,5,1,4,2,1,1,2,0,2,1,0,1,13,4,9,9,1,8
95VV,75962,11328,64634,75399,11255,64144,75295,11251,64044,104,4,100,346,31,315,135,8,127,109,8,101,28,4,24,8,0,8,66,11,55,59,17,42,3,0,3,42,17,25,14,0,14,79,14,65,79,11,68
95WW,67792,9841,57951,66502,9610,56892,66499,9610,56889,3,0,3,1008,169,839,435,77,358,308,56,252,87,11,76,9,2,7,169,23,146,90,24,66,9,2,7,67,17,50,14,5,9,135,30,105,57,8,49
95XX,64422,11087,53335,63404,10912,52492,63394,10912,52482,10,0,10,583,72,511,196,29,167,151,18,133,54,4,50,30,5,25,152,16,136,173,46,127,48,10,38,88,28,60,37,8,29,167,34,133,95,23,72
95YY,39689,6566,33123,39432,6520,32912,39381,6517,32864,51,3,48,180,25,155,48,3,45,51,11,40,11,4,7,1,0,1,69,7,62,11,1,10,1,0,1,9,1,8,1,0,1,34,9,25,32,11,21
95ZZ,31020,3990,27030,30838,3950,26888,30813,3947,26866,25,3,22,107,23,84,34,11,23,47,7,40,1,0,1,0,0,0,25,5,20,8,2,6,2,0,2,3,2,1,3,0,3,36,6,30,31,9,22
