GeographyCode,DC4401NI0001,DC4401NI0002,DC4401NI0003,DC4401NI0004,DC4401NI0005,DC4401NI0006,DC4401NI0007,DC4401NI0008,DC4401NI0009,DC4401NI0010,DC4401NI0011,DC4401NI0012,DC4401NI0013,DC4401NI0014,DC4401NI0015,DC4401NI0016,DC4401NI0017,DC4401NI0018,DC4401NI0019,DC4401NI0020,DC4401NI0021,DC4401NI0022,DC4401NI0023,DC4401NI0024,DC4401NI0025,DC4401NI0026,DC4401NI0027,DC4401NI0028,DC4401NI0029,DC4401NI0030,DC4401NI0031,DC4401NI0032,DC4401NI0033,DC4401NI0034,DC4401NI0035,DC4401NI0036
WELB,115702,109206,6496,115634,109173,6461,107782,102638,5144,51791,49368,2423,30533,29560,973,25458,23710,1748,7701,6411,1290,6408,5564,844,807,587,220,486,260,226,151,124,27,68,33,35
UKN01,129761,120595,9166,129648,120500,9148,103748,99097,4651,13822,13470,352,35839,34960,879,54087,50667,3420,25879,21383,4496,21805,18430,3375,3654,2666,988,420,287,133,21,20,1,113,95,18
UKN02,163971,156882,7089,163926,156853,7073,144559,139579,4980,54520,53063,1457,52392,50809,1583,37647,35707,1940,19213,17144,2069,18006,16203,1803,881,706,175,326,235,91,154,130,24,45,29,16
UKN03,180459,170132,10327,180437,170119,10318,167642,159145,8497,76703,73207,3496,46109,44522,1587,44830,41416,3414,12449,10696,1753,10901,9569,1332,956,724,232,592,403,189,346,278,68,22,13,9
UKN04,118324,109318,9006,118256,109286,8970,108418,101717,6701,47114,44421,2693,34543,32767,1776,26761,24529,2232,9723,7478,2245,8228,6535,1693,1008,660,348,487,283,204,115,91,24,68,32,36
UKN05,155720,146348,9372,155701,146339,9362,148343,140242,8101,84972,80146,4826,39020,37519,1501,24351,22577,1774,6882,5685,1197,5457,4720,737,762,584,178,663,381,282,476,412,64,19,9,10
95AA,20991,20064,927,20989,20063,926,19359,18660,699,8595,8291,304,4937,4844,93,5827,5525,302,1592,1369,223,1468,1272,196,72,64,8,52,33,19,38,34,4,2,1,1
95BB,33569,31514,2055,33569,31514,2055,31122,29380,1742,13189,12491,698,9560,9233,327,8373,7656,717,2390,2082,308,2141,1888,253,156,120,36,93,74,19,57,52,5,0,0,0
95CC,23191,21594,1597,23191,21594,1597,22108,20720,1388,12487,11731,756,5556,5282,274,4065,3707,358,1003,811,192,779,661,118,121,83,38,103,67,36,80,63,17,0,0,0
95DD,25873,24817,1056,25873,24817,1056,23947,23048,899,12444,11963,481,6268,6092,176,5235,4993,242,1887,1733,154,1677,1574,103,140,107,33,70,52,18,39,36,3,0,0,0
95EE,12018,11508,510,12016,11507,509,11555,11120,435,6205,5963,242,4064,3964,100,1286,1193,93,437,367,70,348,311,37,51,35,16,38,21,17,24,20,4,2,1,1
95FF,19378,18303,1075,19375,18301,1074,18392,17454,938,9595,9133,462,4467,4328,139,4330,3993,337,926,799,127,799,713,86,57,46,11,70,40,30,57,48,9,3,2,1
95GG,129761,120595,9166,129648,120500,9148,103748,99097,4651,13822,13470,352,35839,34960,879,54087,50667,3420,25879,21383,4496,21805,18430,3375,3654,2666,988,420,287,133,21,20,1,113,95,18
95HH,16842,16200,642,16842,16200,642,14657,14237,420,5924,5807,117,4316,4246,70,4417,4184,233,2177,1956,221,2014,1827,187,107,89,18,56,40,16,8,7,1,0,0,0
95II,28749,27733,1016,28746,27730,1016,25037,24379,658,7568,7412,156,11520,11240,280,5949,5727,222,3703,3346,357,3586,3243,343,82,76,6,35,27,8,6,5,1,3,3,0
95JJ,27482,23508,3974,27476,23504,3972,24226,21455,2771,11946,10791,1155,7012,6135,877,5268,4529,739,3231,2035,1196,2801,1792,1009,297,161,136,133,82,51,19,14,5,6,4,2
95KK,13658,12904,754,13656,12902,754,13148,12462,686,7893,7455,438,3008,2894,114,2247,2113,134,457,393,64,363,325,38,44,30,14,50,38,12,51,47,4,2,2,0
95LL,37925,35931,1994,37921,35929,1992,35573,33838,1735,13515,13047,468,10943,10532,411,11115,10259,856,2283,2057,226,1973,1812,161,202,168,34,108,77,31,65,34,31,4,2,2
95MM,42432,40779,1653,42375,40753,1622,37688,36667,1021,10880,10675,205,13445,13233,212,13363,12759,604,4674,4075,599,4044,3622,422,511,369,142,119,84,35,13,11,2,57,26,31
95NN,28373,26206,2167,28365,26203,2162,26166,24535,1631,14033,13279,754,6357,6071,286,5776,5185,591,2136,1613,523,1746,1360,386,233,154,79,157,99,58,63,55,8,8,3,5
95OO,21474,20270,1204,21474,20270,1204,20422,19400,1022,11115,10566,549,6078,5842,236,3229,2992,237,963,790,173,747,644,103,120,97,23,96,49,47,89,80,9,0,0,0
95PP,25166,23069,2097,25164,23067,2097,23999,22182,1817,15281,14138,1143,5263,4947,316,3455,3097,358,1102,831,271,830,666,164,130,94,36,142,71,71,63,54,9,2,2,0
95QQ,14350,13297,1053,14345,13292,1053,13083,12230,853,5332,5003,329,3577,3422,155,4174,3805,369,1235,1043,192,1097,950,147,96,65,31,42,28,14,27,19,8,5,5,0
95RR,12729,12098,631,12729,12098,631,12253,11690,563,6174,5996,178,3645,3543,102,2434,2151,283,459,393,66,378,342,36,41,24,17,40,27,13,17,15,2,0,0,0
95SS,47824,45723,2101,47818,45718,2100,43345,41741,1604,17435,16915,520,14102,13632,470,11808,11194,614,4417,3929,488,4158,3728,430,162,138,24,97,63,34,56,48,8,6,5,1
95TT,15566,15037,529,15566,15037,529,15079,14613,466,9034,8769,265,3613,3541,72,2432,2303,129,437,376,61,326,302,24,43,36,7,68,38,30,50,48,2,0,0,0
95UU,8008,6608,1400,8005,6607,1398,7559,6357,1202,4123,3531,592,2230,1915,315,1206,911,295,439,244,195,306,179,127,63,33,30,70,32,38,7,6,1,3,1,2
95VV,36945,35031,1914,36939,35031,1908,34882,33194,1688,17492,16393,1099,11469,11153,316,5921,5648,273,1937,1736,201,1607,1477,130,224,182,42,106,77,29,120,101,19,6,0,6
95WW,35380,33971,1409,35380,33971,1409,31029,30009,1020,11157,10891,266,11389,10990,399,8483,8128,355,4336,3949,387,4203,3834,369,86,80,6,47,35,12,15,13,2,0,0,0
95XX,35176,33255,1921,35140,33234,1906,30491,29213,1278,12436,12038,398,11065,10701,364,6990,6474,516,4580,3964,616,4045,3571,474,444,323,121,91,70,21,69,57,12,36,21,15
95YY,19720,18443,1277,19711,18438,1273,18705,17671,1034,11670,11094,576,4033,3860,173,3002,2717,285,983,748,235,805,645,160,80,62,18,98,41,57,23,19,4,9,5,4
95ZZ,15655,14817,838,15655,14817,838,15137,14428,709,7786,7465,321,4147,3977,170,3204,2986,218,483,364,119,351,289,62,45,38,7,87,37,50,35,25,10,0,0,0
