GeographyCode,DC2420NI0001,DC2420NI0002,DC2420NI0003,DC2420NI0004,DC2420NI0005,DC2420NI0006,DC2420NI0007,DC2420NI0008,DC2420NI0009,DC2420NI0010,DC2420NI0011,DC2420NI0012,DC2420NI0013,DC2420NI0014,DC2420NI0015,DC2420NI0016,DC2420NI0017,DC2420NI0018,DC2420NI0019,DC2420NI0020,DC2420NI0021,DC2420NI0022,DC2420NI0023,DC2420NI0024,DC2420NI0025,DC2420NI0026,DC2420NI0027,DC2420NI0028,DC2420NI0029,DC2420NI0030,DC2420NI0031,DC2420NI0032,DC2420NI0033,DC2420NI0034,DC2420NI0035,DC2420NI0036,DC2420NI0037,DC2420NI0038,DC2420NI0039,DC2420NI0040,DC2420NI0041,DC2420NI0042,DC2420NI0043,DC2420NI0044,DC2420NI0045,DC2420NI0046,DC2420NI0047,DC2420NI0048,DC2420NI0049,DC2420NI0050,DC2420NI0051,DC2420NI0052,DC2420NI0053,DC2420NI0054,DC2420NI0055,DC2420NI0056,DC2420NI0057,DC2420NI0058,DC2420NI0059,DC2420NI0060,DC2420NI0061,DC2420NI0062,DC2420NI0063,DC2420NI0064,DC2420NI0065,DC2420NI0066,DC2420NI0067,DC2420NI0068,DC2420NI0069,DC2420NI0070
UKN03,170132,50801,89192,46254,25459,5215,12264,1324,17783,11032,44655,12037,23546,12233,7011,1513,2789,385,4024,4663,53121,14036,30146,15658,8699,1781,4008,391,5604,2944,29312,9350,14885,7685,4303,847,2050,220,3395,1462,26165,8402,13328,6924,3615,738,2051,185,3161,1089,16879,6976,7287,3754,1831,336,1366,143,1599,874,2.55,2.75,2.47,2.47,2.42,2.37,2.65,2.54,2.62,2.20
UKN04,109318,53129,40975,21461,14507,1099,3908,650,6767,7797,29564,13266,11017,5920,3972,329,796,160,1849,3272,32001,14378,13359,6924,4757,349,1329,201,2079,1984,18607,9417,6839,3537,2448,159,695,122,1186,1043,16471,8628,5967,3153,2046,157,611,104,1046,726,12675,7440,3793,1927,1284,105,477,63,607,772,2.60,2.74,2.50,2.49,2.48,2.45,2.72,2.60,2.51,2.27
UKN05,146348,84314,44363,15853,20009,2687,5814,748,6546,10377,36269,19290,11164,3936,5331,752,1145,180,1601,4034,39570,21606,13290,4756,6013,837,1684,231,1903,2540,24094,14047,7265,2570,3254,447,994,146,1164,1472,23433,14077,7030,2530,3106,385,1009,101,1097,1128,22982,15294,5614,2061,2305,266,982,90,781,1203,2.79,2.91,2.67,2.68,2.60,2.51,2.93,2.66,2.68,2.41
95AA,20064,6861,9419,5533,2450,311,1125,165,2294,1325,5093,1489,2501,1510,682,80,229,32,531,540,5960,1813,3114,1830,821,116,347,42,673,318,3555,1288,1572,899,423,47,203,46,453,196,3282,1258,1408,808,352,45,203,29,420,167,2174,1013,824,486,172,23,143,16,217,104,2.62,2.85,2.49,2.47,2.41,2.43,2.77,2.75,2.64,2.27
95BB,31514,3166,21213,11909,5229,1539,2536,299,4910,1926,8310,788,5572,3110,1431,455,576,92,1072,786,10811,915,7553,4199,1897,556,901,96,1681,566,5258,572,3535,2002,891,235,407,43,880,228,4708,498,3108,1787,696,201,424,39,858,205,2427,393,1445,811,314,92,228,29,419,141,2.46,2.67,2.42,2.43,2.36,2.32,2.57,2.44,2.59,2.18
95CC,21594,9266,9534,3619,4039,540,1336,122,1166,1506,5464,2242,2355,875,1077,139,264,25,265,577,6080,2454,2859,1092,1214,161,392,42,337,388,3655,1541,1632,562,727,95,248,26,223,233,3368,1493,1508,611,604,89,204,14,212,141,3027,1536,1180,479,417,56,228,15,129,167,2.72,2.82,2.67,2.71,2.56,2.61,2.90,2.69,2.70,2.37
95DD,24817,4582,16263,10569,2774,596,2324,192,2143,1637,6381,1036,4182,2789,713,178,502,55,443,665,7927,1277,5511,3598,945,208,760,56,641,442,4335,829,2772,1786,486,91,409,36,479,219,3726,766,2390,1523,407,86,374,23,370,177,2448,674,1408,873,223,33,279,22,210,134,2.55,2.81,2.50,2.47,2.48,2.33,2.69,2.49,2.70,2.24
95EE,11508,2965,7000,4394,1561,86,959,76,853,614,2741,576,1721,1154,394,15,158,22,181,241,3451,715,2309,1424,522,24,339,28,237,162,1978,510,1176,720,270,21,165,12,193,87,1879,553,1105,684,241,14,166,9,148,64,1459,611,689,412,134,12,131,5,94,60,2.70,3.08,2.57,2.53,2.52,2.88,2.83,2.33,2.72,2.32
95FF,18303,5099,10291,5262,3157,368,1504,137,1723,1053,4613,1257,2472,1239,791,107,335,43,395,446,5539,1402,3275,1705,1005,109,456,47,509,306,3067,912,1688,879,512,57,240,17,323,127,3055,802,1811,889,576,71,275,20,338,84,2029,726,1045,550,273,24,198,10,158,90,2.62,2.74,2.61,2.61,2.56,2.46,2.75,2.37,2.66,2.16
95GG,120595,46467,45058,19193,15507,4760,5598,1695,15816,11559,42401,13984,17398,7513,6241,1831,1813,505,5173,5341,36385,13627,14304,6098,4873,1557,1776,411,5127,2916,19166,8146,6575,2792,2230,661,892,386,2599,1460,13886,6142,4506,1861,1441,506,698,271,1984,983,8757,4568,2275,929,722,205,419,122,933,859,2.29,2.48,2.13,2.11,2.09,2.11,2.34,2.50,2.29,2.11
95HH,16200,1189,11071,5008,3132,1347,1584,149,2799,992,4674,337,3161,1506,885,401,369,59,693,424,5293,341,3725,1669,1087,441,528,39,906,282,2808,227,1910,850,519,235,306,13,545,113,2353,184,1572,676,456,194,246,24,448,125,1072,100,703,307,185,76,135,14,207,48,2.39,2.50,2.38,2.34,2.36,2.36,2.56,2.31,2.51,2.11
95II,27733,4500,16972,7534,5110,1904,2424,302,4274,1685,8210,986,5348,2400,1712,612,624,74,1075,727,9002,1258,5865,2579,1782,662,842,99,1310,470,4474,866,2538,1106,784,291,357,58,783,229,4055,812,2266,1026,619,239,382,42,785,150,1992,578,955,423,213,100,219,29,321,109,2.40,2.77,2.29,2.29,2.20,2.25,2.50,2.57,2.55,2.11
95JJ,23508,5267,13934,6909,5189,368,1468,200,2432,1675,6715,1322,3928,1982,1488,117,341,60,649,756,7651,1530,4804,2377,1777,141,509,69,793,455,3819,905,2274,1108,862,42,262,25,421,194,3193,815,1828,925,646,40,217,30,361,159,2130,695,1100,517,416,28,139,16,208,111,2.46,2.69,2.41,2.39,2.40,2.25,2.57,2.41,2.49,2.09
95KK,12904,6612,4800,1934,2045,183,638,55,569,868,3023,1387,1152,478,496,56,122,14,120,350,3486,1585,1499,597,625,61,216,18,180,204,2095,1074,791,323,357,21,90,6,93,131,2138,1171,776,305,333,25,113,3,103,85,2162,1395,582,231,234,20,97,14,73,98,2.84,3.05,2.66,2.64,2.64,2.45,2.85,2.78,2.74,2.38
95LL,35931,13953,16191,4138,7688,1620,2745,297,2950,2540,9528,3166,4485,1124,2194,485,682,90,697,1090,10740,3810,5318,1370,2553,520,875,77,896,639,6389,2651,2741,696,1317,276,452,48,583,366,5561,2389,2360,627,1052,223,458,41,525,246,3713,1937,1287,321,572,116,278,41,249,199,2.57,2.78,2.45,2.45,2.40,2.39,2.60,2.69,2.61,2.20
95MM,40779,26374,8648,4193,3387,358,710,264,2071,3422,11366,6769,2497,1264,964,115,154,53,655,1392,11364,7190,2672,1300,1058,102,212,70,594,838,7079,4743,1459,689,591,57,122,60,339,478,6130,4222,1222,576,480,57,109,52,305,329,4840,3450,798,364,294,27,113,29,178,385,2.61,2.70,2.48,2.43,2.47,2.42,2.87,2.80,2.43,2.35
95NN,26206,14363,7727,3791,2520,238,1178,157,2286,1673,6888,3501,2079,1038,729,60,252,46,518,744,7708,3950,2581,1237,882,71,391,49,702,426,4477,2611,1233,598,390,50,195,18,401,214,4038,2318,1126,580,333,38,175,26,423,145,3095,1983,708,338,186,19,165,18,242,144,2.62,2.74,2.49,2.49,2.38,2.56,2.71,2.54,2.68,2.18
95OO,20270,11205,6590,2202,3171,375,842,114,806,1555,4856,2337,1720,568,881,113,158,23,185,591,5341,2726,1994,660,989,121,224,39,212,370,3424,1973,1042,360,483,53,146,24,156,229,3321,1954,1023,332,462,52,177,10,147,187,3328,2215,811,282,356,36,137,18,106,178,2.83,3.02,2.63,2.64,2.55,2.44,2.98,2.85,2.76,2.44
95PP,23069,12168,8204,768,5476,1100,860,134,1200,1363,6356,3212,2185,234,1460,305,186,40,340,579,6549,3230,2551,242,1670,361,278,43,359,366,3696,2025,1270,112,833,190,135,26,203,172,3489,1917,1257,110,868,135,144,13,179,123,2979,1784,941,70,645,109,117,12,119,123,2.65,2.74,2.59,2.44,2.61,2.48,2.78,2.43,2.55,2.21
95QQ,13297,2777,8088,5052,1641,543,852,77,1477,878,3842,800,2255,1423,471,148,213,27,368,392,4436,869,2794,1719,596,201,278,24,502,247,2231,487,1344,825,284,91,144,12,276,112,1795,371,1125,710,199,74,142,7,227,65,993,250,570,375,91,29,75,7,104,62,2.40,2.46,2.40,2.41,2.32,2.34,2.56,2.26,2.48,2.08
95RR,12098,6421,4443,2413,1634,77,319,45,603,586,2811,1407,1029,558,393,22,56,10,150,215,3562,1712,1472,773,560,24,115,12,189,177,2219,1223,788,432,281,8,67,17,108,83,2003,1092,757,427,264,18,48,3,101,50,1503,987,397,223,136,5,33,3,55,61,2.72,2.85,2.59,2.61,2.54,2.55,2.73,2.51,2.58,2.32
95SS,45723,13428,23634,9304,9255,1840,3235,384,5267,3010,11384,2501,6514,2584,2729,524,677,112,1107,1150,14276,3715,7973,3192,3119,634,1028,111,1718,759,8238,2784,3861,1552,1500,275,534,68,1050,475,7256,2472,3513,1335,1302,267,609,50,889,332,4569,1956,1773,641,605,140,387,43,503,294,2.59,2.89,2.44,2.41,2.37,2.41,2.75,2.51,2.65,2.36
95TT,15037,8750,4763,2111,1765,85,802,75,622,827,3174,1577,1138,507,456,22,153,17,136,306,3933,2128,1395,639,513,20,223,27,185,198,2420,1404,783,339,294,12,138,14,100,119,2664,1625,804,338,295,22,149,13,109,113,2846,2016,643,288,207,9,139,4,92,91,2.98,3.18,2.73,2.71,2.65,2.76,2.97,2.48,2.81,2.47
95UU,6608,3377,2278,1095,1000,15,168,24,425,504,1950,914,676,334,296,6,40,9,113,238,1933,911,728,345,325,5,53,9,152,133,1008,536,353,172,152,2,27,0,62,57,912,502,302,141,135,2,24,3,65,40,805,514,219,103,92,0,24,3,33,36,2.56,2.72,2.45,2.42,2.45,2.00,2.69,2.29,2.45,2.06
95VV,35031,24750,5609,3222,1381,144,862,153,1498,3021,8504,5699,1335,757,371,41,166,33,374,1063,9340,6536,1604,936,399,33,236,36,426,738,5905,4198,954,544,226,28,156,35,263,455,5523,4035,863,486,211,27,139,31,242,352,5759,4282,853,499,174,15,165,18,193,413,2.82,2.87,2.77,2.78,2.64,2.63,3.01,2.84,2.71,2.56
95WW,33971,5914,20782,10322,5386,2459,2615,346,4787,2142,9265,1234,5979,3075,1589,711,604,114,1096,842,11178,1809,7152,3552,1884,838,878,87,1528,602,5925,1158,3410,1653,888,441,428,57,983,317,5070,1039,2927,1438,693,343,453,58,812,234,2533,674,1314,604,332,126,252,30,368,147,2.45,2.72,2.37,2.33,2.33,2.34,2.61,2.46,2.56,2.21
95XX,33255,3411,20761,10180,6140,1821,2620,327,6561,2195,9992,956,6274,3128,1918,577,651,103,1675,984,11460,1046,7490,3665,2255,681,889,105,2189,630,5296,623,3159,1582,873,268,436,47,1187,280,4448,495,2676,1224,795,213,444,35,1049,193,2059,291,1162,581,299,82,200,37,461,108,2.33,2.47,2.29,2.28,2.25,2.21,2.51,2.44,2.47,2.03
95YY,18443,11563,4863,1997,2132,260,474,95,685,1237,4892,2836,1279,517,590,76,96,28,181,568,4841,2947,1388,590,603,80,115,26,204,276,2899,1832,793,330,334,48,81,15,126,133,2930,1882,799,348,333,35,83,17,105,127,2881,2066,604,212,272,21,99,9,69,133,2.76,2.87,2.66,2.61,2.64,2.45,3.08,2.52,2.57,2.25
95ZZ,14817,8725,4672,2457,1736,195,284,41,383,996,3981,2278,1166,628,437,54,47,6,101,430,4040,2320,1374,705,515,53,101,13,114,219,2504,1500,789,416,292,29,52,8,63,144,2354,1444,753,400,280,26,47,7,66,84,1938,1183,590,308,212,33,37,7,39,119,2.67,2.71,2.68,2.67,2.67,2.71,2.78,3.02,2.58,2.34
