GeographyCode,DC4305NI0001,DC4305NI0002,DC4305NI0003,DC4305NI0004,DC4305NI0005,DC4305NI0006,DC4305NI0007,DC4305NI0008,DC4305NI0009,DC4305NI0010,DC4305NI0011,DC4305NI0012,DC4305NI0013,DC4305NI0014,DC4305NI0015,DC4305NI0016,DC4305NI0017,DC4305NI0018,DC4305NI0019,DC4305NI0020,DC4305NI0021,DC4305NI0022,DC4305NI0023,DC4305NI0024,DC4305NI0025,DC4305NI0026,DC4305NI0027,DC4305NI0028
95AA,52540,3660,2610,74,167,84,46679,4918,537,1047,26,56,27,3465,4155,277,388,6,35,8,3531,43467,2846,1175,42,76,49,39683
95BB,77483,4909,3879,128,204,118,69495,8444,1035,1710,71,95,49,5968,7505,495,579,11,45,17,6507,61534,3379,1590,46,64,52,57020
95CC,58638,5770,2760,86,223,167,50618,6035,703,980,26,78,47,4451,4859,434,379,18,50,21,4083,47744,4633,1401,42,95,99,42084
95DD,63403,4336,2889,104,245,103,56661,6093,638,1139,40,87,24,4469,5488,348,416,12,47,18,4767,51822,3350,1334,52,111,61,47425
95EE,31054,2588,1396,41,77,22,27352,3439,392,530,21,31,13,2594,2665,212,180,6,20,2,2298,24950,1984,686,14,26,7,22460
95FF,48045,4017,2122,82,147,42,42318,5036,552,850,22,52,14,3764,3915,272,308,14,34,8,3344,39094,3193,964,46,61,20,35210
95GG,276141,13259,19850,930,1830,554,245797,39149,3806,8954,353,763,252,27295,24978,1545,2664,117,319,106,21014,212014,7908,8232,460,748,196,197488
95HH,38785,1440,2113,71,163,66,35503,4157,459,967,41,96,29,2863,3726,190,351,6,25,11,3209,30902,791,795,24,42,26,29431
95II,66502,1966,3367,119,262,103,61453,6876,581,1574,54,114,39,4856,6003,230,535,10,59,21,5246,53623,1155,1258,55,89,43,51351
95JJ,57761,3157,2818,112,231,79,52147,5783,566,1141,44,82,22,4228,5290,316,415,18,42,12,4592,46688,2275,1262,50,107,45,43327
95KK,36711,3577,2257,75,107,49,31268,4403,496,870,30,33,10,3146,3144,247,274,7,19,4,2651,29164,2834,1113,38,55,35,25471
95LL,92513,5360,4795,144,349,159,82981,10830,1048,2121,64,158,52,7894,7918,434,619,19,61,28,6918,73765,3878,2055,61,130,79,68169
95MM,106500,6372,6848,255,479,192,94413,14188,1549,2767,112,180,81,10249,9191,609,838,39,103,28,7841,83121,4214,3243,104,196,83,76323
95NN,68714,4777,3262,134,285,109,61152,7372,714,1287,41,98,46,5495,6259,422,499,25,59,17,5380,55083,3641,1476,68,128,46,50277
95OO,57462,5565,2864,126,283,55,49549,6101,694,1070,47,95,22,4471,4591,349,361,16,41,8,3897,46770,4522,1433,63,147,25,41181
95PP,61064,7092,2487,109,166,85,52143,6300,947,915,42,61,34,4632,5392,534,325,21,33,12,4570,49372,5611,1247,46,72,39,42941
95QQ,31914,1497,1449,61,64,99,29138,3378,281,608,25,20,23,2543,3106,152,216,17,14,22,2750,25430,1064,625,19,30,54,23845
95RR,32850,2694,1391,50,129,34,28990,3713,426,543,17,46,16,2809,2864,198,179,10,22,6,2505,26273,2070,669,23,61,12,23676
95SS,118525,7179,5638,187,391,147,106688,12074,1394,2333,98,162,51,8644,9826,616,753,20,73,34,8527,96625,5169,2552,69,156,62,89517
95TT,44822,4493,2111,129,152,61,38620,4330,495,691,44,43,23,3243,3777,339,307,17,24,7,3161,36715,3659,1113,68,85,31,32216
95UU,16907,1386,946,32,45,25,14718,1959,229,380,16,19,15,1395,1534,129,133,6,6,4,1282,13414,1028,433,10,20,6,12041
95VV,98922,9251,4667,221,495,182,85915,11168,1360,1693,97,199,68,8328,7659,623,609,18,76,27,6504,80095,7268,2365,106,220,87,71083
95WW,83141,2952,4217,167,330,85,76363,8695,714,1950,76,141,40,6201,7317,262,622,23,53,17,6452,67129,1976,1645,68,136,28,63710
95XX,77475,2944,3791,130,268,152,71314,7015,884,1673,54,91,68,4743,7068,344,606,20,63,23,6156,63392,1716,1512,56,114,61,60415
95YY,50872,5141,2186,109,188,49,44074,6169,713,843,44,73,19,4759,4580,374,316,15,38,5,3935,40123,4054,1027,50,77,25,35380
95ZZ,39595,3376,1892,77,231,30,34566,5714,618,842,26,110,7,4358,3807,327,250,14,37,6,3241,30074,2431,800,37,84,17,26967
